dataset	NCBI_name	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r.expression_GC12	rho.expression_GC12	tau.expression_GC12	r.expression_GC3	rho.expression_GC3	tau.expression_GC3	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENcP	rho.expression_ENcP	tau.expression_ENcP	r.expression_ENcFDS	rho.expression_ENcFDS	tau.expression_ENcFDS	r.expression_ENcPFDS	rho.expression_ENcPFDS	tau.expression_ENcPFDS	r.expression_Um	rho.expression_Um	tau.expression_Um	r.expression_Ltot	rho.expression_Ltot	tau.expression_Ltot	r.expression_nReads	rho.expression_nReads	tau.expression_nReads	r.nReads_GC12	rho.nReads_GC12	tau.nReads_GC12	r.nReads_GC3	rho.nReads_GC3	tau.nReads_GC3	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENcP	rho.nReads_ENcP	tau.nReads_ENcP	r.nReads_ENcFDS	rho.nReads_ENcFDS	tau.nReads_ENcFDS	r.nReads_ENcPFDS	rho.nReads_ENcPFDS	tau.nReads_ENcPFDS	rho.nReads_Um	tau.nReads_Um
Abatus_agassizi	Abatus agassizii	11031	632.161635391	577.904816755	0.4992229375	0.0510025501	0.5538663517	0.1188475024	0.3805514818	0.0700643361	0.0049470649	-0.1640643337	-0.1154396276	0.1347337465	0.0553938619	0.038134446	nan	0.2832133311	0.1908623949	nan	0.2832133311	0.1908623949	nan	0.3222006725	0.2188937649	0.105190003	0.2795808975	0.1873670952	0.1228721872	0.2876233195	0.1926111174	nan	-0.3187954607	-0.8543711416	0.1993896229	0.4086260988	0.2801103228	0.9978309564	0.951924708	0.8611797701	0.0516761265	0.0564973164	0.0391854998	0.1353905145	0.0589679893	0.0416873204	nan	0.3059956799	0.2138403452	nan	0.3059956799	0.2138403452	nan	0.35179076	0.2441161315	0.111189945	0.3266567719	0.2292839573	0.1325875699	0.3466419623	0.2444096394	-0.3527505953	-0.8153905186
Abatus_cordatus	Abatus cordatus	3765	719.00876494	575.316086044	0.5066520064	0.0495571218	0.570942167	0.1042459558	0.3671986039	0.0656342734	-0.0103753463	-0.1011337715	-0.0712134209	0.2002416351	0.1200552922	0.0804783015	-0.1060263848	-0.0291245794	-0.0192638185	-0.1060263848	-0.0291245794	-0.0192638185	-0.025121743	0.0305915862	0.0202748249	-0.0596683134	-0.0014166441	-0.0010946057	-0.0285268524	0.0207198139	0.0137202994	nan	-0.0701217681	-0.9080075021	0.0374190886	0.0980112876	0.0647580036	0.9988224409	0.9747990998	0.8843874849	0.0250451247	0.0594340051	0.0394999517	0.2055658222	0.1411560934	0.095517138	-0.1062020343	-0.0363033923	-0.0239463058	-0.1062020343	-0.0363033923	-0.0239463058	-0.0243939709	0.027497582	0.0183962012	-0.054799438	0.0095829976	0.0064408436	-0.0230584411	0.0339501401	0.0227617758	-0.0704991902	-0.5760804661
Allolobophora_chlorotica_L1	Allolobophora chlorotica L1	28979	612.433589841	475.773426747	0.4822166574	0.0434321013	0.5084580346	0.0957577688	0.3990069714	0.0684316523	0.0010542297	-0.1628120374	-0.1096041986	0.1264511377	0.0925361836	0.0624216686	nan	0.3052964356	0.1963707742	nan	0.3052964356	0.1963707742	nan	0.3076949421	0.1981837937	0.1049156868	0.2851731237	0.1904355294	0.0812751229	0.2684589464	0.1787859886	nan	-0.2954685329	-0.8705244951	0.172905183	0.4132857699	0.282741637	0.9977346584	0.9556636419	0.8632024677	0.0393825036	0.0280410745	0.0198814469	0.1300722701	0.1051255273	0.0732422255	nan	0.3517483708	0.1316443392	nan	0.3517483708	0.1316443392	nan	0.3569601912	0.1334846706	0.1199465782	0.3484956051	0.2446257363	0.0962520845	0.3312013172	0.2320135342	-0.3420453608	-0.82653871
Allolobophora_chlorotica_L2	Allolobophora chlorotica L2	50541	492.879939059	286.509038887	0.4833692998	0.0452537499	0.5109270928	0.1004043156	0.4009946064	0.0777398713	-0.0008335453	-0.0948741022	-0.0652541561	0.1310027784	0.106492714	0.071343273	nan	-0.0553505722	-0.0366112098	nan	-0.0553505722	-0.0366112098	nan	-0.0649653806	-0.0428321873	-0.0420576052	-0.0489806081	-0.0325816571	-0.07046973	-0.0745581677	-0.0496731864	nan	0.0280860091	-0.9466650135	-0.0098508091	0.0017368202	0.0011952371	0.9990112588	0.9879008815	0.9233515867	0.0383939001	0.0278582455	0.0188018763	0.1297858619	0.1103013817	0.0743941253	nan	-0.0385413024	-0.0311936468	nan	-0.0385413024	-0.0311936468	nan	-0.0448758451	-0.0345251024	-0.0308446396	-0.0166812511	-0.011300036	-0.0572054749	-0.0374107143	-0.0252640692	0.0046419127	-0.7296640906
Allolobophora_chlorotica_L4	Allolobophora chlorotica L4	21991	630.500977673	494.463292748	0.484035192	0.0424815646	0.5108230863	0.0949605909	0.3968274995	0.0678019325	0.005493727	-0.162951563	-0.1156455074	0.1307865089	0.0969143488	0.0653203782	nan	0.2939961294	0.1979678145	nan	0.2939961294	0.1979678145	nan	0.2944607388	0.1981948671	0.0844152146	0.2798755383	0.1863929127	0.0549687418	0.2616357637	0.1741186917	nan	-0.2906254984	-0.8430738059	0.1615778953	0.4166096095	0.2845692647	0.9981749448	0.9539142504	0.8637674127	0.0374173838	0.039286641	0.0276739626	0.1344238908	0.1100454611	0.0770599506	nan	0.3360704166	0.1539566626	nan	0.3360704166	0.1539566626	nan	0.3407174548	0.1589455037	0.0969057369	0.3409802913	0.2402928093	0.0665787418	0.3188349905	0.2245188247	-0.331416726	-0.5255566888
Aporrectodea_icterica	Aporrectodea icterica	12908	559.392159901	468.304580991	0.4828240979	0.0420958443	0.5081871448	0.0959411386	0.3972580751	0.0652114339	-8.50E-005	-0.1901588375	-0.133759553	0.140695501	0.1480477204	0.0998169209	nan	0.3689798481	0.2929785251	nan	0.3689798481	0.2929785251	nan	0.3673524686	0.2909833151	0.172642658	0.3519064332	0.2350823024	0.1436122416	0.323890499	0.2154957483	nan	-0.3863301795	-0.917034933	0.2448284491	0.5016611336	0.3445433588	0.9975777679	0.9412355071	0.8404714063	0.0486775911	0.0613471325	0.0429977486	0.1387963492	0.1392872163	0.0977451524	nan	0.4166951606	0.2120503875	nan	0.4166951606	0.2120503875	nan	0.4216818465	0.2133479818	0.1878121558	0.4227142447	0.2996948982	0.1607213294	0.4020345588	0.2844717778	-0.4379025499	-0.6288540765
Aptenodytes_patagonicus	Aptenodytes patagonicus	4884	907.090909091	871.049111118	0.4697169214	0.062148319	0.4825774695	0.1236009182	0.3960722169	0.0803196463	-0.0068404264	-0.2321397713	-0.1734458071	0.0955270663	0.0047866911	0.0032619964	-0.0309714914	-0.011591752	-0.0071924972	-0.0309714914	-0.011591752	-0.0071924972	-0.029059583	-0.0129659544	-0.0079705976	-0.0119770859	-0.014077113	-0.009061949	-0.0246914165	-0.0275957223	-0.0179385308	nan	0.014836465	-0.5742238479	-0.0049229673	-0.0124287108	-0.0073897946	0.9900399015	0.8913133342	0.7404676278	0.1044737547	0.1135823302	0.0765593185	0.1339967303	0.1143967887	0.0770596854	-0.0251878896	0.0174379659	0.0116723435	-0.0251878896	0.0174379659	0.0116723435	-0.0213949754	0.0121416527	0.007704396	0.009721221	0.0495639875	0.0333765283	7.77E-005	0.0364499474	0.0244150461	-0.0314377643	-0.6917001856
Armadillidium_nasatum	Armadillidium nasatum	16504	734.536476006	780.175387178	0.3873113002	0.0441482178	0.3099762589	0.0690215823	0.2943346171	0.0892105242	-0.0111913091	-0.3136295553	-0.2258603436	0.0962838594	0.0357450699	0.0252056976	nan	0.2781566696	0.185250903	nan	0.2781566696	0.185250903	nan	0.3612470937	0.2440207151	0.136603296	0.2429966282	0.160763184	0.1614187307	0.2930263018	0.193705937	nan	-0.3497575625	-0.9155721545	0.2243600985	0.4620696942	0.3157883244	0.9885413449	0.8363702625	0.6978145717	0.1234632747	0.1346239273	0.0940060258	0.1119540663	0.0982402868	0.0687116816	nan	0.4463092569	0.2394819632	nan	0.4463092569	0.2394819632	nan	0.4946048673	0.2723821895	0.1779001706	0.4246202756	0.2987856271	0.2087311282	0.4883081508	0.3474039686	-0.4878670696	-0.7837497174
Armadillidium_vulgare	Armadillidium vulgare	17440	1051.93067661	994.186908605	0.3839678375	0.047836033	0.3167429339	0.0737607939	0.2928828824	0.0906715551	-0.0113512811	-0.1921076314	-0.1378302302	-0.0034553438	-0.0672570566	-0.0442842221	nan	-0.1362961915	-0.0916831895	nan	-0.1362961915	-0.0916831895	nan	-0.1382040579	-0.094025288	-0.1033314196	-0.1514631466	-0.1014484758	-0.094081848	-0.1439144675	-0.0962135149	nan	0.1014769437	-0.616080489	-0.1220911231	-0.1171705312	-0.0793385428	0.9797316416	0.8922868251	0.7356500735	0.1772098363	0.1898228449	0.1293951744	0.0397208487	0.0245212415	0.017285121	nan	-0.0088774085	-0.3177274594	nan	-0.0088774085	-0.3177274594	nan	-0.0663872498	-0.3106455305	-0.0444882603	-0.0235945207	-0.0165834387	-0.0344469162	-0.0209247937	-0.0155430036	0.0044966878	-0.733310036
Artemia_franciscana	Artemia franciscana	15127	632.089773253	528.261675534	0.4074142879	0.0368060541	0.3414706362	0.0546000385	0.339322704	0.0846168574	-0.0133530978	-0.1091368322	-0.0799819624	0.0745669743	0.0616216012	0.0417877993	-0.1396098904	-0.1105566711	-0.0726040697	-0.1396098904	-0.1105566711	-0.0726040697	-0.1709667862	-0.12790405	-0.0843075652	-0.1502643319	-0.1283588872	-0.0843216592	-0.1394370547	-0.1219938362	-0.0801580413	nan	0.1007973875	-0.9361896503	-0.135296267	-0.1168249147	-0.0759378261	0.9839674079	0.9483171352	0.8276342389	0.162334323	0.1429735209	0.0966333835	0.0621973869	0.0532723479	0.0364454759	-0.1230873418	-0.0542838208	-0.0358227779	-0.1230873418	-0.0542838208	-0.0358227779	-0.1596021741	-0.0809499813	-0.0536885134	-0.1189939603	-0.0574611159	-0.0382009732	-0.0978805546	-0.039823449	-0.0265670282	0.0440404556	-0.7481727735
