dataset	NCBIname	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_CorrectedExpression_GC12	rho_CorrectedExpression_GC12	tau_CorrectedExpression_GC12	r_CorrectedExpression_GC3	rho_CorrectedExpression_GC3	tau_CorrectedExpression_GC3	r_CorrectedExpression_GCutr	rho_CorrectedExpression_GCutr	tau_CorrectedExpression_GCutr	r_CorrectedExpression_NcJN	rho_CorrectedExpression_NcJN	tau_CorrectedExpression_NcJN	r_CorrectedExpression_NcpJN	rho_CorrectedExpression_NcpJN	tau_CorrectedExpression_NcpJN	r_CorrectedExpression_ENccubt	rho_CorrectedExpression_ENccubt	tau_CorrectedExpression_ENccubt	r_CorrectedExpression_ENcPcubt	rho_CorrectedExpression_ENcPcubt	tau_CorrectedExpression_ENcPcubt	r_CorrectedExpression_ENcFDScubt	rho_CorrectedExpression_ENcFDScubt	tau_CorrectedExpression_ENcFDScubt	r_CorrectedExpression_ENcPFDScubt	rho_CorrectedExpression_ENcPFDScubt	tau_CorrectedExpression_ENcPFDScubt	r_CorrectedExpression_Umcubt	rho_CorrectedExpression_Umcubt	tau_CorrectedExpression_Umcubt	r_CorrectedExpression_Ltot	rho_CorrectedExpression_Ltot	tau_CorrectedExpression_Ltot	r_CorrectedExpression_nReads	rho_CorrectedExpression_nReads	tau_CorrectedExpression_nReads	r_nCountedReads_GC12	rho_nCountedReads_GC12	tau_nCountedReads_GC12	r_nCountedReads_GC3	rho_nCountedReads_GC3	tau_nCountedReads_GC3	r_nCountedReads_GCutr	rho_nCountedReads_GCutr	tau_nCountedReads_GCutr	r_nCountedReads_NcJN	rho_nCountedReads_NcJN	tau_nCountedReads_NcJN	r_nCountedReads_NcpJN	rho_nCountedReads_NcpJN	tau_nCountedReads_NcpJN	r_nCountedReads_ENccubt	rho_nCountedReads_ENccubt	tau_nCountedReads_ENccubt	r_nCountedReads_ENcPcubt	rho_nCountedReads_ENcPcubt	tau_nCountedReads_ENcPcubt	r_nCountedReads_ENcFDScubt	rho_nCountedReads_ENcFDScubt	tau_nCountedReads_ENcFDScubt	r_nCountedReads_ENcPFDScubt	rho_nCountedReads_ENcPFDScubt	tau_nCountedReads_ENcPFDScubt	r_nCountedReads_Umcubt	rho_nCountedReads_Umcubt	tau_nCountedReads_Umcubt	r_nCountedReads_Ltot	rho_nCountedReads_Ltot	tau_nCountedReads_Ltot	r_GC3_GCutr	rho_GC3_GCutr	tau_GC3_GCutr
Abatus_agassizi	Abatus__agassizii	11031	632.16164	577.90482	0.49922	0.051	0.47193	0.04971	0.55387	0.11885	0.38055	0.07006	0.00495	-0.16406	-0.11544	0.13473	0.05539	0.03813	nan	-0.53603	-0.98462	-0.09169	-0.00412	-0.00333	-0.08639	-0.00497	-0.00361	nan	0.28321	0.19086	nan	0.3222	0.21889	0.10519	0.27958	0.18737	0.12287	0.28762	0.19261	nan	-0.3188	-0.85437	0.19939	0.40863	0.28011	0.99783	0.95192	0.86118	0.05168	0.0565	0.03919	0.13539	0.05897	0.04169	nan	-0.54471	-1.08893	-0.09513	-0.0176	-0.01259	-0.08805	-0.00872	-0.00625	nan	0.306	0.21384	nan	0.35179	0.24412	0.11119	0.32666	0.22928	0.13259	0.34664	0.24441	nan	-0.35275	-0.81539	0.2033	0.43552	0.31128	nan	-0.03028	-0.99639
Abatus_cordatus	Abatus__cordatus	3765	719.00876	575.31609	0.50665	0.04956	0.47452	0.04923	0.57094	0.10425	0.3672	0.06563	-0.01038	-0.10113	-0.07121	0.20024	0.12006	0.08048	nan	-0.15906	-0.83589	-0.19159	-0.08445	-0.05617	-0.17675	-0.07931	-0.05291	-0.10603	-0.02912	-0.01926	-0.02512	0.03059	0.02027	-0.05967	-0.00142	-0.00109	-0.02853	0.02072	0.01372	nan	-0.07012	-0.90801	0.03742	0.09801	0.06476	0.99882	0.9748	0.88439	0.02505	0.05943	0.0395	0.20557	0.14116	0.09552	nan	-0.14896	-0.62641	-0.19363	-0.09284	-0.0622	-0.17581	-0.07594	-0.05103	-0.1062	-0.0363	-0.02395	-0.02439	0.0275	0.0184	-0.0548	0.00958	0.00644	-0.02306	0.03395	0.02276	nan	-0.0705	-0.57608	0.03755	0.0917	0.06055	nan	-0.00917	-0.7444
Allolobophora_chlorotica_L1	Allolobophora__chlorotica__L1	28979	612.43359	475.77343	0.48222	0.04343	0.46912	0.04873	0.50846	0.09576	0.39901	0.06843	0.00105	-0.16281	-0.1096	0.12645	0.09254	0.06242	nan	-0.42697	-0.99664	-0.07581	-0.01507	-0.01063	-0.09717	-0.04204	-0.02877	nan	0.3053	0.19637	nan	0.30769	0.19818	0.10492	0.28517	0.19044	0.08128	0.26846	0.17879	nan	-0.29547	-0.87052	0.17291	0.41329	0.28274	0.99773	0.95566	0.8632	0.03938	0.02804	0.01988	0.13007	0.10513	0.07324	nan	-0.43574	-1.08887	-0.07714	-0.02234	-0.01601	-0.09393	-0.03702	-0.02649	nan	0.35175	0.13164	nan	0.35696	0.13348	0.11995	0.3485	0.24463	0.09625	0.3312	0.23201	nan	-0.34205	-0.82654	0.18054	0.45647	0.32709	nan	-0.05673	-0.9995
Allolobophora_chlorotica_L2	Allolobophora__chlorotica__L2	50541	492.87994	286.50904	0.48337	0.04525	0.46963	0.05129	0.51093	0.1004	0.40099	0.07774	-0.00083	-0.09487	-0.06525	0.131	0.10649	0.07134	nan	-0.11094	-0.99975	-0.09125	-0.05247	-0.03507	-0.11966	-0.08505	-0.0568	nan	-0.05535	-0.03661	nan	-0.06497	-0.04283	-0.04206	-0.04898	-0.03258	-0.07047	-0.07456	-0.04967	nan	0.02809	-0.94667	-0.00985	0.00174	0.0012	0.99901	0.9879	0.92335	0.03839	0.02786	0.0188	0.12979	0.1103	0.07439	nan	-0.10873	-1.02279	-0.09388	-0.06062	-0.04088	-0.12076	-0.08985	-0.06057	nan	-0.03854	-0.03119	nan	-0.04488	-0.03453	-0.03084	-0.01668	-0.0113	-0.05721	-0.03741	-0.02526	nan	0.00464	-0.72966	-0.00434	0.02039	0.01366	nan	-0.00682	-0.99997
Allolobophora_chlorotica_L4	Allolobophora__chlorotica__L4	21991	630.50098	494.46329	0.48404	0.04248	0.47066	0.04824	0.51082	0.09496	0.39683	0.0678	0.00549	-0.16295	-0.11565	0.13079	0.09691	0.06532	nan	-0.42529	-0.99509	-0.10112	-0.04485	-0.03082	-0.12788	-0.07576	-0.05168	nan	0.294	0.19797	nan	0.29446	0.19819	0.08442	0.27988	0.18639	0.05497	0.26164	0.17412	nan	-0.29063	-0.84307	0.16158	0.41661	0.28457	0.99817	0.95391	0.86377	0.03742	0.03929	0.02767	0.13442	0.11005	0.07706	nan	-0.43236	-1.11953	-0.1007	-0.04457	-0.03198	-0.12256	-0.06349	-0.04563	nan	0.33607	0.15396	nan	0.34072	0.15895	0.09691	0.34098	0.24029	0.06658	0.31883	0.22452	nan	-0.33142	-0.52556	0.16724	0.45208	0.32419	nan	-0.03535	-0.99909
Aporrectodea_icterica	Aporrectodea__icterica	12908	559.39216	468.30458	0.48282	0.0421	0.47016	0.04847	0.50819	0.09594	0.39726	0.06521	-8e-05	-0.19016	-0.13376	0.1407	0.14805	0.09982	nan	-0.44946	-0.99226	-0.08737	-0.03972	-0.02725	-0.10534	-0.07226	-0.04886	nan	0.36898	0.29298	nan	0.36735	0.29098	0.17264	0.35191	0.23508	0.14361	0.32389	0.2155	nan	-0.38633	-0.91703	0.24483	0.50166	0.34454	0.99758	0.94124	0.84047	0.04868	0.06135	0.043	0.1388	0.13929	0.09775	nan	-0.45595	-1.12039	-0.08959	-0.05201	-0.0369	-0.10251	-0.06533	-0.04643	nan	0.4167	0.21205	nan	0.42168	0.21335	0.18781	0.42271	0.29969	0.16072	0.40203	0.28447	nan	-0.4379	-0.62885	0.25182	0.546	0.39551	nan	-0.0759	-0.98352
Aptenodytes_patagonicus	Aptenodytes__patagonicus	4784	898.55832	849.04452	0.46998	0.06222	0.4634	0.05306	0.48315	0.12371	0.39614	0.08033	-0.01032	-0.237	-0.1769	0.09418	0.00244	0.00165	nan	-0.10486	-0.76332	-0.01848	0.03318	0.02238	-0.07493	0.03154	0.02197	-0.03059	-0.01233	-0.00771	-0.02861	-0.0134	-0.00823	-0.01145	-0.01518	-0.00981	-0.02397	-0.0278	-0.01807	nan	0.01385	-0.73026	-0.0039	-0.01312	-0.00781	0.99005	0.89023	0.73909	0.10082	0.11028	0.07426	0.13271	0.11294	0.07601	nan	-0.05499	-0.79115	-0.0268	0.02229	0.01533	-0.09171	-0.03052	-0.02032	-0.0249	0.01614	0.0108	-0.021	0.0111	0.007	0.01017	0.04828	0.03251	0.00076	0.0362	0.02426	nan	-0.0324	-0.79683	-0.00542	0.01565	0.01005	nan	0.3064	-0.71837
Armadillidium_nasatum	Armadillidium__nasatum	15722	697.74259	669.62772	0.38672	0.04428	0.42547	0.05339	0.30909	0.06914	0.29461	0.08943	-0.05452	-0.35938	-0.2581	0.07537	0.01478	0.01091	nan	-0.32631	-0.99851	-0.05182	-0.09244	-0.0617	-0.09338	0.00239	0.00025	nan	0.26367	0.17573	nan	0.35709	0.24128	0.13905	0.22881	0.15151	0.15895	0.27791	0.18371	nan	-0.33762	-0.86749	0.22514	0.44922	0.30694	0.98368	0.81506	0.67345	0.10655	0.12371	0.08642	0.09518	0.08258	0.0577	nan	-0.34943	-1.11559	-0.04335	-0.07417	-0.05157	-0.13252	-0.11081	-0.07853	nan	0.4469	0.03441	nan	0.50248	0.05486	0.18966	0.42696	0.3013	0.21634	0.49096	0.35015	nan	-0.48683	-0.84437	0.24925	0.5901	0.43049	nan	-0.0488	-1.00064
Armadillidium_vulgare	Armadillidium__vulgare	16373	1032.91828	960.55979	0.38395	0.04806	0.41752	0.0547	0.31674	0.07424	0.29312	0.09043	-0.01396	-0.19762	-0.14184	-0.00642	-0.07214	-0.04758	nan	-0.22802	-0.99197	-0.02766	-0.06259	-0.04221	-0.10491	-0.02112	-0.01312	nan	-0.13671	-0.09198	nan	-0.13582	-0.09236	-0.10291	-0.15299	-0.1025	-0.0929	-0.14316	-0.09566	nan	0.10142	-0.68101	-0.11871	-0.11489	-0.07774	0.9796	0.89013	0.73316	0.17531	0.18769	0.12792	0.03742	0.02097	0.01489	nan	-0.26976	-0.97683	-0.00718	-0.00671	-0.00449	-0.15846	-0.13248	-0.08982	nan	-0.01015	-0.00721	nan	-0.0657	-0.04575	-0.04444	-0.02543	-0.01781	-0.03392	-0.02131	-0.01571	nan	0.0054	-0.68631	-0.08936	-0.04097	-0.02877	nan	-0.03552	-0.99618
Artemia_franciscana	Artemia__franciscana	15127	632.08977	528.26168	0.40741	0.03681	0.44032	0.04938	0.34147	0.0546	0.33932	0.08462	-0.01335	-0.10914	-0.07998	0.07457	0.06162	0.04179	nan	-0.08997	-0.99937	0.0073	0.00659	0.00447	-0.07849	-0.03188	-0.02122	-0.13961	-0.11056	-0.0726	-0.17097	-0.1279	-0.08431	-0.15026	-0.12836	-0.08432	-0.13944	-0.12199	-0.08016	nan	0.1008	-0.93619	-0.1353	-0.11682	-0.07594	0.98397	0.94832	0.82763	0.16233	0.14297	0.09663	0.0622	0.05327	0.03645	nan	-0.09591	-1.01146	0.00081	0.00239	0.0017	-0.12686	-0.09743	-0.06636	-0.12309	-0.05428	-0.03582	-0.1596	-0.08095	-0.05369	-0.11899	-0.05746	-0.0382	-0.09788	-0.03982	-0.02657	nan	0.04404	-0.74817	-0.12599	-0.06745	-0.0433	nan	-0.03047	-1.00077
