loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100	281	0.430604982206	188	0.446808510638	93	0.397849462366	74	43.37	46.81	42.55	39.78	40.11	40.77	18.3	18.65	nan	nan	nan	nan	nan	nan	nan	-10.2152503139585
Contig1000	4872	0.424466338259	3248	0.407019704433	1624	0.459359605911	76	42.45	47.6	33.81	45.94	52.03	53.35	26.25	26.42	0.21	968	0.276859504132	968	0.276859504132	nan	nan	-4.70939596039103
Contig1001	1715	0.462390670554	1144	0.462412587413	571	0.46234676007	31	46.29	53.5	38.99	46.23	52.94	53.44	26.6	26.84	0.25	nan	nan	nan	nan	nan	nan	-54.5296942900749
Contig100105	636	0.474842767296	424	0.471698113208	212	0.481132075472	28	47.48	54.25	40.09	48.11	50.2	51.51	24.47	25.16	0.31	66	0.454545454545	66	0.454545454545	nan	nan	-57.8396908003338
Contig10014	1215	0.456790123457	810	0.448148148148	405	0.474074074074	26	45.68	48.4	41.23	47.41	52.52	54.79	27.2	27.87	0.18	122	0.311475409836	122	0.311475409836	nan	nan	-58.3409309455756
Contig10018	573	0.434554973822	382	0.486910994764	191	0.329842931937	44	43.46	57.59	39.79	32.98	43.23	47.16	20.38	23.05	0.34	2162	0.279370952821	2162	0.279370952821	nan	nan	-43.4329791707323
Contig10021	1121	0.459411239964	748	0.470588235294	373	0.436997319035	31	46.02	55.61	38.5	43.7	45.16	46.03	21.27	20.95	0.42	230	0.35652173913	nan	nan	230	0.35652173913	-54.7895383910961
Contig10025	1002	0.388223552894	668	0.389221556886	334	0.38622754491	28	38.82	44.91	32.93	38.62	48.09	50.06	23.8	24.9	0.3	532	0.404135338346	532	0.404135338346	nan	nan	-50.2810143064147
Contig100270	204	0.308823529412	136	0.308823529412	68	0.308823529412	31	30.88	36.76	25	30.88	34.84	35.96	14.16	12.94	nan	1018	0.310412573674	nan	nan	1018	0.310412573674	-49.7875627373776
Contig100289	546	0.382783882784	364	0.381868131868	182	0.384615384615	58	38.28	47.8	28.57	38.46	43.27	46.04	20.74	22.26	0.32	42	0.285714285714	42	0.285714285714	nan	nan	-19.7834163030467
Contig1003	432	0.4375	288	0.458333333333	144	0.395833333333	26	43.75	48.61	43.06	39.58	45.35	46.72	22.88	23.02	0.31	1804	0.266629711752	1804	0.266629711752	nan	nan	-59.3368935579134
Contig10037	933	0.43729903537	622	0.469453376206	311	0.372990353698	79	43.73	53.05	40.84	37.3	44.31	47.35	21.89	23.85	0.31	622	0.344051446945	622	0.344051446945	nan	nan	-6.74361217569447
Contig10042	1619	0.452130945028	1080	0.421296296296	539	0.513914656772	31	45.27	56.85	27.41	51.39	49.34	47.89	25.28	23.26	0.27	nan	nan	nan	nan	nan	nan	-51.7385552022221
Contig10046	627	0.3668261563	418	0.406698564593	209	0.287081339713	141	36.68	46.89	34.45	28.71	42.27	48.2	21.28	22.96	0.28	15058	0.30787621198	14934	0.308021963305	124	0.290322580645	60.3399840053919
Contig100462	318	0.393081761006	212	0.382075471698	106	0.415094339623	32	39.31	46.23	30.19	41.51	43.14	46.45	19.17	21.83	0.22	130	0.446153846154	130	0.446153846154	nan	nan	-45.7950507218936
Contig100469	429	0.431235431235	286	0.398601398601	143	0.496503496503	26	43.12	51.05	28.67	49.65	42.11	42.13	18.47	17.89	0.48	76	0.473684210526	76	0.473684210526	nan	nan	-53.3486987404632
Contig100471	798	0.393483709273	532	0.383458646617	266	0.413533834586	57	39.35	45.49	31.2	41.35	49.57	51.06	23.68	24.25	0.33	1066	0.328330206379	1066	0.328330206379	nan	nan	-20.8761764664734
Contig10049	336	0.419642857143	224	0.415178571429	112	0.428571428571	200	41.96	46.43	36.61	42.86	37.62	39.31	15.23	16.93	0.31	1728	0.304976851852	1728	0.304976851852	nan	nan	118.145187953946
Contig1005	489	0.478527607362	326	0.463190184049	163	0.509202453988	28	47.85	57.67	34.97	50.92	43.34	42.72	19.54	19.35	0.46	304	0.322368421053	304	0.322368421053	nan	nan	-57.5506812933014
Contig10050	678	0.498525073746	452	0.477876106195	226	0.53982300885	245	49.85	55.31	40.27	53.98	46.1	48.71	22.53	23.56	0.36	434	0.225806451613	368	0.184782608696	66	0.454545454545	158.751028389619
Contig10059	1514	0.431968295905	1010	0.464356435644	504	0.367063492063	56	43.25	52.48	40.4	36.71	45.65	49.39	23.73	25.02	0.28	nan	nan	nan	nan	nan	nan	-29.5823054019573
Contig100785	228	0.333333333333	152	0.342105263158	76	0.315789473684	36	33.33	36.84	31.58	31.58	34.03	36.01	14.55	16.52	nan	174	0.206896551724	nan	nan	174	0.206896551724	-41.8525730406468
Contig1008	303	0.438943894389	202	0.430693069307	101	0.455445544554	345	43.89	53.47	32.67	45.54	37.64	39.16	18.63	18.17	0.49	2052	0.353313840156	1236	0.297734627832	816	0.4375	261.617813863644
Contig100855	390	0.664102564103	260	0.576923076923	130	0.838461538462	122	66.41	61.54	53.85	83.85	32.3	42.41	15.36	24.14	0.34	1656	0.51690821256	1656	0.51690821256	nan	nan	25.0567483508717
Contig100883	798	0.380952380952	532	0.377819548872	266	0.387218045113	57	38.1	43.98	31.58	38.72	46.44	52.38	21.84	25.73	0.22	536	0.317164179104	536	0.317164179104	nan	nan	-20.5833949025563
