loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig18369	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig38977	nan	nan	nan	nan	nan	nan
Contig38971	728	0.320054945055	728	0.320054945055	nan	nan
Contig38972	156	0.294871794872	156	0.294871794872	nan	nan
Contig60549	624	0.379807692308	624	0.379807692308	nan	nan
Contig60540	140	0.357142857143	nan	nan	140	0.357142857143
Contig18450	476	0.352941176471	338	0.343195266272	138	0.376811594203
Contig18457	nan	nan	nan	nan	nan	nan
Contig15299	4594	0.304309969525	4594	0.304309969525	nan	nan
Contig10669	nan	nan	nan	nan	nan	nan
Contig15294	nan	nan	nan	nan	nan	nan
Contig15291	nan	nan	nan	nan	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig155141	nan	nan	nan	nan	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig112927	nan	nan	nan	nan	nan	nan
Contig11134	1282	0.209828393136	1264	0.20253164557	nan	nan
Contig112925	nan	nan	nan	nan	nan	nan
Contig112921	nan	nan	nan	nan	nan	nan
Contig11132	178	0.297752808989	178	0.297752808989	nan	nan
Contig99398	nan	nan	nan	nan	nan	nan
Contig259863	nan	nan	nan	nan	nan	nan
Contig8004	nan	nan	nan	nan	nan	nan
Contig8000	42	0.0952380952381	42	0.0952380952381	nan	nan
Contig57713	146	0.397260273973	46	0.0434782608696	100	0.56
Contig188648	nan	nan	nan	nan	nan	nan
Contig53629	nan	nan	nan	nan	nan	nan
Contig89500	nan	nan	nan	nan	nan	nan
Contig89503	nan	nan	nan	nan	nan	nan
Contig53620	nan	nan	nan	nan	nan	nan
Contig53627	2936	0.284059945504	2936	0.284059945504	nan	nan
Contig53624	28	0.214285714286	28	0.214285714286	nan	nan
Contig69148	nan	nan	nan	nan	nan	nan
Contig63168	nan	nan	nan	nan	nan	nan
Contig31447	nan	nan	nan	nan	nan	nan
Contig69142	382	0.277486910995	274	0.273722627737	108	0.287037037037
Contig69141	nan	nan	nan	nan	nan	nan
Contig63164	184	0.29347826087	176	0.295454545455	nan	nan
Contig31440	112	0.285714285714	112	0.285714285714	nan	nan
Contig23834	610	0.296721311475	610	0.296721311475	nan	nan
Contig35354	nan	nan	nan	nan	nan	nan
Contig15834	nan	nan	nan	nan	nan	nan
Contig15836	nan	nan	nan	nan	nan	nan
Contig15837	86	0.372093023256	86	0.372093023256	nan	nan
Contig19328	nan	nan	nan	nan	nan	nan
Contig19329	88	0.329545454545	88	0.329545454545	nan	nan
Contig19320	572	0.374125874126	nan	nan	572	0.374125874126
Contig19321	6546	0.320042774213	6546	0.320042774213	nan	nan
Contig19322	nan	nan	nan	nan	nan	nan
Contig83591	nan	nan	nan	nan	nan	nan
Contig69415	296	0.375	nan	nan	296	0.375
Contig48054	74	0.513513513514	nan	nan	74	0.513513513514
Contig48055	nan	nan	nan	nan	nan	nan
Contig48056	nan	nan	nan	nan	nan	nan
Contig48057	nan	nan	nan	nan	nan	nan
Contig48053	nan	nan	nan	nan	nan	nan
Contig17472	76	0.197368421053	76	0.197368421053	nan	nan
Contig17473	nan	nan	nan	nan	nan	nan
Contig17470	nan	nan	nan	nan	nan	nan
Contig17471	nan	nan	nan	nan	nan	nan
Contig17477	nan	nan	nan	nan	nan	nan
Contig72895	nan	nan	nan	nan	nan	nan
Contig17478	nan	nan	nan	nan	nan	nan
Contig17479	nan	nan	nan	nan	nan	nan
Contig72891	nan	nan	nan	nan	nan	nan
Contig17485	nan	nan	nan	nan	nan	nan
Contig110275	nan	nan	nan	nan	nan	nan
Contig2725	nan	nan	nan	nan	nan	nan
Contig2724	nan	nan	nan	nan	nan	nan
Contig2726	314	0.292993630573	314	0.292993630573	nan	nan
Contig2721	368	0.350543478261	368	0.350543478261	nan	nan
Contig74722	3770	0.299734748011	3770	0.299734748011	nan	nan
Contig184938	nan	nan	nan	nan	nan	nan
Contig9841	nan	nan	nan	nan	nan	nan
Contig67099	nan	nan	nan	nan	nan	nan
Contig9845	332	0.328313253012	332	0.328313253012	nan	nan
Contig9844	nan	nan	nan	nan	nan	nan
Contig9848	nan	nan	nan	nan	nan	nan
Contig67095	578	0.354671280277	578	0.354671280277	nan	nan
Contig224966	nan	nan	nan	nan	nan	nan
Contig72764	178	0.174157303371	178	0.174157303371	nan	nan
Contig86418	nan	nan	nan	nan	nan	nan
Contig86417	nan	nan	nan	nan	nan	nan
Contig86414	nan	nan	nan	nan	nan	nan
Contig86412	44	0.454545454545	nan	nan	44	0.454545454545
Contig86410	nan	nan	nan	nan	nan	nan
Contig2096	30	0.333333333333	nan	nan	30	0.333333333333
Contig2093	234	0.380341880342	234	0.380341880342	nan	nan
Contig289465	nan	nan	nan	nan	nan	nan
Contig2091	nan	nan	nan	nan	nan	nan
Contig2098	nan	nan	nan	nan	nan	nan
Contig37849	nan	nan	nan	nan	nan	nan
Contig37848	44	0.227272727273	nan	nan	44	0.227272727273
