loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig158640	366	0.472677595628	244	0.524590163934	122	0.368852459016	7	47.27	61.48	43.44	36.89	38.82	41.00	19.03	22.64	0.32
Contig158641	486	0.481481481481	324	0.490740740741	162	0.462962962963	7	48.15	59.26	38.89	46.30	47.37	47.91	24.61	25.01	0.30
Contig148339	2481	0.482466747279	1654	0.477025392987	827	0.493349455865	18	48.25	54.90	40.51	49.33	53.67	54.80	26.54	27.10	0.22
Contig38979	204	0.475490196078	136	0.448529411765	68	0.529411764706	11	47.55	52.94	36.76	52.94	36.19	38.33	14.77	16.41	nan
Contig148334	671	0.466467958271	448	0.502232142857	223	0.394618834081	7	46.79	45.98	54.46	39.46	50.97	51.69	26.93	26.63	0.20
Contig38976	411	0.474452554745	274	0.478102189781	137	0.467153284672	26	47.45	45.26	50.36	46.72	46.08	45.12	22.72	22.59	0.30
Contig18450	1943	0.485331960885	1296	0.486111111111	647	0.483771251932	13	48.58	57.41	39.81	48.38	56.26	56.60	29.16	29.44	0.16
Contig18456	933	0.425509110397	622	0.435691318328	311	0.405144694534	23	42.55	52.41	34.73	40.51	50.96	53.39	23.72	24.68	0.27
Contig152494	926	0.496760259179	618	0.559870550162	308	0.37012987013	9	49.78	54.69	57.28	37.01	47.49	50.79	25.57	27.93	0.22
Contig15299	2250	0.453777777778	1500	0.438	750	0.485333333333	15	45.38	53.87	33.73	48.53	56.65	57.58	29.92	29.93	0.15
Contig10665	327	0.464831804281	218	0.463302752294	109	0.467889908257	18	46.48	46.79	45.87	46.79	44.33	44.88	22.31	21.88	0.29
Contig10663	1632	0.424632352941	1088	0.417279411765	544	0.439338235294	26	42.46	49.26	34.19	43.93	50.52	52.70	24.87	26.18	0.24
Contig10661	825	0.478787878788	550	0.46	275	0.516363636364	49	47.88	50.18	41.82	51.64	53.76	54.03	27.89	27.57	0.19
Contig158390	1739	0.514088556642	1160	0.536206896552	579	0.469775474957	16	51.47	54.14	53.10	46.98	54.50	55.62	28.39	28.34	0.20
Contig11139	3873	0.508649625613	2582	0.452362509682	1291	0.621223857475	91	50.86	60.81	29.67	62.12	49.74	52.54	25.60	26.92	0.14
