loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig20667	36	0.25	nan	nan	36	0.25
Contig18368	128	0.390625	nan	nan	128	0.390625
Contig18458	nan	nan	nan	nan	nan	nan
Contig18451	312	0.352564102564	312	0.352564102564	nan	nan
Contig18450	nan	nan	nan	nan	nan	nan
Contig18454	nan	nan	nan	nan	nan	nan
Contig18456	688	0.311046511628	688	0.311046511628	nan	nan
Contig10667	nan	nan	nan	nan	nan	nan
Contig10664	nan	nan	nan	nan	nan	nan
Contig15290	nan	nan	nan	nan	nan	nan
Contig10663	268	0.272388059701	268	0.272388059701	nan	nan
Contig15292	nan	nan	nan	nan	nan	nan
Contig15293	1890	0.402116402116	1212	0.397689768977	678	0.410029498525
Contig158393	nan	nan	nan	nan	nan	nan
Contig155144	nan	nan	nan	nan	nan	nan
Contig158397	nan	nan	nan	nan	nan	nan
Contig158395	nan	nan	nan	nan	nan	nan
Contig11135	272	0.275735294118	nan	nan	272	0.275735294118
Contig11133	184	0.380434782609	184	0.380434782609	nan	nan
Contig8008	nan	nan	nan	nan	nan	nan
Contig8009	262	0.370229007634	226	0.384955752212	36	0.277777777778
Contig8006	914	0.363238512035	914	0.363238512035	nan	nan
Contig160448	38	0.263157894737	38	0.263157894737	nan	nan
Contig139836	nan	nan	nan	nan	nan	nan
Contig139830	nan	nan	nan	nan	nan	nan
Contig53626	252	0.373015873016	nan	nan	252	0.373015873016
Contig69149	nan	nan	nan	nan	nan	nan
Contig31448	96	0.3125	96	0.3125	nan	nan
Contig31447	nan	nan	nan	nan	nan	nan
Contig88671	nan	nan	nan	nan	nan	nan
Contig31445	nan	nan	nan	nan	nan	nan
Contig63163	82	0.317073170732	82	0.317073170732	nan	nan
Contig31440	nan	nan	nan	nan	nan	nan
Contig23839	nan	nan	nan	nan	nan	nan
Contig23838	nan	nan	nan	nan	nan	nan
Contig35359	nan	nan	nan	nan	nan	nan
Contig35358	nan	nan	nan	nan	nan	nan
Contig35357	nan	nan	nan	nan	nan	nan
Contig35354	268	0.350746268657	268	0.350746268657	nan	nan
Contig35353	nan	nan	nan	nan	nan	nan
Contig23830	nan	nan	nan	nan	nan	nan
Contig35351	nan	nan	nan	nan	nan	nan
Contig35350	nan	nan	nan	nan	nan	nan
Contig15839	nan	nan	nan	nan	nan	nan
Contig38977	2972	0.300134589502	2912	0.298763736264	60	0.366666666667
Contig122461	nan	nan	nan	nan	nan	nan
Contig15832	140	0.342857142857	140	0.342857142857	nan	nan
Contig15833	nan	nan	nan	nan	nan	nan
Contig74497	nan	nan	nan	nan	nan	nan
Contig15836	nan	nan	nan	nan	nan	nan
Contig19328	nan	nan	nan	nan	nan	nan
Contig19329	nan	nan	nan	nan	nan	nan
Contig19320	nan	nan	nan	nan	nan	nan
Contig19326	362	0.314917127072	362	0.314917127072	nan	nan
Contig19327	nan	nan	nan	nan	nan	nan
Contig48055	nan	nan	nan	nan	nan	nan
Contig48051	nan	nan	nan	nan	nan	nan
Contig48053	1590	0.301886792453	1590	0.301886792453	nan	nan
Contig17473	nan	nan	nan	nan	nan	nan
Contig17470	nan	nan	nan	nan	nan	nan
Contig17471	454	0.277533039648	454	0.277533039648	nan	nan
Contig17477	nan	nan	nan	nan	nan	nan
Contig17475	nan	nan	nan	nan	nan	nan
Contig118445	276	0.304347826087	276	0.304347826087	nan	nan
Contig2729	96	0.333333333333	nan	nan	96	0.333333333333
Contig110273	nan	nan	nan	nan	nan	nan
Contig154433	nan	nan	nan	nan	nan	nan
Contig2726	2170	0.352534562212	2170	0.352534562212	nan	nan
Contig2721	nan	nan	nan	nan	nan	nan
Contig2720	32	0.28125	32	0.28125	nan	nan
Contig2723	154	0.337662337662	nan	nan	154	0.337662337662
Contig2722	nan	nan	nan	nan	nan	nan
Contig9841	406	0.330049261084	360	0.338888888889	46	0.260869565217
Contig9843	nan	nan	nan	nan	nan	nan
Contig9842	184	0.336956521739	nan	nan	184	0.336956521739
Contig9845	nan	nan	nan	nan	nan	nan
Contig9844	274	0.35401459854	nan	nan	274	0.35401459854
Contig9847	82	0.317073170732	nan	nan	82	0.317073170732
Contig9846	194	0.319587628866	nan	nan	194	0.319587628866
Contig86418	nan	nan	nan	nan	nan	nan
Contig2097	238	0.231092436975	238	0.231092436975	nan	nan
Contig2096	272	0.279411764706	272	0.279411764706	nan	nan
Contig2095	812	0.305418719212	812	0.305418719212	nan	nan
Contig2094	nan	nan	nan	nan	nan	nan
Contig2092	nan	nan	nan	nan	nan	nan
Contig2091	nan	nan	nan	nan	nan	nan
Contig2090	nan	nan	nan	nan	nan	nan
Contig139169	nan	nan	nan	nan	nan	nan
Contig2099	438	0.342465753425	438	0.342465753425	nan	nan
Contig37840	nan	nan	nan	nan	nan	nan
Contig37842	nan	nan	nan	nan	nan	nan
Contig37847	nan	nan	nan	nan	nan	nan
Contig123732	390	0.317948717949	324	0.320987654321	66	0.30303030303
Contig123737	nan	nan	nan	nan	nan	nan
Contig64670	106	0.396226415094	106	0.396226415094	nan	nan
Contig67324	nan	nan	nan	nan	nan	nan
Contig67320	nan	nan	nan	nan	nan	nan
Contig82245	nan	nan	nan	nan	nan	nan
Contig62789	nan	nan	nan	nan	nan	nan
Contig15291	40	0.325	40	0.325	nan	nan
Contig157169	nan	nan	nan	nan	nan	nan
Contig3998	nan	nan	nan	nan	nan	nan
Contig155141	nan	nan	nan	nan	nan	nan
Contig140568	nan	nan	nan	nan	nan	nan
Contig107171	nan	nan	nan	nan	nan	nan
Contig107175	nan	nan	nan	nan	nan	nan
Contig105996	nan	nan	nan	nan	nan	nan
Contig8828	nan	nan	nan	nan	nan	nan
Contig107289	nan	nan	nan	nan	nan	nan
Contig8820	nan	nan	nan	nan	nan	nan
Contig107281	394	0.324873096447	394	0.324873096447	nan	nan
Contig8822	nan	nan	nan	nan	nan	nan
Contig107283	nan	nan	nan	nan	nan	nan
Contig8825	436	0.252293577982	436	0.252293577982	nan	nan
Contig8826	nan	nan	nan	nan	nan	nan
Contig65259	nan	nan	nan	nan	nan	nan
Contig73387	26	0.307692307692	26	0.307692307692	nan	nan
Contig137838	nan	nan	nan	nan	nan	nan
Contig24702	nan	nan	nan	nan	nan	nan
Contig24708	nan	nan	nan	nan	nan	nan
Contig24709	nan	nan	nan	nan	nan	nan
Contig104481	nan	nan	nan	nan	nan	nan
Contig63959	nan	nan	nan	nan	nan	nan
Contig45030	nan	nan	nan	nan	nan	nan
Contig45034	nan	nan	nan	nan	nan	nan
Contig159257	nan	nan	nan	nan	nan	nan
Contig41903	nan	nan	nan	nan	nan	nan
Contig103109	nan	nan	nan	nan	nan	nan
