loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16129	nan	nan	nan	nan	nan	nan
Contig16128	162	0.530864197531	162	0.530864197531	nan	nan
Contig16126	nan	nan	nan	nan	nan	nan
Contig50591	582	0.371134020619	582	0.371134020619	nan	nan
Contig82765	nan	nan	nan	nan	nan	nan
Contig38975	nan	nan	nan	nan	nan	nan
Contig38976	nan	nan	nan	nan	nan	nan
Contig35748	nan	nan	nan	nan	nan	nan
Contig79548	nan	nan	nan	nan	nan	nan
Contig12807	230	0.565217391304	230	0.565217391304	nan	nan
Contig12802	nan	nan	nan	nan	nan	nan
Contig67482	nan	nan	nan	nan	nan	nan
Contig71718	272	0.492647058824	272	0.492647058824	nan	nan
Contig71717	nan	nan	nan	nan	nan	nan
Contig10667	nan	nan	nan	nan	nan	nan
Contig15296	1166	0.415951972556	1166	0.415951972556	nan	nan
Contig10665	598	0.374581939799	598	0.374581939799	nan	nan
Contig15292	nan	nan	nan	nan	nan	nan
Contig69852	nan	nan	nan	nan	nan	nan
Contig70006	nan	nan	nan	nan	nan	nan
Contig401	5352	0.4572122571	4476	0.451519213584	876	0.486301369863
Contig405	486	0.539094650206	486	0.539094650206	nan	nan
Contig407	nan	nan	nan	nan	nan	nan
Contig79721	1886	0.439024390244	1886	0.439024390244	nan	nan
Contig56956	nan	nan	nan	nan	nan	nan
Contig37422	424	0.36320754717	424	0.36320754717	nan	nan
Contig28048	nan	nan	nan	nan	nan	nan
Contig53152	nan	nan	nan	nan	nan	nan
Contig69149	nan	nan	nan	nan	nan	nan
Contig63166	nan	nan	nan	nan	nan	nan
Contig31445	336	0.443452380952	336	0.443452380952	nan	nan
Contig63162	nan	nan	nan	nan	nan	nan
Contig69145	nan	nan	nan	nan	nan	nan
Contig24280	nan	nan	nan	nan	nan	nan
Contig60157	1570	0.494267515924	1570	0.494267515924	nan	nan
Contig57671	40	0.35	nan	nan	40	0.35
Contig41937	nan	nan	nan	nan	nan	nan
Contig57674	nan	nan	nan	nan	nan	nan
Contig57900	nan	nan	nan	nan	nan	nan
Contig57678	nan	nan	nan	nan	nan	nan
Contig45228	nan	nan	nan	nan	nan	nan
Contig45229	nan	nan	nan	nan	nan	nan
Contig46030	nan	nan	nan	nan	nan	nan
Contig46031	nan	nan	nan	nan	nan	nan
Contig46038	nan	nan	nan	nan	nan	nan
Contig6398	nan	nan	nan	nan	nan	nan
Contig43779	nan	nan	nan	nan	nan	nan
Contig83596	nan	nan	nan	nan	nan	nan
Contig48056	nan	nan	nan	nan	nan	nan
Contig43777	nan	nan	nan	nan	nan	nan
Contig48050	nan	nan	nan	nan	nan	nan
Contig72899	2052	0.539961013645	2052	0.539961013645	nan	nan
Contig21881	nan	nan	nan	nan	nan	nan
Contig74728	nan	nan	nan	nan	nan	nan
Contig2899	nan	nan	nan	nan	nan	nan
Contig2896	290	0.68275862069	290	0.68275862069	nan	nan
Contig2895	nan	nan	nan	nan	nan	nan
Contig2894	566	0.484098939929	566	0.484098939929	nan	nan
Contig74721	nan	nan	nan	nan	nan	nan
Contig2890	136	0.367647058824	136	0.367647058824	nan	nan
Contig3418	nan	nan	nan	nan	nan	nan
Contig76866	nan	nan	nan	nan	nan	nan
Contig3415	120	0.483333333333	nan	nan	118	0.491525423729
Contig3417	nan	nan	nan	nan	nan	nan
Contig3413	1452	0.370523415978	1452	0.370523415978	nan	nan
Contig72096	nan	nan	nan	nan	nan	nan
Contig36462	38	0.315789473684	38	0.315789473684	nan	nan
Contig36463	nan	nan	nan	nan	nan	nan
Contig2097	nan	nan	nan	nan	nan	nan
Contig2096	282	0.560283687943	282	0.560283687943	nan	nan
Contig2095	74	0.567567567568	74	0.567567567568	nan	nan
Contig2093	nan	nan	nan	nan	nan	nan
Contig2092	nan	nan	nan	nan	nan	nan
Contig2090	nan	nan	nan	nan	nan	nan
Contig66416	1236	0.367313915858	1236	0.367313915858	nan	nan
Contig55419	nan	nan	nan	nan	nan	nan
Contig2098	nan	nan	nan	nan	nan	nan
Contig18285	nan	nan	nan	nan	nan	nan
Contig28703	nan	nan	nan	nan	nan	nan
Contig40880	nan	nan	nan	nan	nan	nan
Contig20288	1488	0.415322580645	1488	0.415322580645	nan	nan
Contig84366	nan	nan	nan	nan	nan	nan
Contig33164	nan	nan	nan	nan	nan	nan
Contig33163	nan	nan	nan	nan	nan	nan
Contig67320	nan	nan	nan	nan	nan	nan
Contig59421	400	0.62	400	0.62	nan	nan
Contig42822	nan	nan	nan	nan	nan	nan
Contig39445	nan	nan	nan	nan	nan	nan
Contig22538	894	0.463087248322	894	0.463087248322	nan	nan
Contig55735	nan	nan	nan	nan	nan	nan
Contig2689	nan	nan	nan	nan	nan	nan
Contig18213	nan	nan	nan	nan	nan	nan
Contig18211	nan	nan	nan	nan	nan	nan
Contig20752	478	0.322175732218	478	0.322175732218	nan	nan
Contig40084	nan	nan	nan	nan	nan	nan
Contig44508	nan	nan	nan	nan	nan	nan
Contig49820	nan	nan	nan	nan	nan	nan
Contig44507	nan	nan	nan	nan	nan	nan
Contig49824	nan	nan	nan	nan	nan	nan
Contig987	nan	nan	nan	nan	nan	nan
Contig980	nan	nan	nan	nan	nan	nan
Contig981	48	0.416666666667	48	0.416666666667	nan	nan
Contig983	nan	nan	nan	nan	nan	nan
Contig988	nan	nan	nan	nan	nan	nan
Contig8398	152	0.5	152	0.5	nan	nan
Contig188	2108	0.4444971537	532	0.424812030075	1576	0.45114213198
Contig35912	nan	nan	nan	nan	nan	nan
Contig184	2904	0.610537190083	1700	0.590588235294	1204	0.638704318937
Contig21392	108	0.351851851852	108	0.351851851852	nan	nan
Contig182	1440	0.440277777778	1440	0.440277777778	nan	nan
Contig183	nan	nan	nan	nan	nan	nan
Contig65257	nan	nan	nan	nan	nan	nan
Contig27933	nan	nan	nan	nan	nan	nan
Contig27936	nan	nan	nan	nan	nan	nan
Contig73386	nan	nan	nan	nan	nan	nan
Contig51144	nan	nan	nan	nan	nan	nan
Contig23227	nan	nan	nan	nan	nan	nan
Contig24700	244	0.409836065574	244	0.409836065574	nan	nan
Contig52145	nan	nan	nan	nan	nan	nan
Contig52147	nan	nan	nan	nan	nan	nan
Contig81264	nan	nan	nan	nan	nan	nan
Contig360	2770	0.60036101083	1872	0.60844017094	898	0.583518930958
Contig361	nan	nan	nan	nan	nan	nan
Contig363	3904	0.331711065574	3904	0.331711065574	nan	nan
Contig364	958	0.332985386221	958	0.332985386221	nan	nan
Contig366	526	0.444866920152	526	0.444866920152	nan	nan
Contig367	198	0.484848484848	nan	nan	198	0.484848484848
