loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig1863	469	0.360341151386	313	0.41214057508	156	0.25641025641	9	36.11	49.04	33.33	25.64	34.65	42.34	15.65	17.60	0.49
Contig1862	1542	0.454604409857	1028	0.470817120623	514	0.422178988327	34	45.46	55.25	38.91	42.22	48.67	51.74	24.41	27.23	0.20
Contig15582	375	0.496	250	0.448	125	0.592	17	49.60	46.40	43.20	59.20	42.53	44.25	20.84	21.57	0.39
Contig15583	200	0.405	134	0.39552238806	66	0.424242424242	7	40.91	46.27	32.84	42.42	35.95	36.51	16.22	16.96	nan
Contig15584	327	0.376146788991	218	0.44495412844	109	0.238532110092	8	37.61	49.54	39.45	23.85	38.67	44.69	18.84	20.70	0.28
Contig1866	1005	0.468656716418	670	0.413432835821	335	0.579104477612	39	46.87	44.78	37.91	57.91	49.34	50.18	23.93	24.94	0.24
Contig15586	240	0.391666666667	160	0.425	80	0.325	5	39.17	51.25	33.75	32.50	36.43	41.31	15.26	16.35	nan
Contig1864	453	0.353200883002	302	0.364238410596	151	0.331125827815	9	35.32	37.75	35.10	33.11	38.69	46.43	17.44	19.91	0.45
Contig16127	321	0.395638629283	214	0.406542056075	107	0.373831775701	6	39.56	47.66	33.64	37.38	41.81	43.78	20.87	21.86	0.32
Contig14027	351	0.504273504274	234	0.478632478632	117	0.555555555556	10	50.43	53.85	41.88	55.56	41.93	44.10	17.54	19.50	0.50
Contig1869	726	0.47520661157	484	0.47520661157	242	0.47520661157	63	47.52	53.31	41.74	47.52	49.08	48.76	24.57	25.05	0.28
Contig1868	225	0.422222222222	150	0.48	75	0.306666666667	6	42.22	54.67	41.33	30.67	35.28	36.15	16.07	18.44	nan
Contig16532	249	0.425702811245	166	0.415662650602	83	0.44578313253	6	42.57	53.01	30.12	44.58	37.10	35.44	16.31	13.91	nan
Contig12247	323	0.359133126935	216	0.337962962963	107	0.401869158879	4	36.14	41.67	25.93	40.19	40.30	41.14	17.71	18.28	0.45
Contig15342	501	0.469061876248	334	0.532934131737	167	0.341317365269	19	46.91	52.10	54.49	34.13	44.58	48.43	21.46	24.36	0.31
Contig15612	450	0.462222222222	300	0.416666666667	150	0.553333333333	11	46.22	45.33	38.00	55.33	41.35	41.30	21.68	21.05	0.36
Contig16245	861	0.383275261324	574	0.41637630662	287	0.317073170732	23	38.33	47.39	35.89	31.71	43.05	48.95	21.00	25.73	0.28
Contig15614	366	0.366120218579	244	0.41393442623	122	0.270491803279	5	36.61	49.18	33.61	27.05	40.21	46.35	19.71	22.05	0.35
Contig7608	264	0.412878787879	176	0.357954545455	88	0.522727272727	9	41.29	45.45	26.14	52.27	39.18	41.08	17.73	19.37	nan
Contig15616	372	0.524193548387	248	0.391129032258	124	0.790322580645	8	52.42	42.74	35.48	79.03	36.53	43.45	17.20	20.16	0.37
Contig7605	324	0.425925925926	216	0.425925925926	108	0.425925925926	11	42.59	51.85	33.33	42.59	38.35	38.32	16.44	15.68	0.31
Contig9444	270	0.340740740741	180	0.4	90	0.222222222222	20	34.07	47.78	32.22	22.22	33.76	39.85	13.87	19.26	nan
Contig21839	387	0.509043927649	258	0.503875968992	129	0.519379844961	13	50.90	59.69	41.09	51.94	46.63	46.77	23.58	24.02	0.31
Contig19096	228	0.44298245614	152	0.401315789474	76	0.526315789474	7	44.30	36.84	43.42	52.63	34.58	34.04	16.13	16.49	nan
Contig20149	288	0.440972222222	192	0.458333333333	96	0.40625	37	44.10	54.17	37.50	40.62	41.42	45.11	21.38	23.33	nan
Contig15585	308	0.457792207792	206	0.538834951456	102	0.294117647059	7	46.08	68.93	38.83	29.41	41.62	47.59	22.59	24.16	0.24
Contig575	468	0.369658119658	312	0.397435897436	156	0.314102564103	9	36.97	48.08	31.41	31.41	41.28	47.70	20.00	23.53	0.27
Contig19103	312	0.371794871795	208	0.346153846154	104	0.423076923077	7	37.18	40.38	28.85	42.31	41.88	43.47	21.82	21.56	0.30
Contig12808	204	0.372549019608	136	0.382352941176	68	0.352941176471	3	37.25	42.65	33.82	35.29	33.84	38.46	15.77	14.88	nan
Contig570	692	0.368497109827	462	0.409090909091	230	0.286956521739	11	36.96	50.65	31.17	28.70	40.47	47.30	18.90	21.82	0.38
Contig573	543	0.460405156538	362	0.441988950276	181	0.497237569061	9	46.04	55.80	32.60	49.72	47.34	47.84	22.30	22.31	0.38
Contig1467	993	0.430010070493	662	0.438066465257	331	0.413897280967	40	43.00	51.36	36.25	41.39	50.79	52.78	25.72	26.92	0.24
Contig9286	270	0.448148148148	180	0.466666666667	90	0.411111111111	9	44.81	47.78	45.56	41.11	44.21	49.41	22.78	24.03	nan
Contig1465	651	0.353302611367	434	0.384792626728	217	0.290322580645	10	35.33	45.62	31.34	29.03	41.56	50.43	21.87	25.82	0.26
Contig1464	960	0.465625	640	0.4359375	320	0.525	37	46.56	51.25	35.94	52.50	51.51	51.06	26.42	26.25	0.26
Contig579	279	0.440860215054	186	0.510752688172	93	0.301075268817	9	44.09	52.69	49.46	30.11	34.49	39.78	16.42	20.72	nan
Contig1462	2703	0.375508694044	1802	0.426193118757	901	0.274139844617	42	37.55	48.17	37.07	27.41	45.71	54.85	22.62	27.64	0.25
