loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29709	1028	0.528210116732	142	0.394366197183	886	0.549661399549
Contig80013	400	0.375	400	0.375	nan	nan
Contig16127	1884	0.498938428875	nan	nan	1884	0.498938428875
Contig29704	848	0.281839622642	nan	nan	848	0.281839622642
Contig29707	nan	nan	nan	nan	nan	nan
Contig16124	248	0.572580645161	nan	nan	248	0.572580645161
Contig29700	216	0.675925925926	nan	nan	216	0.675925925926
Contig29703	1604	0.468204488778	1604	0.468204488778	nan	nan
Contig43249	1362	0.405286343612	1306	0.410413476263	56	0.285714285714
Contig72780	nan	nan	nan	nan	nan	nan
Contig17555	11436	0.440451206716	10468	0.435899885365	968	0.489669421488
Contig26823	68	0.441176470588	68	0.441176470588	nan	nan
Contig26825	3706	0.38478143551	3706	0.38478143551	nan	nan
Contig104027	636	0.408805031447	480	0.370833333333	156	0.525641025641
Contig28804	nan	nan	nan	nan	nan	nan
Contig89916	538	0.388475836431	538	0.388475836431	nan	nan
Contig72484	14030	0.401924447612	14030	0.401924447612	nan	nan
Contig28626	398	0.502512562814	398	0.502512562814	nan	nan
Contig86742	154	0.597402597403	nan	nan	154	0.597402597403
Contig18458	11838	0.402263895928	nan	nan	11838	0.402263895928
Contig12808	5376	0.327566964286	5376	0.327566964286	nan	nan
Contig12809	1768	0.515837104072	1762	0.515323496027	nan	nan
Contig35740	3800	0.462894736842	2606	0.500767459708	1194	0.380234505863
Contig12805	nan	nan	nan	nan	nan	nan
Contig18453	7546	0.388550225285	6036	0.371769383698	1510	0.455629139073
Contig12807	538	0.386617100372	538	0.386617100372	nan	nan
Contig12800	5284	0.423732021196	4722	0.425031766201	562	0.4128113879
Contig12801	594	0.372053872054	594	0.372053872054	nan	nan
Contig17224	370	0.32972972973	370	0.32972972973	nan	nan
Contig12803	2492	0.477528089888	nan	nan	2492	0.477528089888
Contig10668	nan	nan	nan	nan	nan	nan
Contig10669	1392	0.53591954023	1084	0.523985239852	308	0.577922077922
Contig10666	7502	0.494401492935	7326	0.492628992629	176	0.568181818182
Contig71716	nan	nan	nan	nan	nan	nan
Contig15296	12422	0.395749476735	11966	0.389938158115	456	0.548245614035
Contig10665	nan	nan	nan	nan	nan	nan
Contig10662	410	0.439024390244	410	0.439024390244	nan	nan
Contig14959	nan	nan	nan	nan	nan	nan
Contig10660	nan	nan	nan	nan	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig40366	nan	nan	nan	nan	nan	nan
Contig29706	8480	0.415919811321	8480	0.415919811321	nan	nan
Contig11139	5118	0.45115279406	5118	0.45115279406	nan	nan
Contig102044	nan	nan	nan	nan	nan	nan
Contig11134	2102	0.391056137012	1450	0.350344827586	652	0.481595092025
Contig78230	2458	0.363710333605	1346	0.334323922734	1112	0.39928057554
Contig12613	nan	nan	nan	nan	nan	nan
Contig11130	3686	0.386055344547	3686	0.386055344547	nan	nan
Contig11133	nan	nan	nan	nan	nan	nan
Contig11132	4200	0.363333333333	4200	0.363333333333	nan	nan
Contig14792	948	0.467299578059	376	0.51329787234	572	0.437062937063
Contig69857	1116	0.424731182796	1116	0.424731182796	nan	nan
Contig91319	nan	nan	nan	nan	nan	nan
Contig8008	2014	0.587388282026	2014	0.587388282026	nan	nan
Contig8009	78	0.666666666667	nan	nan	78	0.666666666667
Contig8006	818	0.542787286064	nan	nan	818	0.542787286064
Contig8007	1824	0.382675438596	1706	0.372801875733	118	0.525423728814
Contig8005	6588	0.38160291439	6276	0.374123645634	312	0.532051282051
Contig100540	3378	0.399348727057	3378	0.399348727057	nan	nan
Contig40815	420	0.37619047619	420	0.37619047619	nan	nan
Contig83708	nan	nan	nan	nan	nan	nan
