loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16127	399	0.518796992481	266	0.537593984962	133	0.481203007519	9	51.88	48.12	59.40	48.12	46.60	46.24	22.34	22.43	0.42
Contig29704	729	0.377229080933	486	0.417695473251	243	0.296296296296	83	37.72	46.50	37.04	29.63	41.39	47.28	18.57	22.74	0.32
Contig16123	3603	0.358590063836	2402	0.385512073272	1201	0.304746044963	35	35.86	44.13	32.97	30.47	46.99	55.91	25.54	29.35	0.16
Contig20667	1647	0.447480267152	1098	0.42349726776	549	0.495446265938	21	44.75	49.36	35.34	49.54	50.99	51.02	27.06	27.04	0.25
Contig18459	2739	0.423512230741	1826	0.418400876232	913	0.433734939759	16	42.35	50.05	33.63	43.37	53.07	55.07	28.36	28.75	0.19
Contig12802	1641	0.535039609994	1094	0.477148080439	547	0.650822669104	14	53.50	50.09	45.34	65.08	49.46	53.01	24.27	26.19	0.24
Contig18456	303	0.577557755776	202	0.579207920792	101	0.574257425743	7	57.76	61.39	54.46	57.43	38.68	41.12	19.18	20.28	0.39
Contig29705	1578	0.432826362484	1052	0.43536121673	526	0.427756653992	16	43.28	46.77	40.30	42.78	52.22	54.90	27.93	28.07	0.21
Contig10669	390	0.525641025641	260	0.426923076923	130	0.723076923077	8	52.56	50.77	34.62	72.31	40.85	44.84	19.07	21.14	0.38
Contig10667	1095	0.470319634703	730	0.434246575342	365	0.542465753425	10	47.03	48.49	38.36	54.25	51.97	51.86	26.77	26.61	0.24
Contig10662	1887	0.509803921569	1258	0.47933227345	629	0.570747217806	20	50.98	53.58	42.29	57.07	55.37	56.46	28.96	29.42	0.15
Contig10660	1218	0.372742200328	812	0.431034482759	406	0.256157635468	43	37.27	50.00	36.21	25.62	41.53	49.89	20.19	23.36	0.29
Contig10661	600	0.428333333333	400	0.4375	200	0.41	12	42.83	58.00	29.50	41.00	45.67	44.53	23.04	21.31	0.35
Contig11139	549	0.568306010929	366	0.551912568306	183	0.601092896175	11	56.83	60.66	49.73	60.11	42.19	44.86	19.81	21.97	0.38
Contig13839	720	0.379166666667	480	0.408333333333	240	0.320833333333	58	37.92	45.00	36.67	32.08	43.08	45.13	21.96	21.92	0.35
Contig11131	861	0.444831591173	574	0.38850174216	287	0.557491289199	11	44.48	48.43	29.27	55.75	51.37	52.05	26.60	26.55	0.24
Contig8008	1533	0.398564905414	1022	0.471624266145	511	0.252446183953	94	39.86	50.68	43.64	25.24	42.22	53.10	21.18	26.58	0.24
Contig8006	477	0.538784067086	318	0.487421383648	159	0.641509433962	12	53.88	55.97	41.51	64.15	41.81	45.27	20.44	23.58	0.28
Contig8007	774	0.347545219638	516	0.34496124031	258	0.352713178295	36	34.75	40.31	28.68	35.27	45.65	50.90	23.41	25.45	0.26
Contig19804	201	0.422885572139	134	0.432835820896	67	0.402985074627	8	42.29	46.27	40.30	40.30	33.05	34.82	15.38	16.74	nan
Contig8005	264	0.5	176	0.517045454545	88	0.465909090909	23	50.00	54.55	48.86	46.59	43.58	43.83	20.13	20.68	nan
Contig8003	3303	0.427792915531	2202	0.407356948229	1101	0.468664850136	36	42.78	43.51	37.97	46.87	55.95	56.73	29.04	29.25	0.16
