loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig10	348	0.451149425287	232	0.400862068966	116	0.551724137931	30	45.11	48.28	31.9	55.17	42.06	42.58	19.99	19.80	0.39	2314	0.478392394123	nan	nan	2314	0.478392394123	-2.20831349222581
Contig100	1371	0.4704595186	914	0.471553610503	457	0.468271334792	77	47.05	51.86	42.45	46.83	50.51	52.08	24.91	25.91	0.24	nan	nan	nan	nan	nan	nan	45.9189386262811
Contig1000	543	0.460405156538	362	0.46408839779	181	0.453038674033	134	46.04	47.51	45.3	45.3	46.81	47.33	22.79	22.08	0.29	3322	0.332630945214	3322	0.332630945214	nan	nan	102.329691510262
Contig10005	1548	0.505167958656	1032	0.432170542636	516	0.651162790698	30	50.52	51.94	34.5	65.12	50.07	52.71	25.32	25.60	0.23	1502	0.474700399467	1200	0.459166666667	302	0.53642384106	-2.82017754946283
Contig10007	834	0.547961630695	556	0.489208633094	278	0.665467625899	60	54.8	55.4	42.45	66.55	45.88	49.95	23.46	24.43	0.26	3798	0.390731964192	3798	0.390731964192	nan	nan	30.5073006451014
Contig10008	444	0.540540540541	296	0.493243243243	148	0.635135135135	33	54.05	58.11	40.54	63.51	45.18	47.98	24.81	23.95	0.3	162	0.58024691358	nan	nan	162	0.58024691358	3.8565636640676
Contig10009	582	0.646048109966	388	0.590206185567	194	0.757731958763	24	64.6	60.82	57.22	75.77	41.13	50.77	23.05	26.99	0.2	2700	0.477407407407	2700	0.477407407407	nan	nan	2.41681935785541
Contig1001	2691	0.507989594946	1794	0.485507246377	897	0.552954292085	35	50.8	54.29	42.81	55.3	54.24	54.98	28.19	27.84	0.2	2260	0.441592920354	1948	0.415811088296	312	0.602564102564	5.18949893147993
Contig10011	1233	0.495539334955	822	0.470802919708	411	0.54501216545	75	49.55	53.04	41.12	54.5	50.72	50.68	24.77	24.76	0.26	11892	0.427346115035	10558	0.40897897329	1334	0.572713643178	43.8585060947388
Contig10012	564	0.482269503546	376	0.446808510638	188	0.553191489362	50	48.23	50.53	38.83	55.32	50.27	51.39	24.85	24.37	0.27	1204	0.40365448505	1192	0.404362416107	nan	nan	17.4024253674003
Contig10019	334	0.452095808383	223	0.403587443946	111	0.54954954955	17	45.35	38.39	42.34	54.95	42.75	42.68	20.70	20.85	0.39	3222	0.428615766605	nan	nan	3222	0.428615766605	-15.3075785976695
Contig1002	522	0.649425287356	348	0.60632183908	174	0.735632183908	25	64.94	70.69	50.57	73.56	40.16	44.36	19.49	23.76	0.31	190	0.563157894737	190	0.563157894737	nan	nan	4.13247480593881
