loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig10	945	0.507936507937	630	0.457142857143	315	0.609523809524	221	50.79	52.38	39.05	60.95	53.74	55.94	28.74	30.25	0.12	nan	nan	nan	nan	nan	nan	161.806481045679
Contig10002	786	0.51272264631	524	0.458015267176	262	0.62213740458	372	51.27	51.53	40.08	62.21	38.24	46.63	18.08	21.52	0.37	13002	0.421012151977	11668	0.419523483031	1334	0.434032983508	312.625631398654
Contig10003	657	0.438356164384	438	0.51598173516	219	0.283105022831	48	43.84	52.05	51.14	28.31	45.77	52.36	22.1	27.32	0.22	266	0.334586466165	266	0.334586466165	nan	nan	-19.0525922227183
Contig10004	267	0.438202247191	178	0.393258426966	89	0.52808988764	35	43.82	40.45	38.2	52.81	37.82	37.09	16.81	16.89	nan	2336	0.419520547945	2336	0.419520547945	nan	nan	-21.3356932557627
Contig10008	236	0.398305084746	158	0.278481012658	78	0.641025641026	105	40.17	37.97	17.72	64.1	33.53	35.35	16.36	9.97	nan	nan	nan	nan	nan	nan	nan	49.6472128510838
Contig10009	1260	0.450793650794	840	0.441666666667	420	0.469047619048	40	45.08	49.52	38.81	46.9	51.28	51.77	23.48	23.78	0.27	nan	nan	nan	nan	nan	nan	-17.0435071744562
Contig10010	2091	0.459110473458	1394	0.448350071736	697	0.480631276901	21	45.91	51.65	38.02	48.06	55.02	55.60	28.14	28.12	0.2	nan	nan	nan	nan	nan	nan	-36.7916914130778
Contig10013	2682	0.482102908277	1788	0.465883668904	894	0.514541387025	29	48.21	52.57	40.6	51.45	55.76	57.25	29.47	29.53	0.16	656	0.400914634146	656	0.400914634146	nan	nan	-31.9064960610945
Contig10014	2565	0.461598440546	1710	0.465497076023	855	0.453801169591	33	46.16	57.08	36.02	45.38	53.38	54.10	26.8	27.74	0.2	4184	0.382887189293	4184	0.382887189293	nan	nan	-27.840225574811
Contig10016	1044	0.522030651341	696	0.512931034483	348	0.540229885057	49	52.2	50.57	52.01	54.02	54.46	54.58	29.67	29.78	0.16	2742	0.374179431072	2742	0.374179431072	nan	nan	-17.7228533754621
Contig10017	435	0.43908045977	290	0.493103448276	145	0.331034482759	126	43.91	59.31	39.31	33.1	44.23	45.82	20.34	21.99	0.34	3208	0.389650872818	3208	0.389650872818	nan	nan	61.3028647142355
Contig10020	741	0.445344129555	494	0.461538461538	247	0.412955465587	35	44.53	52.23	40.08	41.3	52.44	54.83	25.84	27.84	0.17	196	0.336734693878	196	0.336734693878	nan	nan	-25.1164214954323
Contig10024	2646	0.478835978836	1764	0.451247165533	882	0.534013605442	66	47.88	52.27	37.98	53.4	52.39	53.69	26.82	25.89	0.23	2224	0.383543165468	2224	0.383543165468	nan	nan	7.80581037377571
Contig10027	1095	0.417351598174	730	0.435616438356	365	0.380821917808	42	41.74	52.88	34.25	38.08	48.87	51.23	23.61	24.33	0.31	160	0.35	90	0.355555555556	70	0.342857142857	-14.6550340271378
Contig10032	897	0.441471571906	598	0.441471571906	299	0.441471571906	70	44.15	52.84	35.45	44.15	46.44	47.54	20.66	21.6	0.38	14062	0.369293130422	14062	0.369293130422	nan	nan	12.9732484653949
Contig10034	1380	0.422463768116	920	0.428260869565	460	0.410869565217	39	42.25	51.09	34.57	41.09	51.70	54.03	25.68	27.41	0.22	416	0.370192307692	416	0.370192307692	nan	nan	-17.3488251836658
Contig10036	945	0.515343915344	630	0.560317460317	315	0.425396825397	133	51.53	69.52	42.54	42.54	47.74	49.10	23.23	26.01	0.32	16132	0.385940986858	16132	0.385940986858	nan	nan	60.0876837468923
Contig10038	1488	0.439516129032	992	0.447580645161	496	0.423387096774	29	43.95	55.44	34.07	42.34	48.72	51.32	24.14	25.08	0.24	336	0.357142857143	336	0.357142857143	nan	nan	-28.6912691039029
Contig10041	543	0.489871086556	362	0.447513812155	181	0.574585635359	268	48.99	46.96	42.54	57.46	48.26	48.80	23.33	22.79	0.33	390	0.282051282051	390	0.282051282051	nan	nan	210.317307112079
Contig10045	975	0.482051282051	650	0.407692307692	325	0.630769230769	131	48.21	44.62	36.92	63.08	51.23	53.16	25.73	26.72	0.22	3254	0.412722802704	2320	0.396120689655	934	0.453961456103	74.7604748790247
Contig10046	1791	0.455611390285	1194	0.443048576214	597	0.480737018425	133	45.56	52.26	36.35	48.07	52.81	53.53	25.68	25.99	0.25	2758	0.424220449601	2758	0.424220449601	nan	nan	75.8278494661924
Contig10048	246	0.463414634146	164	0.40243902439	82	0.585365853659	16	46.34	51.22	29.27	58.54	38.11	40.05	15.4	17.72	nan	nan	nan	nan	nan	nan	nan	-40.2755865963115
Contig1005	1000	0.481	667	0.464767616192	333	0.513513513514	20	48.15	47.01	45.95	51.35	52.78	52.00	25.72	25.05	0.27	nan	nan	nan	nan	nan	nan	-40.7168696362749
Contig10051	522	0.465517241379	348	0.402298850575	174	0.591954022989	69	46.55	48.85	31.61	59.2	48.95	49.39	22.58	23.01	0.3	1408	0.453835227273	344	0.43023255814	1064	0.461466165414	12.7234625131935
Contig10054	2286	0.501312335958	1524	0.46719160105	762	0.569553805774	48	50.13	52.23	41.21	56.96	52.57	53.83	26.62	27.02	0.25	472	0.41313559322	416	0.401442307692	56	0.5	-13.1342004824221
Contig10055	8031	0.48611629934	5354	0.441352259993	2677	0.575644378035	32	48.61	47.44	40.83	57.56	55.41	57.89	29.36	29.86	0.12	2918	0.425633995888	2918	0.425633995888	nan	nan	-25.0166783063107
Contig10057	522	0.402298850575	348	0.419540229885	174	0.367816091954	41	40.23	50.57	33.33	36.78	45.49	48.22	21.9	23.01	0.36	2644	0.411875945537	2644	0.411875945537	nan	nan	-15.1867862550925
Contig10058	264	0.488636363636	176	0.488636363636	88	0.488636363636	147	48.86	57.95	39.77	48.86	42.76	43.18	21.51	21.83	nan	3292	0.384568651276	1728	0.435185185185	1564	0.328644501279	82.8174231842167
Contig10059	546	0.461538461538	364	0.445054945055	182	0.494505494505	99	46.15	51.1	37.91	49.45	49.42	49.10	23.77	23.66	0.31	1448	0.439226519337	1448	0.439226519337	nan	nan	41.6147617677341
Contig10060	1353	0.519586104952	902	0.527716186253	451	0.50332594235	29	51.96	59.42	46.12	50.33	53.90	53.98	27.85	27.6	0.21	nan	nan	nan	nan	nan	nan	-39.3986405964549
Contig10062	1041	0.482228626321	694	0.523054755043	347	0.400576368876	63	48.22	62.25	42.36	40.06	48.57	50.26	24.57	26.59	0.25	4902	0.350469196246	4902	0.350469196246	nan	nan	-4.84854651802634
Contig10064	621	0.486312399356	414	0.444444444444	207	0.570048309179	50	48.63	50.24	38.65	57	47.71	48.18	23.74	22.68	0.36	792	0.420454545455	792	0.420454545455	nan	nan	-7.31735255989214
Contig10066	219	0.333333333333	146	0.280821917808	73	0.438356164384	34	33.33	35.62	20.55	43.84	33.21	34.17	12.16	13.56	nan	50	0.36	nan	nan	50	0.36	-21.4296699411931
Contig10068	1065	0.486384976526	710	0.501408450704	355	0.456338028169	60	48.64	59.72	40.56	45.63	48.70	50.12	22.55	24.12	0.29	650	0.409230769231	650	0.409230769231	nan	nan	-5.54447593854594
Contig10070	309	0.456310679612	206	0.461165048544	103	0.446601941748	199	45.63	51.46	40.78	44.66	40.57	41.11	17.62	18.01	0.35	4652	0.385855546002	4652	0.385855546002	nan	nan	138.960354628437
Contig10072	2829	0.451749734889	1886	0.461293743372	943	0.432661717922	27	45.17	51.96	40.3	43.27	53.10	56.35	27.72	28.84	0.17	438	0.426940639269	438	0.426940639269	nan	nan	-33.0662162288038
Contig10074	396	0.494949494949	264	0.484848484848	132	0.515151515152	36	49.49	51.52	45.45	51.52	45.41	46.51	25.26	25.12	0.3	3240	0.395987654321	3240	0.395987654321	nan	nan	-27.7259800716217
Contig10075	690	0.444927536232	460	0.447826086957	230	0.439130434783	78	44.49	52.61	36.96	43.91	45.71	47.50	21.5	23.06	0.32	1174	0.388415672913	1174	0.388415672913	nan	nan	20.2770305707221
Contig10077	1413	0.476291578202	942	0.442675159236	471	0.543524416136	49	47.63	47.77	40.76	54.35	52.73	53.37	26.71	26.01	0.24	3738	0.40556447298	3738	0.40556447298	nan	nan	-8.13580661070575
Contig10078	897	0.483835005574	598	0.473244147157	299	0.505016722408	91	48.38	53.51	41.14	50.5	53.27	53.92	26.92	26.88	0.23	5392	0.404859050445	5392	0.404859050445	nan	nan	28.8126710484392
Contig10079	771	0.516212710765	514	0.515564202335	257	0.517509727626	99	51.62	56.81	46.3	51.75	49.20	49.40	27.07	27.68	0.23	7548	0.389507154213	7432	0.389262648009	116	0.405172413793	31.9930051328092
Contig1008	1467	0.452624403545	978	0.513292433538	489	0.331288343558	33	45.26	41.51	61.15	33.13	47.04	51.48	22.71	25.57	0.28	nan	nan	nan	nan	nan	nan	-33.7615061977754
Contig10081	1341	0.420581655481	894	0.398210290828	447	0.465324384787	50	42.06	50.56	29.08	46.53	52.37	54.25	26.14	27	0.2	1054	0.433586337761	1042	0.432821497121	nan	nan	-6.30388673687861
Contig10085	279	0.469534050179	186	0.478494623656	93	0.451612903226	34	46.95	48.39	47.31	45.16	39.46	40.14	16.28	17.23	nan	1604	0.418329177057	1604	0.418329177057	nan	nan	-28.9468615808805
Contig10086	1590	0.498742138365	1060	0.462264150943	530	0.571698113208	136	49.87	53.02	39.43	57.17	55.12	57.16	29.1	29.65	0.15	144	0.423611111111	144	0.423611111111	nan	nan	75.73761887605
Contig10088	1457	0.474948524365	972	0.41975308642	485	0.585567010309	54	47.56	50.82	33.13	58.56	54.10	55.54	27.07	28.12	0.21	nan	nan	nan	nan	nan	nan	-2.18788480300314
Contig1009	492	0.45325203252	328	0.47256097561	164	0.414634146341	53	45.33	45.12	49.39	41.46	41.70	42.50	22.18	22.84	0.27	nan	nan	nan	nan	nan	nan	-9.07353659067975
Contig10091	501	0.542914171657	334	0.48502994012	167	0.658682634731	29	54.29	50.9	46.11	65.87	45.15	49.11	22.8	24.01	0.32	nan	nan	nan	nan	nan	nan	-34.7481169570186
Contig10093	615	0.517073170732	410	0.451219512195	205	0.648780487805	104	51.71	60.49	29.76	64.88	45.46	48.40	23.93	24.78	0.26	182	0.549450549451	182	0.549450549451	nan	nan	45.8098091664465
Contig10098	220	0.486363636364	147	0.285714285714	73	0.890410958904	20	48.86	41.89	15.07	89.04	20.95	49.55	8	28.49	nan	nan	nan	nan	nan	nan	nan	-35.5797664972056
Contig101	231	0.445887445887	154	0.428571428571	77	0.480519480519	59	44.59	53.25	32.47	48.05	40.10	44.36	17.63	17.85	nan	4334	0.373327180434	4334	0.373327180434	nan	nan	2.6402924744838
Contig1010	900	0.496666666667	600	0.473333333333	300	0.543333333333	117	49.67	48	46.67	54.33	53.06	54.58	27.51	28.31	0.21	3560	0.410393258427	3560	0.410393258427	nan	nan	54.7979979899842
Contig10103	3039	0.455412964791	2026	0.436327739388	1013	0.493583415597	34	45.54	49.46	37.81	49.36	55.53	55.60	27.6	27.61	0.21	nan	nan	nan	nan	nan	nan	-22.6898193170144
Contig10104	542	0.509225092251	362	0.599447513812	180	0.327777777778	236	51.11	54.14	65.75	32.78	45.51	42.41	22.3	27.68	0.12	nan	nan	nan	nan	nan	nan	155.734122157375
Contig10105	1254	0.539074960128	836	0.534688995215	418	0.547846889952	37	53.91	57.89	49.04	54.78	50.34	50.84	26.31	26.55	0.24	1750	0.458857142857	1750	0.458857142857	nan	nan	-32.2621597336409
Contig10106	1503	0.50499001996	1002	0.481037924152	501	0.552894211577	61	50.5	47.31	48.9	55.29	52.50	54.32	27.19	27.45	0.21	2508	0.409489633174	2508	0.409489633174	nan	nan	-2.25847684935185
Contig10109	1419	0.4637068358	946	0.448202959831	473	0.494714587738	29	46.37	50.11	39.53	49.47	52.60	53.88	26.34	26.58	0.21	nan	nan	nan	nan	nan	nan	-28.7722564605449
Contig10110	579	0.450777202073	386	0.414507772021	193	0.523316062176	117	45.08	49.74	33.16	52.33	49.52	49.47	25.38	25.55	0.27	6782	0.392657033324	6782	0.392657033324	nan	nan	60.8076419617653
Contig10114	243	0.489711934156	162	0.512345679012	81	0.444444444444	115	48.97	54.32	48.15	44.44	35.96	36.21	14.11	14.47	nan	15898	0.374952824255	2864	0.361731843575	13034	0.377857910081	48.3395225770217
Contig10117	270	0.422222222222	180	0.388888888889	90	0.488888888889	144	42.22	36.67	41.11	48.89	34.58	35.60	14.76	15.6	nan	nan	nan	nan	nan	nan	nan	87.6378616698686
Contig10118	2169	0.45550945136	1446	0.448132780083	723	0.470262793914	29	45.55	46.61	43.02	47.03	54.34	56.11	28.07	28.15	0.2	nan	nan	nan	nan	nan	nan	-28.7630233430893
Contig10119	694	0.462536023055	463	0.464362850972	231	0.458874458874	30	46.32	54.74	38.1	45.89	46.80	48.01	24.47	25.23	0.3	nan	nan	nan	nan	nan	nan	-30.6493084012337
Contig1012	1077	0.464252553389	718	0.472144846797	359	0.448467966574	53	46.43	52.37	42.06	44.85	50.78	51.26	25.73	26.43	0.22	150	0.533333333333	52	0.538461538462	98	0.530612244898	-9.00312566638318
Contig10121	516	0.437984496124	344	0.450581395349	172	0.412790697674	198	43.8	54.07	36.05	41.28	40.97	42.19	18.12	19.01	0.48	1882	0.297024442083	1370	0.289051094891	512	0.318359375	139.901326718503
Contig10122	414	0.562801932367	276	0.630434782609	138	0.427536231884	21	56.28	64.49	61.59	42.75	45.47	50.78	24.78	25.09	0.31	1168	0.41095890411	1168	0.41095890411	nan	nan	-67.000205127119
Contig10127	555	0.455855855856	370	0.4	185	0.567567567568	67	45.59	48.65	31.35	56.76	45.40	46.49	22.11	23.09	0.32	1866	0.452304394427	1708	0.459016393443	158	0.379746835443	10.7079853681747
Contig10128	2268	0.495149911817	1512	0.423941798942	756	0.637566137566	22	49.51	51.06	33.73	63.76	52.69	55.91	27.26	27.75	0.19	nan	nan	nan	nan	nan	nan	-34.236370830728
Contig1013	2226	0.473045822102	1484	0.46832884097	742	0.482479784367	23	47.3	54.04	39.62	48.25	54.34	55.54	27.63	28.46	0.18	348	0.396551724138	348	0.396551724138	nan	nan	-38.3349579581266
Contig10130	2622	0.467200610221	1748	0.430778032037	874	0.54004576659	34	46.72	51.6	34.55	54	52.00	51.94	25.93	25.11	0.24	nan	nan	nan	nan	nan	nan	-22.4478927319888
Contig10131	5117	0.491303498143	3412	0.488862837046	1705	0.496187683284	32	49.15	49.88	47.89	49.62	57.81	58.45	29.86	30.37	0.12	nan	nan	nan	nan	nan	nan	-32.2094037669341
Contig10134	648	0.405864197531	432	0.439814814815	216	0.337962962963	52	40.59	52.78	35.19	33.8	43.14	47.49	19.48	23.05	0.3	3346	0.384937238494	3262	0.38749233599	84	0.285714285714	-4.89791253527488
Contig10135	249	0.570281124498	166	0.590361445783	83	0.530120481928	43	57.03	66.27	51.81	53.01	42.21	40.86	21.27	21.76	nan	892	0.529147982063	892	0.529147982063	nan	nan	-35.3384842674297
Contig10138	2334	0.471293916024	1556	0.496786632391	778	0.42030848329	36	47.13	51.8	47.56	42.03	53.51	55.37	28.33	29.24	0.12	nan	nan	nan	nan	nan	nan	-29.0910564264747
Contig10140	489	0.435582822086	326	0.411042944785	163	0.484662576687	181	43.56	39.88	42.33	48.47	49.91	51.42	25.27	26.15	0.24	5236	0.373949579832	5236	0.373949579832	nan	nan	124.783713063765
Contig10141	1683	0.483065953654	1122	0.44385026738	561	0.561497326203	38	48.31	50.8	37.97	56.15	53.30	54.63	27.73	27.43	0.22	nan	nan	nan	nan	nan	nan	-19.2537911904695
Contig10144	821	0.507917174178	548	0.445255474453	273	0.6336996337	33	50.92	53.28	35.77	63.37	47.17	49.20	24.94	26.04	0.27	1306	0.402756508423	nan	nan	1306	0.402756508423	-24.408086557927
Contig10148	399	0.458646616541	266	0.447368421053	133	0.481203007519	39	45.86	50.38	39.1	48.12	42.90	44.30	19.88	20.25	0.42	2132	0.34521575985	2132	0.34521575985	nan	nan	-18.6641194118914
Contig10149	357	0.470588235294	238	0.441176470588	119	0.529411764706	82	47.06	45.38	42.86	52.94	42.73	45.15	20.44	21.59	0.31	1708	0.42037470726	1708	0.42037470726	nan	nan	24.9979269281871
Contig1015	1137	0.486367634125	758	0.488126649077	379	0.482849604222	104	48.64	51.72	45.91	48.28	52.68	52.35	26.82	26.62	0.22	170	0.305882352941	170	0.305882352941	nan	nan	39.8780338753902
Contig10154	1905	0.513385826772	1270	0.47874015748	635	0.582677165354	254	51.34	61.57	34.17	58.27	47.14	50.47	23.15	24.16	0.24	nan	nan	nan	nan	nan	nan	191.023173631852
Contig10155	633	0.532385466035	422	0.452606635071	211	0.691943127962	87	53.24	52.13	38.39	69.19	41.89	44.22	20.76	21.33	0.33	13956	0.432860418458	12554	0.423211725347	1402	0.519258202568	28.606199648846
Contig10156	720	0.504166666667	480	0.48125	240	0.55	73	50.42	45.42	50.83	55	49.96	50.79	24.81	25.09	0.31	3066	0.425962165688	2516	0.410572337043	550	0.496363636364	9.71546004060359
Contig10157	543	0.386740331492	362	0.361878453039	181	0.436464088398	75	38.67	43.09	29.28	43.65	44.88	46.65	21.23	22.18	0.31	872	0.473623853211	872	0.473623853211	nan	nan	18.531936313371
Contig10158	1317	0.441913439636	878	0.428246013667	439	0.469248291572	57	44.19	52.85	32.8	46.92	51.72	51.25	25.16	25.52	0.25	7434	0.400591875168	6656	0.396183894231	778	0.438303341902	0.651685402826246
Contig10163	258	0.387596899225	172	0.43023255814	86	0.302325581395	39	38.76	45.35	40.7	30.23	37.02	38.85	17.51	18.46	nan	720	0.380555555556	720	0.380555555556	nan	nan	-17.4248557683818
Contig10165	744	0.510752688172	496	0.467741935484	248	0.596774193548	49	51.08	49.6	43.95	59.68	51.84	52.65	26.36	26.51	0.22	7208	0.455327413984	7208	0.455327413984	nan	nan	-12.2311527967907
Contig10168	2130	0.448356807512	1420	0.445070422535	710	0.454929577465	32	44.84	52.11	36.9	45.49	53.14	54.51	25.95	27.13	0.24	3752	0.367004264392	3728	0.368293991416	24	0.166666666667	-25.3869922057911
Contig10169	1218	0.514778325123	812	0.483990147783	406	0.576354679803	35	51.48	51.23	45.57	57.64	51.37	52.73	25.47	26.63	0.25	912	0.396929824561	912	0.396929824561	nan	nan	-28.621031874298
Contig1017	1557	0.447655748234	1038	0.453757225434	519	0.435452793834	43	44.77	51.45	39.31	43.55	53.16	54.53	26.47	27.39	0.22	16930	0.390785587714	16930	0.390785587714	nan	nan	-15.568024318239
Contig10173	1749	0.471698113208	1166	0.420240137221	583	0.57461406518	90	47.17	49.06	34.99	57.46	49.23	50.11	23.94	24.26	0.28	nan	nan	nan	nan	nan	nan	33.8091398424687
Contig10176	552	0.449275362319	368	0.451086956522	184	0.445652173913	21	44.93	50.54	39.67	44.57	46.80	46.31	22.16	22.46	0.36	40	0.45	40	0.45	nan	nan	-37.1710596046137
Contig10183	462	0.463203463203	308	0.392857142857	154	0.603896103896	253	46.32	40.26	38.31	60.39	46.51	47.40	24.46	24.14	0.21	1478	0.443843031123	1478	0.443843031123	nan	nan	196.661808145401
Contig10188	1407	0.477611940299	938	0.460554371002	469	0.511727078891	57	47.76	52.45	39.66	51.17	53.34	53.74	27.64	27.32	0.18	nan	nan	nan	nan	nan	nan	-2.91223934300506
Contig10189	228	0.486842105263	152	0.460526315789	76	0.539473684211	30	48.68	52.63	39.47	53.95	38.51	38.37	16.36	16.85	nan	1858	0.426803013994	164	0.329268292683	1694	0.436245572609	-29.906341681537
Contig10191	1929	0.511145671332	1286	0.535769828927	643	0.461897356143	39	51.11	53.97	53.19	46.19	53.89	54.15	26.52	27.12	0.21	3124	0.437259923175	nan	nan	3124	0.437259923175	-30.4005785855129
Contig10193	1011	0.484668644906	674	0.471810089021	337	0.510385756677	365	48.47	54.3	40.06	51.04	49.79	49.47	24.31	24.37	0.28	3084	0.43093385214	3084	0.43093385214	nan	nan	303.05404649832
Contig10194	489	0.509202453988	326	0.450920245399	163	0.625766871166	55	50.92	47.85	42.33	62.58	44.38	49.42	24.01	24.97	0.29	1378	0.44847605225	1104	0.460144927536	274	0.401459854015	-3.14708696481041
Contig10196	522	0.473180076628	348	0.520114942529	174	0.379310344828	38	47.32	59.77	44.25	37.93	41.34	44.96	21.86	24.76	0.28	46	0.304347826087	46	0.304347826087	nan	nan	-29.5122185697562
Contig10199	1419	0.489076814658	946	0.515856236786	473	0.435517970402	33	48.91	60.04	43.13	43.55	51.41	50.38	25.58	26.28	0.3	nan	nan	nan	nan	nan	nan	-34.0388711753691
Contig1020	4314	0.489105238758	2876	0.442280945758	1438	0.582753824757	65	48.91	50.21	38.25	58.28	53.51	54.30	27.74	27.3	0.22	5570	0.355116696589	5570	0.355116696589	nan	nan	7.90135906359563
Contig10200	239	0.489539748954	160	0.51875	79	0.430379746835	25	49.37	63.75	40	43.04	32.83	35.92	16.44	17.51	nan	nan	nan	nan	nan	nan	nan	-42.3587523389774
