loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig34683	nan	nan	nan	nan	nan	nan
Contig16129	6932	0.288372763993	6932	0.288372763993	nan	nan
Contig16128	378	0.26455026455	378	0.26455026455	nan	nan
Contig16127	2784	0.345545977011	2784	0.345545977011	nan	nan
Contig16126	458	0.364628820961	390	0.366666666667	68	0.352941176471
Contig16125	2278	0.281826163301	1394	0.241032998565	884	0.346153846154
Contig16120	1210	0.271074380165	nan	nan	1210	0.271074380165
Contig91666	nan	nan	nan	nan	nan	nan
Contig38975	46	0.478260869565	46	0.478260869565	nan	nan
Contig28626	852	0.361502347418	852	0.361502347418	nan	nan
Contig35748	3122	0.380525304292	2866	0.354849965108	256	0.66796875
Contig18458	1476	0.240514905149	nan	nan	1476	0.240514905149
Contig80977	58	0.241379310345	nan	nan	58	0.241379310345
Contig12808	nan	nan	nan	nan	nan	nan
Contig35740	1062	0.325800376648	682	0.287390029326	380	0.394736842105
Contig12805	5386	0.346082435945	nan	nan	5386	0.346082435945
Contig35743	nan	nan	nan	nan	nan	nan
Contig18455	1954	0.284544524053	1076	0.282527881041	878	0.28701594533
Contig12801	426	0.328638497653	32	0.25	394	0.335025380711
Contig35747	902	0.483370288248	nan	nan	902	0.483370288248
Contig88627	322	0.316770186335	nan	nan	322	0.316770186335
Contig15299	300	0.193333333333	nan	nan	300	0.193333333333
Contig10669	1372	0.327259475219	352	0.230113636364	1020	0.360784313725
Contig10667	2234	0.436884512086	2234	0.436884512086	nan	nan
Contig15296	2614	0.449885233359	nan	nan	2614	0.449885233359
Contig10662	nan	nan	nan	nan	nan	nan
Contig15291	2102	0.275927687916	nan	nan	2102	0.275927687916
Contig15292	nan	nan	nan	nan	nan	nan
Contig92066	1474	0.356852103121	nan	nan	1474	0.356852103121
Contig11138	234	0.324786324786	150	0.333333333333	84	0.309523809524
Contig11134	290	0.503448275862	290	0.503448275862	nan	nan
Contig11137	nan	nan	nan	nan	nan	nan
Contig78230	nan	nan	nan	nan	nan	nan
Contig78237	nan	nan	nan	nan	nan	nan
Contig11130	nan	nan	nan	nan	nan	nan
Contig11133	nan	nan	nan	nan	nan	nan
Contig92674	2490	0.296385542169	nan	nan	2490	0.296385542169
Contig40813	nan	nan	nan	nan	nan	nan
