loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29708	nan	nan	nan	nan	nan	nan
Contig80018	150	0.4	150	0.4	nan	nan
Contig16121	nan	nan	nan	nan	nan	nan
Contig38975	22	0.181818181818	22	0.181818181818	nan	nan
Contig50336	nan	nan	nan	nan	nan	nan
Contig60543	nan	nan	nan	nan	nan	nan
Contig18454	nan	nan	nan	nan	nan	nan
Contig20213	nan	nan	nan	nan	nan	nan
Contig15290	nan	nan	nan	nan	nan	nan
Contig15291	600	0.413333333333	600	0.413333333333	nan	nan
Contig71711	nan	nan	nan	nan	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig11130	nan	nan	nan	nan	nan	nan
Contig97412	nan	nan	nan	nan	nan	nan
Contig70000	nan	nan	nan	nan	nan	nan
Contig107772	nan	nan	nan	nan	nan	nan
Contig91316	nan	nan	nan	nan	nan	nan
Contig40363	nan	nan	nan	nan	nan	nan
Contig99120	nan	nan	nan	nan	nan	nan
Contig401	10128	0.384281200632	10128	0.384281200632	nan	nan
Contig400	nan	nan	nan	nan	nan	nan
Contig402	nan	nan	nan	nan	nan	nan
Contig404	172	0.337209302326	172	0.337209302326	nan	nan
Contig407	424	0.391509433962	424	0.391509433962	nan	nan
Contig406	6472	0.558559950556	5448	0.544970631424	1024	0.630859375
Contig96221	nan	nan	nan	nan	nan	nan
Contig53152	nan	nan	nan	nan	nan	nan
Contig53155	nan	nan	nan	nan	nan	nan
Contig58862	nan	nan	nan	nan	nan	nan
Contig31113	nan	nan	nan	nan	nan	nan
Contig31443	nan	nan	nan	nan	nan	nan
Contig31442	nan	nan	nan	nan	nan	nan
Contig31116	nan	nan	nan	nan	nan	nan
Contig24285	nan	nan	nan	nan	nan	nan
Contig17299	nan	nan	nan	nan	nan	nan
Contig23834	1940	0.414432989691	1064	0.391917293233	876	0.441780821918
Contig23836	nan	nan	nan	nan	nan	nan
Contig99023	nan	nan	nan	nan	nan	nan
Contig60152	30	0.2	30	0.2	nan	nan
Contig108627	nan	nan	nan	nan	nan	nan
Contig96099	608	0.559210526316	608	0.559210526316	nan	nan
Contig57674	nan	nan	nan	nan	nan	nan
Contig15830	nan	nan	nan	nan	nan	nan
Contig41020	nan	nan	nan	nan	nan	nan
Contig46967	nan	nan	nan	nan	nan	nan
Contig6398	nan	nan	nan	nan	nan	nan
Contig83594	nan	nan	nan	nan	nan	nan
Contig6391	nan	nan	nan	nan	nan	nan
Contig48504	nan	nan	nan	nan	nan	nan
Contig6393	2090	0.456459330144	952	0.426470588235	1138	0.481546572935
Contig43770	nan	nan	nan	nan	nan	nan
Contig6395	nan	nan	nan	nan	nan	nan
Contig6396	600	0.5	350	0.44	250	0.584
Contig48501	nan	nan	nan	nan	nan	nan
Contig72540	274	0.372262773723	274	0.372262773723	nan	nan
Contig2728	500	0.36	422	0.374407582938	78	0.282051282051
Contig2896	64	0.3125	nan	nan	64	0.3125
Contig2726	2426	0.392003297609	2426	0.392003297609	nan	nan
Contig44438	nan	nan	nan	nan	nan	nan
Contig74722	1326	0.463046757164	1326	0.463046757164	nan	nan
Contig97325	80	0.45	80	0.45	nan	nan
Contig102521	nan	nan	nan	nan	nan	nan
Contig9710	nan	nan	nan	nan	nan	nan
Contig7555	nan	nan	nan	nan	nan	nan
Contig5654	144	0.5	144	0.5	nan	nan
Contig108908	nan	nan	nan	nan	nan	nan
Contig6178	10930	0.423055809698	5290	0.397731568998	5640	0.446808510638
Contig6175	nan	nan	nan	nan	nan	nan
Contig6177	nan	nan	nan	nan	nan	nan
Contig3410	nan	nan	nan	nan	nan	nan
Contig6172	122	0.508196721311	nan	nan	122	0.508196721311
Contig6173	nan	nan	nan	nan	nan	nan
Contig72762	nan	nan	nan	nan	nan	nan
Contig86419	nan	nan	nan	nan	nan	nan
Contig2682	2088	0.397988505747	2088	0.397988505747	nan	nan
Contig36462	nan	nan	nan	nan	nan	nan
Contig36463	nan	nan	nan	nan	nan	nan
Contig68813	nan	nan	nan	nan	nan	nan
Contig2094	nan	nan	nan	nan	nan	nan
Contig2093	nan	nan	nan	nan	nan	nan
Contig58134	nan	nan	nan	nan	nan	nan
Contig2090	5354	0.404183787822	2858	0.410426871938	2496	0.39703525641
Contig58138	nan	nan	nan	nan	nan	nan
Contig55419	nan	nan	nan	nan	nan	nan
Contig44177	nan	nan	nan	nan	nan	nan
Contig2099	352	0.403409090909	352	0.403409090909	nan	nan
Contig37841	32	0.5625	32	0.5625	nan	nan
Contig108847	nan	nan	nan	nan	nan	nan
Contig20285	nan	nan	nan	nan	nan	nan
Contig28709	nan	nan	nan	nan	nan	nan
Contig20283	nan	nan	nan	nan	nan	nan
Contig20281	nan	nan	nan	nan	nan	nan
Contig27060	nan	nan	nan	nan	nan	nan
Contig64675	nan	nan	nan	nan	nan	nan
Contig27067	nan	nan	nan	nan	nan	nan
Contig20289	734	0.49863760218	734	0.49863760218	nan	nan
Contig84811	nan	nan	nan	nan	nan	nan
Contig84812	nan	nan	nan	nan	nan	nan
Contig107083	nan	nan	nan	nan	nan	nan
Contig64929	nan	nan	nan	nan	nan	nan
Contig42823	nan	nan	nan	nan	nan	nan
Contig82246	nan	nan	nan	nan	nan	nan
Contig82241	nan	nan	nan	nan	nan	nan
Contig62788	nan	nan	nan	nan	nan	nan
Contig13251	nan	nan	nan	nan	nan	nan
Contig22531	nan	nan	nan	nan	nan	nan
