loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig80016	nan	nan	nan	nan	nan	nan
Contig16120	66	0.30303030303	66	0.30303030303	nan	nan
Contig26825	nan	nan	nan	nan	nan	nan
Contig26827	nan	nan	nan	nan	nan	nan
Contig6757	nan	nan	nan	nan	nan	nan
Contig38976	nan	nan	nan	nan	nan	nan
Contig38977	nan	nan	nan	nan	nan	nan
Contig38972	nan	nan	nan	nan	nan	nan
Contig18459	nan	nan	nan	nan	nan	nan
Contig12808	nan	nan	nan	nan	nan	nan
Contig12805	nan	nan	nan	nan	nan	nan
Contig79547	nan	nan	nan	nan	nan	nan
Contig35747	nan	nan	nan	nan	nan	nan
Contig6261	nan	nan	nan	nan	nan	nan
Contig10669	nan	nan	nan	nan	nan	nan
Contig10667	nan	nan	nan	nan	nan	nan
Contig10660	nan	nan	nan	nan	nan	nan
Contig11138	nan	nan	nan	nan	nan	nan
Contig69850	nan	nan	nan	nan	nan	nan
Contig8009	440	0.452272727273	440	0.452272727273	nan	nan
Contig95676	146	0.438356164384	nan	nan	146	0.438356164384
Contig8007	nan	nan	nan	nan	nan	nan
Contig95675	nan	nan	nan	nan	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig70007	312	0.391025641026	312	0.391025641026	nan	nan
Contig49830	nan	nan	nan	nan	nan	nan
Contig56958	nan	nan	nan	nan	nan	nan
Contig79728	nan	nan	nan	nan	nan	nan
Contig57713	nan	nan	nan	nan	nan	nan
Contig403	118	0.423728813559	118	0.423728813559	nan	nan
Contig402	678	0.38790560472	678	0.38790560472	nan	nan
Contig405	4400	0.381590909091	4326	0.38303282478	74	0.297297297297
Contig407	570	0.328070175439	570	0.328070175439	nan	nan
Contig37426	nan	nan	nan	nan	nan	nan
Contig37423	nan	nan	nan	nan	nan	nan
Contig53152	nan	nan	nan	nan	nan	nan
Contig89056	nan	nan	nan	nan	nan	nan
Contig89055	nan	nan	nan	nan	nan	nan
Contig37648	nan	nan	nan	nan	nan	nan
Contig88679	nan	nan	nan	nan	nan	nan
Contig69149	nan	nan	nan	nan	nan	nan
Contig92885	nan	nan	nan	nan	nan	nan
Contig31111	nan	nan	nan	nan	nan	nan
Contig63163	nan	nan	nan	nan	nan	nan
Contig924	nan	nan	nan	nan	nan	nan
Contig31441	nan	nan	nan	nan	nan	nan
Contig925	6598	0.37496210973	6302	0.374484290701	296	0.385135135135
Contig17294	nan	nan	nan	nan	nan	nan
Contig46616	nan	nan	nan	nan	nan	nan
Contig57670	nan	nan	nan	nan	nan	nan
Contig15839	nan	nan	nan	nan	nan	nan
Contig57672	nan	nan	nan	nan	nan	nan
Contig57905	nan	nan	nan	nan	nan	nan
Contig41020	nan	nan	nan	nan	nan	nan
Contig41027	nan	nan	nan	nan	nan	nan
Contig74495	nan	nan	nan	nan	nan	nan
Contig46966	nan	nan	nan	nan	nan	nan
Contig89429	58	0.568965517241	58	0.568965517241	nan	nan
