loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig26827	695	0.395683453237	464	0.409482758621	231	0.367965367965	29	39.68	46.98	34.91	36.80	45.29	48.85	22.33	23.71	0.29
Contig18451	588	0.586734693878	392	0.479591836735	196	0.801020408163	161	58.67	56.63	39.29	80.10	37.22	46.41	18.38	22.66	0.30
Contig18450	1722	0.410569105691	1148	0.452961672474	574	0.325783972125	76	41.06	52.44	38.15	32.58	47.36	53.56	22.78	27.15	0.23
Contig35745	216	0.351851851852	144	0.347222222222	72	0.361111111111	38	35.19	37.50	31.94	36.11	34.78	36.79	16.71	16.18	nan
Contig12802	447	0.440715883669	298	0.406040268456	149	0.510067114094	107	44.07	50.34	30.87	51.01	44.82	45.06	20.08	20.01	0.37
Contig12803	1772	0.461625282167	1182	0.530456852792	590	0.323728813559	57	46.21	47.55	58.54	32.37	47.98	52.69	22.13	25.99	0.27
Contig15294	1098	0.450819672131	732	0.424863387978	366	0.502732240437	90	45.08	51.09	33.88	50.27	52.22	52.61	25.33	25.39	0.25
Contig115207	711	0.427566807314	474	0.462025316456	237	0.35864978903	65	42.76	51.05	41.35	35.86	41.69	44.45	18.07	20.72	0.41
Contig115204	365	0.561643835616	244	0.524590163934	121	0.636363636364	36	56.47	50.82	54.10	63.64	41.97	44.38	22.02	23.26	0.32
Contig11138	708	0.480225988701	472	0.415254237288	236	0.610169491525	93	48.02	48.73	34.32	61.02	50.06	51.19	25.32	25.42	0.26
Contig78236	342	0.529239766082	228	0.434210526316	114	0.719298245614	36	52.92	49.12	37.72	71.93	34.95	39.15	16.12	14.82	0.42
Contig8009	215	0.520930232558	144	0.465277777778	71	0.633802816901	44	52.58	50.00	43.06	63.38	38.61	40.05	17.74	18.82	nan
Contig8000	2217	0.412719891746	1478	0.416779431664	739	0.404600811908	46	41.27	51.96	31.39	40.46	50.12	52.37	23.71	24.28	0.31
Contig402	1017	0.395280235988	678	0.433628318584	339	0.318584070796	87	39.53	49.56	37.17	31.86	43.59	50.67	23.17	25.66	0.23
Contig406	399	0.458646616541	266	0.488721804511	133	0.398496240602	40	45.86	64.66	33.08	39.85	43.94	46.51	20.84	23.27	0.31
Contig925	684	0.497076023392	456	0.438596491228	228	0.614035087719	50	49.71	50.88	36.84	61.40	43.79	46.39	19.93	20.16	0.41
Contig106215	468	0.651709401709	312	0.509615384615	156	0.935897435897	68	65.17	67.95	33.97	93.59	27.25	44.74	12.94	22.04	0.30
Contig24289	423	0.38061465721	282	0.36170212766	141	0.418439716312	49	38.06	42.55	29.79	41.84	45.58	46.92	23.05	24.81	0.24
Contig17295	1083	0.488457987073	722	0.472299168975	361	0.520775623269	80	48.85	50.69	43.77	52.08	48.16	48.87	23.31	23.92	0.28
Contig35350	470	0.382978723404	314	0.445859872611	156	0.25641025641	55	38.46	50.96	38.22	25.64	38.59	47.75	18.31	23.50	0.33
Contig3151	393	0.526717557252	262	0.435114503817	131	0.709923664122	419	52.67	59.54	27.48	70.99	33.71	40.36	14.34	17.26	0.37
