loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16128	nan	nan	nan	nan	nan	nan
Contig16127	nan	nan	nan	nan	nan	nan
Contig16124	7420	0.403908355795	7420	0.403908355795	nan	nan
Contig16123	nan	nan	nan	nan	nan	nan
Contig56502	nan	nan	nan	nan	nan	nan
Contig18369	512	0.62109375	nan	nan	512	0.62109375
Contig50335	nan	nan	nan	nan	nan	nan
Contig17009	nan	nan	nan	nan	nan	nan
Contig18459	1150	0.413043478261	1150	0.413043478261	nan	nan
Contig18458	370	0.551351351351	206	0.514563106796	164	0.59756097561
Contig12808	4814	0.384088076444	4814	0.384088076444	nan	nan
Contig12809	nan	nan	nan	nan	nan	nan
Contig18450	1886	0.587486744433	1170	0.615384615385	716	0.541899441341
Contig18453	2716	0.440721649485	1586	0.391551071879	1130	0.509734513274
Contig60544	138	0.695652173913	138	0.695652173913	nan	nan
Contig14798	904	0.464601769912	708	0.474576271186	196	0.428571428571
Contig15299	14026	0.496649080279	14026	0.496649080279	nan	nan
Contig10668	nan	nan	nan	nan	nan	nan
Contig10666	978	0.554192229039	nan	nan	978	0.554192229039
Contig15296	1232	0.413149350649	1232	0.413149350649	nan	nan
Contig10665	nan	nan	nan	nan	nan	nan
Contig10662	356	0.410112359551	356	0.410112359551	nan	nan
Contig10663	10920	0.512454212454	744	0.422043010753	10176	0.519064465409
Contig10660	7170	0.367085076709	7170	0.367085076709	nan	nan
Contig50597	nan	nan	nan	nan	nan	nan
Contig11134	670	0.561194029851	670	0.561194029851	nan	nan
Contig17223	6318	0.361190250079	6318	0.361190250079	nan	nan
Contig8009	700	0.37	700	0.37	nan	nan
Contig8006	1972	0.562880324544	1972	0.562880324544	nan	nan
Contig15441	1770	0.49209039548	1770	0.49209039548	nan	nan
Contig8003	3322	0.545454545455	3322	0.545454545455	nan	nan
Contig8000	4990	0.399198396794	4990	0.399198396794	nan	nan
Contig8001	2362	0.32599491956	2362	0.32599491956	nan	nan
Contig408	7324	0.553249590388	7324	0.553249590388	nan	nan
Contig401	8228	0.526616431697	8228	0.526616431697	nan	nan
Contig400	3910	0.518158567775	nan	nan	3910	0.518158567775
Contig405	9914	0.433830946137	9654	0.436606587943	260	0.330769230769
Contig406	nan	nan	nan	nan	nan	nan
Contig15615	11560	0.420674740484	5804	0.426085458305	5756	0.415218902015
Contig924	10368	0.414158950617	9346	0.413224909052	1022	0.422700587084
