loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29709	nan	nan	nan	nan	nan	nan
Contig16129	14338	0.318245222486	9714	0.317788758493	4624	0.319204152249
Contig16123	336	0.58630952381	336	0.58630952381	nan	nan
Contig29703	nan	nan	nan	nan	nan	nan
Contig26820	58	0.396551724138	nan	nan	58	0.396551724138
Contig26827	328	0.448170731707	328	0.448170731707	nan	nan
Contig35748	960	0.323958333333	900	0.316666666667	60	0.433333333333
Contig12809	1504	0.273271276596	1504	0.273271276596	nan	nan
Contig18451	628	0.582802547771	nan	nan	628	0.582802547771
Contig12805	nan	nan	nan	nan	nan	nan
Contig35743	nan	nan	nan	nan	nan	nan
Contig12801	14590	0.421453050034	13612	0.411034381428	978	0.566462167689
Contig12802	8788	0.341488393264	8788	0.341488393264	nan	nan
Contig17550	2130	0.523474178404	264	0.310606060606	1866	0.55359056806
Contig14799	236	0.381355932203	168	0.404761904762	68	0.323529411765
Contig17553	122	0.27868852459	nan	nan	122	0.27868852459
Contig10668	1070	0.320560747664	1070	0.320560747664	nan	nan
Contig10666	nan	nan	nan	nan	nan	nan
Contig10667	7840	0.370153061224	7768	0.371524201854	72	0.222222222222
Contig10664	nan	nan	nan	nan	nan	nan
Contig15290	48348	0.40113344916	44236	0.391242426983	4112	0.507538910506
Contig11139	5022	0.610712863401	nan	nan	5022	0.610712863401
Contig11135	3992	0.52755511022	252	0.269841269841	3740	0.544919786096
Contig11137	5602	0.271510174938	nan	nan	5602	0.271510174938
Contig11136	18390	0.338499184339	17632	0.333995009074	758	0.44327176781
Contig11131	4004	0.322427572428	4004	0.322427572428	nan	nan
Contig11130	26542	0.34232537111	26542	0.34232537111	nan	nan
Contig11133	406	0.362068965517	406	0.362068965517	nan	nan
Contig11132	6666	0.569906990699	1098	0.398907103825	5568	0.603627873563
Contig8008	2430	0.418930041152	1758	0.3606370876	672	0.571428571429
Contig21555	nan	nan	nan	nan	nan	nan
Contig8007	6552	0.57677045177	nan	nan	6552	0.57677045177
Contig8004	6370	0.443014128728	5130	0.442105263158	1240	0.446774193548
Contig70006	66	0.242424242424	66	0.242424242424	nan	nan
Contig8001	1106	0.327305605787	500	0.264	606	0.379537953795
Contig409	630	0.288888888889	630	0.288888888889	nan	nan
Contig408	23458	0.424503367721	20526	0.411478125304	2932	0.515688949523
