loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16126	3916	0.337589376915	2562	0.335675253708	1354	0.341211225997
Contig16124	nan	nan	nan	nan	nan	nan
Contig16120	4668	0.256855184233	4668	0.256855184233	nan	nan
Contig12804	6604	0.288158691702	2026	0.290720631787	4578	0.287024901704
Contig12805	nan	nan	nan	nan	nan	nan
Contig12807	1950	0.290769230769	1940	0.289175257732	nan	nan
Contig12800	762	0.312335958005	234	0.25641025641	528	0.337121212121
Contig18454	98	0.428571428571	98	0.428571428571	nan	nan
Contig18457	nan	nan	nan	nan	nan	nan
Contig12803	5794	0.359855022437	5070	0.373570019724	724	0.263812154696
Contig15299	9168	0.371618673647	8950	0.373407821229	218	0.298165137615
Contig10668	652	0.299079754601	400	0.3375	252	0.238095238095
Contig15294	712	0.328651685393	712	0.328651685393	nan	nan
Contig15295	858	0.252913752914	858	0.252913752914	nan	nan
Contig15292	7046	0.332812943514	7046	0.332812943514	nan	nan
Contig11130	1378	0.288098693759	1378	0.288098693759	nan	nan
Contig8006	3582	0.316862088219	3582	0.316862088219	nan	nan
Contig400	4154	0.30019258546	4154	0.30019258546	nan	nan
Contig402	68	0.382352941176	nan	nan	68	0.382352941176
Contig407	nan	nan	nan	nan	nan	nan
Contig15839	3002	0.300466355763	2998	0.300200133422	nan	nan
Contig15830	1196	0.319397993311	938	0.317697228145	258	0.325581395349
Contig15831	536	0.382462686567	536	0.382462686567	nan	nan
Contig15833	7628	0.381095962244	7324	0.387902785363	304	0.217105263158
Contig15834	3800	0.336315789474	3800	0.336315789474	nan	nan
Contig15837	1404	0.406695156695	1210	0.420661157025	194	0.319587628866
Contig3155	4044	0.280415430267	2432	0.261513157895	1612	0.308933002481
Contig3154	13102	0.327736223477	12910	0.326878388846	192	0.385416666667
Contig6398	1374	0.335516739447	1282	0.330733229329	92	0.402173913043
Contig14404	286	0.227272727273	278	0.212230215827	nan	nan
Contig14402	nan	nan	nan	nan	nan	nan
Contig14400	4392	0.378187613843	3106	0.377656149388	1286	0.379471228616
Contig14401	5228	0.331101759755	5228	0.331101759755	nan	nan
Contig6392	2258	0.307351638618	1552	0.264819587629	706	0.400849858357
Contig3156	1714	0.358226371062	1246	0.357945425361	468	0.358974358974
Contig12110	696	0.304597701149	696	0.304597701149	nan	nan
Contig12118	596	0.298657718121	118	0.254237288136	478	0.309623430962
Contig2728	1722	0.281068524971	1706	0.2796014068	nan	nan
Contig2725	3198	0.353033145716	nan	nan	3198	0.353033145716
Contig2726	2224	0.254946043165	2224	0.254946043165	nan	nan
Contig2721	3870	0.307235142119	1446	0.27316735823	2424	0.327557755776
Contig2891	1100	0.210909090909	976	0.213114754098	124	0.193548387097
Contig2722	310	0.303225806452	nan	nan	310	0.303225806452
Contig7558	786	0.334605597964	644	0.361801242236	142	0.211267605634
Contig35741	nan	nan	nan	nan	nan	nan
Contig9712	4970	0.293158953722	4968	0.293276972625	nan	nan
Contig9715	398	0.341708542714	210	0.409523809524	188	0.265957446809
Contig9840	11104	0.367615273775	11104	0.367615273775	nan	nan
Contig6178	10142	0.279234864918	10142	0.279234864918	nan	nan
Contig6174	5018	0.377839776804	1100	0.360909090909	3918	0.382593159775
Contig3415	2250	0.343111111111	2250	0.343111111111	nan	nan
Contig6171	5880	0.284523809524	5880	0.284523809524	nan	nan
Contig3412	1294	0.307573415765	1130	0.30796460177	164	0.30487804878
Contig6173	1396	0.321633237822	1376	0.326308139535	nan	nan
Contig2685	460	0.363043478261	nan	nan	460	0.363043478261
Contig2683	68	0.205882352941	68	0.205882352941	nan	nan
Contig2097	72	0.222222222222	nan	nan	72	0.222222222222
Contig5652	3196	0.309762202753	3196	0.309762202753	nan	nan
Contig2091	6652	0.285778713169	6412	0.288053649407	240	0.225
Contig2090	2486	0.306516492357	874	0.257437070938	1612	0.333126550868
Contig2099	806	0.275434243176	806	0.275434243176	nan	nan
Contig2098	1728	0.295138888889	1728	0.295138888889	nan	nan
Contig20280	3640	0.283241758242	3640	0.283241758242	nan	nan
Contig10666	72	0.305555555556	nan	nan	72	0.305555555556
Contig22536	166	0.409638554217	nan	nan	166	0.409638554217
Contig2689	7130	0.342356241234	7012	0.339418140331	118	0.516949152542
Contig13575	3990	0.286466165414	3990	0.286466165414	nan	nan
Contig3356	10342	0.293076774318	10342	0.293076774318	nan	nan
Contig5152	2416	0.336920529801	2134	0.360356138707	282	0.159574468085
Contig49829	366	0.303278688525	366	0.303278688525	nan	nan
Contig5157	1990	0.314572864322	1990	0.314572864322	nan	nan
Contig5156	2144	0.305970149254	1974	0.305977710233	170	0.305882352941
Contig5159	398	0.321608040201	nan	nan	398	0.321608040201
Contig984	1764	0.297052154195	1764	0.297052154195	nan	nan
Contig986	1564	0.395140664962	1564	0.395140664962	nan	nan
Contig987	5934	0.297269969666	5934	0.297269969666	nan	nan
Contig980	1262	0.299524564184	1154	0.310225303293	108	0.185185185185
Contig981	4294	0.304378202143	3730	0.31581769437	564	0.228723404255
Contig16917	6350	0.314645669291	6350	0.314645669291	nan	nan
Contig988	1910	0.339267015707	1136	0.318661971831	774	0.369509043928
Contig4825	746	0.317694369973	744	0.318548387097	nan	nan
Contig4821	110	0.281818181818	nan	nan	110	0.281818181818
Contig4822	6052	0.276272306675	5296	0.283421450151	756	0.22619047619
Contig4828	2818	0.333215046132	2398	0.328190158465	420	0.361904761905
Contig188	nan	nan	nan	nan	nan	nan
Contig21398	480	0.308333333333	480	0.308333333333	nan	nan
Contig185	3956	0.334681496461	2966	0.33951449764	990	0.320202020202
Contig186	1160	0.185344827586	1160	0.185344827586	nan	nan
Contig183	3448	0.304524361949	2626	0.295887281036	822	0.332116788321
Contig51140	2618	0.268143621085	2618	0.268143621085	nan	nan
Contig24709	nan	nan	nan	nan	nan	nan
Contig21573	nan	nan	nan	nan	nan	nan
Contig10870	1110	0.300900900901	1110	0.300900900901	nan	nan
Contig364	1018	0.340864440079	1012	0.340909090909	nan	nan
Contig367	344	0.308139534884	344	0.308139534884	nan	nan
Contig369	1330	0.264661654135	1330	0.264661654135	nan	nan
Contig15337	262	0.385496183206	92	0.391304347826	170	0.382352941176
Contig15336	166	0.373493975904	nan	nan	166	0.373493975904
Contig15626	34	0.294117647059	nan	nan	34	0.294117647059
Contig15339	2128	0.332706766917	1216	0.364309210526	912	0.290570175439
Contig9273	6288	0.314567430025	5706	0.301437083771	582	0.443298969072
Contig50444	416	0.346153846154	170	0.335294117647	246	0.353658536585
Contig1702	7106	0.297917253026	7106	0.297917253026	nan	nan
Contig1703	8920	0.376457399103	4058	0.407343518975	4862	0.350678733032
Contig1700	6466	0.277451283637	6466	0.277451283637	nan	nan
Contig1701	480	0.3375	480	0.3375	nan	nan
Contig1258	650	0.335384615385	528	0.318181818182	122	0.409836065574
Contig1259	212	0.367924528302	92	0.347826086957	120	0.383333333333
Contig1256	5670	0.34885361552	5648	0.349150141643	22	0.272727272727
Contig1250	1262	0.331220285261	1262	0.331220285261	nan	nan
Contig1251	4618	0.335859679515	1468	0.324250681199	3150	0.34126984127
Contig1253	1690	0.28224852071	1362	0.276064610866	328	0.307926829268
Contig20117	82	0.292682926829	82	0.292682926829	nan	nan
Contig7707	264	0.329545454545	230	0.34347826087	34	0.235294117647
Contig7700	7952	0.402414486922	7952	0.402414486922	nan	nan
Contig7702	2616	0.31001529052	2616	0.31001529052	nan	nan
Contig36923	174	0.298850574713	nan	nan	174	0.298850574713
Contig22840	206	0.271844660194	206	0.271844660194	nan	nan
Contig11833	52	0.192307692308	52	0.192307692308	nan	nan
Contig11839	160	0.25625	160	0.25625	nan	nan
Contig13969	862	0.30162412993	862	0.30162412993	nan	nan
