loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig19803	501	0.327345309381	334	0.383233532934	167	0.215568862275	126	32.73	36.53	40.12	21.56	37.00	49.63	17.99	24.04	0.28
Contig80016	558	0.385304659498	372	0.448924731183	186	0.258064516129	196	38.53	49.46	40.32	25.81	43.04	51.36	21.68	26.89	0.22
Contig16127	290	0.38275862069	194	0.432989690722	96	0.28125	171	38.54	55.67	30.93	28.12	36.68	38.57	17.45	15.91	nan
Contig16126	390	0.4	260	0.426923076923	130	0.346153846154	29	40.00	50.77	34.62	34.62	43.92	47.87	19.64	23.93	0.33
Contig16125	2214	0.395212285456	1476	0.384146341463	738	0.417344173442	46	39.52	46.61	30.22	41.73	51.55	54.42	24.54	26.77	0.25
Contig29706	762	0.41469816273	508	0.498031496063	254	0.248031496063	176	41.47	56.69	42.91	24.80	38.96	48.63	17.94	23.49	0.40
Contig29702	327	0.437308868502	218	0.47247706422	109	0.366972477064	85	43.73	54.13	40.37	36.70	36.17	38.23	14.40	17.53	0.38
Contig97893	1236	0.386731391586	824	0.455097087379	412	0.25	30	38.67	51.21	39.81	25.00	42.96	53.48	20.80	26.94	0.21
Contig26822	1428	0.367647058824	952	0.401260504202	476	0.300420168067	32	36.76	44.96	35.29	30.04	44.51	53.26	20.35	25.96	0.25
Contig9587	1086	0.409760589319	724	0.42955801105	362	0.370165745856	54	40.98	45.86	40.06	37.02	45.71	51.65	21.10	25.52	0.27
Contig26826	1011	0.385756676558	674	0.403560830861	337	0.350148367953	100	38.58	42.43	38.28	35.01	46.47	52.88	23.44	25.84	0.27
Contig26829	293	0.443686006826	196	0.494897959184	97	0.340206185567	250	44.67	54.08	44.90	34.02	39.34	44.18	19.25	22.10	nan
