loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16128	236	0.245762711864	236	0.245762711864	nan	nan
Contig16122	nan	nan	nan	nan	nan	nan
Contig29703	204	0.367647058824	nan	nan	204	0.367647058824
Contig26820	602	0.408637873754	602	0.408637873754	nan	nan
Contig18459	1646	0.290400972053	1646	0.290400972053	nan	nan
Contig35741	592	0.388513513514	592	0.388513513514	nan	nan
Contig11139	8554	0.340074818798	6708	0.327221228384	1846	0.386782231853
Contig11135	1372	0.290816326531	1372	0.290816326531	nan	nan
Contig11137	3808	0.426470588235	444	0.121621621622	3364	0.466706302021
Contig11136	3954	0.272382397572	3954	0.272382397572	nan	nan
Contig11131	2346	0.341005967604	2316	0.3402417962	30	0.4
Contig11132	nan	nan	nan	nan	nan	nan
Contig8009	768	0.263020833333	768	0.263020833333	nan	nan
Contig8005	1570	0.308917197452	1570	0.308917197452	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig8000	nan	nan	nan	nan	nan	nan
Contig8001	70	0.228571428571	nan	nan	70	0.228571428571
Contig409	158	0.405063291139	nan	nan	158	0.405063291139
Contig408	2548	0.266483516484	2434	0.260476581758	114	0.394736842105
Contig401	15528	0.295079855744	15252	0.294518751639	276	0.326086956522
Contig400	nan	nan	nan	nan	nan	nan
Contig403	8946	0.317124972055	8020	0.331296758105	926	0.194384449244
Contig402	4852	0.397774113768	4852	0.397774113768	nan	nan
Contig405	7936	0.337953629032	7414	0.332479093607	522	0.415708812261
Contig31110	58	0.137931034483	nan	nan	48	0.166666666667
Contig31114	nan	nan	nan	nan	nan	nan
Contig23838	1614	0.408921933086	1386	0.438672438672	228	0.228070175439
Contig35355	772	0.383419689119	772	0.383419689119	nan	nan
Contig17295	24	0.166666666667	24	0.166666666667	nan	nan
Contig35351	52	0.192307692308	52	0.192307692308	nan	nan
Contig7478	478	0.284518828452	478	0.284518828452	nan	nan
Contig41024	nan	nan	nan	nan	nan	nan
Contig19329	1008	0.41369047619	nan	nan	1008	0.41369047619
Contig7479	2614	0.294950267789	2188	0.295703839122	426	0.291079812207
Contig6301	nan	nan	nan	nan	nan	nan
Contig6390	1434	0.248953974895	1434	0.248953974895	nan	nan
