loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16129	420	0.32380952381	420	0.32380952381	nan	nan
Contig16123	4428	0.455058717254	1136	0.261443661972	3292	0.521871202916
Contig29700	114	0.263157894737	114	0.263157894737	nan	nan
Contig10666	6558	0.326166514181	6558	0.326166514181	nan	nan
Contig15297	2454	0.314180929095	2454	0.314180929095	nan	nan
Contig10662	6640	0.390963855422	6638	0.390780355529	nan	nan
Contig15293	9444	0.357687420584	9444	0.357687420584	nan	nan
Contig11139	522	0.331417624521	nan	nan	522	0.331417624521
Contig11132	nan	nan	nan	nan	nan	nan
Contig108016	nan	nan	nan	nan	nan	nan
Contig401	5926	0.299358758016	5926	0.299358758016	nan	nan
Contig402	4828	0.359776304888	4812	0.358478802993	nan	nan
Contig406	16954	0.315795682435	16728	0.315279770445	226	0.353982300885
Contig133445	976	0.393442622951	590	0.389830508475	386	0.39896373057
Contig24282	10590	0.341359773371	10590	0.341359773371	nan	nan
Contig24280	nan	nan	nan	nan	nan	nan
Contig17298	6190	0.314701130856	6122	0.313296308396	68	0.441176470588
Contig17299	478	0.334728033473	478	0.334728033473	nan	nan
Contig24289	7150	0.336503496503	6588	0.331815421979	562	0.391459074733
Contig23831	3124	0.284250960307	3124	0.284250960307	nan	nan
Contig17293	2822	0.242735648476	2746	0.239257101238	76	0.368421052632
Contig17290	690	0.246376811594	690	0.246376811594	nan	nan
Contig41026	nan	nan	nan	nan	nan	nan
Contig15836	1016	0.253937007874	1016	0.253937007874	nan	nan
Contig19324	956	0.422594142259	956	0.422594142259	nan	nan
Contig19325	88	0.272727272727	nan	nan	88	0.272727272727
Contig3154	4926	0.432602517255	nan	nan	4926	0.432602517255
Contig6397	268	0.283582089552	268	0.283582089552	nan	nan
Contig12113	34	0.411764705882	34	0.411764705882	nan	nan
Contig12110	2860	0.384965034965	1208	0.422185430464	1652	0.357748184019
Contig4884	3468	0.319492502884	3468	0.319492502884	nan	nan
Contig929	nan	nan	nan	nan	nan	nan
Contig2899	1132	0.302120141343	1096	0.299270072993	36	0.388888888889
Contig142293	nan	nan	nan	nan	nan	nan
Contig2897	nan	nan	nan	nan	nan	nan
Contig2727	2682	0.306114839672	2426	0.288953009068	256	0.46875
Contig2721	2584	0.289473684211	2584	0.289473684211	nan	nan
Contig2720	6146	0.376993166287	3888	0.409722222222	2258	0.320637732507
Contig2722	4402	0.308041799182	4402	0.308041799182	nan	nan
Contig9719	15064	0.2986590547	14974	0.298049953252	90	0.4
Contig6309	2414	0.304888152444	2196	0.292349726776	218	0.43119266055
Contig137485	120	0.291666666667	nan	nan	120	0.291666666667
Contig7557	11588	0.29901622368	11588	0.29901622368	nan	nan
Contig9841	nan	nan	nan	nan	nan	nan
Contig9844	5542	0.33219054493	5542	0.33219054493	nan	nan
Contig3414	34538	0.307197869014	34538	0.307197869014	nan	nan
Contig6175	2058	0.393586005831	2058	0.393586005831	nan	nan
Contig6172	136	0.264705882353	136	0.264705882353	nan	nan
Contig101034	310	0.367741935484	nan	nan	310	0.367741935484
Contig22610	11696	0.303351573187	11696	0.303351573187	nan	nan
Contig2093	532	0.327067669173	532	0.327067669173	nan	nan
Contig2099	6404	0.302779512804	6404	0.302779512804	nan	nan
Contig28703	2360	0.326694915254	2360	0.326694915254	nan	nan
Contig28705	nan	nan	nan	nan	nan	nan
Contig140744	nan	nan	nan	nan	nan	nan
Contig39447	nan	nan	nan	nan	nan	nan
Contig22534	6742	0.342183328389	6742	0.342183328389	nan	nan
Contig22531	1546	0.347994825356	778	0.246786632391	768	0.450520833333
Contig13576	nan	nan	nan	nan	nan	nan
Contig18214	6508	0.320067609096	6462	0.32048901269	46	0.260869565217
Contig18213	nan	nan	nan	nan	nan	nan
Contig18210	nan	nan	nan	nan	nan	nan
Contig3212	nan	nan	nan	nan	nan	nan
Contig10661	48	0.25	48	0.25	nan	nan
Contig5150	2228	0.327199281867	1932	0.311594202899	296	0.429054054054
Contig5156	610	0.245901639344	610	0.245901639344	nan	nan
Contig5154	46	0.434782608696	46	0.434782608696	nan	nan
Contig986	2748	0.335880640466	2748	0.335880640466	nan	nan
Contig987	nan	nan	nan	nan	nan	nan
Contig980	14136	0.307583474816	14136	0.307583474816	nan	nan
Contig16916	5862	0.311327192085	5862	0.311327192085	nan	nan
Contig16911	220	0.381818181818	nan	nan	220	0.381818181818
Contig4827	nan	nan	nan	nan	nan	nan
Contig4820	474	0.388185654008	474	0.388185654008	nan	nan
Contig4823	3080	0.275974025974	3080	0.275974025974	nan	nan
Contig35915	246	0.439024390244	246	0.439024390244	nan	nan
Contig189	7358	0.3666757271	nan	nan	7358	0.3666757271
Contig187	472	0.298728813559	472	0.298728813559	nan	nan
Contig180	3708	0.395631067961	nan	nan	3708	0.395631067961
Contig181	686	0.279883381924	112	0.3125	574	0.273519163763
Contig27930	1124	0.39768683274	nan	nan	1124	0.39768683274
Contig27937	5726	0.332343695424	5276	0.322782410917	450	0.444444444444
Contig24703	13244	0.311990335246	13244	0.311990335246	nan	nan
Contig24878	11098	0.38934943233	11098	0.38934943233	nan	nan
Contig360	206	0.427184466019	56	0.178571428571	150	0.52
Contig364	336	0.33630952381	336	0.33630952381	nan	nan
Contig365	2650	0.383018867925	1868	0.391327623126	782	0.363171355499
Contig21574	138	0.159420289855	138	0.159420289855	nan	nan
Contig368	nan	nan	nan	nan	nan	nan
Contig369	7446	0.301369863014	7446	0.301369863014	nan	nan
Contig41845	3356	0.311382598331	3356	0.311382598331	nan	nan
Contig80247	nan	nan	nan	nan	nan	nan
Contig41843	nan	nan	nan	nan	nan	nan
Contig8452	1256	0.300159235669	1256	0.300159235669	nan	nan
Contig15621	192	0.25	192	0.25	nan	nan
Contig19135	14712	0.326332245786	14704	0.326237758433	nan	nan
Contig9277	nan	nan	nan	nan	nan	nan
Contig1703	4052	0.285044422507	3448	0.262761020882	604	0.412251655629
