loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig112563	252	0.412698412698	168	0.452380952381	84	0.333333333333	12	41.27	42.86	47.62	33.33	41.56	42.89	20.58	23.28	nan
Contig209091	336	0.375	224	0.401785714286	112	0.321428571429	17	37.50	45.54	34.82	32.14	42.59	46.48	20.48	21.06	0.39
Contig219079	381	0.341207349081	254	0.38188976378	127	0.259842519685	18	34.12	40.16	36.22	25.98	36.70	47.18	17.95	22.99	0.33
Contig12075	411	0.413625304136	274	0.43795620438	137	0.36496350365	14	41.36	51.82	35.77	36.50	41.45	43.09	21.35	23.68	0.29
Contig182894	864	0.400462962963	576	0.473958333333	288	0.253472222222	28	40.05	50.00	44.79	25.35	43.25	53.36	22.40	27.95	0.23
Contig127389	2346	0.415174765558	1564	0.424552429668	782	0.39641943734	35	41.52	50.26	34.65	39.64	53.22	54.91	28.47	27.95	0.17
Contig17554	219	0.388127853881	146	0.376712328767	73	0.41095890411	14	38.81	43.84	31.51	41.10	41.13	41.75	20.11	20.30	nan
Contig145215	249	0.381526104418	166	0.427710843373	83	0.289156626506	14	38.15	53.01	32.53	28.92	33.14	37.99	16.39	21.00	nan
Contig165760	270	0.392592592593	180	0.405555555556	90	0.366666666667	14	39.26	41.11	40.00	36.67	37.43	40.86	17.34	19.65	nan
Contig115603	2352	0.399659863946	1568	0.424107142857	784	0.350765306122	36	39.97	51.91	32.91	35.08	49.65	54.46	24.84	28.17	0.17
Contig127382	378	0.417989417989	252	0.436507936508	126	0.380952380952	14	41.80	50.00	37.30	38.10	41.08	43.42	19.83	20.46	0.36
Contig150438	1977	0.423368740516	1318	0.449165402124	659	0.371775417299	24	42.34	57.06	32.78	37.18	51.43	55.63	24.82	28.13	0.19
Contig23127	483	0.432712215321	322	0.45652173913	161	0.385093167702	79	43.27	53.42	37.89	38.51	39.88	43.05	17.70	21.48	0.37
Contig205875	265	0.4	177	0.463276836158	88	0.272727272727	11	40.15	57.30	35.23	27.27	31.01	33.42	13.49	16.94	nan
Contig205877	438	0.372146118721	292	0.400684931507	146	0.315068493151	19	37.21	46.58	33.56	31.51	43.95	50.57	23.81	24.76	0.26
Contig79540	285	0.357894736842	190	0.342105263158	95	0.389473684211	23	35.79	38.95	29.47	38.95	37.31	41.00	17.64	18.33	nan
Contig210142	1196	0.428929765886	798	0.448621553885	398	0.389447236181	40	42.96	49.62	40.10	38.94	51.61	55.49	25.98	28.51	0.19
Contig10668	201	0.398009950249	134	0.432835820896	67	0.328358208955	20	39.80	50.75	35.82	32.84	37.90	44.85	19.30	18.10	nan
Contig161937	655	0.369465648855	437	0.407322654462	218	0.293577981651	15	37.00	43.38	38.07	29.36	46.39	53.38	22.46	26.78	0.27
Contig10664	443	0.428893905192	296	0.459459459459	147	0.367346938776	20	43.08	49.32	42.57	36.73	45.42	49.89	21.95	23.78	0.32
Contig171699	393	0.40203562341	262	0.427480916031	131	0.351145038168	16	40.20	48.85	36.64	35.11	43.70	47.48	19.36	21.35	0.38
Contig155141	234	0.354700854701	156	0.403846153846	78	0.25641025641	24	35.47	46.15	34.62	25.64	33.73	37.69	15.85	19.57	nan
Contig78238	1314	0.405631659056	876	0.424657534247	438	0.367579908676	29	40.56	45.66	39.27	36.76	45.29	50.53	22.17	25.67	0.25
Contig214397	210	0.438095238095	140	0.478571428571	70	0.357142857143	13	43.81	58.57	37.14	35.71	39.96	41.01	16.41	16.48	nan
Contig178370	225	0.555555555556	150	0.66	75	0.346666666667	52	55.56	60.00	72.00	34.67	36.11	34.23	16.64	19.42	nan
Contig162910	376	0.409574468085	251	0.446215139442	125	0.336	60	41.07	48.41	40.80	33.60	39.22	43.27	15.74	18.95	0.43
Contig233424	219	0.342465753425	146	0.36301369863	73	0.301369863014	10	34.25	49.32	23.29	30.14	39.01	40.50	17.51	16.85	nan
Contig11133	408	0.401960784314	272	0.411764705882	136	0.382352941176	17	40.20	50.00	32.35	38.24	42.02	45.44	18.02	20.78	0.36
Contig97413	388	0.396907216495	259	0.471042471042	129	0.248062015504	58	39.79	50.77	43.41	24.81	38.51	41.67	16.30	21.40	0.39
Contig108019	282	0.414893617021	188	0.436170212766	94	0.372340425532	12	41.49	42.55	44.68	37.23	41.47	41.44	17.97	19.30	nan
Contig69856	312	0.36858974359	208	0.399038461538	104	0.307692307692	15	36.86	43.27	36.54	30.77	38.13	42.19	15.65	17.87	0.36
Contig8007	329	0.395136778116	220	0.377272727273	109	0.43119266055	21	39.76	44.55	30.91	43.12	40.85	42.34	15.70	16.65	0.49
Contig108012	234	0.303418803419	156	0.320512820513	78	0.269230769231	22	30.34	39.74	24.36	26.92	36.08	42.88	14.67	17.57	nan
Contig95675	2425	0.418556701031	1617	0.43475572047	808	0.386138613861	41	41.87	49.07	37.87	38.61	50.41	53.87	24.57	27.50	0.21
Contig95670	267	0.426966292135	178	0.432584269663	89	0.415730337079	16	42.70	48.31	38.20	41.57	41.12	42.97	19.52	20.04	nan
Contig196184	279	0.41935483871	186	0.397849462366	93	0.462365591398	78	41.94	46.24	33.33	46.24	39.67	40.54	20.01	20.66	nan
Contig187918	579	0.366148531952	386	0.370466321244	193	0.357512953368	46	36.61	38.86	35.23	35.75	43.67	47.01	23.45	23.70	0.37
Contig243959	312	0.467948717949	208	0.514423076923	104	0.375	64	46.79	58.65	44.23	37.50	39.28	41.21	20.13	20.78	0.35
Contig150436	966	0.384057971014	644	0.422360248447	322	0.307453416149	26	38.41	49.69	34.78	30.75	46.45	54.35	23.26	28.14	0.21
Contig401	225	0.422222222222	150	0.44	75	0.386666666667	26	42.22	56.00	32.00	38.67	37.17	43.07	16.95	21.61	nan
Contig79721	267	0.404494382022	178	0.455056179775	89	0.303370786517	15	40.45	49.44	41.57	30.34	42.51	44.61	20.76	23.35	nan
Contig133449	465	0.412903225806	310	0.477419354839	155	0.283870967742	13	41.29	57.42	38.06	28.39	40.26	46.50	19.26	23.25	0.36
Contig248428	234	0.41452991453	156	0.474358974359	78	0.294871794872	11	41.45	56.41	38.46	29.49	39.52	43.19	20.55	23.82	nan
Contig96891	372	0.440860215054	248	0.495967741935	124	0.33064516129	13	44.09	50.81	48.39	33.06	44.73	49.00	20.96	25.84	0.27
Contig58869	489	0.402862985685	326	0.407975460123	163	0.39263803681	21	40.29	42.33	39.26	39.26	47.43	50.54	23.25	24.06	0.29
Contig115600	423	0.432624113475	282	0.471631205674	141	0.354609929078	31	43.26	51.06	43.26	35.46	45.65	48.59	25.42	25.95	0.24
Contig225392	259	0.413127413127	173	0.404624277457	86	0.43023255814	15	41.47	39.08	41.86	43.02	39.60	40.43	15.96	16.51	nan
Contig89053	208	0.442307692308	139	0.467625899281	69	0.391304347826	13	44.44	45.71	47.83	39.13	34.75	36.40	15.07	16.29	nan
Contig133336	612	0.428104575163	408	0.455882352941	204	0.372549019608	27	42.81	51.96	39.22	37.25	47.00	48.69	20.59	21.62	0.39
Contig133442	287	0.383275261324	192	0.432291666667	95	0.284210526316	11	38.60	46.88	39.58	28.42	38.17	43.06	16.44	18.75	nan
Contig53627	377	0.424403183024	252	0.47619047619	125	0.32	34	42.67	46.83	48.41	32.00	39.76	45.17	22.43	22.49	0.30
Contig89056	282	0.390070921986	188	0.425531914894	94	0.31914893617	31	39.01	46.81	38.30	31.91	37.34	43.14	18.45	21.50	nan
Contig136127	343	0.466472303207	229	0.515283842795	114	0.368421052632	12	46.78	54.78	48.25	36.84	43.01	45.28	21.25	22.47	0.34
Contig225560	216	0.351851851852	144	0.409722222222	72	0.236111111111	44	35.19	50.00	31.94	23.61	36.30	40.81	14.94	19.79	nan
Contig207654	231	0.4329004329	154	0.512987012987	77	0.272727272727	14	43.29	49.35	53.25	27.27	35.24	42.98	17.50	19.71	nan
Contig132313	300	0.39	200	0.41	100	0.35	20	39.00	44.00	38.00	35.00	43.27	45.10	18.17	20.77	nan
Contig135476	213	0.408450704225	142	0.443661971831	71	0.338028169014	22	40.85	53.52	35.21	33.80	39.93	44.58	20.21	21.93	nan
Contig98999	1060	0.4	707	0.418670438472	353	0.362606232295	25	40.04	52.54	31.16	36.26	51.03	53.94	26.33	27.73	0.21
Contig135475	222	0.328828828829	148	0.358108108108	74	0.27027027027	19	32.88	33.78	37.84	27.03	33.84	38.86	11.49	13.89	nan
Contig24281	258	0.403100775194	172	0.412790697674	86	0.383720930233	11	40.31	45.35	37.21	38.37	39.73	42.25	18.27	19.77	nan
Contig211279	228	0.381578947368	152	0.401315789474	76	0.342105263158	14	38.16	39.47	40.79	34.21	39.76	42.02	15.76	18.93	nan
Contig124603	201	0.333333333333	134	0.373134328358	67	0.253731343284	10	33.33	40.30	34.33	25.37	29.98	38.90	12.41	15.28	nan
Contig219422	300	0.36	200	0.41	100	0.26	15	36.00	38.00	44.00	26.00	35.18	43.04	15.28	19.26	nan
Contig24288	639	0.397496087637	426	0.443661971831	213	0.305164319249	18	39.75	53.52	35.21	30.52	43.11	48.60	20.35	24.54	0.30
Contig41936	431	0.470997679814	288	0.493055555556	143	0.426573426573	55	47.32	48.61	50.00	42.66	46.10	47.94	22.54	23.63	0.27
Contig124604	374	0.387700534759	250	0.444	124	0.274193548387	13	38.98	47.20	41.60	27.42	36.66	42.40	17.25	18.97	0.39
Contig41029	323	0.377708978328	216	0.421296296296	107	0.289719626168	15	38.01	50.00	34.26	28.97	41.31	43.99	17.91	18.36	0.45
Contig179178	290	0.431034482759	194	0.443298969072	96	0.40625	17	43.40	49.48	39.18	40.62	40.89	45.05	21.34	22.66	nan
Contig96093	884	0.444570135747	590	0.483050847458	294	0.367346938776	40	44.56	57.29	39.32	36.73	47.26	50.25	23.77	25.36	0.24
Contig142072	768	0.403645833333	512	0.42578125	256	0.359375	29	40.36	49.61	35.55	35.94	47.82	52.05	23.79	25.03	0.30
Contig57908	318	0.427672955975	212	0.485849056604	106	0.311320754717	43	42.77	56.60	40.57	31.13	40.40	46.59	17.98	21.11	0.42
Contig243484	501	0.389221556886	334	0.410179640719	167	0.347305389222	21	38.92	43.11	38.92	34.73	41.72	47.14	19.28	21.60	0.35
Contig168320	441	0.390022675737	294	0.425170068027	147	0.319727891156	18	39.00	47.62	37.41	31.97	43.40	48.57	20.21	23.71	0.31
Contig225302	236	0.398305084746	158	0.417721518987	78	0.358974358974	11	40.17	50.63	32.91	35.90	32.19	34.88	14.14	10.96	nan
Contig14403	301	0.441860465116	201	0.497512437811	100	0.33	14	44.33	56.44	43.00	33.00	39.30	41.85	19.72	19.24	nan
Contig214593	459	0.368191721133	306	0.382352941176	153	0.339869281046	25	36.82	43.14	33.33	33.99	42.53	45.50	22.42	22.66	0.29
Contig14401	202	0.440594059406	135	0.481481481481	67	0.358208955224	9	44.28	48.53	47.76	35.82	37.21	39.88	17.31	20.66	nan
Contig6391	921	0.459283387622	614	0.514657980456	307	0.348534201954	31	45.93	56.68	46.25	34.85	48.09	52.17	22.58	25.49	0.27
Contig43770	474	0.356540084388	316	0.398734177215	158	0.272151898734	36	35.65	49.37	30.38	27.22	38.58	45.75	18.42	23.50	0.35
Contig175881	218	0.357798165138	146	0.452054794521	72	0.166666666667	12	36.11	58.90	31.51	16.67	34.19	43.85	15.26	20.01	nan
