loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	202	0.490099009901	135	0.496296296296	67	0.477611940299	183	49.25	60.29	38.81	47.76	36.74	38.12	20.27	20.6	nan	456	0.464912280702	nan	nan	450	0.471111111111	145.433029329651
Contig10	420	0.528571428571	280	0.507142857143	140	0.571428571429	68	52.86	60	41.43	57.14	45.7	49.28	25.3	24.57	0.27	nan	nan	nan	nan	nan	nan	30.4999260086796
Contig10004	264	0.55303030303	176	0.426136363636	88	0.806818181818	12	55.3	48.86	36.36	80.68	31.11	39.50	13.37	15.63	nan	nan	nan	nan	nan	nan	nan	-18.2093888478806
Contig1001	510	0.417647058824	340	0.473529411765	170	0.305882352941	21	41.76	44.71	50	30.59	40.51	43.41	16.82	19.2	0.34	nan	nan	nan	nan	nan	nan	-15.6159740850723
Contig1002	834	0.482014388489	556	0.491007194245	278	0.464028776978	42	48.2	54.68	43.53	46.4	48.23	51.00	25.6	25.67	0.27	34	0.470588235294	34	0.470588235294	nan	nan	4.45633082884771
Contig10021	303	0.445544554455	202	0.425742574257	101	0.485148514851	15	44.55	48.51	36.63	48.51	39.88	40.46	18.58	19.16	0.32	nan	nan	nan	nan	nan	nan	-15.1619990278832
Contig10037	225	0.515555555556	150	0.473333333333	75	0.6	27	51.56	56	38.67	60	37.79	38.27	18.8	18.13	nan	nan	nan	nan	nan	nan	nan	-9.59222544946869
Contig10044	471	0.554140127389	314	0.509554140127	157	0.643312101911	32	55.41	53.5	48.41	64.33	40.11	43.17	19.86	21.13	0.42	nan	nan	nan	nan	nan	nan	-5.44226990882289
Contig10049	246	0.455284552846	164	0.414634146341	82	0.536585365854	14	45.53	48.78	34.15	53.66	41.38	41.62	20.62	19.74	nan	nan	nan	nan	nan	nan	nan	-14.8798506979832
Contig10059	411	0.591240875912	274	0.463503649635	137	0.846715328467	28	59.12	67.15	25.55	84.67	32.15	41.55	15.59	18.74	0.41	nan	nan	nan	nan	nan	nan	-7.32379285101364
Contig1006	704	0.555397727273	470	0.506382978723	234	0.653846153846	95	55.7	67.66	33.62	65.38	43.76	48.24	21.47	24.1	0.28	nan	nan	nan	nan	nan	nan	57.4847572304561
Contig10063	603	0.480928689884	402	0.485074626866	201	0.47263681592	16	48.09	52.74	44.28	47.26	49.55	50.99	24.7	25.34	0.24	nan	nan	nan	nan	nan	nan	-21.4374026507248
Contig10069	723	0.457814661134	482	0.448132780083	241	0.477178423237	15	45.78	50.62	39	47.72	48.65	49.41	23.36	23.36	0.31	nan	nan	nan	nan	nan	nan	-17.9913570974387
Contig10089	222	0.481981981982	148	0.466216216216	74	0.513513513514	21	48.2	51.35	41.89	51.35	36.87	38.95	18.07	18.85	nan	212	0.339622641509	168	0.369047619048	44	0.227272727273	-14.6602159095691
Contig1009	1230	0.39837398374	820	0.401219512195	410	0.392682926829	50	39.84	48.05	32.2	39.27	46.42	49.47	21.82	22.76	0.36	28	0.285714285714	28	0.285714285714	nan	nan	22.4138521439796
Contig10095	231	0.489177489177	154	0.519480519481	77	0.428571428571	13	48.92	62.34	41.56	42.86	34.65	36.22	14.43	15.78	nan	nan	nan	nan	nan	nan	nan	-24.081958696828
Contig101	276	0.561594202899	184	0.489130434783	92	0.70652173913	117	56.16	61.96	35.87	70.65	33.04	35.23	14.06	13.92	nan	nan	nan	nan	nan	nan	nan	79.476991787559
Contig1012	399	0.501253132832	266	0.488721804511	133	0.526315789474	88	50.13	54.89	42.86	52.63	46.74	46.64	21.56	21.28	0.41	1044	0.478927203065	nan	nan	1044	0.478927203065	50.4828429853085
Contig10124	291	0.426116838488	194	0.329896907216	97	0.618556701031	17	42.61	40.21	25.77	61.86	37.87	40.36	15.97	16.25	nan	nan	nan	nan	nan	nan	nan	-9.99062139362801
Contig1015	285	0.557894736842	190	0.521052631579	95	0.631578947368	54	55.79	60	44.21	63.16	37.64	39.40	20.22	21.21	nan	2996	0.499666221629	2996	0.499666221629	nan	nan	16.9880685122712
Contig10151	615	0.424390243902	410	0.421951219512	205	0.429268292683	18	42.44	43.41	40.98	42.93	43.77	45.40	18.43	19.31	0.38	nan	nan	nan	nan	nan	nan	-11.7109662558494
Contig10169	201	0.512437810945	134	0.55223880597	67	0.432835820896	16	51.24	59.7	50.75	43.28	37.78	38.46	19.52	19.93	nan	nan	nan	nan	nan	nan	nan	-19.3487161186722
Contig1017	354	0.378531073446	236	0.419491525424	118	0.296610169492	19	37.85	50	33.9	29.66	41.37	48.36	19.77	22.1	0.15	46	0.434782608696	46	0.434782608696	nan	nan	-10.4247929688752
Contig10178	384	0.583333333333	256	0.49609375	128	0.7578125	45	58.33	55.47	43.75	75.78	38.86	44.80	19.87	22.93	0.35	nan	nan	nan	nan	nan	nan	7.43347135360305
Contig1020	726	0.464187327824	484	0.469008264463	242	0.454545454545	45	46.42	50.83	42.98	45.45	51.78	52.13	26.63	26.88	0.26	350	0.394285714286	302	0.390728476821	48	0.416666666667	8.96955110646118
Contig10235	1617	0.414965986395	1078	0.430426716141	539	0.384044526902	46	41.5	50.83	35.25	38.4	48.82	52.30	23.83	26.2	0.22	236	0.322033898305	236	0.322033898305	nan	nan	15.2699598799954
Contig1024	746	0.508042895442	498	0.435742971888	248	0.653225806452	31	50.94	59.44	27.71	65.32	41.53	44.76	19.36	19.49	0.42	nan	nan	nan	nan	nan	nan	-0.383203393803971
Contig1025	224	0.544642857143	150	0.546666666667	74	0.540540540541	44	54.95	70.67	38.67	54.05	36.07	38.71	17.11	18.54	nan	nan	nan	nan	nan	nan	nan	8.31819760537671
Contig10253	1008	0.44246031746	672	0.436011904762	336	0.455357142857	46	44.25	50	37.2	45.54	50.44	50.41	24.59	25.12	0.27	nan	nan	nan	nan	nan	nan	14.583005560279
Contig1026	660	0.369696969697	440	0.4	220	0.309090909091	33	36.97	46.36	33.64	30.91	47.06	52.49	23.89	26.58	0.23	940	0.370212765957	940	0.370212765957	nan	nan	5.51317023363843
Contig10262	258	0.422480620155	172	0.412790697674	86	0.441860465116	27	42.25	56.98	25.58	44.19	39.62	40.20	16.34	16.22	nan	nan	nan	nan	nan	nan	nan	-1.6815735773766
Contig10269	223	0.417040358744	149	0.429530201342	74	0.391891891892	13	41.89	52	33.78	39.19	38.65	42.54	17.14	18.5	nan	nan	nan	nan	nan	nan	nan	-17.6207426288729
Contig1027	804	0.512437810945	536	0.473880597015	268	0.589552238806	55	51.24	51.12	43.66	58.96	50.37	52.25	24.05	24.82	0.29	3386	0.521264028352	3386	0.521264028352	nan	nan	18.3420634292336
Contig1028	711	0.56258790436	474	0.552742616034	237	0.582278481013	100	56.26	62.45	48.1	58.23	47.63	50.09	23.16	24.38	0.31	2834	0.559280169372	2776	0.557997118156	58	0.620689655172	64.6821772382703
Contig1031	1161	0.472006890612	774	0.505167958656	387	0.405684754522	42	47.2	51.94	49.1	40.57	51.08	52.87	25.76	27.66	0.21	6340	0.403627760252	5856	0.39924863388	484	0.456611570248	4.46375067876725
Contig10339	230	0.495652173913	154	0.441558441558	76	0.605263157895	11	50	57.14	31.17	60.53	35.52	37.37	16.31	15.35	nan	nan	nan	nan	nan	nan	nan	-21.130686377514
Contig10358	331	0.389728096677	221	0.443438914027	110	0.281818181818	48	39.09	45.05	43.64	28.18	36	38.33	13.44	18.58	0.42	nan	nan	nan	nan	nan	nan	15.6229913189241
Contig1036	828	0.520531400966	552	0.498188405797	276	0.565217391304	112	52.05	58.7	40.94	56.52	48.82	50.41	22.75	24.36	0.31	4456	0.379712746858	4456	0.379712746858	nan	nan	74.4286524474632
