loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig38978	285	0.540350877193	190	0.510526315789	95	0.6	22	54.04	54.74	47.37	60.00	42.76	42.70	20.42	19.62	nan
Contig38977	459	0.616557734205	306	0.581699346405	153	0.686274509804	13	61.66	67.32	49.02	68.63	42.70	46.17	21.00	24.16	0.30
Contig60548	322	0.586956521739	215	0.506976744186	107	0.747663551402	11	58.88	62.04	39.25	74.77	37.04	39.18	19.49	19.88	0.39
Contig18451	666	0.557057057057	444	0.533783783784	222	0.603603603604	74	55.71	58.11	48.65	60.36	50.17	52.45	25.81	26.75	0.25
Contig18450	1596	0.545739348371	1064	0.511278195489	532	0.614661654135	33	54.57	56.95	45.30	61.47	49.59	52.44	24.45	26.37	0.24
Contig60542	1884	0.553609341826	1256	0.509554140127	628	0.641719745223	25	55.36	52.39	49.52	64.17	50.81	54.66	25.21	27.32	0.24
Contig60543	1674	0.540621266428	1116	0.459677419355	558	0.702508960573	40	54.06	53.58	38.35	70.25	45.61	50.00	22.51	24.03	0.30
Contig60544	1143	0.475940507437	762	0.51312335958	381	0.40157480315	39	47.59	58.53	44.09	40.16	52.51	53.38	25.35	26.62	0.26
Contig18454	3179	0.486316451714	2120	0.466037735849	1059	0.526912181303	59	48.66	55.38	37.83	52.69	52.45	53.10	25.82	25.82	0.25
Contig18457	780	0.498717948718	520	0.492307692308	260	0.511538461538	17	49.87	58.46	40.00	51.15	48.46	48.26	23.07	23.23	0.32
Contig18456	285	0.624561403509	190	0.621052631579	95	0.631578947368	45	62.46	74.74	49.47	63.16	38.21	40.67	20.62	21.31	nan
Contig15298	586	0.540955631399	391	0.503836317136	195	0.615384615385	81	54.19	60.20	40.51	61.54	41.82	44.35	19.72	20.30	0.40
Contig15299	1101	0.477747502271	734	0.430517711172	367	0.572207084469	46	47.77	49.86	36.24	57.22	51.34	51.77	25.96	25.86	0.25
Contig10669	621	0.428341384863	414	0.398550724638	207	0.487922705314	46	42.83	44.44	35.27	48.79	49.26	49.26	22.36	22.51	0.31
Contig10666	339	0.59587020649	226	0.491150442478	113	0.805309734513	82	59.59	61.95	36.28	80.53	33.52	40.93	16.19	20.03	0.40
Contig10665	1254	0.538277511962	836	0.458133971292	418	0.698564593301	64	53.83	51.67	39.95	69.86	45.49	52.74	22.21	25.63	0.27
Contig10662	1407	0.580668088131	938	0.480810234542	469	0.780383795309	41	58.07	53.30	42.86	78.04	41.05	52.12	21.52	26.28	0.20
Contig15291	834	0.509592326139	556	0.476618705036	278	0.575539568345	11	50.96	53.60	41.73	57.55	51.25	51.81	25.84	24.94	0.24
Contig10660	375	0.437333333333	250	0.4	125	0.512	72	43.73	47.20	32.80	51.20	45.74	46.30	21.48	20.90	0.34
Contig10661	789	0.552598225602	526	0.51711026616	263	0.623574144487	148	55.26	56.27	47.15	62.36	44.43	46.90	22.18	22.02	0.32
Contig11138	1794	0.491081382386	1196	0.439799331104	598	0.59364548495	45	49.11	50.67	37.29	59.36	52.30	54.30	25.79	27.49	0.17
Contig11134	204	0.460784313725	136	0.433823529412	68	0.514705882353	51	46.08	51.47	35.29	51.47	37.45	36.76	17.81	17.75	nan
Contig11137	438	0.591324200913	292	0.489726027397	146	0.794520547945	124	59.13	56.16	41.78	79.45	34.53	41.21	17.04	19.08	0.37
Contig8008	1347	0.558277654046	898	0.476614699332	449	0.721603563474	54	55.83	53.67	41.65	72.16	41.80	48.51	20.32	23.03	0.32
Contig8009	1893	0.553090332805	1262	0.492868462758	631	0.6735340729	41	55.31	55.63	42.95	67.35	49.79	54.79	25.32	27.72	0.20
