loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig539316	nan	nan	nan	nan	nan	nan
Contig387222	nan	nan	nan	nan	nan	nan
Contig534545	nan	nan	nan	nan	nan	nan
Contig29708	nan	nan	nan	nan	nan	nan
Contig539311	nan	nan	nan	nan	nan	nan
Contig29704	nan	nan	nan	nan	nan	nan
Contig29706	1182	0.368020304569	1182	0.368020304569	nan	nan
Contig539649	334	0.377245508982	334	0.377245508982	nan	nan
Contig29700	nan	nan	nan	nan	nan	nan
Contig617342	772	0.281088082902	772	0.281088082902	nan	nan
Contig591009	nan	nan	nan	nan	nan	nan
Contig72486	396	0.343434343434	396	0.343434343434	nan	nan
Contig26825	22	0.545454545455	22	0.545454545455	nan	nan
Contig402348	nan	nan	nan	nan	nan	nan
Contig26826	nan	nan	nan	nan	nan	nan
Contig263001	nan	nan	nan	nan	nan	nan
Contig145214	nan	nan	nan	nan	nan	nan
Contig263005	nan	nan	nan	nan	nan	nan
Contig313725	nan	nan	nan	nan	nan	nan
Contig145213	nan	nan	nan	nan	nan	nan
Contig584772	536	0.313432835821	68	0.294117647059	468	0.316239316239
Contig357383	118	0.440677966102	118	0.440677966102	nan	nan
Contig35742	nan	nan	nan	nan	nan	nan
Contig35745	nan	nan	nan	nan	nan	nan
Contig18457	186	0.338709677419	186	0.338709677419	nan	nan
Contig306088	278	0.381294964029	nan	nan	278	0.381294964029
Contig465382	nan	nan	nan	nan	nan	nan
Contig363194	nan	nan	nan	nan	nan	nan
Contig15297	570	0.419298245614	570	0.419298245614	nan	nan
Contig200154	nan	nan	nan	nan	nan	nan
Contig15292	nan	nan	nan	nan	nan	nan
Contig255357	nan	nan	nan	nan	nan	nan
Contig285562	nan	nan	nan	nan	nan	nan
Contig133150	nan	nan	nan	nan	nan	nan
Contig332311	nan	nan	nan	nan	nan	nan
Contig135697	nan	nan	nan	nan	nan	nan
Contig40795	nan	nan	nan	nan	nan	nan
Contig75010	1420	0.365492957746	1420	0.365492957746	nan	nan
Contig114008	118	0.423728813559	118	0.423728813559	nan	nan
Contig182091	nan	nan	nan	nan	nan	nan
Contig316396	nan	nan	nan	nan	nan	nan
Contig469229	nan	nan	nan	nan	nan	nan
Contig292720	nan	nan	nan	nan	nan	nan
Contig259860	nan	nan	nan	nan	nan	nan
Contig590226	148	0.202702702703	148	0.202702702703	nan	nan
Contig95670	nan	nan	nan	nan	nan	nan
Contig166586	nan	nan	nan	nan	nan	nan
Contig439446	nan	nan	nan	nan	nan	nan
Contig266377	130	0.276923076923	130	0.276923076923	nan	nan
Contig23780	nan	nan	nan	nan	nan	nan
Contig527998	146	0.479452054795	146	0.479452054795	nan	nan
Contig57711	824	0.308252427184	824	0.308252427184	nan	nan
Contig122606	nan	nan	nan	nan	nan	nan
Contig404	nan	nan	nan	nan	nan	nan
Contig122603	nan	nan	nan	nan	nan	nan
Contig527991	nan	nan	nan	nan	nan	nan
Contig15341	nan	nan	nan	nan	nan	nan
Contig37423	nan	nan	nan	nan	nan	nan
Contig431146	116	0.344827586207	nan	nan	98	0.326530612245
Contig188136	nan	nan	nan	nan	nan	nan
Contig53620	nan	nan	nan	nan	nan	nan
Contig133333	nan	nan	nan	nan	nan	nan
Contig608843	nan	nan	nan	nan	nan	nan
Contig413380	nan	nan	nan	nan	nan	nan
Contig225564	nan	nan	nan	nan	nan	nan
Contig502195	160	0.36875	160	0.36875	nan	nan
Contig513999	1088	0.361213235294	1088	0.361213235294	nan	nan
Contig87543	252	0.337301587302	252	0.337301587302	nan	nan
Contig182273	nan	nan	nan	nan	nan	nan
Contig186205	nan	nan	nan	nan	nan	nan
Contig491056	nan	nan	nan	nan	nan	nan
Contig31115	nan	nan	nan	nan	nan	nan
Contig291038	200	0.37	44	0.5	156	0.333333333333
Contig286255	nan	nan	nan	nan	nan	nan
Contig385430	nan	nan	nan	nan	nan	nan
Contig517289	nan	nan	nan	nan	nan	nan
Contig496970	684	0.264619883041	684	0.264619883041	nan	nan
Contig558111	nan	nan	nan	nan	nan	nan
Contig17296	nan	nan	nan	nan	nan	nan
Contig23834	204	0.352941176471	nan	nan	204	0.352941176471
Contig24289	nan	nan	nan	nan	nan	nan
Contig17295	258	0.399224806202	258	0.399224806202	nan	nan
Contig380942	44	0.318181818182	44	0.318181818182	nan	nan
Contig380231	nan	nan	nan	nan	nan	nan
Contig6307	nan	nan	nan	nan	nan	nan
Contig41028	220	0.45	220	0.45	nan	nan
Contig443306	1712	0.317172897196	1712	0.317172897196	nan	nan
Contig466411	nan	nan	nan	nan	nan	nan
Contig15830	nan	nan	nan	nan	nan	nan
Contig484291	nan	nan	nan	nan	nan	nan
Contig542281	nan	nan	nan	nan	nan	nan
Contig265398	nan	nan	nan	nan	nan	nan
Contig616830	918	0.344226579521	nan	nan	918	0.344226579521
Contig376038	88	0.340909090909	88	0.340909090909	nan	nan
Contig616833	120	0.383333333333	120	0.383333333333	nan	nan
Contig168328	nan	nan	nan	nan	nan	nan
Contig558623	nan	nan	nan	nan	nan	nan
Contig429515	nan	nan	nan	nan	nan	nan
Contig413036	2476	0.366720516963	2476	0.366720516963	nan	nan
Contig585134	nan	nan	nan	nan	nan	nan
Contig275249	nan	nan	nan	nan	nan	nan
Contig585425	nan	nan	nan	nan	nan	nan
Contig620038	nan	nan	nan	nan	nan	nan
Contig4880	nan	nan	nan	nan	nan	nan
Contig326380	nan	nan	nan	nan	nan	nan
Contig558546	350	0.451428571429	nan	nan	350	0.451428571429
Contig225302	nan	nan	nan	nan	nan	nan
Contig280557	168	0.369047619048	168	0.369047619048	nan	nan
Contig280002	nan	nan	nan	nan	nan	nan
Contig14403	102	0.411764705882	nan	nan	102	0.411764705882
