loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig29709	396	0.517676767677	264	0.503787878788	132	0.545454545455	15	51.77	46.21	54.55	54.55	43.34	44.55	21.24	21.80	0.38
Contig50599	204	0.460784313725	136	0.470588235294	68	0.441176470588	27	46.08	45.59	48.53	44.12	34.96	36.71	12.39	12.11	nan
Contig16129	1476	0.465447154472	984	0.485772357724	492	0.424796747967	23	46.54	51.02	46.14	42.48	51.89	52.90	25.34	24.95	0.28
Contig50591	1761	0.516183986371	1174	0.559625212947	587	0.42930153322	20	51.62	63.54	48.38	42.93	52.95	53.40	26.27	27.44	0.17
Contig56502	255	0.356862745098	170	0.358823529412	85	0.352941176471	13	35.69	38.82	32.94	35.29	38.08	41.50	18.23	19.20	nan
Contig38979	285	0.305263157895	190	0.326315789474	95	0.263157894737	15	30.53	40.00	25.26	26.32	35.28	43.77	16.77	20.32	nan
Contig150430	245	0.477551020408	164	0.457317073171	81	0.518518518519	21	48.15	51.22	40.24	51.85	37.59	38.23	16.07	16.13	nan
Contig38974	216	0.49537037037	144	0.513888888889	72	0.458333333333	22	49.54	48.61	54.17	45.83	37.17	38.07	19.03	19.82	nan
Contig148331	309	0.378640776699	206	0.373786407767	103	0.388349514563	15	37.86	38.83	35.92	38.83	36.78	38.01	17.53	19.35	0.39
Contig60548	1716	0.447552447552	1144	0.444055944056	572	0.454545454545	26	44.76	46.50	42.31	45.45	52.61	54.33	26.72	27.49	0.20
Contig12808	1101	0.425068119891	734	0.420980926431	367	0.433242506812	23	42.51	50.95	33.24	43.32	48.95	50.37	23.09	24.81	0.29
Contig35740	900	0.432222222222	600	0.406666666667	300	0.483333333333	38	43.22	47.33	34.00	48.33	47.23	49.30	21.36	22.67	0.27
Contig12807	207	0.444444444444	138	0.449275362319	69	0.434782608696	28	44.44	46.38	43.48	43.48	32.51	34.28	12.41	12.88	nan
Contig79546	225	0.431111111111	150	0.44	75	0.413333333333	225	43.11	45.33	42.67	41.33	35.99	35.93	17.97	17.62	nan
Contig35745	270	0.514814814815	180	0.5	90	0.544444444444	184	51.48	60.00	40.00	54.44	37.63	39.78	17.75	18.60	nan
Contig15298	309	0.411003236246	206	0.417475728155	103	0.398058252427	50	41.10	47.57	35.92	39.81	30.51	33.53	13.58	17.84	0.43
Contig284875	261	0.371647509579	174	0.350574712644	87	0.413793103448	22	37.16	32.18	37.93	41.38	32.13	36.52	13.04	12.93	nan
Contig10667	1475	0.465762711864	984	0.462398373984	491	0.47250509165	56	46.64	52.64	39.84	47.25	47.78	48.39	21.91	22.20	0.36
Contig136340	230	0.478260869565	154	0.512987012987	76	0.407894736842	28	48.25	67.53	35.06	40.79	38.34	39.44	17.70	18.08	nan
Contig136343	486	0.487654320988	324	0.453703703704	162	0.555555555556	14	48.77	52.47	38.27	55.56	39.70	41.23	17.43	17.28	0.46
Contig71710	237	0.37552742616	158	0.360759493671	79	0.405063291139	23	37.55	34.18	37.97	40.51	38.45	42.51	16.70	19.57	nan
Contig464471	1173	0.447570332481	782	0.459079283887	391	0.424552429668	13	44.76	50.90	40.92	42.46	51.00	52.96	26.13	27.33	0.23
Contig114002	791	0.452591656131	528	0.469696969697	263	0.41825095057	65	45.37	48.11	45.83	41.83	50.26	51.29	24.21	25.79	0.23
Contig114551	306	0.40522875817	204	0.406862745098	102	0.401960784314	17	40.52	39.22	42.16	40.20	37.26	39.34	15.61	17.01	0.48
Contig11134	321	0.339563862928	214	0.322429906542	107	0.373831775701	22	33.96	31.78	32.71	37.38	40.17	41.96	17.96	17.86	0.44
Contig75012	491	0.482688391039	328	0.557926829268	163	0.331288343558	31	48.47	56.10	55.49	33.13	43.58	46.56	22.01	24.89	0.30
Contig137832	210	0.495238095238	140	0.514285714286	70	0.457142857143	42	49.52	50.00	52.86	45.71	33.94	34.77	15.79	15.31	nan
Contig408	948	0.477848101266	632	0.48417721519	316	0.465189873418	14	47.78	53.80	43.04	46.52	48.95	49.46	24.72	25.40	0.27
