loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig28627	nan	nan	nan	nan	nan	nan
Contig92292	nan	nan	nan	nan	nan	nan
Contig29709	nan	nan	nan	nan	nan	nan
Contig16128	nan	nan	nan	nan	nan	nan
Contig16126	nan	nan	nan	nan	nan	nan
Contig72489	nan	nan	nan	nan	nan	nan
Contig16120	nan	nan	nan	nan	nan	nan
Contig26821	158	0.322784810127	nan	nan	158	0.322784810127
Contig17555	nan	nan	nan	nan	nan	nan
Contig26501	nan	nan	nan	nan	nan	nan
Contig69785	406	0.295566502463	304	0.302631578947	102	0.274509803922
Contig56507	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig6561	nan	nan	nan	nan	nan	nan
Contig56447	434	0.322580645161	434	0.322580645161	nan	nan
Contig21553	nan	nan	nan	nan	nan	nan
Contig105638	nan	nan	nan	nan	nan	nan
Contig60548	nan	nan	nan	nan	nan	nan
Contig12808	234	0.290598290598	234	0.290598290598	nan	nan
Contig18450	58	0.413793103448	nan	nan	58	0.413793103448
Contig18453	nan	nan	nan	nan	nan	nan
Contig18452	48	0.208333333333	nan	nan	48	0.208333333333
Contig35745	228	0.333333333333	228	0.333333333333	nan	nan
Contig18457	86	0.290697674419	nan	nan	74	0.283783783784
Contig12803	140	0.3	nan	nan	140	0.3
Contig11376	nan	nan	nan	nan	nan	nan
Contig50332	nan	nan	nan	nan	nan	nan
Contig10669	194	0.309278350515	168	0.285714285714	26	0.461538461538
Contig15294	nan	nan	nan	nan	nan	nan
Contig10667	4636	0.306514236411	4244	0.310320452403	392	0.265306122449
Contig10664	nan	nan	nan	nan	nan	nan
Contig10662	246	0.321138211382	246	0.321138211382	nan	nan
Contig15446	nan	nan	nan	nan	nan	nan
Contig15293	nan	nan	nan	nan	nan	nan
Contig45007	146	0.328767123288	nan	nan	146	0.328767123288
Contig75018	nan	nan	nan	nan	nan	nan
Contig11135	3432	0.306235431235	3070	0.303908794788	362	0.325966850829
Contig11137	nan	nan	nan	nan	nan	nan
Contig26169	nan	nan	nan	nan	nan	nan
Contig11131	182	0.373626373626	nan	nan	182	0.373626373626
Contig11130	nan	nan	nan	nan	nan	nan
Contig69855	nan	nan	nan	nan	nan	nan
Contig14792	nan	nan	nan	nan	nan	nan
Contig106170	118	0.322033898305	118	0.322033898305	nan	nan
Contig91319	nan	nan	nan	nan	nan	nan
Contig102211	378	0.391534391534	378	0.391534391534	nan	nan
Contig8006	nan	nan	nan	nan	nan	nan
Contig8007	350	0.348571428571	350	0.348571428571	nan	nan
Contig8004	nan	nan	nan	nan	nan	nan
Contig95675	nan	nan	nan	nan	nan	nan
Contig8002	nan	nan	nan	nan	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig8001	68	0.205882352941	nan	nan	68	0.205882352941
Contig57719	nan	nan	nan	nan	nan	nan
Contig99124	1430	0.275524475524	1394	0.277618364419	36	0.194444444444
Contig79729	nan	nan	nan	nan	nan	nan
Contig100546	nan	nan	nan	nan	nan	nan
Contig97394	nan	nan	nan	nan	nan	nan
Contig15612	1914	0.316614420063	1872	0.317307692308	42	0.285714285714
Contig407	nan	nan	nan	nan	nan	nan
Contig53629	nan	nan	nan	nan	nan	nan
Contig58868	nan	nan	nan	nan	nan	nan
Contig96895	nan	nan	nan	nan	nan	nan
Contig53623	nan	nan	nan	nan	nan	nan
Contig58865	nan	nan	nan	nan	nan	nan
Contig53621	nan	nan	nan	nan	nan	nan
Contig53626	nan	nan	nan	nan	nan	nan
Contig53157	nan	nan	nan	nan	nan	nan
Contig57310	nan	nan	nan	nan	nan	nan
Contig69149	nan	nan	nan	nan	nan	nan
Contig63169	nan	nan	nan	nan	nan	nan
Contig63168	nan	nan	nan	nan	nan	nan
Contig57429	nan	nan	nan	nan	nan	nan
Contig31112	nan	nan	nan	nan	nan	nan
Contig31443	nan	nan	nan	nan	nan	nan
Contig69146	nan	nan	nan	nan	nan	nan
Contig31440	nan	nan	nan	nan	nan	nan
Contig50021	nan	nan	nan	nan	nan	nan
Contig65399	640	0.3625	640	0.3625	nan	nan
Contig23839	332	0.271084337349	234	0.277777777778	98	0.255102040816
Contig17298	nan	nan	nan	nan	nan	nan
Contig17299	256	0.29296875	256	0.29296875	nan	nan
Contig17296	180	0.311111111111	180	0.311111111111	nan	nan
Contig17297	78	0.333333333333	34	0.176470588235	44	0.454545454545
Contig17294	190	0.273684210526	190	0.273684210526	nan	nan
Contig23836	522	0.287356321839	522	0.287356321839	nan	nan
Contig17292	nan	nan	nan	nan	nan	nan
Contig17290	320	0.38125	nan	nan	320	0.38125
Contig35350	nan	nan	nan	nan	nan	nan
Contig108731	116	0.26724137931	102	0.303921568627	nan	nan
Contig41028	nan	nan	nan	nan	nan	nan
Contig41937	nan	nan	nan	nan	nan	nan
Contig41021	nan	nan	nan	nan	nan	nan
Contig108197	nan	nan	nan	nan	nan	nan
Contig15837	598	0.327759197324	598	0.327759197324	nan	nan
Contig19329	98	0.448979591837	98	0.448979591837	nan	nan
Contig72809	nan	nan	nan	nan	nan	nan
Contig65125	nan	nan	nan	nan	nan	nan
Contig46032	nan	nan	nan	nan	nan	nan
Contig6398	1060	0.262264150943	1060	0.262264150943	nan	nan
Contig6399	nan	nan	nan	nan	nan	nan
Contig14404	528	0.287878787879	528	0.287878787879	nan	nan
Contig43779	nan	nan	nan	nan	nan	nan
Contig83596	nan	nan	nan	nan	nan	nan
Contig48506	nan	nan	nan	nan	nan	nan
Contig43776	nan	nan	nan	nan	nan	nan
Contig6394	nan	nan	nan	nan	nan	nan
Contig6395	178	0.213483146067	178	0.213483146067	nan	nan
Contig17472	310	0.277419354839	310	0.277419354839	nan	nan
Contig17473	nan	nan	nan	nan	nan	nan
Contig89186	146	0.315068493151	104	0.326923076923	42	0.285714285714
Contig12116	398	0.306532663317	398	0.306532663317	nan	nan
Contig928	3396	0.285041224971	1988	0.267102615694	1408	0.310369318182
Contig17474	nan	nan	nan	nan	nan	nan
Contig17475	nan	nan	nan	nan	nan	nan
Contig21883	nan	nan	nan	nan	nan	nan
Contig17479	nan	nan	nan	nan	nan	nan
Contig21887	nan	nan	nan	nan	nan	nan
Contig21884	nan	nan	nan	nan	nan	nan
Contig22169	938	0.282515991471	938	0.282515991471	nan	nan
Contig32519	nan	nan	nan	nan	nan	nan
Contig74729	nan	nan	nan	nan	nan	nan
Contig2899	3684	0.286373507058	3684	0.286373507058	nan	nan
Contig80095	nan	nan	nan	nan	nan	nan
Contig2725	2354	0.306711979609	2354	0.306711979609	nan	nan
Contig2724	1478	0.309878213802	672	0.235119047619	806	0.372208436725
Contig2727	nan	nan	nan	nan	nan	nan
Contig2894	nan	nan	nan	nan	nan	nan
Contig102032	nan	nan	nan	nan	nan	nan
Contig2723	1382	0.321997105644	1382	0.321997105644	nan	nan
Contig2722	68	0.352941176471	nan	nan	68	0.352941176471
Contig7559	nan	nan	nan	nan	nan	nan
Contig7558	nan	nan	nan	nan	nan	nan
