loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100007	228	0.385964912281	152	0.440789473684	76	0.276315789474	16	38.6	47.37	40.79	27.63	35.15	40.30	15.68	20.58	nan	nan	nan	nan	nan	nan	nan	-14.9731082845702
Contig100021	822	0.446472019465	548	0.456204379562	274	0.42700729927	31	44.65	51.82	39.42	42.7	44.71	46.37	20.68	22.33	0.33	nan	nan	nan	nan	nan	nan	-0.142249593394553
Contig100043	393	0.386768447837	262	0.442748091603	131	0.274809160305	18	38.68	48.85	39.69	27.48	37.61	42.84	15.77	19.54	0.33	nan	nan	nan	nan	nan	nan	-13.0233500122994
Contig100056	313	0.536741214058	209	0.545454545455	104	0.519230769231	17	53.85	60.95	48.08	51.92	36.42	37.47	19.47	19.73	0.42	nan	nan	nan	nan	nan	nan	-8.88362537429386
Contig100061	214	0.490654205607	143	0.51048951049	71	0.450704225352	13	49.3	62.5	39.44	45.07	31.34	33.48	13.03	14.32	nan	nan	nan	nan	nan	nan	nan	-14.6600862755779
Contig100062	942	0.364118895966	628	0.415605095541	314	0.261146496815	47	36.41	44.9	38.22	26.11	42.09	49.08	21.24	23.99	0.29	nan	nan	nan	nan	nan	nan	17.4424396653517
Contig100083	593	0.509274873524	396	0.59595959596	197	0.335025380711	63	51.1	71.72	47.47	33.5	40.55	45.37	17.98	22.53	0.35	nan	nan	nan	nan	nan	nan	37.4553208318321
Contig100094	367	0.403269754768	245	0.412244897959	122	0.385245901639	25	40.44	46.34	36.07	38.52	41.23	43.86	17.52	19.15	0.35	1144	0.377622377622	nan	nan	1144	0.377622377622	-4.29608671197655
Contig100099	789	0.433460076046	526	0.422053231939	263	0.456273764259	55	43.35	50.19	34.22	45.63	49.14	49.52	23.3	23.45	0.27	2004	0.318363273453	2004	0.318363273453	nan	nan	24.9864834511809
Contig1001	648	0.492283950617	432	0.479166666667	216	0.518518518519	48	49.23	58.33	37.5	51.85	47.67	49.81	24.66	25.01	0.24	708	0.361581920904	708	0.361581920904	nan	nan	17.8155483641184
Contig100101	222	0.387387387387	148	0.445945945946	74	0.27027027027	12	38.74	52.7	36.49	27.03	34.68	42.52	18.63	22.36	nan	nan	nan	nan	nan	nan	nan	-19.0892538551728
Contig100103	705	0.439716312057	470	0.470212765957	235	0.378723404255	27	43.97	52.77	41.28	37.87	46.35	48.86	22.82	23.08	0.31	nan	nan	nan	nan	nan	nan	-3.74779697850952
Contig100126	321	0.373831775701	214	0.415887850467	107	0.289719626168	27	37.38	42.99	40.19	28.97	38.24	41.85	17.75	16.84	0.41	1612	0.393300248139	1076	0.399628252788	536	0.380597014925	-2.57897156935952
Contig100133	942	0.450106157113	628	0.429936305732	314	0.490445859873	56	45.01	46.18	39.81	49.04	49.20	51.45	23.66	23.32	0.33	6098	0.337815677271	5872	0.33174386921	226	0.495575221239	25.5262088553632
Contig100144	351	0.378917378917	234	0.367521367521	117	0.401709401709	16	37.89	45.3	28.21	40.17	44.14	45.97	19.22	20.67	0.36	nan	nan	nan	nan	nan	nan	-10.2661377409451
Contig100147	264	0.450757575758	176	0.426136363636	88	0.5	16	45.08	45.45	39.77	50	41.83	43.44	18.59	18.5	nan	268	0.402985074627	nan	nan	268	0.402985074627	-14.2575457459861
Contig10019	481	0.511434511435	321	0.526479750779	160	0.48125	18	51.25	70.81	34.38	48.12	40.64	40.75	18.59	19.15	0.44	nan	nan	nan	nan	nan	nan	-8.68264720237194
Contig100199	612	0.392156862745	408	0.428921568627	204	0.31862745098	19	39.22	57.84	27.94	31.86	41.61	41.22	20.19	18.12	0.32	nan	nan	nan	nan	nan	nan	-11.416339947463
Contig1002	368	0.489130434783	246	0.532520325203	122	0.401639344262	50	49.18	61.79	44.72	40.16	42.84	43.33	20.98	22.61	0.37	nan	nan	nan	nan	nan	nan	23.6112807326827
Contig100210	1364	0.472873900293	910	0.469230769231	454	0.480176211454	34	47.36	54.51	39.34	48.02	51.87	52.13	25.4	25.51	0.24	nan	nan	nan	nan	nan	nan	3.20906866275078
Contig10022	408	0.463235294118	272	0.411764705882	136	0.566176470588	23	46.32	44.12	38.24	56.62	45.44	45.00	22.33	21.44	0.32	22	0.454545454545	22	0.454545454545	nan	nan	-6.2578471406192
Contig100248	239	0.401673640167	160	0.41875	79	0.367088607595	16	40.51	40	43.75	36.71	40.58	42.96	17.97	20.16	nan	nan	nan	nan	nan	nan	nan	-13.7891104256968
Contig100261	1992	0.398092369478	1328	0.420180722892	664	0.353915662651	62	39.81	52.56	31.48	35.39	46.92	52.57	21.88	25.16	0.27	530	0.332075471698	530	0.332075471698	nan	nan	32.1110295878716
Contig100265	3333	0.491749174917	2222	0.485598559856	1111	0.504050405041	41	49.17	57.52	39.6	50.41	52.23	53.09	26.3	26.29	0.21	2424	0.357260726073	2424	0.357260726073	nan	nan	11.3372896545574
Contig100274	204	0.504901960784	136	0.507352941176	68	0.5	11	50.49	54.41	47.06	50	39.60	41.84	17.08	18.44	nan	nan	nan	nan	nan	nan	nan	-16.907188072898
Contig100288	204	0.46568627451	136	0.536764705882	68	0.323529411765	15	46.57	52.94	54.41	32.35	35.15	37.05	15.13	16.69	nan	nan	nan	nan	nan	nan	nan	-11.2042775349063
Contig100292	450	0.431111111111	300	0.456666666667	150	0.38	29	43.11	54	37.33	38	41.32	44.00	18.41	19.89	0.44	2170	0.396774193548	2170	0.396774193548	nan	nan	-2.13740708377258
Contig100294	1011	0.421364985163	674	0.448071216617	337	0.367952522255	54	42.14	48.66	40.95	36.8	47.59	51.17	21.96	24.82	0.26	nan	nan	nan	nan	nan	nan	22.8778718354818
Contig100328	1275	0.47137254902	850	0.481176470588	425	0.451764705882	74	47.14	56.47	39.76	45.18	50.42	50.88	24.16	25.09	0.26	3012	0.354581673307	2374	0.332771693345	638	0.435736677116	43.9773241079083
Contig10033	1407	0.508884150675	938	0.464818763326	469	0.597014925373	57	50.89	53.94	39.02	59.7	51.05	53.90	25.93	26.15	0.25	3944	0.396298174442	3212	0.365815691158	732	0.530054644809	26.0428609740468
Contig100338	555	0.441441441441	370	0.483783783784	185	0.356756756757	54	44.14	48.11	48.65	35.68	47.39	47.98	21.2	25.91	0.18	nan	nan	nan	nan	nan	nan	24.1910535710871
Contig100342	261	0.44061302682	174	0.48275862069	87	0.35632183908	18	44.06	48.28	48.28	35.63	40.72	42.92	17.34	19.78	nan	nan	nan	nan	nan	nan	nan	-11.8929265322275
Contig100359	251	0.505976095618	168	0.553571428571	83	0.409638554217	13	51	59.52	51.19	40.96	40.41	40.78	20.01	20.92	nan	nan	nan	nan	nan	nan	nan	-12.6534015835548
Contig100362	573	0.394415357766	382	0.418848167539	191	0.34554973822	36	39.44	46.07	37.7	34.55	40.03	45.42	19.81	21.92	0.39	1000	0.412	1000	0.412	nan	nan	6.20391795104207
Contig100366	264	0.363636363636	176	0.426136363636	88	0.238636363636	25	36.36	44.32	40.91	23.86	35.35	40.73	13.2	14.97	nan	366	0.349726775956	366	0.349726775956	nan	nan	-5.25754574598614
Contig100367	1590	0.433333333333	1060	0.435849056604	530	0.428301886792	39	43.33	48.11	39.06	42.83	52.08	53.41	25.62	26.46	0.22	946	0.393234672304	750	0.413333333333	196	0.316326530612	8.21716235016785
Contig100374	1302	0.431643625192	868	0.435483870968	434	0.423963133641	36	43.16	53	34.1	42.4	49.97	52.06	23.53	25.08	0.24	432	0.398148148148	432	0.398148148148	nan	nan	5.2342615285238
Contig100378	594	0.462962962963	396	0.482323232323	198	0.424242424242	29	46.3	54.04	42.42	42.42	46.30	48.30	19.97	21.81	0.3	474	0.303797468354	474	0.303797468354	nan	nan	-0.928686869711917
Contig100385	240	0.433333333333	160	0.44375	80	0.4125	67	43.33	58.75	30	41.25	38.50	39.03	17.71	17.5	nan	174	0.505747126437	nan	nan	174	0.505747126437	35.9540899133324
Contig10039	345	0.536231884058	230	0.534782608696	115	0.539130434783	27	53.62	50.43	56.52	53.91	41.97	42.03	23.45	23.06	0.31	924	0.357142857143	924	0.357142857143	nan	nan	0.711859857899892
Contig100391	2517	0.462058005562	1678	0.45947556615	839	0.467222884386	38	46.21	54.59	37.31	46.72	49.27	51.99	23.59	24.43	0.25	516	0.375968992248	214	0.420560747664	302	0.344370860927	6.90525918793487
Contig100394	665	0.401503759398	444	0.403153153153	221	0.398190045249	14	40.27	49.1	31.53	39.82	44.35	45.93	20.18	21.34	0.29	nan	nan	nan	nan	nan	nan	-14.5587394536934
Contig100395	1488	0.559139784946	992	0.502016129032	496	0.673387096774	69	55.91	60.48	39.92	67.34	46.59	51.52	24.86	25.86	0.25	828	0.437198067633	828	0.437198067633	nan	nan	40.6441804362187
Contig100414	497	0.448692152918	332	0.448795180723	165	0.448484848485	23	45.05	43.37	46.39	44.85	47.57	48.23	22.34	23.18	0.33	nan	nan	nan	nan	nan	nan	-8.13105566301129
Contig100429	396	0.472222222222	264	0.473484848485	132	0.469696969697	22	47.22	62.88	31.82	46.97	42.15	44.48	19.23	20.85	0.42	346	0.393063583815	346	0.393063583815	nan	nan	-8.58333361619799
Contig10043	213	0.474178403756	142	0.471830985915	71	0.478873239437	16	47.42	47.89	46.48	47.89	40.42	39.94	22.2	21.35	nan	nan	nan	nan	nan	nan	nan	-14.6720094615033
Contig100438	528	0.479166666667	352	0.451704545455	176	0.534090909091	17	47.92	49.43	40.91	53.41	45.98	47.28	23.47	22.86	0.29	nan	nan	nan	nan	nan	nan	-14.1539327159567
Contig100446	1217	0.465078060805	812	0.498768472906	405	0.397530864198	53	46.58	56.9	42.86	39.75	48.10	49.54	23.25	25.46	0.25	nan	nan	nan	nan	nan	nan	24.3659489883559
Contig100457	1557	0.531149646757	1038	0.479768786127	519	0.633911368015	44	53.11	53.95	42	63.39	47.77	50.86	25.05	25.64	0.22	1186	0.43844856661	688	0.406976744186	498	0.481927710843	13.8634071354042
Contig100467	702	0.424501424501	468	0.459401709402	234	0.354700854701	24	42.45	50.85	41.03	35.47	42.17	47.60	21.85	23.39	0.27	nan	nan	nan	nan	nan	nan	-7.09613111608784
Contig100468	435	0.420689655172	290	0.472413793103	145	0.31724137931	21	42.07	60.69	33.79	31.72	41.71	47.46	20.09	23.39	0.29	452	0.371681415929	452	0.371681415929	nan	nan	-9.64258857318287
Contig100470	423	0.425531914894	282	0.492907801418	141	0.290780141844	25	42.55	51.06	47.52	29.08	41.09	45.80	20.46	22.51	0.35	nan	nan	nan	nan	nan	nan	-4.11744926656857
Contig100475	226	0.358407079646	151	0.397350993377	75	0.28	15	36	46.05	33.33	28	35.67	38.38	13.71	15.7	nan	nan	nan	nan	nan	nan	nan	-13.1036553700408
Contig100481	2529	0.42151047845	1686	0.432977461447	843	0.398576512456	32	42.15	45.55	41.04	39.86	51.16	53.83	24.95	26.31	0.21	nan	nan	nan	nan	nan	nan	1.35986306897644
