loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig10	435	0.508045977011	290	0.413793103448	145	0.696551724138	112	50.8	48.97	33.79	69.66	39.41	40.74	17.72	19.01	0.41	234	0.401709401709	102	0.294117647059	132	0.484848484848	83.3623458105343
Contig100	1083	0.560480147738	722	0.518005540166	361	0.645429362881	46	56.05	52.08	51.52	64.54	43.33	46.00	22.93	23.81	0.31	3088	0.37079015544	3088	0.37079015544	nan	nan	14.6352272418954
Contig10090	483	0.544513457557	322	0.496894409938	161	0.639751552795	36	54.45	55.9	43.48	63.98	44.92	48.40	22.48	23.89	0.29	532	0.556390977444	452	0.575221238938	80	0.45	4.10375315752322
Contig10091	804	0.546019900498	536	0.503731343284	268	0.630597014925	21	54.6	55.22	45.52	63.06	48.44	50.56	24.38	24.5	0.3	316	0.462025316456	316	0.462025316456	nan	nan	-10.7412459569817
Contig101	1443	0.599445599446	962	0.470893970894	481	0.856548856549	136	59.94	55.09	39.09	85.65	31.61	46.63	14.01	20.63	0.38	4516	0.386403897254	4516	0.386403897254	nan	nan	103.262377859837
Contig10109	423	0.593380614657	282	0.531914893617	141	0.716312056738	22	59.34	55.32	51.06	71.63	40.58	45.17	21.9	22.56	0.36	382	0.502617801047	338	0.526627218935	44	0.318181818182	-8.97237028882865
Contig10114	218	0.518348623853	146	0.534246575342	72	0.486111111111	9	52.31	57.53	49.32	48.61	35.48	36.80	15.05	15.34	nan	nan	nan	nan	nan	nan	nan	-21.9267602645525
Contig10146	228	0.513157894737	152	0.5	76	0.539473684211	7	51.32	57.89	42.11	53.95	40.26	41.58	18.14	18.57	nan	nan	nan	nan	nan	nan	nan	-24.8242149385825
Contig10175	468	0.547008547009	312	0.490384615385	156	0.660256410256	49	54.7	56.41	41.67	66.03	40.35	43.30	20.61	21.97	0.36	430	0.325581395349	382	0.298429319372	48	0.541666666667	16.8985892626673
Contig10191	285	0.522807017544	190	0.452631578947	95	0.663157894737	13	52.28	53.68	36.84	66.32	39.05	40.55	20.56	20.18	nan	nan	nan	nan	nan	nan	nan	-19.4866772189927
Contig102	690	0.48115942029	460	0.434782608696	230	0.573913043478	53	48.12	51.3	35.65	57.39	48.57	48.66	23.71	24.37	0.35	186	0.279569892473	186	0.279569892473	nan	nan	21.6832855566612
Contig1020	309	0.495145631068	206	0.45145631068	103	0.582524271845	13	49.51	57.28	33.01	58.25	36.90	36.59	15.97	15.5	0.47	nan	nan	nan	nan	nan	nan	-19.4369694436372
Contig10208	417	0.510791366906	278	0.460431654676	139	0.611510791367	18	51.08	46.76	45.32	61.15	43.02	42.57	19.62	19.17	0.41	168	0.440476190476	90	0.444444444444	78	0.435897435897	-14.6817345423707
Contig10233	288	0.534722222222	192	0.520833333333	96	0.5625	8	53.47	57.29	46.88	56.25	38.06	37.68	18.45	18.84	nan	nan	nan	nan	nan	nan	nan	-23.2771701210287
Contig10234	243	0.522633744856	162	0.469135802469	81	0.62962962963	10	52.26	51.85	41.98	62.96	32.46	32.61	14.88	15.13	nan	nan	nan	nan	nan	nan	nan	-22.7511533596935
