loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig15581	585	0.410256410256	390	0.417948717949	195	0.394871794872	26	41.03	39.49	44.10	39.49	45.69	48.80	20.87	23.00	0.30
Contig95789	218	0.481651376147	146	0.506849315068	72	0.430555555556	12	48.61	60.27	41.10	43.06	34.94	36.45	16.50	17.40	nan
Contig179195	237	0.350210970464	158	0.348101265823	79	0.354430379747	20	35.02	34.18	35.44	35.44	34.74	35.74	14.51	13.92	nan
Contig259919	370	0.4	247	0.433198380567	123	0.333333333333	13	40.11	54.84	31.71	33.33	40.69	41.33	21.30	19.99	0.33
Contig272395	408	0.379901960784	272	0.430147058824	136	0.279411764706	15	37.99	48.53	37.50	27.94	41.22	47.51	18.62	22.56	0.34
Contig127140	213	0.417840375587	142	0.5	71	0.253521126761	12	41.78	54.93	45.07	25.35	34.82	40.85	14.81	20.31	nan
Contig95780	260	0.392307692308	174	0.431034482759	86	0.313953488372	10	39.53	49.43	36.78	31.40	38.22	44.62	18.08	20.26	nan
Contig113523	216	0.375	144	0.381944444444	72	0.361111111111	18	37.50	38.89	37.50	36.11	35.44	35.83	17.34	16.33	nan
Contig270702	249	0.433734939759	166	0.5	83	0.301204819277	16	43.37	51.81	48.19	30.12	38.66	41.15	19.97	19.22	nan
Contig204057	228	0.40350877193	152	0.407894736842	76	0.394736842105	11	40.35	47.37	34.21	39.47	39.56	41.40	17.49	17.21	nan
Contig275584	1368	0.445175438596	912	0.424342105263	456	0.486842105263	36	44.52	50.88	33.99	48.68	55.13	55.06	28.54	28.62	0.19
Contig159730	390	0.394871794872	260	0.457692307692	130	0.269230769231	21	39.49	42.31	49.23	26.92	38.20	44.39	18.12	22.42	0.25
Contig95070	664	0.421686746988	443	0.424379232506	221	0.41628959276	39	42.23	51.80	33.03	41.63	45.11	46.77	21.94	23.65	0.29
Contig95071	516	0.426356589147	344	0.433139534884	172	0.412790697674	42	42.64	52.33	34.30	41.28	42.47	45.67	21.10	24.67	0.25
Contig104728	297	0.424242424242	198	0.419191919192	99	0.434343434343	12	42.42	45.45	38.38	43.43	37.93	38.97	15.95	16.56	nan
Contig118429	210	0.5	140	0.521428571429	70	0.457142857143	11	50.00	45.71	58.57	45.71	39.71	41.98	18.24	17.74	nan
Contig79832	921	0.447339847991	614	0.470684039088	307	0.400651465798	32	44.73	54.72	39.41	40.07	49.08	50.75	26.31	26.50	0.22
Contig271054	216	0.375	144	0.416666666667	72	0.291666666667	10	37.50	48.61	34.72	29.17	32.74	34.65	14.83	18.04	nan
Contig34641	234	0.397435897436	156	0.410256410256	78	0.371794871795	9	39.74	44.87	37.18	37.18	36.39	38.89	15.17	15.90	nan
Contig121963	458	0.355895196507	306	0.392156862745	152	0.282894736842	18	35.75	45.10	33.33	28.29	38.85	45.36	17.83	19.96	0.36
Contig156824	696	0.413793103448	464	0.418103448276	232	0.405172413793	23	41.38	46.55	37.07	40.52	48.94	51.93	23.15	26.21	0.26
Contig286252	213	0.431924882629	142	0.422535211268	71	0.450704225352	12	43.19	49.30	35.21	45.07	33.39	33.74	15.40	15.49	nan
Contig60549	252	0.329365079365	168	0.315476190476	84	0.357142857143	9	32.94	38.10	25.00	35.71	33.26	40.14	17.01	15.99	nan
Contig270501	215	0.386046511628	144	0.381944444444	71	0.394366197183	16	38.97	40.28	36.11	39.44	40.32	42.56	16.70	18.08	nan
Contig1468	555	0.396396396396	370	0.418918918919	185	0.351351351351	41	39.64	52.97	30.81	35.14	37.08	41.99	17.65	18.71	0.37
Contig18455	249	0.369477911647	166	0.385542168675	83	0.33734939759	33	36.95	46.99	30.12	33.73	38.96	40.07	16.10	16.81	nan
Contig50118	213	0.403755868545	142	0.359154929577	71	0.492957746479	10	40.38	40.85	30.99	49.30	37.45	37.28	16.51	16.61	nan
Contig251089	723	0.439834024896	482	0.460580912863	241	0.398340248963	14	43.98	56.43	35.68	39.83	48.20	49.01	23.97	24.02	0.31
Contig132629	366	0.396174863388	244	0.44262295082	122	0.303278688525	29	39.62	46.72	41.80	30.33	40.48	44.43	19.21	21.72	0.38
Contig36864	363	0.429752066116	242	0.438016528926	121	0.413223140496	14	42.98	52.07	35.54	41.32	39.61	41.41	19.16	19.53	0.44
Contig285186	744	0.424731182796	496	0.427419354839	248	0.41935483871	24	42.47	52.02	33.47	41.94	47.54	49.52	24.84	25.17	0.27
Contig266105	432	0.453703703704	288	0.440972222222	144	0.479166666667	16	45.37	52.78	35.42	47.92	47.77	50.94	22.08	24.29	0.29
Contig80470	516	0.406976744186	344	0.404069767442	172	0.412790697674	12	40.70	43.02	37.79	41.28	46.29	47.39	20.19	21.32	0.34
Contig133686	408	0.40931372549	272	0.415441176471	136	0.397058823529	24	40.93	50.00	33.09	39.71	40.29	40.47	16.77	18.98	0.37
Contig153307	684	0.41081871345	456	0.447368421053	228	0.337719298246	26	41.08	57.02	32.46	33.77	44.74	48.82	20.69	23.04	0.35
Contig71711	390	0.423076923077	260	0.419230769231	130	0.430769230769	35	42.31	40.00	43.85	43.08	40.10	46.51	18.63	18.93	0.42
Contig162228	206	0.407766990291	138	0.471014492754	68	0.279411764706	15	41.18	56.52	37.68	27.94	33.88	37.44	16.79	17.76	nan
Contig261951	207	0.386473429952	138	0.398550724638	69	0.36231884058	12	38.65	37.68	42.03	36.23	39.10	44.19	18.34	21.36	nan
Contig114555	231	0.463203463203	154	0.493506493506	77	0.402597402597	30	46.32	58.44	40.26	40.26	40.88	43.14	18.51	20.54	nan
Contig181177	354	0.338983050847	236	0.343220338983	118	0.330508474576	20	33.90	38.14	30.51	33.05	41.00	44.99	17.00	19.61	0.36
Contig11138	522	0.375478927203	348	0.399425287356	174	0.327586206897	25	37.55	42.53	37.36	32.76	39.98	44.41	17.90	21.33	0.38
Contig31203	210	0.419047619048	140	0.464285714286	70	0.328571428571	33	41.90	50.00	42.86	32.86	37.75	40.52	17.86	21.23	nan
Contig69030	870	0.351724137931	580	0.351724137931	290	0.351724137931	24	35.17	39.31	31.03	35.17	47.78	52.70	23.04	25.65	0.24
Contig72185	273	0.388278388278	182	0.428571428571	91	0.307692307692	26	38.83	54.95	30.77	30.77	34.81	36.67	17.25	16.32	nan
Contig53027	262	0.465648854962	175	0.445714285714	87	0.505747126437	35	46.74	53.41	35.63	50.57	39.50	40.60	16.95	17.51	nan
Contig114558	273	0.355311355311	182	0.351648351648	91	0.362637362637	11	35.53	40.66	29.67	36.26	35.13	38.95	13.55	15.32	nan
Contig179280	413	0.421307506053	276	0.420289855072	137	0.423357664234	36	42.34	51.45	32.61	42.34	41.67	44.03	19.01	20.47	0.37
Contig110013	306	0.588235294118	204	0.588235294118	102	0.588235294118	14	58.82	68.63	49.02	58.82	38.79	44.51	22.38	22.39	0.32
Contig30883	363	0.380165289256	242	0.400826446281	121	0.338842975207	21	38.02	45.45	34.71	33.88	41.77	44.18	19.18	21.75	0.34
Contig74017	384	0.447916666667	256	0.4765625	128	0.390625	40	44.79	53.12	42.19	39.06	38.10	40.49	18.48	23.46	0.26
Contig73496	1267	0.411996842936	845	0.466272189349	422	0.303317535545	26	41.23	53.43	39.81	30.33	42.99	49.56	21.09	26.21	0.24
Contig69856	837	0.376344086022	558	0.431899641577	279	0.26523297491	24	37.63	51.61	34.77	26.52	42.98	50.57	20.77	24.89	0.30
Contig184574	597	0.410385259631	398	0.447236180905	199	0.336683417085	17	41.04	49.25	40.20	33.67	42.34	48.49	21.04	23.64	0.30
Contig74012	267	0.397003745318	178	0.404494382022	89	0.38202247191	10	39.70	46.07	34.83	38.20	39.38	40.81	18.40	17.73	nan
Contig190168	444	0.407657657658	296	0.429054054054	148	0.364864864865	18	40.77	45.95	39.86	36.49	44.11	48.42	19.14	21.78	0.35
Contig185843	588	0.391156462585	392	0.395408163265	196	0.382653061224	22	39.12	47.45	31.63	38.27	44.99	47.59	22.31	22.38	0.37
Contig111224	246	0.317073170732	164	0.310975609756	82	0.329268292683	11	31.71	36.59	25.61	32.93	38.84	44.30	14.52	18.61	nan
Contig80492	656	0.400914634146	438	0.445205479452	218	0.311926605505	41	40.21	47.95	41.10	31.19	44.50	50.63	19.85	24.77	0.28
Contig108013	255	0.419607843137	170	0.452941176471	85	0.352941176471	18	41.96	45.88	44.71	35.29	41.30	43.38	18.74	21.58	nan
Contig80494	888	0.458333333333	592	0.467905405405	296	0.439189189189	21	45.83	56.42	37.16	43.92	48.49	50.46	24.55	25.44	0.27
Contig80495	657	0.459665144597	438	0.490867579909	219	0.397260273973	28	45.97	55.71	42.47	39.73	45.48	49.61	22.90	26.53	0.28
Contig262120	519	0.368015414258	346	0.372832369942	173	0.35838150289	14	36.80	43.35	31.21	35.84	45.04	47.17	21.85	22.14	0.34
Contig160253	294	0.367346938776	196	0.372448979592	98	0.357142857143	16	36.73	40.82	33.67	35.71	40.67	41.32	17.84	19.41	nan
Contig25400	309	0.42071197411	206	0.485436893204	103	0.291262135922	16	42.07	50.49	46.60	29.13	36.79	39.04	17.29	20.10	0.40
Contig202108	444	0.38963963964	296	0.429054054054	148	0.310810810811	41	38.96	46.62	39.19	31.08	39.05	43.45	20.10	22.44	0.35
Contig263171	203	0.374384236453	136	0.382352941176	67	0.358208955224	12	37.81	45.59	30.88	35.82	37.33	40.52	13.27	15.84	nan
Contig74380	258	0.395348837209	172	0.372093023256	86	0.441860465116	30	39.53	40.70	33.72	44.19	37.29	40.27	17.40	18.17	nan
Contig273974	307	0.472312703583	205	0.473170731707	102	0.470588235294	11	47.39	51.46	43.14	47.06	42.96	42.20	19.06	19.27	0.49
Contig145100	225	0.453333333333	150	0.486666666667	75	0.386666666667	13	45.33	54.67	42.67	38.67	35.72	38.81	15.80	18.50	nan
Contig25408	207	0.405797101449	138	0.413043478261	69	0.391304347826	15	40.58	39.13	43.48	39.13	32.15	35.08	14.23	15.71	nan
Contig192018	1237	0.469684721099	825	0.501818181818	412	0.405339805825	35	47.01	55.45	44.90	40.53	49.84	51.95	25.68	26.72	0.23
Contig186324	604	0.468543046358	403	0.444168734491	201	0.517412935323	40	46.93	43.56	45.27	51.74	46.57	46.00	23.08	23.35	0.34
Contig187917	371	0.398921832884	248	0.415322580645	123	0.365853658537	15	40.11	48.39	34.68	36.59	41.32	44.10	20.36	21.04	0.37
Contig133449	309	0.433656957929	206	0.427184466019	103	0.446601941748	19	43.37	43.69	41.75	44.66	39.55	41.20	16.80	18.48	0.42
Contig36919	573	0.403141361257	382	0.387434554974	191	0.434554973822	41	40.31	49.21	28.27	43.46	43.33	45.85	21.18	22.16	0.36
