loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100005	348	0.353448275862	232	0.318965517241	116	0.422413793103	23	35.34	37.07	26.72	42.24	44.3	48.6	23.38	23.09	0.22	nan	nan	nan	nan	nan	nan	-27.0602210777876
Contig100054	243	0.38683127572	162	0.41975308642	81	0.320987654321	24	38.68	44.44	39.51	32.1	37.86	40.46	16	17.39	nan	nan	nan	nan	nan	nan	nan	-30.9720723844445
Contig100058	408	0.416666666667	272	0.419117647059	136	0.411764705882	36	41.67	51.47	32.35	41.18	44	45.58	20.08	21.53	0.33	nan	nan	nan	nan	nan	nan	-18.9417273023058
Contig100069	441	0.408163265306	294	0.397959183673	147	0.428571428571	39	40.82	43.54	36.05	42.86	50.38	50.6	24.85	24.37	0.25	nan	nan	nan	nan	nan	nan	-16.103920229008
Contig10007	223	0.363228699552	149	0.355704697987	74	0.378378378378	338	36.49	33.33	37.84	37.84	36.43	37.86	16.21	17.44	nan	nan	nan	nan	nan	nan	nan	283.382916265797
Contig100081	855	0.352046783626	570	0.371929824561	285	0.312280701754	58	35.2	47.02	27.37	31.23	47.33	53.04	24.37	26.98	0.23	1750	0.346285714286	1750	0.346285714286	nan	nan	2.58635439290235
Contig100084	216	0.393518518519	144	0.409722222222	72	0.361111111111	25	39.35	44.44	37.5	36.11	32.26	34.77	11.29	13.82	nan	nan	nan	nan	nan	nan	nan	-29.90104179559
Contig100126	426	0.453051643192	284	0.464788732394	142	0.429577464789	26	45.31	45.07	47.89	42.96	45.87	49.01	22.99	23.95	0.38	nan	nan	nan	nan	nan	nan	-34.1832446558402
Contig100161	501	0.389221556886	334	0.413173652695	167	0.341317365269	42	38.92	45.51	37.13	34.13	44.99	49.22	20.67	23.78	0.31	100	0.38	100	0.38	nan	nan	-12.8583210228999
Contig100173	282	0.41134751773	188	0.425531914894	94	0.382978723404	41	41.13	41.49	43.62	38.3	38.5	41.25	17.82	20.25	nan	72	0.305555555556	nan	nan	72	0.305555555556	-14.4835445646324
Contig100245	240	0.433333333333	160	0.45625	80	0.3875	26	43.33	50	41.25	38.75	39.01	41.02	19.21	20.19	nan	nan	nan	nan	nan	nan	nan	-33.4248205817251
Contig100280	374	0.422459893048	250	0.456	124	0.354838709677	30	42.47	50.4	40.8	35.48	38.2	40.87	17.73	17.53	0.5	nan	nan	nan	nan	nan	nan	-29.3987523214744
Contig100286	511	0.379647749511	341	0.384164222874	170	0.370588235294	33	38.04	43.86	32.94	37.06	43.48	45.44	18.27	20.7	0.44	nan	nan	nan	nan	nan	nan	-22.5147408293285
Contig100288	663	0.330316742081	442	0.35520361991	221	0.280542986425	37	33.03	39.37	31.67	28.05	44.4	51.09	22.78	23.8	0.27	nan	nan	nan	nan	nan	nan	-17.5805329452882
Contig100318	705	0.382978723404	470	0.408510638298	235	0.331914893617	39	38.3	50.21	31.49	33.19	44.21	47.96	20.53	22.28	0.35	nan	nan	nan	nan	nan	nan	-15.9180917868278
Contig100333	294	0.43537414966	196	0.479591836735	98	0.34693877551	44	43.54	50	45.92	34.69	40.37	45.06	20.43	23.03	nan	nan	nan	nan	nan	nan	nan	-17.1254001514859
Contig100361	603	0.53399668325	402	0.674129353234	201	0.253731343284	25	53.4	75.62	59.2	25.37	41.64	46.8	23.22	27.97	0.22	nan	nan	nan	nan	nan	nan	-55.900003785774
Contig100409	669	0.361733931241	446	0.399103139013	223	0.286995515695	22	36.17	42.6	37.22	28.7	39.25	44.94	15.84	20.01	0.44	nan	nan	nan	nan	nan	nan	-33.0639353308333
Contig100417	243	0.456790123457	162	0.493827160494	81	0.382716049383	46	45.68	55.56	43.21	38.27	35.18	36.59	13.04	14.66	nan	nan	nan	nan	nan	nan	nan	-15.715345590069
Contig100425	459	0.337690631808	306	0.31045751634	153	0.392156862745	63	33.77	31.37	30.72	39.22	37.91	44.84	15.51	19.61	0.39	nan	nan	nan	nan	nan	nan	14.5325334310917
Contig100441	522	0.442528735632	348	0.436781609195	174	0.454022988506	33	44.25	47.7	39.66	45.4	44.45	46.19	22.11	22.4	0.39	nan	nan	nan	nan	nan	nan	-23.8941027221778
Contig100463	729	0.377229080933	486	0.411522633745	243	0.308641975309	36	37.72	49.38	32.92	30.86	43.49	48.78	20.83	24.66	0.29	nan	nan	nan	nan	nan	nan	-18.875610614902
Contig100478	267	0.426966292135	178	0.494382022472	89	0.292134831461	30	42.7	39.33	59.55	29.21	35.3	39.81	16.78	20.19	nan	nan	nan	nan	nan	nan	nan	-31.7384564352407
Contig100520	279	0.4229390681	186	0.424731182796	93	0.41935483871	30	42.29	54.84	30.11	41.94	40.21	41.57	16.18	17.91	nan	nan	nan	nan	nan	nan	nan	-25.3935369833533
Contig100527	297	0.383838383838	198	0.378787878788	99	0.393939393939	21	38.38	39.39	36.36	39.39	39.73	42.22	18.02	19.63	nan	nan	nan	nan	nan	nan	nan	-34.5234733640552
Contig100536	339	0.457227138643	226	0.442477876106	113	0.486725663717	72	45.72	52.21	36.28	48.67	45.84	45.96	22.61	22.68	0.33	nan	nan	nan	nan	nan	nan	14.1629369719336
Contig10062	309	0.440129449838	206	0.446601941748	103	0.427184466019	27	44.01	57.28	32.04	42.72	42.13	44.95	20.08	21.82	0.32	nan	nan	nan	nan	nan	nan	-31.3602587556566
Contig100632	258	0.395348837209	172	0.46511627907	86	0.255813953488	53	39.53	41.86	51.16	25.58	38.13	36.83	19.03	19.47	nan	616	0.430194805195	616	0.430194805195	nan	nan	-7.20832317438111
Contig100655	285	0.442105263158	190	0.468421052632	95	0.389473684211	23	44.21	55.79	37.89	38.95	44.49	43.65	20.28	20.52	nan	nan	nan	nan	nan	nan	nan	-37.4510468516144
Contig100686	201	0.417910447761	134	0.440298507463	67	0.373134328358	36	41.79	52.24	35.82	37.31	35.91	38.21	12.93	14.78	nan	nan	nan	nan	nan	nan	nan	-21.4839818830866
Contig100695	276	0.405797101449	184	0.434782608696	92	0.347826086957	32	40.58	51.09	35.87	34.78	41.36	44.06	19.8	21.38	nan	nan	nan	nan	nan	nan	nan	-24.5914492706092
Contig100712	315	0.390476190476	210	0.452380952381	105	0.266666666667	42	39.05	49.52	40.95	26.67	40.17	49.67	18.87	23.85	0.29	82	0.292682926829	82	0.292682926829	nan	nan	-17.0062811374513
Contig100719	519	0.481695568401	346	0.476878612717	173	0.491329479769	38	48.17	45.09	50.29	49.13	47.62	47.38	22.2	22.01	0.31	578	0.266435986159	578	0.266435986159	nan	nan	-22.9831631739718
Contig100720	303	0.452145214521	202	0.440594059406	101	0.475247524752	54	45.21	50.5	37.62	47.52	38.79	40.09	17.98	18.94	0.34	nan	nan	nan	nan	nan	nan	-3.53351637475416
Contig100781	687	0.420669577875	458	0.397379912664	229	0.467248908297	38	42.07	44.1	35.37	46.72	48.42	50.13	24.47	25.08	0.3	nan	nan	nan	nan	nan	nan	-17.125320443042
Contig100837	243	0.41975308642	162	0.475308641975	81	0.308641975309	33	41.98	58.02	37.04	30.86	38.66	41.21	20.19	21.54	nan	nan	nan	nan	nan	nan	nan	-27.8944026593725
Contig100879	410	0.414634146341	274	0.401459854015	136	0.441176470588	43	41.67	45.26	35.04	44.12	45.47	47.91	23.14	23.4	0.31	nan	nan	nan	nan	nan	nan	-11.9950913576385
Contig100880	480	0.454166666667	320	0.478125	160	0.40625	40	45.42	60	35.62	40.62	42.84	46.85	20.22	21.67	0.37	nan	nan	nan	nan	nan	nan	-21.0502744623219
Contig100888	555	0.383783783784	370	0.437837837838	185	0.275675675676	65	38.38	47.57	40	27.57	42.4	51	21.14	24.81	0.23	nan	nan	nan	nan	nan	nan	7.93234166428643
Contig10091	240	0.391666666667	160	0.40625	80	0.3625	43	39.17	37.5	43.75	36.25	35.89	38.35	18.54	19.52	nan	nan	nan	nan	nan	nan	nan	-11.9402174857942
Contig100929	238	0.445378151261	159	0.465408805031	79	0.405063291139	46	44.73	56.25	36.71	40.51	40.37	41.27	16.5	17.24	nan	nan	nan	nan	nan	nan	nan	-14.2305662830499
Contig100938	665	0.371428571429	444	0.38963963964	221	0.334841628959	25	37.25	42.79	35.14	33.48	46.55	51.96	22.98	26.38	0.23	nan	nan	nan	nan	nan	nan	-30.4131737079581
Contig100939	201	0.398009950249	134	0.417910447761	67	0.358208955224	27	39.8	47.76	35.82	35.82	40.4	43.06	16.7	19.31	nan	nan	nan	nan	nan	nan	nan	-27.8979105338032
Contig10094	222	0.387387387387	148	0.378378378378	74	0.405405405405	38	38.74	50	25.68	40.54	40.47	42.76	17.34	18.67	nan	nan	nan	nan	nan	nan	nan	-17.5207179566077
Contig100967	888	0.44481981982	592	0.423986486486	296	0.486486486486	24	44.48	50.34	34.46	48.65	51.8	53.05	27.13	27.71	0.19	nan	nan	nan	nan	nan	nan	-31.3138445308312
Contig100968	973	0.424460431655	649	0.454545454545	324	0.364197530864	29	42.49	48.62	42.28	36.42	49.44	52.49	25.78	27.78	0.21	nan	nan	nan	nan	nan	nan	-30.2440062270198
Contig100970	372	0.413978494624	248	0.407258064516	124	0.427419354839	44	41.4	43.55	37.9	42.74	42.42	43.2	20.7	22.21	0.33	nan	nan	nan	nan	nan	nan	-10.9326274022397
Contig100976	443	0.451467268623	296	0.435810810811	147	0.482993197279	22	45.35	47.97	39.19	48.3	45.22	43.81	21.69	21.39	0.4	nan	nan	nan	nan	nan	nan	-34.741860375229
Contig100977	354	0.466101694915	236	0.423728813559	118	0.550847457627	25	46.61	41.53	43.22	55.08	46.47	46.44	23.25	23.3	0.34	nan	nan	nan	nan	nan	nan	-30.2873156732459
Contig100983	731	0.374829001368	488	0.383196721311	243	0.358024691358	34	37.59	42.21	34.43	35.8	44.82	50.56	23.23	24.6	0.28	nan	nan	nan	nan	nan	nan	-21.5224766865782
Contig100988	273	0.461538461538	182	0.467032967033	91	0.450549450549	34	46.15	47.25	46.15	45.05	40.83	42.77	19.27	21.63	nan	142	0.352112676056	142	0.352112676056	nan	nan	-26.351399186298
Contig10102	273	0.47619047619	182	0.423076923077	91	0.582417582418	25	47.62	45.05	39.56	58.24	36.08	39.9	14.5	15	nan	nan	nan	nan	nan	nan	nan	-30.222904031698
Contig101036	223	0.479820627803	149	0.496644295302	74	0.445945945946	25	48.2	57.33	41.89	44.59	40.38	40.53	18.46	19.33	nan	nan	nan	nan	nan	nan	nan	-36.834127213717
Contig101084	255	0.4	170	0.441176470588	85	0.317647058824	35	40	45.88	42.35	31.76	38.37	41.18	18.32	19.42	nan	nan	nan	nan	nan	nan	nan	-22.6299540630537
Contig101106	306	0.37908496732	204	0.377450980392	102	0.382352941176	22	37.91	43.14	32.35	38.24	41.37	42.5	19.65	18.84	0.36	nan	nan	nan	nan	nan	nan	-33.5126903617729
Contig101120	355	0.377464788732	237	0.409282700422	118	0.313559322034	40	37.85	54.62	27.12	31.36	40.72	42.59	18.06	19.91	0.34	nan	nan	nan	nan	nan	nan	-14.9074082818797
Contig101131	216	0.412037037037	144	0.465277777778	72	0.305555555556	25	41.2	47.22	45.83	30.56	31.23	35.17	14.27	15.96	nan	nan	nan	nan	nan	nan	nan	-35.220621228019
Contig101183	252	0.416666666667	168	0.410714285714	84	0.428571428571	45	41.67	55.95	26.19	42.86	37.27	38.85	16.5	17.24	nan	nan	nan	nan	nan	nan	nan	-9.88663497510097
Contig101198	276	0.315217391304	184	0.342391304348	92	0.260869565217	51	31.52	46.74	21.74	26.09	37.43	40.16	18.59	15.92	nan	334	0.48502994012	334	0.48502994012	nan	nan	-2.40425542213683
Contig101199	268	0.384328358209	179	0.413407821229	89	0.325842696629	49	38.58	47.78	34.83	32.58	37.18	41.56	17.8	20.6	nan	nan	nan	nan	nan	nan	nan	-5.85671145981885
Contig101231	201	0.427860696517	134	0.432835820896	67	0.417910447761	24	42.79	38.81	47.76	41.79	33.62	37.5	16.95	20.89	nan	nan	nan	nan	nan	nan	nan	-32.3489581556983
Contig101232	363	0.457300275482	242	0.487603305785	121	0.396694214876	64	45.73	58.68	38.84	39.67	44.34	44.23	21.64	21.47	0.39	nan	nan	nan	nan	nan	nan	2.53461773506672
Contig10127	425	0.390588235294	284	0.419014084507	141	0.333333333333	46	39.24	48.59	35.21	33.33	40.19	42.14	17.92	19.63	0.43	nan	nan	nan	nan	nan	nan	-8.93727712752313
Contig101295	1639	0.394142769982	1093	0.390667886551	546	0.401098901099	88	39.44	47.35	30.77	40.11	50.91	53.78	26.15	27.3	0.21	nan	nan	nan	nan	nan	nan	32.6192854954078
Contig101310	523	0.451242829828	349	0.467048710602	174	0.419540229885	31	45.21	47.43	45.98	41.95	44.53	46	22.55	22.73	0.38	nan	nan	nan	nan	nan	nan	-29.3525482057696
Contig101328	423	0.399527186761	282	0.425531914894	141	0.347517730496	23	39.95	43.97	41.13	34.75	38.86	43.1	17.95	21.63	0.36	nan	nan	nan	nan	nan	nan	-32.4835445646324
Contig101336	420	0.428571428571	280	0.464285714286	140	0.357142857143	33	42.86	47.14	45.71	35.71	45.96	50.26	25.54	26.88	0.17	nan	nan	nan	nan	nan	nan	-27.1443778003706
Contig101342	637	0.420722135008	425	0.416470588235	212	0.429245283019	28	42.14	50.23	33.02	42.92	47.63	48.4	23.69	23.74	0.34	nan	nan	nan	nan	nan	nan	-26.8664630960647
Contig101405	294	0.469387755102	196	0.44387755102	98	0.520408163265	25	46.94	52.04	36.73	52.04	41.19	41.52	17.21	18.75	nan	nan	nan	nan	nan	nan	nan	-33.0404913081888
Contig101406	262	0.469465648855	175	0.525714285714	87	0.35632183908	37	47.13	50	55.17	35.63	40.97	41.71	16.23	17.91	nan	nan	nan	nan	nan	nan	nan	-26.2916936428079
Contig101418	726	0.402203856749	484	0.452479338843	242	0.301652892562	45	40.22	50	40.5	30.17	45.78	50.22	25.44	27.1	0.2	1000	0.42	1000	0.42	nan	nan	-14.0172264750125
Contig101425	199	0.452261306533	133	0.526315789474	66	0.30303030303	22	45.45	53.73	51.52	30.3	37.53	43.3	17.97	20.2	nan	nan	nan	nan	nan	nan	nan	-41.3267540032586
Contig101447	232	0.409482758621	155	0.438709677419	77	0.350649350649	49	41.13	43.59	44.16	35.06	38.78	42.19	17.92	19.44	nan	nan	nan	nan	nan	nan	nan	-8.21462128994973
Contig101511	972	0.416666666667	648	0.433641975309	324	0.382716049383	25	41.67	50.62	36.11	38.27	47.34	50.51	21.43	24.01	0.3	nan	nan	nan	nan	nan	nan	-31.441630177584
Contig101512	230	0.35652173913	154	0.363636363636	76	0.342105263158	32	35.96	33.77	38.96	34.21	38.11	42	16.43	19.45	nan	nan	nan	nan	nan	nan	nan	-23.1004496020818
Contig101547	585	0.452991452991	390	0.479487179487	195	0.4	33	45.3	49.74	46.15	40	46.65	47.78	22.43	22.47	0.35	nan	nan	nan	nan	nan	nan	-28.1201792557335
Contig101558	357	0.403361344538	238	0.420168067227	119	0.36974789916	75	40.34	49.58	34.45	36.97	43.74	44.4	19.47	20.7	0.29	nan	nan	nan	nan	nan	nan	20.0050276964618
Contig101569	471	0.416135881104	314	0.452229299363	157	0.343949044586	30	41.61	43.95	46.5	34.39	42.04	47.03	20.51	22.59	0.32	nan	nan	nan	nan	nan	nan	-28.9893905109224
Contig101581	432	0.523148148148	288	0.579861111111	144	0.409722222222	74	52.31	59.03	56.94	40.97	47.63	48.28	26.17	28.3	0.17	nan	nan	nan	nan	nan	nan	6.57427530648465
Contig101591	561	0.504456327986	374	0.564171122995	187	0.385026737968	38	50.45	58.82	54.01	38.5	45.06	45.05	22.36	24.33	0.33	236	0.347457627119	236	0.347457627119	nan	nan	-28.0070883623595
Contig101636	495	0.408080808081	330	0.40303030303	165	0.418181818182	21	40.81	40.61	40	41.82	43.02	43.72	20.72	21.44	0.34	nan	nan	nan	nan	nan	nan	-33.9630498830214
Contig101688	297	0.410774410774	198	0.439393939394	99	0.353535353535	54	41.08	53.54	34.34	35.35	37.04	41.36	17.57	20.07	nan	nan	nan	nan	nan	nan	nan	-3.33087959827205
Contig101700	201	0.442786069652	134	0.425373134328	67	0.477611940299	23	44.28	47.76	37.31	47.76	38.66	38.38	18.31	18.55	nan	nan	nan	nan	nan	nan	nan	-32.4653846368845
Contig101736	783	0.371647509579	522	0.413793103448	261	0.287356321839	21	37.16	46.74	36.02	28.74	43.89	50.65	20.9	26.05	0.25	nan	nan	nan	nan	nan	nan	-33.8546438198501
Contig101746	438	0.415525114155	292	0.445205479452	146	0.356164383562	109	41.55	48.63	40.41	35.62	45.71	47.82	23.16	23.69	0.33	1070	0.352336448598	nan	nan	1070	0.352336448598	50.7925328536616
Contig101809	390	0.425641025641	260	0.430769230769	130	0.415384615385	39	42.56	57.69	28.46	41.54	39.86	42.59	17.22	18.63	0.45	nan	nan	nan	nan	nan	nan	-17.1161858881073
Contig101826	246	0.410569105691	164	0.414634146341	82	0.40243902439	47	41.06	46.34	36.59	40.24	37.07	38.21	13.38	14.21	nan	nan	nan	nan	nan	nan	nan	-7.85298699838848
Contig101834	973	0.435765673176	649	0.474576271186	324	0.358024691358	36	43.62	50.15	44.75	35.8	50.21	54.46	24.66	27.7	0.19	nan	nan	nan	nan	nan	nan	-24.8514036658842
Contig101857	242	0.396694214876	162	0.364197530864	80	0.4625	23	40	41.98	30.86	46.25	36.99	38.4	16.89	16.67	nan	nan	nan	nan	nan	nan	nan	-32.1278511227123
Contig101861	290	0.406896551724	194	0.417525773196	96	0.385416666667	33	40.97	44.33	39.18	38.54	38.98	41	18.06	18.34	nan	nan	nan	nan	nan	nan	nan	-21.88744145578
Contig101876	240	0.475	160	0.55	80	0.325	71	47.5	53.75	56.25	32.5	41.01	44.74	22.48	21.72	nan	nan	nan	nan	nan	nan	nan	6.111674454533
Contig101879	225	0.453333333333	150	0.453333333333	75	0.453333333333	39	45.33	49.33	41.33	45.33	41.14	40.75	16.17	16.81	nan	nan	nan	nan	nan	nan	nan	-20.1117471233839
Contig101889	306	0.470588235294	204	0.460784313725	102	0.490196078431	64	47.06	49.02	43.14	49.02	38.93	40.04	18.98	18.95	0.42	146	0.232876712329	nan	nan	146	0.232876712329	4.13943067170345
Contig10193	218	0.435779816514	146	0.506849315068	72	0.291666666667	30	43.98	50.68	50.68	29.17	37.29	42.19	18.73	21.94	nan	nan	nan	nan	nan	nan	nan	-32.2957629066639
Contig101954	258	0.387596899225	172	0.366279069767	86	0.43023255814	38	38.76	40.7	32.56	43.02	39.91	40.14	17.81	19.37	nan	360	0.344444444444	360	0.344444444444	nan	nan	-17.2216290411457
Contig101962	337	0.436201780415	225	0.435555555556	112	0.4375	46	43.75	47.79	39.29	43.75	44.24	44.37	23.48	23.63	0.26	nan	nan	nan	nan	nan	nan	-10.7033557279977
Contig101976	1806	0.43300110742	1204	0.500830564784	602	0.297342192691	41	43.3	56.64	43.52	29.73	48.38	53.45	24.16	28.77	0.19	nan	nan	nan	nan	nan	nan	-21.0174207382727
Contig101987	516	0.422480620155	344	0.453488372093	172	0.360465116279	21	42.25	50.58	40.12	36.05	45.04	47.61	21.54	23.07	0.29	nan	nan	nan	nan	nan	nan	-38.1288006647995
Contig102076	1380	0.420289855072	920	0.442391304348	460	0.376086956522	65	42.03	51.52	36.96	37.61	52.41	56.07	26.49	28.48	0.16	1040	0.303846153846	1040	0.303846153846	nan	nan	7.1762572867055
Contig102079	652	0.446319018405	435	0.480459770115	217	0.377880184332	25	44.7	54.59	41.47	37.79	48.99	52.27	24.07	26.08	0.25	nan	nan	nan	nan	nan	nan	-36.1678670973967
Contig102086	213	0.455399061033	142	0.528169014085	71	0.30985915493	34	45.54	54.93	50.7	30.99	33.75	36.89	18.49	20.29	nan	nan	nan	nan	nan	nan	nan	-29.4361317438255
Contig102099	447	0.395973154362	298	0.459731543624	149	0.268456375839	44	39.6	53.69	38.26	26.85	38.8	45.27	18.57	24.13	0.32	nan	nan	nan	nan	nan	nan	-15.7666838935144
Contig102110	239	0.405857740586	160	0.39375	79	0.430379746835	54	40.93	48.75	30	43.04	35.91	34.68	17.08	16.53	nan	nan	nan	nan	nan	nan	nan	-1.26734101525289
Contig102145	1026	0.379142300195	684	0.374269005848	342	0.388888888889	31	37.91	47.37	27.49	38.89	47	48.22	24.17	23.28	0.33	nan	nan	nan	nan	nan	nan	-24.4663141640388
Contig102152	615	0.39512195122	410	0.412195121951	205	0.360975609756	32	39.51	50.73	31.71	36.1	42.45	46.01	18.18	19.15	0.43	nan	nan	nan	nan	nan	nan	-22.8674962807092
Contig102173	300	0.346666666667	200	0.39	100	0.26	64	34.67	51	27	26	38.06	41.62	16.8	17.85	nan	nan	nan	nan	nan	nan	nan	8.59778917826138
Contig102180	1476	0.382113821138	984	0.417682926829	492	0.310975609756	44	38.21	47.76	35.77	31.1	46.64	54.21	22.71	27.74	0.21	202	0.425742574257	202	0.425742574257	nan	nan	-10.8915263263256
Contig1022	240	0.433333333333	160	0.4125	80	0.475	74	43.33	46.25	36.25	47.5	40.97	42.34	19.11	19.99	nan	nan	nan	nan	nan	nan	nan	19.1357433202456
Contig102210	212	0.471698113208	142	0.478873239437	70	0.457142857143	23	47.62	52.11	43.66	45.71	37.97	37.44	16.34	16.16	nan	nan	nan	nan	nan	nan	nan	-38.0891205445653
Contig102233	201	0.437810945274	134	0.44776119403	67	0.417910447761	42	43.78	50.75	38.81	41.79	33.83	35.57	15.83	15.95	nan	nan	nan	nan	nan	nan	nan	-16.4884469012937
Contig102265	402	0.415422885572	268	0.451492537313	134	0.34328358209	25	41.54	58.21	32.09	34.33	41.99	45.62	20.38	23.79	0.28	nan	nan	nan	nan	nan	nan	-33.90704464633
Contig102269	650	0.443076923077	434	0.483870967742	216	0.361111111111	27	44.44	53.46	43.32	36.11	47.45	51.27	25.08	26.18	0.26	nan	nan	nan	nan	nan	nan	-34.3202176216318
Contig102277	315	0.409523809524	210	0.480952380952	105	0.266666666667	38	40.95	57.14	39.05	26.67	37.24	43.83	17.08	21.88	0.39	104	0.211538461538	104	0.211538461538	nan	nan	-23.1913076003042
Contig102302	485	0.348453608247	324	0.33950617284	161	0.366459627329	81	34.99	43.83	24.07	36.65	43.4	46.19	18.7	21.19	0.37	nan	nan	nan	nan	nan	nan	27.9245719711335
Contig10234	330	0.415151515152	220	0.413636363636	110	0.418181818182	370	41.52	50	32.73	41.82	41.48	41.02	17.48	19.09	0.44	nan	nan	nan	nan	nan	nan	315.144605996137
Contig102341	249	0.441767068273	166	0.475903614458	83	0.373493975904	26	44.18	57.83	37.35	37.35	40.64	42.61	19.24	21.94	nan	nan	nan	nan	nan	nan	nan	-34.9285907846455
Contig102360	285	0.385964912281	190	0.415789473684	95	0.326315789474	22	38.6	46.32	36.84	32.63	38.85	42.01	18.28	17.5	nan	nan	nan	nan	nan	nan	nan	-32.858366839791
Contig102429	318	0.38679245283	212	0.433962264151	106	0.292452830189	23	38.68	52.83	33.96	29.25	35.12	39.53	15.7	20.16	0.37	nan	nan	nan	nan	nan	nan	-33.4816393868354
Contig102453	336	0.407738095238	224	0.424107142857	112	0.375	43	40.77	52.68	32.14	37.5	41.39	43.93	19.53	20.83	0.41	nan	nan	nan	nan	nan	nan	-12.3264603880253
