loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig38979	534	0.520599250936	356	0.460674157303	178	0.640449438202	8	52.06	56.18	35.96	64.04	39.38	41.61	18.13	19.18	0.48
Contig38975	243	0.576131687243	162	0.58024691358	81	0.567901234568	7	57.61	61.73	54.32	56.79	41.17	46.39	21.08	22.06	nan
Contig38977	1812	0.551876379691	1208	0.490894039735	604	0.673841059603	25	55.19	61.26	36.92	67.38	50.09	56.37	26.96	29.49	0.15
Contig38971	366	0.445355191257	244	0.479508196721	122	0.377049180328	8	44.54	61.48	34.43	37.70	37.83	39.27	16.71	17.52	0.47
Contig38972	288	0.510416666667	192	0.479166666667	96	0.572916666667	12	51.04	80.21	15.62	57.29	36.70	32.95	13.60	13.13	nan
Contig60541	3171	0.591611479029	2114	0.480132450331	1057	0.814569536424	36	59.16	57.33	38.69	81.46	38.39	50.88	19.35	24.95	0.27
Contig18452	264	0.420454545455	176	0.403409090909	88	0.454545454545	8	42.05	45.45	35.23	45.45	44.53	47.44	23.03	23.48	nan
Contig18454	880	0.685227272727	587	0.567291311755	293	0.921501706485	25	68.60	67.35	46.08	92.15	31.08	51.57	15.72	26.05	0.23
Contig15299	216	0.611111111111	144	0.604166666667	72	0.625	10	61.11	62.50	58.33	62.50	41.60	44.08	23.08	24.23	nan
Contig10666	258	0.531007751938	172	0.546511627907	86	0.5	91	53.10	62.79	46.51	50.00	40.19	40.21	19.64	19.71	nan
Contig15295	309	0.407766990291	206	0.407766990291	103	0.407766990291	39	40.78	47.57	33.98	40.78	40.64	42.38	18.22	17.93	0.47
Contig15296	1314	0.49695585997	876	0.465753424658	438	0.559360730594	27	49.70	53.42	39.73	55.94	52.33	54.03	26.95	26.27	0.22
Contig10665	261	0.55938697318	174	0.557471264368	87	0.563218390805	14	55.94	57.47	54.02	56.32	37.56	40.67	19.80	20.61	nan
