loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16128	1470	0.38843537415	980	0.437755102041	490	0.289795918367	95	38.84	47.96	39.59	28.98	45.32	54.79	24.43	28.05	0.22
Contig16127	357	0.557422969188	238	0.478991596639	119	0.714285714286	72	55.74	50.42	45.38	71.43	42.75	48.11	20.10	22.60	0.35
Contig16123	882	0.481859410431	588	0.452380952381	294	0.540816326531	268	48.19	54.42	36.05	54.08	47.09	48.14	22.76	24.00	0.31
Contig16121	1797	0.411240957151	1198	0.40734557596	599	0.419031719533	89	41.12	42.24	39.23	41.90	52.31	55.31	28.72	28.64	0.17
Contig34856	555	0.430630630631	370	0.394594594595	185	0.502702702703	13	43.06	45.41	33.51	50.27	50.46	54.02	25.01	25.29	0.29
Contig26824	219	0.465753424658	146	0.465753424658	73	0.465753424658	19	46.58	53.42	39.73	46.58	37.81	38.54	18.07	18.32	nan
Contig15447	699	0.633762517883	466	0.575107296137	233	0.751072961373	39	63.38	63.52	51.50	75.11	42.81	51.49	19.84	26.30	0.24
Contig12808	1344	0.459821428571	896	0.479910714286	448	0.419642857143	95	45.98	51.56	44.42	41.96	52.89	54.30	26.79	27.26	0.21
Contig35740	429	0.470862470862	286	0.48951048951	143	0.433566433566	13	47.09	55.24	42.66	43.36	46.41	46.87	23.77	24.03	0.29
Contig18450	1620	0.456172839506	1080	0.446296296296	540	0.475925925926	35	45.62	50.19	39.07	47.59	55.43	56.47	29.40	29.57	0.15
Contig12806	1431	0.501048218029	954	0.481132075472	477	0.540880503145	151	50.10	62.47	33.75	54.09	50.04	50.85	24.96	25.46	0.28
Contig12807	405	0.456790123457	270	0.437037037037	135	0.496296296296	173	45.68	48.89	38.52	49.63	45.31	46.07	24.60	24.75	0.32
Contig18455	219	0.452054794521	146	0.452054794521	73	0.452054794521	13	45.21	47.95	42.47	45.21	35.11	33.70	13.98	13.39	nan
Contig12801	588	0.488095238095	392	0.492346938776	196	0.479591836735	99	48.81	52.55	45.92	47.96	48.62	50.43	26.22	26.39	0.24
Contig12803	987	0.487335359676	658	0.422492401216	329	0.617021276596	41	48.73	48.94	35.56	61.70	50.50	53.83	25.48	27.36	0.24
Contig14799	2670	0.470037453184	1780	0.410674157303	890	0.588764044944	86	47.00	46.63	35.51	58.88	51.15	53.28	24.73	26.88	0.23
Contig15298	600	0.338333333333	400	0.31	200	0.395	56	33.83	36.00	26.00	39.50	44.79	47.57	23.01	23.12	0.23
Contig15299	1419	0.396758280479	946	0.404862579281	473	0.380549682875	85	39.68	45.24	35.73	38.05	48.92	51.54	23.90	25.28	0.27
Contig10664	414	0.355072463768	276	0.380434782609	138	0.304347826087	123	35.51	42.03	34.06	30.43	39.40	46.34	18.43	20.12	0.23
Contig10665	477	0.498951781971	318	0.465408805031	159	0.566037735849	60	49.90	47.17	45.91	56.60	49.60	50.05	25.04	25.43	0.29
Contig15290	471	0.447983014862	314	0.429936305732	157	0.484076433121	116	44.80	42.68	43.31	48.41	43.35	43.73	20.02	19.91	0.44
Contig15291	1443	0.572418572419	962	0.517671517672	481	0.681912681913	26	57.24	55.93	47.61	68.19	46.72	51.52	22.52	24.87	0.27
Contig15293	333	0.489489489489	222	0.387387387387	111	0.693693693694	108	48.95	48.65	28.83	69.37	37.95	40.61	17.07	20.16	0.29
Contig11138	909	0.520352035204	606	0.452145214521	303	0.656765676568	87	52.04	51.82	38.61	65.68	44.99	50.31	20.85	24.74	0.30
Contig11134	237	0.443037974684	158	0.398734177215	79	0.53164556962	52	44.30	37.97	41.77	53.16	41.31	44.27	21.40	22.25	nan
Contig11136	1881	0.417331206805	1254	0.381977671451	627	0.488038277512	107	41.73	42.26	34.13	48.80	52.24	53.32	27.63	27.63	0.19
Contig11131	291	0.405498281787	194	0.453608247423	97	0.309278350515	75	40.55	48.45	42.27	30.93	37.26	45.09	17.01	20.46	nan
Contig29703	559	0.400715563506	373	0.436997319035	186	0.327956989247	28	40.14	49.20	38.17	32.80	37.58	44.06	15.28	18.22	0.46
