loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig38978	390	0.4	306	0.43137254902	84	0.285714285714
Contig148332	22	0.272727272727	22	0.272727272727	nan	nan
Contig10666	nan	nan	nan	nan	nan	nan
Contig161937	nan	nan	nan	nan	nan	nan
Contig15296	nan	nan	nan	nan	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig155142	nan	nan	nan	nan	nan	nan
Contig11138	502	0.408366533865	502	0.408366533865	nan	nan
Contig11135	nan	nan	nan	nan	nan	nan
Contig11130	nan	nan	nan	nan	nan	nan
Contig11132	nan	nan	nan	nan	nan	nan
Contig8008	nan	nan	nan	nan	nan	nan
Contig8006	24	0.416666666667	24	0.416666666667	nan	nan
Contig8005	nan	nan	nan	nan	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig8001	1976	0.352226720648	1552	0.359536082474	424	0.325471698113
Contig57710	nan	nan	nan	nan	nan	nan
Contig53628	nan	nan	nan	nan	nan	nan
Contig31449	124	0.516129032258	nan	nan	124	0.516129032258
Contig31446	nan	nan	nan	nan	nan	nan
Contig31445	60	0.466666666667	60	0.466666666667	nan	nan
Contig31441	nan	nan	nan	nan	nan	nan
Contig23839	nan	nan	nan	nan	nan	nan
Contig23834	nan	nan	nan	nan	nan	nan
Contig35355	248	0.572580645161	nan	nan	248	0.572580645161
Contig23830	nan	nan	nan	nan	nan	nan
Contig23833	nan	nan	nan	nan	nan	nan
Contig23832	386	0.318652849741	386	0.318652849741	nan	nan
Contig15838	342	0.347953216374	342	0.347953216374	nan	nan
Contig15839	nan	nan	nan	nan	nan	nan
Contig15834	nan	nan	nan	nan	nan	nan
Contig74495	68	0.352941176471	68	0.352941176471	nan	nan
Contig15837	nan	nan	nan	nan	nan	nan
Contig19329	nan	nan	nan	nan	nan	nan
Contig83598	nan	nan	nan	nan	nan	nan
Contig17472	nan	nan	nan	nan	nan	nan
Contig17470	66	0.30303030303	66	0.30303030303	nan	nan
Contig17475	234	0.418803418803	234	0.418803418803	nan	nan
Contig17479	nan	nan	nan	nan	nan	nan
Contig2729	1346	0.380386329866	1282	0.383775351014	64	0.3125
Contig110273	24	0.333333333333	24	0.333333333333	nan	nan
Contig2725	nan	nan	nan	nan	nan	nan
Contig154430	nan	nan	nan	nan	nan	nan
Contig5201	344	0.369186046512	344	0.369186046512	nan	nan
Contig2723	nan	nan	nan	nan	nan	nan
Contig5200	nan	nan	nan	nan	nan	nan
Contig184937	nan	nan	nan	nan	nan	nan
Contig184936	nan	nan	nan	nan	nan	nan
Contig9840	nan	nan	nan	nan	nan	nan
Contig9843	nan	nan	nan	nan	nan	nan
Contig9845	546	0.401098901099	546	0.401098901099	nan	nan
Contig9848	nan	nan	nan	nan	nan	nan
Contig2096	4580	0.395851528384	4580	0.395851528384	nan	nan
Contig2094	nan	nan	nan	nan	nan	nan
Contig2092	nan	nan	nan	nan	nan	nan
Contig2091	nan	nan	nan	nan	nan	nan
Contig2099	516	0.335271317829	516	0.335271317829	nan	nan
Contig2098	872	0.550458715596	148	0.472972972973	724	0.566298342541
Contig37841	1280	0.37890625	1280	0.37890625	nan	nan
Contig37840	nan	nan	nan	nan	nan	nan
Contig37846	374	0.328877005348	nan	nan	374	0.328877005348
Contig196117	nan	nan	nan	nan	nan	nan
Contig123736	nan	nan	nan	nan	nan	nan
Contig123734	908	0.359030837004	908	0.359030837004	nan	nan
Contig84812	nan	nan	nan	nan	nan	nan
Contig82244	nan	nan	nan	nan	nan	nan
Contig62788	nan	nan	nan	nan	nan	nan
Contig15293	nan	nan	nan	nan	nan	nan
Contig49829	nan	nan	nan	nan	nan	nan
Contig49823	nan	nan	nan	nan	nan	nan
Contig49824	1468	0.391008174387	1468	0.391008174387	nan	nan
Contig49825	nan	nan	nan	nan	nan	nan
Contig85145	nan	nan	nan	nan	nan	nan
Contig65784	nan	nan	nan	nan	nan	nan
Contig155148	nan	nan	nan	nan	nan	nan
Contig100749	nan	nan	nan	nan	nan	nan
Contig8829	32	0.3125	32	0.3125	nan	nan
Contig8821	22	0.181818181818	nan	nan	22	0.181818181818
Contig8822	nan	nan	nan	nan	nan	nan
Contig8824	nan	nan	nan	nan	nan	nan
Contig8827	nan	nan	nan	nan	nan	nan
Contig65252	nan	nan	nan	nan	nan	nan
Contig174581	134	0.388059701493	134	0.388059701493	nan	nan
Contig165312	nan	nan	nan	nan	nan	nan
Contig24707	nan	nan	nan	nan	nan	nan
Contig24704	820	0.398780487805	546	0.406593406593	274	0.383211678832
Contig24705	nan	nan	nan	nan	nan	nan
Contig24702	nan	nan	nan	nan	nan	nan
Contig92396	160	0.4375	160	0.4375	nan	nan
Contig24708	nan	nan	nan	nan	nan	nan
