loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16124	740	0.418918918919	494	0.437246963563	246	0.382113821138	8	42.01	51.82	35.63	38.21	45.60	49.32	21.05	22.77	0.30
Contig16123	559	0.567084078712	373	0.487935656836	186	0.725806451613	7	56.81	59.89	37.63	72.58	42.03	48.32	19.95	23.42	0.31
Contig16121	378	0.560846560847	252	0.472222222222	126	0.738095238095	13	56.08	58.73	35.71	73.81	37.60	43.79	18.74	22.04	0.36
Contig26821	1863	0.523349436393	1242	0.485507246377	621	0.599033816425	14	52.33	54.75	42.35	59.90	52.28	54.27	26.63	26.60	0.24
Contig26825	660	0.44696969697	440	0.388636363636	220	0.563636363636	15	44.70	41.36	36.36	56.36	48.09	48.50	24.03	23.95	0.28
Contig38970	510	0.380392156863	340	0.370588235294	170	0.4	18	38.04	43.53	30.59	40.00	40.53	42.62	17.44	18.75	0.43
Contig12077	222	0.5	148	0.52027027027	74	0.459459459459	11	50.00	89.19	14.86	45.95	29.76	26.46	9.08	8.00	nan
Contig28626	259	0.490347490347	173	0.485549132948	86	0.5	10	49.22	56.32	40.70	50.00	35.18	38.00	17.04	15.18	nan
Contig35748	408	0.504901960784	272	0.474264705882	136	0.566176470588	7	50.49	55.88	38.97	56.62	41.72	43.80	20.44	20.34	0.42
Contig18458	284	0.43661971831	190	0.426315789474	94	0.457446808511	11	43.97	38.95	46.32	45.74	43.86	44.85	23.54	23.44	nan
Contig17556	582	0.580756013746	388	0.510309278351	194	0.721649484536	15	58.08	53.09	48.97	72.16	39.57	45.28	18.50	24.24	0.29
Contig12804	1302	0.503840245776	868	0.528801843318	434	0.453917050691	38	50.38	57.60	48.16	45.39	48.82	47.73	23.39	24.46	0.26
Contig12806	336	0.532738095238	224	0.477678571429	112	0.642857142857	21	53.27	59.82	35.71	64.29	38.15	40.93	19.60	20.06	0.38
Contig35744	360	0.411111111111	240	0.425	120	0.383333333333	10	41.11	48.33	36.67	38.33	40.54	44.27	18.23	19.59	0.39
Contig18454	345	0.521739130435	230	0.565217391304	115	0.434782608696	7	52.17	72.17	40.87	43.48	39.54	45.05	18.05	19.35	0.43
Contig12803	387	0.56330749354	258	0.511627906977	129	0.666666666667	37	56.33	51.94	50.39	66.67	44.55	46.95	23.46	23.54	0.26
Contig15298	294	0.472789115646	196	0.418367346939	98	0.581632653061	13	47.28	54.08	29.59	58.16	38.78	39.03	18.13	17.41	nan
Contig10669	435	0.55632183908	290	0.472413793103	145	0.724137931034	36	55.63	53.10	41.38	72.41	36.66	41.70	19.14	20.52	0.37
Contig15294	237	0.594936708861	158	0.563291139241	79	0.658227848101	9	59.49	49.37	63.29	65.82	37.50	39.69	18.62	19.69	nan
Contig10667	1206	0.427031509121	804	0.4092039801	402	0.462686567164	14	42.70	48.01	33.83	46.27	49.73	50.20	23.96	23.70	0.30
Contig15297	245	0.49387755102	164	0.567073170732	81	0.345679012346	16	49.79	58.54	54.88	34.57	32.13	35.87	16.97	16.09	nan
Contig10662	270	0.559259259259	180	0.472222222222	90	0.733333333333	8	55.93	54.44	40.00	73.33	39.42	44.23	18.37	20.84	nan
Contig10660	810	0.493827160494	540	0.459259259259	270	0.562962962963	19	49.38	45.93	45.93	56.30	47.89	48.85	25.30	25.35	0.23
Contig40811	542	0.533210332103	362	0.469613259669	180	0.661111111111	12	53.52	50.83	43.09	66.11	46.35	48.14	25.05	23.40	0.26
Contig40812	240	0.445833333333	160	0.3875	80	0.5625	8	44.58	42.50	35.00	56.25	38.09	38.05	16.33	16.27	nan
Contig8008	1254	0.531897926635	836	0.503588516746	418	0.588516746411	26	53.19	64.35	36.36	58.85	42.65	46.70	19.77	20.96	0.41
Contig8004	482	0.570539419087	322	0.546583850932	160	0.61875	21	57.29	61.49	47.83	61.88	40.49	43.46	20.84	22.03	0.38
Contig8005	507	0.591715976331	338	0.57100591716	169	0.633136094675	26	59.17	64.50	49.70	63.31	45.85	48.14	24.29	24.78	0.30
Contig8001	306	0.59477124183	204	0.509803921569	102	0.764705882353	122	59.48	57.84	44.12	76.47	32.68	40.16	15.32	18.76	0.47
Contig15610	402	0.492537313433	268	0.444029850746	134	0.589552238806	9	49.25	56.72	32.09	58.96	42.50	44.15	18.42	19.09	0.48
Contig40816	435	0.393103448276	290	0.431034482759	145	0.31724137931	8	39.31	47.59	38.62	31.72	39.16	50.18	18.25	23.33	0.26
Contig400	378	0.529100529101	252	0.519841269841	126	0.547619047619	40	52.91	53.97	50.00	54.76	45.05	44.38	21.02	21.35	0.39
