loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig15581	526	0.243346007605	360	0.25	166	0.228915662651
Contig95789	nan	nan	nan	nan	nan	nan
Contig179195	290	0.368965517241	nan	nan	290	0.368965517241
Contig242510	nan	nan	nan	nan	nan	nan
Contig259919	nan	nan	nan	nan	nan	nan
Contig272395	nan	nan	nan	nan	nan	nan
Contig127140	nan	nan	nan	nan	nan	nan
Contig95780	nan	nan	nan	nan	nan	nan
Contig181177	1112	0.26618705036	1112	0.26618705036	nan	nan
Contig162298	nan	nan	nan	nan	nan	nan
Contig204057	nan	nan	nan	nan	nan	nan
Contig275584	36	0.222222222222	36	0.222222222222	nan	nan
Contig159730	nan	nan	nan	nan	nan	nan
Contig95070	nan	nan	nan	nan	nan	nan
Contig95071	nan	nan	nan	nan	nan	nan
Contig104728	nan	nan	nan	nan	nan	nan
Contig118429	nan	nan	nan	nan	nan	nan
Contig181996	nan	nan	nan	nan	nan	nan
Contig34641	nan	nan	nan	nan	nan	nan
Contig121963	nan	nan	nan	nan	nan	nan
Contig156824	454	0.400881057269	454	0.400881057269	nan	nan
Contig286252	206	0.271844660194	206	0.271844660194	nan	nan
Contig77955	nan	nan	nan	nan	nan	nan
Contig60549	nan	nan	nan	nan	nan	nan
Contig270501	nan	nan	nan	nan	nan	nan
Contig1468	198	0.424242424242	198	0.424242424242	nan	nan
Contig18455	140	0.271428571429	140	0.271428571429	nan	nan
Contig50118	322	0.357142857143	322	0.357142857143	nan	nan
Contig251089	nan	nan	nan	nan	nan	nan
Contig132629	nan	nan	nan	nan	nan	nan
Contig36864	nan	nan	nan	nan	nan	nan
Contig80470	nan	nan	nan	nan	nan	nan
Contig133686	nan	nan	nan	nan	nan	nan
Contig153307	108	0.240740740741	108	0.240740740741	nan	nan
Contig90319	nan	nan	nan	nan	nan	nan
Contig71711	nan	nan	nan	nan	nan	nan
Contig162228	nan	nan	nan	nan	nan	nan
Contig114555	596	0.271812080537	596	0.271812080537	nan	nan
Contig221360	nan	nan	nan	nan	nan	nan
Contig11138	nan	nan	nan	nan	nan	nan
Contig31203	168	0.345238095238	40	0.3	128	0.359375
Contig69030	350	0.257142857143	350	0.257142857143	nan	nan
Contig72185	330	0.230303030303	184	0.29347826087	146	0.150684931507
Contig53027	262	0.419847328244	nan	nan	262	0.419847328244
Contig114558	nan	nan	nan	nan	nan	nan
Contig179280	nan	nan	nan	nan	nan	nan
Contig110013	nan	nan	nan	nan	nan	nan
Contig30883	358	0.413407821229	358	0.413407821229	nan	nan
Contig200370	nan	nan	nan	nan	nan	nan
Contig69856	804	0.276119402985	804	0.276119402985	nan	nan
Contig184574	266	0.300751879699	266	0.300751879699	nan	nan
Contig74012	nan	nan	nan	nan	nan	nan
Contig190168	34	0.235294117647	34	0.235294117647	nan	nan
Contig67718	nan	nan	nan	nan	nan	nan
Contig80492	nan	nan	nan	nan	nan	nan
Contig108013	174	0.241379310345	174	0.241379310345	nan	nan
Contig80494	1056	0.276515151515	1056	0.276515151515	nan	nan
Contig80495	706	0.277620396601	706	0.277620396601	nan	nan
Contig262120	nan	nan	nan	nan	nan	nan
Contig25400	nan	nan	nan	nan	nan	nan
Contig202108	nan	nan	nan	nan	nan	nan
Contig263171	nan	nan	nan	nan	nan	nan
Contig74380	1136	0.37235915493	372	0.387096774194	764	0.365183246073
Contig273974	nan	nan	nan	nan	nan	nan
Contig145100	nan	nan	nan	nan	nan	nan
Contig25408	nan	nan	nan	nan	nan	nan
Contig192018	nan	nan	nan	nan	nan	nan
Contig186324	284	0.387323943662	nan	nan	284	0.387323943662
Contig187917	nan	nan	nan	nan	nan	nan
Contig133449	nan	nan	nan	nan	nan	nan
Contig36919	nan	nan	nan	nan	nan	nan
Contig191133	nan	nan	nan	nan	nan	nan
Contig114494	24	0.0833333333333	24	0.0833333333333	nan	nan
Contig123826	nan	nan	nan	nan	nan	nan
Contig217284	82	0.19512195122	82	0.19512195122	nan	nan
Contig299273	418	0.346889952153	418	0.346889952153	nan	nan
Contig162827	152	0.381578947368	152	0.381578947368	nan	nan
Contig269659	nan	nan	nan	nan	nan	nan
Contig178977	192	0.322916666667	192	0.322916666667	nan	nan
Contig244054	nan	nan	nan	nan	nan	nan
Contig291037	600	0.261666666667	600	0.261666666667	nan	nan
Contig54319	nan	nan	nan	nan	nan	nan
Contig207654	204	0.509803921569	204	0.509803921569	nan	nan
Contig44196	212	0.330188679245	212	0.330188679245	nan	nan
Contig200741	nan	nan	nan	nan	nan	nan
Contig245506	nan	nan	nan	nan	nan	nan
Contig166293	nan	nan	nan	nan	nan	nan
Contig79058	54	0.296296296296	54	0.296296296296	nan	nan
Contig206323	nan	nan	nan	nan	nan	nan
Contig182275	966	0.403726708075	966	0.403726708075	nan	nan
Contig262194	454	0.299559471366	454	0.299559471366	nan	nan
Contig79832	32	0.625	nan	nan	32	0.625
Contig262196	nan	nan	nan	nan	nan	nan
Contig207509	nan	nan	nan	nan	nan	nan
Contig300307	nan	nan	nan	nan	nan	nan
Contig258320	nan	nan	nan	nan	nan	nan
Contig30425	nan	nan	nan	nan	nan	nan
Contig186197	488	0.311475409836	488	0.311475409836	nan	nan
Contig210929	218	0.366972477064	218	0.366972477064	nan	nan
Contig164278	nan	nan	nan	nan	nan	nan
Contig174915	890	0.333707865169	890	0.333707865169	nan	nan
Contig110305	40	0.25	40	0.25	nan	nan
Contig255001	268	0.335820895522	268	0.335820895522	nan	nan
Contig219931	484	0.367768595041	360	0.366666666667	124	0.370967741935
Contig215027	838	0.36754176611	590	0.372881355932	248	0.354838709677
Contig13993	nan	nan	nan	nan	nan	nan
Contig64493	nan	nan	nan	nan	nan	nan
Contig107603	548	0.308394160584	548	0.308394160584	nan	nan
Contig41022	116	0.431034482759	116	0.431034482759	nan	nan
Contig193970	462	0.363636363636	462	0.363636363636	nan	nan
Contig225166	nan	nan	nan	nan	nan	nan
Contig249176	586	0.334470989761	586	0.334470989761	nan	nan
Contig116441	nan	nan	nan	nan	nan	nan
Contig196064	nan	nan	nan	nan	nan	nan
Contig289161	1348	0.301928783383	1348	0.301928783383	nan	nan
Contig276590	nan	nan	nan	nan	nan	nan
Contig282366	82	0.121951219512	82	0.121951219512	nan	nan
Contig198272	nan	nan	nan	nan	nan	nan
Contig123398	nan	nan	nan	nan	nan	nan
Contig291635	nan	nan	nan	nan	nan	nan
Contig189605	nan	nan	nan	nan	nan	nan
Contig19324	216	0.259259259259	156	0.24358974359	60	0.3
Contig281205	178	0.292134831461	178	0.292134831461	nan	nan
Contig83175	nan	nan	nan	nan	nan	nan
Contig203082	736	0.294836956522	736	0.294836956522	nan	nan
Contig227583	nan	nan	nan	nan	nan	nan
Contig41201	nan	nan	nan	nan	nan	nan
Contig251852	nan	nan	nan	nan	nan	nan
Contig280000	128	0.375	128	0.375	nan	nan
Contig184738	438	0.333333333333	438	0.333333333333	nan	nan
Contig284016	242	0.314049586777	184	0.29347826087	58	0.379310344828
Contig13976	nan	nan	nan	nan	nan	nan
Contig43773	nan	nan	nan	nan	nan	nan
Contig129189	410	0.278048780488	410	0.278048780488	nan	nan
Contig167568	nan	nan	nan	nan	nan	nan
Contig75293	42	0.238095238095	42	0.238095238095	nan	nan
Contig199280	nan	nan	nan	nan	nan	nan
Contig21360	nan	nan	nan	nan	nan	nan
Contig272587	368	0.266304347826	368	0.266304347826	nan	nan
Contig64789	nan	nan	nan	nan	nan	nan
