loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig38978	484	0.522727272727	nan	nan	484	0.522727272727
Contig38977	nan	nan	nan	nan	nan	nan
Contig60548	nan	nan	nan	nan	nan	nan
Contig18451	8368	0.473470363289	7796	0.469728065675	572	0.524475524476
Contig18450	5904	0.382791327913	5666	0.382633250971	238	0.386554621849
Contig60542	nan	nan	nan	nan	nan	nan
Contig60543	646	0.544891640867	118	0.525423728814	528	0.549242424242
Contig60544	nan	nan	nan	nan	nan	nan
Contig18454	1500	0.505333333333	nan	nan	1500	0.505333333333
Contig18457	48	0.666666666667	nan	nan	48	0.666666666667
Contig60547	nan	nan	nan	nan	nan	nan
Contig15298	1196	0.454849498328	nan	nan	1196	0.454849498328
Contig15299	1626	0.470479704797	996	0.430722891566	630	0.533333333333
Contig10669	668	0.443113772455	nan	nan	668	0.443113772455
Contig10666	2810	0.385765124555	2810	0.385765124555	nan	nan
Contig10665	1698	0.388103651355	1698	0.388103651355	nan	nan
Contig10662	3256	0.454545454545	3090	0.452427184466	166	0.493975903614
Contig15291	nan	nan	nan	nan	nan	nan
Contig10660	310	0.329032258065	60	0.366666666667	250	0.32
Contig10661	1488	0.336021505376	1488	0.336021505376	nan	nan
Contig11138	nan	nan	nan	nan	nan	nan
Contig11134	3362	0.416418798334	2808	0.40811965812	554	0.458483754513
Contig11137	3040	0.453947368421	3040	0.453947368421	nan	nan
Contig8008	3816	0.361897274633	3816	0.361897274633	nan	nan
Contig8009	5438	0.362633321074	5438	0.362633321074	nan	nan
Contig8007	4570	0.480743982495	4570	0.480743982495	nan	nan
Contig8002	5796	0.43823326432	5198	0.437475952289	598	0.444816053512
Contig57719	nan	nan	nan	nan	nan	nan
Contig57711	nan	nan	nan	nan	nan	nan
Contig57716	nan	nan	nan	nan	nan	nan
Contig57715	2714	0.400884303611	2068	0.388781431335	646	0.439628482972
Contig53620	236	0.559322033898	nan	nan	236	0.559322033898
Contig69148	nan	nan	nan	nan	nan	nan
Contig31449	198	0.454545454545	nan	nan	198	0.454545454545
Contig63168	1202	0.46921797005	1202	0.46921797005	nan	nan
Contig31445	1688	0.290876777251	1688	0.290876777251	nan	nan
Contig69140	nan	nan	nan	nan	nan	nan
Contig63160	734	0.544959128065	nan	nan	734	0.544959128065
Contig35359	1476	0.481029810298	nan	nan	1476	0.481029810298
Contig15838	2390	0.416317991632	494	0.491902834008	1896	0.396624472574
Contig15839	7388	0.399837574445	7388	0.399837574445	nan	nan
Contig15831	nan	nan	nan	nan	nan	nan
Contig15834	926	0.462203023758	nan	nan	926	0.462203023758
Contig15836	3798	0.376513954713	3798	0.376513954713	nan	nan
Contig19328	4740	0.54135021097	4224	0.539535984848	516	0.556201550388
Contig19322	2422	0.436416184971	2422	0.436416184971	nan	nan
Contig19324	nan	nan	nan	nan	nan	nan
Contig19325	1204	0.435215946844	668	0.404191616766	536	0.473880597015
Contig19326	1678	0.445768772348	560	0.464285714286	1118	0.436493738819
Contig17472	2602	0.506917755573	2602	0.506917755573	nan	nan
Contig72802	nan	nan	nan	nan	nan	nan
Contig17477	nan	nan	nan	nan	nan	nan
Contig17474	nan	nan	nan	nan	nan	nan
Contig17475	1240	0.437096774194	1240	0.437096774194	nan	nan
Contig72894	1592	0.405778894472	802	0.329177057357	790	0.483544303797
Contig17479	2848	0.577598314607	nan	nan	2848	0.577598314607
Contig72893	nan	nan	nan	nan	nan	nan
Contig72892	80	0.475	nan	nan	80	0.475
Contig2729	3620	0.401657458564	1688	0.322274881517	1932	0.471014492754
Contig2728	358	0.45251396648	84	0.464285714286	274	0.448905109489
Contig5202	4620	0.412987012987	4530	0.41412803532	90	0.355555555556
Contig2727	1762	0.420544835414	1762	0.420544835414	nan	nan
Contig2726	480	0.370833333333	322	0.335403726708	158	0.443037974684
Contig2720	2802	0.382583868665	2466	0.36901865369	336	0.482142857143
Contig2723	nan	nan	nan	nan	nan	nan
Contig5200	106	0.547169811321	34	0.529411764706	72	0.555555555556
Contig9841	1442	0.455617198336	1442	0.455617198336	nan	nan
Contig9842	5818	0.40735647989	5226	0.406812093379	592	0.412162162162
Contig67093	nan	nan	nan	nan	nan	nan
