loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig54029	443	0.302483069977	296	0.320945945946	147	0.265306122449	6	30.39	30.41	33.78	26.53	38.74	48.06	20.19	23.27	0.28
Contig50597	210	0.390476190476	140	0.4	70	0.371428571429	7	39.05	52.86	27.14	37.14	33.80	37.13	13.99	16.18	nan
Contig16122	612	0.41339869281	408	0.490196078431	204	0.259803921569	42	41.34	43.63	54.41	25.98	40.43	50.15	21.04	27.46	0.24
Contig54862	1896	0.377637130802	1264	0.458069620253	632	0.216772151899	14	37.76	40.35	51.27	21.68	43.84	55.51	21.98	28.99	0.17
Contig56501	988	0.347165991903	659	0.400606980273	329	0.240121580547	12	34.75	50.30	29.79	24.01	39.56	48.76	19.08	24.75	0.28
Contig17555	516	0.399224806202	344	0.438953488372	172	0.31976744186	8	39.92	50.00	37.79	31.98	41.16	46.79	18.75	23.08	0.32
Contig56502	708	0.35593220339	472	0.353813559322	236	0.360169491525	14	35.59	43.22	27.54	36.02	46.47	48.56	23.39	23.19	0.32
Contig56505	410	0.363414634146	274	0.42700729927	136	0.235294117647	6	36.52	47.45	37.96	23.53	41.04	50.25	18.71	24.60	0.30
Contig26824	759	0.400527009223	506	0.434782608696	253	0.332015810277	13	40.05	46.64	40.32	33.20	46.70	52.24	21.79	26.96	0.19
Contig45470	278	0.341726618705	186	0.424731182796	92	0.173913043478	10	34.42	34.41	50.54	17.39	34.73	48.09	19.76	24.95	nan
Contig38972	261	0.421455938697	174	0.48275862069	87	0.298850574713	10	42.15	48.28	48.28	29.89	40.56	43.90	21.42	22.37	nan
Contig38973	540	0.359259259259	360	0.408333333333	180	0.261111111111	11	35.93	37.22	44.44	26.11	38.48	46.51	18.32	21.52	0.33
Contig35749	875	0.346285714286	584	0.390410958904	291	0.257731958763	12	34.71	42.47	35.62	25.77	41.47	48.60	19.78	26.23	0.27
Contig17315	608	0.351973684211	406	0.364532019704	202	0.326732673267	6	35.31	47.29	25.62	32.67	40.41	45.55	17.57	20.01	0.38
Contig35741	295	0.4	197	0.446700507614	98	0.30612244898	6	40.14	49.49	39.80	30.61	34.95	39.50	16.85	19.07	nan
Contig35743	204	0.357843137255	136	0.426470588235	68	0.220588235294	7	35.78	44.12	41.18	22.06	37.51	45.31	17.46	23.80	nan
Contig29365	356	0.38202247191	238	0.399159663866	118	0.347457627119	6	38.42	46.22	33.61	34.75	39.14	42.37	17.87	19.25	0.50
Contig15299	222	0.324324324324	148	0.337837837838	74	0.297297297297	6	32.43	39.19	28.38	29.73	36.68	43.74	17.65	19.68	nan
Contig10667	1613	0.349659020459	1076	0.35594795539	537	0.337057728119	35	35.01	38.48	32.71	33.71	47.32	55.50	23.69	27.59	0.23
Contig10664	696	0.346264367816	464	0.385775862069	232	0.26724137931	15	34.63	40.09	37.07	26.72	41.82	50.39	19.50	23.78	0.34
Contig10665	450	0.44	300	0.456666666667	150	0.406666666667	9	44.00	54.67	36.67	40.67	48.36	49.15	22.74	23.28	0.30
Contig10662	252	0.428571428571	168	0.482142857143	84	0.321428571429	9	42.86	51.19	45.24	32.14	36.12	41.39	18.25	20.76	nan
Contig10660	414	0.487922705314	276	0.518115942029	138	0.427536231884	12	48.79	52.17	51.45	42.75	44.31	45.94	22.57	22.45	0.33
Contig10661	273	0.516483516484	182	0.549450549451	91	0.450549450549	14	51.65	61.54	48.35	45.05	40.10	41.64	20.28	20.50	nan
Contig34681	285	0.452631578947	190	0.547368421053	95	0.263157894737	6	45.26	61.05	48.42	26.32	38.50	43.42	17.92	21.17	nan
Contig11139	297	0.451178451178	198	0.5	99	0.353535353535	18	45.12	47.47	52.53	35.35	39.83	42.21	17.27	19.62	nan
Contig11134	303	0.349834983498	202	0.381188118812	101	0.287128712871	10	34.98	45.54	30.69	28.71	35.79	42.68	16.06	18.60	0.40
Contig11137	917	0.388222464558	612	0.450980392157	305	0.262295081967	6	38.91	50.33	39.87	26.23	43.92	52.52	23.50	27.45	0.20
Contig11131	327	0.363914373089	218	0.380733944954	109	0.330275229358	6	36.39	41.28	34.86	33.03	40.43	46.23	19.24	21.79	0.31
Contig11130	796	0.427135678392	531	0.480225988701	265	0.320754716981	24	42.77	50.75	45.28	32.08	46.97	51.40	22.78	26.22	0.23
Contig11133	546	0.448717948718	364	0.475274725275	182	0.395604395604	36	44.87	45.05	50.00	39.56	44.11	46.01	20.55	22.44	0.40
Contig11132	642	0.378504672897	428	0.434579439252	214	0.266355140187	11	37.85	48.13	38.79	26.64	40.49	50.19	20.62	25.68	0.22
Contig14792	255	0.423529411765	170	0.458823529412	85	0.352941176471	6	42.35	52.94	38.82	35.29	32.92	35.23	14.99	16.97	nan
Contig8008	669	0.396113602392	446	0.432735426009	223	0.322869955157	14	39.61	48.88	37.67	32.29	45.92	51.63	23.65	26.51	0.29
Contig8009	954	0.378406708595	636	0.421383647799	318	0.292452830189	26	37.84	49.37	34.91	29.25	44.18	51.36	23.96	26.98	0.24
Contig8006	294	0.34693877551	196	0.392857142857	98	0.255102040816	7	34.69	42.86	35.71	25.51	35.31	42.65	17.47	21.67	nan
Contig8007	423	0.359338061466	282	0.375886524823	141	0.326241134752	7	35.93	40.43	34.75	32.62	40.99	45.93	20.10	21.34	0.41
Contig8005	629	0.392686804452	420	0.464285714286	209	0.248803827751	6	39.39	55.71	37.14	24.88	39.74	49.04	17.66	23.87	0.26
Contig8002	850	0.368235294118	567	0.403880070547	283	0.296819787986	12	36.87	42.61	38.16	29.68	43.81	49.70	20.06	24.79	0.31
Contig8003	1061	0.367577756833	708	0.415254237288	353	0.271954674221	14	36.83	48.31	34.75	27.20	45.30	53.38	22.83	28.47	0.17
Contig8000	909	0.354235423542	606	0.410891089109	303	0.240924092409	8	35.42	47.19	34.98	24.09	42.81	52.34	23.44	25.89	0.21
Contig408	648	0.405864197531	432	0.421296296296	216	0.375	18	40.59	53.70	30.56	37.50	41.45	41.64	19.83	20.83	0.34
Contig36081	213	0.384976525822	142	0.408450704225	71	0.338028169014	9	38.50	42.25	39.44	33.80	32.58	35.01	14.63	17.39	nan
Contig401	1356	0.393805309735	904	0.470132743363	452	0.241150442478	107	39.38	53.76	40.27	24.12	40.15	48.95	19.30	24.64	0.27
Contig400	1086	0.407918968692	724	0.446132596685	362	0.331491712707	32	40.79	56.35	32.87	33.15	42.56	47.09	20.88	23.96	0.27
Contig403	1677	0.475253428742	1118	0.533989266547	559	0.357781753131	81	47.53	50.81	55.99	35.78	42.44	47.10	20.42	23.90	0.28
Contig405	312	0.304487179487	208	0.302884615385	104	0.307692307692	54	30.45	34.62	25.96	30.77	36.99	42.90	16.83	18.80	nan
Contig404	567	0.405643738977	378	0.378306878307	189	0.460317460317	86	40.56	43.39	32.28	46.03	44.50	45.72	21.68	20.95	0.40
Contig407	1392	0.424568965517	928	0.448275862069	464	0.377155172414	111	42.46	50.43	39.22	37.72	45.99	51.14	21.10	26.64	0.18
Contig406	206	0.412621359223	138	0.45652173913	68	0.323529411765	17	41.67	50.72	40.58	32.35	34.37	35.99	16.62	17.16	nan
Contig32539	891	0.364758698092	594	0.387205387205	297	0.319865319865	13	36.48	47.14	30.30	31.99	45.21	52.33	21.98	25.31	0.24
Contig40818	317	0.435331230284	212	0.490566037736	105	0.32380952381	6	43.81	44.34	53.77	32.38	38.52	43.23	17.73	21.24	0.36
Contig53629	999	0.359359359359	666	0.406906906907	333	0.264264264264	11	35.94	41.14	40.24	26.43	41.72	51.63	20.26	25.14	0.26
Contig37423	570	0.352631578947	380	0.378947368421	190	0.3	8	35.26	41.58	34.21	30.00	40.45	47.67	18.19	22.79	0.33
Contig53150	453	0.386313465784	302	0.433774834437	151	0.291390728477	7	38.63	42.38	44.37	29.14	44.10	49.97	20.32	24.49	0.25
Contig53152	294	0.428571428571	196	0.525510204082	98	0.234693877551	6	42.86	53.06	52.04	23.47	38.81	46.47	18.80	25.07	nan
Contig53627	333	0.414414414414	222	0.459459459459	111	0.324324324324	9	41.44	48.65	43.24	32.43	39.53	45.17	18.45	21.38	0.26
Contig53154	463	0.403887688985	309	0.504854368932	154	0.201298701299	10	40.48	45.81	55.19	20.13	39.30	48.32	19.18	24.98	0.27
Contig53625	360	0.425	240	0.466666666667	120	0.341666666667	6	42.50	53.33	40.00	34.17	42.98	47.03	19.98	23.24	0.30
Contig45289	317	0.356466876972	212	0.424528301887	105	0.219047619048	9	35.87	50.94	33.96	21.90	37.85	47.69	18.82	20.13	0.24
Contig31447	672	0.376488095238	448	0.441964285714	224	0.245535714286	15	37.65	52.68	35.71	24.55	39.11	48.62	16.52	25.55	0.22
Contig31110	290	0.427586206897	194	0.5	96	0.28125	6	43.06	61.86	38.14	28.12	37.11	39.19	16.43	17.96	nan
Contig31445	567	0.398589065256	378	0.439153439153	189	0.31746031746	7	39.86	48.15	39.68	31.75	38.38	42.76	17.39	20.05	0.45
Contig31444	297	0.353535353535	198	0.409090909091	99	0.242424242424	9	35.35	41.41	40.40	24.24	34.94	40.99	17.84	17.69	nan
Contig19937	912	0.350877192982	608	0.368421052632	304	0.315789473684	13	35.09	40.13	33.55	31.58	46.68	53.52	23.65	27.39	0.22
Contig57428	434	0.398617511521	290	0.462068965517	144	0.270833333333	12	40.05	48.97	43.45	27.08	37.83	46.09	18.48	23.79	0.31
Contig24285	634	0.34858044164	423	0.364066193853	211	0.317535545024	11	34.91	43.87	28.91	31.75	41.79	49.92	17.65	21.54	0.33
Contig17299	294	0.333333333333	196	0.372448979592	98	0.255102040816	11	33.33	40.82	33.67	25.51	35.76	42.75	16.25	18.33	nan
Contig46266	651	0.347158218126	434	0.384792626728	217	0.271889400922	11	34.72	35.48	41.47	27.19	44.03	49.46	21.06	24.29	0.28
Contig17292	1293	0.337200309358	862	0.358468677494	431	0.294663573086	13	33.72	41.53	30.16	29.47	44.71	54.45	23.86	27.02	0.24
Contig46616	336	0.369047619048	224	0.366071428571	112	0.375	9	36.90	41.07	32.14	37.50	42.86	45.96	19.48	21.77	0.34
Contig23833	285	0.39298245614	190	0.431578947368	95	0.315789473684	8	39.30	47.37	38.95	31.58	34.90	38.68	14.25	17.96	nan
Contig17291	447	0.407158836689	298	0.395973154362	149	0.429530201342	9	40.72	38.93	40.27	42.95	44.83	47.46	22.87	23.63	0.29
Contig41029	264	0.325757575758	176	0.329545454545	88	0.318181818182	6	32.58	36.36	29.55	31.82	37.01	40.16	14.79	15.14	nan
Contig45220	1383	0.347071583514	922	0.372017353579	461	0.297180043384	23	34.71	42.52	31.89	29.72	43.52	53.13	21.29	27.26	0.19
Contig46968	990	0.40101010101	660	0.442424242424	330	0.318181818182	15	40.10	50.61	37.88	31.82	45.20	53.32	23.39	27.01	0.22
Contig10745	462	0.398268398268	308	0.444805194805	154	0.305194805195	20	39.83	46.75	42.21	30.52	42.15	46.38	19.62	21.00	0.42
Contig45223	532	0.345864661654	355	0.4	177	0.237288135593	7	34.65	44.94	35.03	23.73	38.01	47.29	18.55	22.38	0.31
Contig10444	1854	0.39644012945	1236	0.449029126214	618	0.291262135922	32	39.64	50.32	39.48	29.13	45.36	53.41	24.42	28.94	0.20
Contig41020	372	0.346774193548	248	0.358870967742	124	0.322580645161	11	34.68	44.35	27.42	32.26	38.50	42.21	16.81	16.97	0.45
Contig9638	2047	0.351734245237	1365	0.397802197802	682	0.259530791789	24	35.19	50.66	28.89	25.95	43.11	55.27	21.53	27.83	0.17
Contig40107	582	0.441580756014	388	0.528350515464	194	0.268041237113	13	44.16	59.79	45.88	26.80	42.01	45.68	20.07	22.59	0.34
Contig46035	1197	0.345864661654	798	0.412280701754	399	0.213032581454	14	34.59	47.37	35.09	21.30	40.75	54.44	20.30	27.14	0.20
Contig46031	378	0.396825396825	252	0.452380952381	126	0.285714285714	11	39.68	53.97	36.51	28.57	41.86	50.34	22.75	26.01	0.26
Contig49249	450	0.42	300	0.406666666667	150	0.446666666667	7	42.00	50.00	31.33	44.67	40.54	40.72	19.24	19.86	0.45
Contig46038	1405	0.338790035587	937	0.357524012807	468	0.301282051282	14	33.90	40.09	31.41	30.13	43.27	53.08	22.74	24.87	0.30
Contig46039	681	0.312775330396	454	0.337004405286	227	0.264317180617	6	31.28	39.65	27.75	26.43	40.28	49.14	17.44	23.66	0.32
Contig3154	230	0.430434782609	154	0.5	76	0.289473684211	80	43.42	50.65	49.35	28.95	34.90	38.19	16.88	19.91	nan
Contig14406	480	0.358333333333	320	0.4375	160	0.2	9	35.83	39.38	48.12	20.00	39.14	47.77	19.02	24.78	0.27
Contig6399	777	0.337194337194	518	0.378378378378	259	0.254826254826	20	33.72	43.24	32.43	25.48	42.59	51.00	19.94	23.93	0.30
Contig17489	441	0.321995464853	294	0.37074829932	147	0.224489795918	12	32.20	43.54	30.61	22.45	36.87	46.04	16.51	20.74	0.35
Contig48508	1146	0.393542757417	764	0.392670157068	382	0.395287958115	9	39.35	44.76	33.77	39.53	49.58	52.94	24.85	25.44	0.24
Contig10445	2562	0.447697111632	1708	0.555035128806	854	0.233021077283	57	44.77	66.39	44.61	23.30	43.65	52.38	22.11	26.92	0.17
Contig6390	834	0.41726618705	556	0.429856115108	278	0.392086330935	9	41.73	50.72	35.25	39.21	49.35	51.75	24.27	25.29	0.30
Contig6391	657	0.426179604262	438	0.454337899543	219	0.369863013699	85	42.62	51.14	39.73	36.99	46.49	49.87	23.41	25.59	0.30
Contig6392	459	0.352941176471	306	0.40522875817	153	0.248366013072	22	35.29	43.14	37.91	24.84	35.76	43.87	15.57	17.19	0.39
Contig6393	1241	0.427074939565	828	0.461352657005	413	0.358353510896	22	42.78	48.79	43.48	35.84	47.76	52.79	24.32	28.11	0.19
Contig6394	234	0.32905982906	156	0.358974358974	78	0.269230769231	8	32.91	44.87	26.92	26.92	32.98	36.32	13.30	14.69	nan
Contig6396	227	0.325991189427	152	0.361842105263	75	0.253333333333	11	32.89	40.79	31.58	25.33	31.92	38.83	12.44	16.87	nan
Contig6397	366	0.360655737705	244	0.381147540984	122	0.319672131148	34	36.07	46.72	29.51	31.97	38.98	43.81	18.15	23.32	0.28
Contig12112	6573	0.359500988894	4382	0.392971246006	2191	0.292560474669	45	35.95	47.10	31.49	29.26	48.79	56.75	24.58	28.46	0.13
