loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16129	278	0.489208633094	nan	nan	278	0.489208633094
Contig16128	nan	nan	nan	nan	nan	nan
Contig16127	2066	0.465150048403	1798	0.471078976641	268	0.425373134328
Contig29704	nan	nan	nan	nan	nan	nan
Contig16125	nan	nan	nan	nan	nan	nan
Contig16124	898	0.428730512249	898	0.428730512249	nan	nan
Contig29701	nan	nan	nan	nan	nan	nan
Contig56500	310	0.361290322581	238	0.319327731092	72	0.5
Contig56503	nan	nan	nan	nan	nan	nan
Contig56508	458	0.371179039301	nan	nan	458	0.371179039301
Contig37381	nan	nan	nan	nan	nan	nan
Contig12804	380	0.352631578947	nan	nan	380	0.352631578947
Contig18450	3868	0.387797311272	3868	0.387797311272	nan	nan
Contig12807	496	0.54435483871	nan	nan	496	0.54435483871
Contig12801	1570	0.475159235669	1102	0.443738656987	468	0.549145299145
Contig12802	1970	0.398984771574	1970	0.398984771574	nan	nan
Contig15299	168	0.297619047619	168	0.297619047619	nan	nan
Contig10669	nan	nan	nan	nan	nan	nan
Contig10667	1256	0.378184713376	1256	0.378184713376	nan	nan
Contig15296	2386	0.461860854987	670	0.380597014925	1716	0.49358974359
Contig15290	3874	0.363190500774	2270	0.322026431718	1604	0.42144638404
Contig14959	nan	nan	nan	nan	nan	nan
Contig15292	4356	0.34595959596	2826	0.3669497523	1530	0.307189542484
Contig11139	nan	nan	nan	nan	nan	nan
Contig11134	150	0.38	nan	nan	150	0.38
Contig11137	1314	0.249619482496	964	0.269709543568	350	0.194285714286
Contig11130	5472	0.311403508772	5472	0.311403508772	nan	nan
Contig11133	1194	0.463986599665	188	0.31914893617	1006	0.491053677932
Contig8008	nan	nan	nan	nan	nan	nan
Contig8007	1830	0.433333333333	762	0.42782152231	1068	0.437265917603
Contig8004	nan	nan	nan	nan	nan	nan
Contig8000	3022	0.358702845797	3022	0.358702845797	nan	nan
Contig409	9392	0.392035775128	7164	0.326353992183	2228	0.603231597846
Contig40816	nan	nan	nan	nan	nan	nan
Contig403	3628	0.501653803749	nan	nan	3628	0.501653803749
Contig405	1288	0.368788819876	696	0.443965517241	592	0.280405405405
Contig404	170	0.494117647059	nan	nan	170	0.494117647059
Contig406	12802	0.386502109045	12796	0.386214442013	nan	nan
Contig37427	nan	nan	nan	nan	nan	nan
Contig37423	nan	nan	nan	nan	nan	nan
Contig58864	154	0.428571428571	154	0.428571428571	nan	nan
Contig15614	968	0.552685950413	968	0.552685950413	nan	nan
Contig58866	nan	nan	nan	nan	nan	nan
Contig58860	nan	nan	nan	nan	nan	nan
Contig53626	nan	nan	nan	nan	nan	nan
Contig15760	nan	nan	nan	nan	nan	nan
Contig31111	nan	nan	nan	nan	nan	nan
Contig15617	4196	0.426358436606	28	0.464285714286	4168	0.426103646833
Contig924	1986	0.608761329305	nan	nan	1986	0.608761329305
Contig15618	nan	nan	nan	nan	nan	nan
Contig925	2520	0.314682539683	234	0.393162393162	2286	0.306649168854
Contig21557	184	0.413043478261	184	0.413043478261	nan	nan
Contig17299	nan	nan	nan	nan	nan	nan
Contig35356	366	0.374316939891	nan	nan	366	0.374316939891
Contig36230	nan	nan	nan	nan	nan	nan
Contig17295	2066	0.558567279768	88	0.340909090909	1978	0.568250758342
Contig35353	nan	nan	nan	nan	nan	nan
Contig17293	nan	nan	nan	nan	nan	nan
Contig17290	3110	0.355627009646	3080	0.352922077922	30	0.633333333333
Contig17291	1260	0.368253968254	1210	0.371900826446	50	0.28
Contig57907	1294	0.440494590417	250	0.264	1044	0.48275862069
Contig41028	nan	nan	nan	nan	nan	nan
Contig57905	1736	0.400921658986	1736	0.400921658986	nan	nan
Contig15831	1000	0.313	224	0.25	776	0.33118556701
Contig41020	nan	nan	nan	nan	nan	nan
Contig15834	1362	0.30543318649	1002	0.233532934132	360	0.505555555556
Contig3153	2042	0.303623898139	1746	0.267468499427	296	0.516891891892
Contig50022	nan	nan	nan	nan	nan	nan
Contig19328	840	0.497619047619	338	0.41124260355	502	0.55577689243
Contig19329	618	0.415857605178	220	0.418181818182	398	0.414572864322
Contig24183	656	0.288109756098	120	0.266666666667	536	0.292910447761
Contig19322	1920	0.477083333333	1920	0.477083333333	nan	nan
Contig19323	1238	0.325525040388	1238	0.325525040388	nan	nan
Contig19326	614	0.325732899023	436	0.284403669725	178	0.426966292135
Contig3154	3574	0.461667599328	786	0.464376590331	2788	0.460903873745
Contig6398	152	0.631578947368	nan	nan	152	0.631578947368
Contig6399	798	0.333333333333	682	0.322580645161	116	0.396551724138
Contig14404	668	0.402694610778	nan	nan	668	0.402694610778
Contig17489	1140	0.442105263158	982	0.41649694501	158	0.601265822785
Contig14401	5254	0.342215454892	2960	0.327702702703	2294	0.360941586748
Contig6392	nan	nan	nan	nan	nan	nan
Contig6393	596	0.335570469799	596	0.335570469799	nan	nan
Contig6394	4818	0.349522623495	4732	0.342772612003	86	0.720930232558
Contig6395	1558	0.385109114249	nan	nan	1558	0.385109114249
Contig14408	2194	0.470373746582	2194	0.470373746582	nan	nan
Contig14409	464	0.262931034483	464	0.262931034483	nan	nan
Contig17472	5072	0.366719242902	3912	0.333844580777	1160	0.477586206897
Contig12110	3732	0.467845659164	3732	0.467845659164	nan	nan
Contig12111	3204	0.526217228464	428	0.331775700935	2776	0.556195965418
Contig55522	632	0.534810126582	nan	nan	632	0.534810126582
Contig12117	74	0.432432432432	nan	nan	74	0.432432432432
Contig12115	4282	0.499532928538	nan	nan	4282	0.499532928538
Contig21882	1442	0.606102635229	nan	nan	1442	0.606102635229
Contig12118	1128	0.323581560284	118	0.194915254237	1010	0.338613861386
Contig12119	nan	nan	nan	nan	nan	nan
Contig7470	26	0.615384615385	nan	nan	26	0.615384615385
Contig2729	948	0.462025316456	nan	nan	948	0.462025316456
Contig2899	7056	0.364370748299	6342	0.352412488174	714	0.470588235294
Contig2897	nan	nan	nan	nan	nan	nan
Contig2896	966	0.593167701863	nan	nan	966	0.593167701863
Contig2895	8932	0.465629198388	3172	0.370428751576	5760	0.518055555556
Contig2894	4506	0.35596981802	2678	0.330470500373	1828	0.393326039387
Contig2721	2426	0.481450948063	2426	0.481450948063	nan	nan
Contig2720	692	0.365606936416	nan	nan	692	0.365606936416
Contig2723	6118	0.327558025499	6118	0.327558025499	nan	nan
Contig2722	348	0.324712643678	346	0.320809248555	nan	nan
Contig9711	nan	nan	nan	nan	nan	nan
Contig7553	544	0.426470588235	nan	nan	544	0.426470588235
Contig9714	nan	nan	nan	nan	nan	nan
Contig7557	1942	0.422245108136	500	0.284	1442	0.470180305132
Contig9843	2054	0.356377799416	2054	0.356377799416	nan	nan
Contig18452	734	0.346049046322	642	0.292834890966	92	0.717391304348
Contig3418	2096	0.446564885496	1732	0.412240184758	364	0.60989010989
Contig9844	3860	0.382124352332	2722	0.32072005878	1138	0.528998242531
Contig3414	2250	0.296	2250	0.296	nan	nan
Contig3415	122	0.647540983607	nan	nan	122	0.647540983607
Contig3416	5210	0.344145873321	4030	0.340694789082	1180	0.35593220339
Contig3417	1510	0.301986754967	1510	0.301986754967	nan	nan
Contig3410	8630	0.369177288528	7196	0.342829349639	1434	0.501394700139
Contig2684	1608	0.358208955224	684	0.25	924	0.438311688312
Contig3412	4302	0.398651789865	680	0.275	3622	0.42186637217
Contig47363	300	0.466666666667	300	0.466666666667	nan	nan
Contig18950	98	0.30612244898	nan	nan	98	0.30612244898
Contig613	982	0.551934826884	nan	nan	982	0.551934826884
Contig48871	nan	nan	nan	nan	nan	nan
Contig36464	nan	nan	nan	nan	nan	nan
Contig2683	5766	0.445889698231	5766	0.445889698231	nan	nan
Contig55412	nan	nan	nan	nan	nan	nan
Contig2096	3170	0.382649842271	2734	0.367959034382	436	0.474770642202
Contig2095	13788	0.444807078619	13788	0.444807078619	nan	nan
Contig2094	5408	0.393860946746	4730	0.402536997886	678	0.333333333333
Contig22616	1188	0.323232323232	976	0.275614754098	212	0.542452830189
Contig13258	nan	nan	nan	nan	nan	nan
Contig2091	nan	nan	nan	nan	nan	nan
Contig2090	1928	0.397821576763	1122	0.469696969697	806	0.29776674938
Contig44172	672	0.443452380952	nan	nan	652	0.447852760736
Contig58138	nan	nan	nan	nan	nan	nan
Contig2681	948	0.322784810127	130	0.292307692308	818	0.327628361858
Contig2099	230	0.434782608696	230	0.434782608696	nan	nan
Contig20286	4476	0.419794459339	4062	0.416297390448	414	0.454106280193
Contig28708	nan	nan	nan	nan	nan	nan
