loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig80012	nan	nan	nan	nan	nan	nan
Contig16126	3550	0.353521126761	3550	0.353521126761	nan	nan
Contig16121	nan	nan	nan	nan	nan	nan
Contig82626	1614	0.557001239157	1614	0.557001239157	nan	nan
Contig26826	nan	nan	nan	nan	nan	nan
Contig38974	76	0.578947368421	76	0.578947368421	nan	nan
Contig38970	nan	nan	nan	nan	nan	nan
Contig38973	nan	nan	nan	nan	nan	nan
Contig12808	nan	nan	nan	nan	nan	nan
Contig12804	nan	nan	nan	nan	nan	nan
Contig60541	nan	nan	nan	nan	nan	nan
Contig18453	nan	nan	nan	nan	nan	nan
Contig79541	nan	nan	nan	nan	nan	nan
Contig79546	nan	nan	nan	nan	nan	nan
Contig10669	404	0.366336633663	404	0.366336633663	nan	nan
Contig71717	nan	nan	nan	nan	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig75014	nan	nan	nan	nan	nan	nan
Contig11131	nan	nan	nan	nan	nan	nan
Contig95676	160	0.3625	nan	nan	154	0.376623376623
Contig95675	nan	nan	nan	nan	nan	nan
Contig95672	nan	nan	nan	nan	nan	nan
Contig70007	nan	nan	nan	nan	nan	nan
Contig409	nan	nan	nan	nan	nan	nan
Contig408	nan	nan	nan	nan	nan	nan
Contig79729	nan	nan	nan	nan	nan	nan
Contig401	2716	0.310751104566	2716	0.310751104566	nan	nan
Contig400	5854	0.459685685002	5854	0.459685685002	nan	nan
Contig403	nan	nan	nan	nan	nan	nan
Contig79722	nan	nan	nan	nan	nan	nan
Contig37421	96	0.458333333333	96	0.458333333333	nan	nan
Contig37420	nan	nan	nan	nan	nan	nan
Contig37429	nan	nan	nan	nan	nan	nan
Contig31447	nan	nan	nan	nan	nan	nan
Contig31110	nan	nan	nan	nan	nan	nan
Contig87541	nan	nan	nan	nan	nan	nan
Contig24282	nan	nan	nan	nan	nan	nan
Contig60158	nan	nan	nan	nan	nan	nan
Contig60152	nan	nan	nan	nan	nan	nan
Contig45224	nan	nan	nan	nan	nan	nan
Contig41029	nan	nan	nan	nan	nan	nan
Contig57902	152	0.401315789474	152	0.401315789474	nan	nan
Contig57677	nan	nan	nan	nan	nan	nan
Contig96093	nan	nan	nan	nan	nan	nan
Contig96091	nan	nan	nan	nan	nan	nan
Contig41021	nan	nan	nan	nan	nan	nan
Contig74496	nan	nan	nan	nan	nan	nan
Contig41024	36	0.166666666667	36	0.166666666667	nan	nan
Contig19328	nan	nan	nan	nan	nan	nan
Contig46035	118	0.35593220339	118	0.35593220339	nan	nan
Contig46032	nan	nan	nan	nan	nan	nan
Contig38795	nan	nan	nan	nan	nan	nan
Contig6397	186	0.41935483871	nan	nan	186	0.41935483871
Contig12112	nan	nan	nan	nan	nan	nan
Contig17471	nan	nan	nan	nan	nan	nan
Contig12116	nan	nan	nan	nan	nan	nan
Contig17475	72	0.722222222222	72	0.722222222222	nan	nan
Contig12118	nan	nan	nan	nan	nan	nan
Contig72891	234	0.461538461538	234	0.461538461538	nan	nan
Contig72890	nan	nan	nan	nan	nan	nan
Contig2729	nan	nan	nan	nan	nan	nan
Contig2728	1432	0.495810055866	1432	0.495810055866	nan	nan
Contig2899	652	0.518404907975	652	0.518404907975	nan	nan
Contig74725	nan	nan	nan	nan	nan	nan
Contig74727	nan	nan	nan	nan	nan	nan
Contig2894	nan	nan	nan	nan	nan	nan
Contig2721	nan	nan	nan	nan	nan	nan
Contig2892	560	0.453571428571	560	0.453571428571	nan	nan
Contig7559	102	0.372549019608	102	0.372549019608	nan	nan
Contig60540	nan	nan	nan	nan	nan	nan
Contig12805	nan	nan	nan	nan	nan	nan
Contig36794	nan	nan	nan	nan	nan	nan
Contig18029	nan	nan	nan	nan	nan	nan
Contig3419	nan	nan	nan	nan	nan	nan
Contig9848	nan	nan	nan	nan	nan	nan
Contig67091	24	0.416666666667	24	0.416666666667	nan	nan
Contig6172	nan	nan	nan	nan	nan	nan
Contig6173	nan	nan	nan	nan	nan	nan
Contig55520	nan	nan	nan	nan	nan	nan
Contig72091	nan	nan	nan	nan	nan	nan
Contig36460	nan	nan	nan	nan	nan	nan
Contig2682	2950	0.523050847458	2214	0.514453477868	736	0.548913043478
Contig72098	nan	nan	nan	nan	nan	nan
Contig36466	nan	nan	nan	nan	nan	nan
Contig2683	1372	0.5	1372	0.5	nan	nan
Contig55412	nan	nan	nan	nan	nan	nan
Contig22613	nan	nan	nan	nan	nan	nan
Contig2095	822	0.335766423358	822	0.335766423358	nan	nan
Contig66418	nan	nan	nan	nan	nan	nan
Contig93313	nan	nan	nan	nan	nan	nan
Contig2099	1366	0.566617862372	nan	nan	1366	0.566617862372
Contig27069	nan	nan	nan	nan	nan	nan
Contig20281	44	0.454545454545	44	0.454545454545	nan	nan
Contig64679	nan	nan	nan	nan	nan	nan
Contig40881	nan	nan	nan	nan	nan	nan
Contig27061	nan	nan	nan	nan	nan	nan
Contig28706	2966	0.472353337829	2966	0.472353337829	nan	nan
Contig27065	nan	nan	nan	nan	nan	nan
Contig84361	nan	nan	nan	nan	nan	nan
Contig26625	nan	nan	nan	nan	nan	nan
Contig26624	nan	nan	nan	nan	nan	nan
Contig92404	nan	nan	nan	nan	nan	nan
Contig59422	nan	nan	nan	nan	nan	nan
Contig84368	nan	nan	nan	nan	nan	nan
Contig82245	224	0.424107142857	nan	nan	224	0.424107142857
Contig39440	nan	nan	nan	nan	nan	nan
Contig22536	nan	nan	nan	nan	nan	nan
Contig22535	nan	nan	nan	nan	nan	nan
Contig47856	nan	nan	nan	nan	nan	nan
Contig22533	nan	nan	nan	nan	nan	nan
Contig22530	nan	nan	nan	nan	nan	nan
Contig40080	nan	nan	nan	nan	nan	nan
Contig40085	nan	nan	nan	nan	nan	nan
Contig40088	nan	nan	nan	nan	nan	nan
Contig28560	nan	nan	nan	nan	nan	nan
Contig56297	nan	nan	nan	nan	nan	nan
Contig55080	nan	nan	nan	nan	nan	nan
Contig5150	nan	nan	nan	nan	nan	nan
Contig22285	nan	nan	nan	nan	nan	nan
Contig5155	nan	nan	nan	nan	nan	nan
Contig5158	884	0.43665158371	884	0.43665158371	nan	nan
Contig49825	nan	nan	nan	nan	nan	nan
Contig986	2720	0.414705882353	206	0.485436893204	2514	0.408910103421
Contig91500	nan	nan	nan	nan	nan	nan
Contig980	656	0.408536585366	656	0.408536585366	nan	nan
Contig983	nan	nan	nan	nan	nan	nan
Contig988	nan	nan	nan	nan	nan	nan
Contig32742	nan	nan	nan	nan	nan	nan
Contig11135	nan	nan	nan	nan	nan	nan
Contig94338	nan	nan	nan	nan	nan	nan
Contig4822	1474	0.622795115332	1474	0.622795115332	nan	nan
Contig4823	178	0.516853932584	178	0.516853932584	nan	nan
Contig4828	nan	nan	nan	nan	nan	nan
Contig4829	76	0.473684210526	76	0.473684210526	nan	nan
Contig94333	nan	nan	nan	nan	nan	nan
Contig77061	nan	nan	nan	nan	nan	nan
Contig95312	nan	nan	nan	nan	nan	nan
Contig8397	nan	nan	nan	nan	nan	nan
Contig8822	nan	nan	nan	nan	nan	nan
Contig77068	nan	nan	nan	nan	nan	nan
Contig8393	nan	nan	nan	nan	nan	nan
Contig90445	nan	nan	nan	nan	nan	nan
Contig185	nan	nan	nan	nan	nan	nan
Contig187	2462	0.556864337937	2250	0.553333333333	212	0.594339622642
Contig35919	nan	nan	nan	nan	nan	nan
Contig181	nan	nan	nan	nan	nan	nan
Contig183	nan	nan	nan	nan	nan	nan
Contig65257	nan	nan	nan	nan	nan	nan
Contig58461	nan	nan	nan	nan	nan	nan
Contig65361	nan	nan	nan	nan	nan	nan
Contig27937	nan	nan	nan	nan	nan	nan
Contig66537	nan	nan	nan	nan	nan	nan
