loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29709	3094	0.39883645766	2376	0.375420875421	718	0.476323119777
Contig16128	nan	nan	nan	nan	nan	nan
Contig29704	594	0.530303030303	nan	nan	594	0.530303030303
Contig26820	402	0.412935323383	142	0.267605633803	260	0.492307692308
Contig26822	nan	nan	nan	nan	nan	nan
Contig26825	nan	nan	nan	nan	nan	nan
Contig26826	nan	nan	nan	nan	nan	nan
Contig38970	nan	nan	nan	nan	nan	nan
Contig18458	352	0.346590909091	352	0.346590909091	nan	nan
Contig12805	nan	nan	nan	nan	nan	nan
Contig35742	768	0.260416666667	632	0.25	136	0.308823529412
Contig12800	nan	nan	nan	nan	nan	nan
Contig12801	418	0.253588516746	298	0.255033557047	120	0.25
Contig18457	nan	nan	nan	nan	nan	nan
Contig12803	914	0.340262582057	914	0.340262582057	nan	nan
Contig14799	nan	nan	nan	nan	nan	nan
Contig15299	nan	nan	nan	nan	nan	nan
Contig15296	nan	nan	nan	nan	nan	nan
Contig15297	502	0.486055776892	502	0.486055776892	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig11134	276	0.413043478261	24	0.25	252	0.428571428571
Contig11137	nan	nan	nan	nan	nan	nan
Contig12999	242	0.388429752066	242	0.388429752066	nan	nan
Contig409	76	0.223684210526	nan	nan	76	0.223684210526
Contig408	7358	0.318428920902	7358	0.318428920902	nan	nan
Contig402	nan	nan	nan	nan	nan	nan
Contig404	942	0.356687898089	nan	nan	942	0.356687898089
Contig407	296	0.283783783784	296	0.283783783784	nan	nan
Contig37425	nan	nan	nan	nan	nan	nan
Contig37422	nan	nan	nan	nan	nan	nan
Contig37429	nan	nan	nan	nan	nan	nan
Contig37428	nan	nan	nan	nan	nan	nan
Contig31119	414	0.294685990338	414	0.294685990338	nan	nan
Contig31447	356	0.258426966292	98	0.183673469388	258	0.286821705426
Contig924	158	0.291139240506	nan	nan	158	0.291139240506
Contig24283	nan	nan	nan	nan	nan	nan
Contig24285	202	0.584158415842	nan	nan	202	0.584158415842
Contig24284	230	0.313043478261	230	0.313043478261	nan	nan
Contig23835	nan	nan	nan	nan	nan	nan
Contig17297	nan	nan	nan	nan	nan	nan
Contig17294	nan	nan	nan	nan	nan	nan
