loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16128	13308	0.317327923054	12852	0.310379707439	456	0.513157894737
Contig16127	974	0.485626283368	58	0.51724137931	916	0.483624454148
Contig16123	3010	0.48903654485	1420	0.383098591549	1590	0.583647798742
Contig16121	886	0.488713318284	nan	nan	886	0.488713318284
Contig34856	nan	nan	nan	nan	nan	nan
Contig26824	220	0.509090909091	nan	nan	220	0.509090909091
Contig15447	6514	0.404820386859	6514	0.404820386859	nan	nan
Contig12808	6286	0.401209035953	nan	nan	6286	0.401209035953
Contig35740	nan	nan	nan	nan	nan	nan
Contig18450	nan	nan	nan	nan	nan	nan
Contig12806	10958	0.355813104581	9834	0.334451901566	1124	0.542704626335
Contig12807	3962	0.363957597173	3014	0.309223623092	948	0.537974683544
Contig18455	nan	nan	nan	nan	nan	nan
Contig12801	3660	0.345355191257	3564	0.346240179574	96	0.3125
Contig18456	nan	nan	nan	nan	nan	nan
Contig14799	23018	0.38378660179	294	0.292517006803	22724	0.384967435311
Contig15298	242	0.388429752066	242	0.388429752066	nan	nan
Contig15299	1246	0.38683788122	84	0.190476190476	1162	0.401032702238
Contig10664	nan	nan	nan	nan	nan	nan
Contig10665	3804	0.466351209253	nan	nan	3804	0.466351209253
Contig15290	4642	0.379793192589	3730	0.363806970509	912	0.445175438596
Contig15291	1030	0.47572815534	nan	nan	1030	0.47572815534
Contig15293	956	0.392259414226	nan	nan	956	0.392259414226
Contig11138	4312	0.446428571429	596	0.315436241611	3716	0.46743810549
Contig11134	9352	0.430068434559	9332	0.429918559794	nan	nan
Contig11136	1454	0.306052269601	1454	0.306052269601	nan	nan
Contig11131	1390	0.345323741007	nan	nan	1370	0.343065693431
Contig29703	nan	nan	nan	nan	nan	nan
Contig11776	122	0.327868852459	nan	nan	122	0.327868852459
Contig8006	88	0.363636363636	nan	nan	88	0.363636363636
Contig8007	7850	0.415541401274	4764	0.375734676742	3086	0.47699287103
Contig15441	96	0.3125	78	0.307692307692	nan	nan
Contig8003	4516	0.42139061116	nan	nan	4516	0.42139061116
Contig8000	2770	0.36642599278	2770	0.36642599278	nan	nan
Contig8001	nan	nan	nan	nan	nan	nan
Contig409	2338	0.372968349016	96	0.5	2242	0.367528991971
Contig408	2010	0.239800995025	2010	0.239800995025	nan	nan
Contig15611	1738	0.487917146145	nan	nan	1738	0.487917146145
Contig401	3864	0.446169772257	1640	0.456707317073	2224	0.438399280576
Contig403	10338	0.332366028245	9586	0.332359691216	752	0.332446808511
Contig402	5792	0.373446132597	314	0.191082802548	5478	0.383899233297
Contig405	12534	0.324557204404	8908	0.307588684329	3626	0.366243794815
Contig404	4582	0.406809253601	4582	0.406809253601	nan	nan
Contig407	3704	0.571274298056	862	0.490719257541	2842	0.595707248417
Contig37427	nan	nan	nan	nan	nan	nan
Contig37424	nan	nan	nan	nan	nan	nan
Contig15614	732	0.618852459016	nan	nan	732	0.618852459016
Contig31447	nan	nan	nan	nan	nan	nan
Contig31110	nan	nan	nan	nan	nan	nan
Contig924	8632	0.355421686747	nan	nan	8632	0.355421686747
Contig24283	nan	nan	nan	nan	nan	nan
Contig925	2202	0.398728428701	1154	0.36308492201	1048	0.437977099237
Contig23838	1770	0.407344632768	nan	nan	1770	0.407344632768
Contig17296	nan	nan	nan	nan	nan	nan
Contig35356	nan	nan	nan	nan	nan	nan
Contig17294	nan	nan	nan	nan	nan	nan
Contig17295	58	0.137931034483	58	0.137931034483	nan	nan
Contig23830	nan	nan	nan	nan	nan	nan
Contig23833	nan	nan	nan	nan	nan	nan
Contig3663	1516	0.348944591029	762	0.358267716535	754	0.339522546419
Contig15838	1544	0.379533678756	1040	0.336538461538	504	0.468253968254
Contig6307	1660	0.632530120482	nan	nan	1660	0.632530120482
Contig15831	nan	nan	nan	nan	nan	nan
Contig3153	21340	0.405435801312	13948	0.391884141095	7392	0.431006493506
Contig15836	4614	0.423493714781	4614	0.423493714781	nan	nan
Contig7479	22148	0.384278490157	22148	0.384278490157	nan	nan
Contig15442	34384	0.405333876221	33866	0.404092600248	518	0.486486486486
Contig19323	880	0.281818181818	nan	nan	880	0.281818181818
Contig19326	nan	nan	nan	nan	nan	nan
Contig3154	3496	0.419908466819	2720	0.393382352941	776	0.512886597938
Contig38790	nan	nan	nan	nan	nan	nan
Contig14407	11904	0.371303763441	4188	0.29417382999	7716	0.413167444272
Contig14404	4526	0.305125939019	2920	0.223287671233	1606	0.453922789539
Contig38793	nan	nan	nan	nan	nan	nan
Contig3434	22182	0.361644576684	22182	0.361644576684	nan	nan
Contig6390	13414	0.314373043089	12758	0.308120395046	656	0.435975609756
Contig6391	8498	0.316662744175	88	0.386363636364	8410	0.315933412604
Contig6392	8100	0.388888888889	8100	0.388888888889	nan	nan
Contig3156	8468	0.422177609825	6922	0.423288067033	1546	0.417205692109
Contig6394	11608	0.40988973122	2740	0.408759124088	8868	0.410239061795
Contig6395	22022	0.334846971211	17046	0.314971254253	4976	0.402934083601
Contig6396	2046	0.295210166178	1770	0.284745762712	276	0.36231884058
Contig6397	2086	0.338926174497	2086	0.338926174497	nan	nan
Contig12112	12978	0.389120049314	12148	0.372406980573	830	0.633734939759
Contig12111	3738	0.269127875869	3738	0.269127875869	nan	nan
Contig17476	290	0.393103448276	290	0.393103448276	nan	nan
Contig928	31090	0.35587005468	28596	0.360679815359	2494	0.300721732157
Contig12114	358	0.284916201117	358	0.284916201117	nan	nan
Contig12115	1984	0.319556451613	1414	0.281471004243	570	0.414035087719
Contig17478	5080	0.341929133858	3364	0.355231866825	1716	0.315850815851
Contig929	14910	0.499664654594	2284	0.319614711033	12626	0.532235070489
Contig2729	4612	0.310494362533	4612	0.310494362533	nan	nan
Contig2728	24486	0.38303520379	22738	0.368765942475	1748	0.568649885584
Contig2899	5292	0.479969765684	2434	0.432621199671	2858	0.520293911826
Contig2725	21706	0.425642679443	19916	0.421118698534	1790	0.475977653631
Contig2896	15878	0.445711046731	11436	0.428121720881	4442	0.490995047276
Contig2727	11196	0.477402643801	6102	0.432645034415	5094	0.531016882607
Contig2894	8552	0.42352666043	6244	0.413196668802	2308	0.451473136915
Contig2721	6610	0.448714069592	1024	0.4482421875	5586	0.448800572861
Contig2720	nan	nan	nan	nan	nan	nan
Contig2891	21386	0.446039465071	19700	0.435076142132	1686	0.574139976275
Contig9719	746	0.329758713137	746	0.329758713137	nan	nan
Contig9718	2280	0.304385964912	1788	0.287472035794	492	0.365853658537
Contig7474	6548	0.383323152108	3900	0.33358974359	2648	0.456570996979
Contig7551	nan	nan	nan	nan	nan	nan
Contig9710	2172	0.511049723757	nan	nan	2172	0.511049723757
Contig7553	5832	0.304526748971	4018	0.328521652563	1814	0.251378169791
Contig9712	6480	0.355401234568	1098	0.300546448087	5382	0.366592344853
Contig7554	4266	0.378809188936	4266	0.378809188936	nan	nan
Contig7557	6018	0.306912595547	5778	0.302526825891	240	0.4125
Contig9716	2342	0.439368061486	420	0.319047619048	1922	0.465660770031
Contig9841	6456	0.307311028501	6456	0.307311028501	nan	nan
Contig9840	986	0.306288032454	986	0.306288032454	nan	nan
Contig9843	840	0.457142857143	nan	nan	840	0.457142857143
Contig6178	3898	0.275525910723	3898	0.275525910723	nan	nan
Contig3419	9520	0.348109243697	5536	0.31448699422	3984	0.394829317269
Contig9847	nan	nan	nan	nan	nan	nan
Contig9846	396	0.300505050505	396	0.300505050505	nan	nan
Contig3414	11776	0.441576086957	9988	0.417300760913	1788	0.577181208054
Contig6175	nan	nan	nan	nan	nan	nan
Contig6176	3692	0.388407367281	nan	nan	3692	0.388407367281
Contig6177	17082	0.424598993092	12366	0.404496199256	4716	0.477311280746
Contig3410	17008	0.413687676388	11872	0.361859838275	5136	0.533489096573
Contig3412	4230	0.337825059102	2090	0.288516746411	2140	0.385981308411
Contig3413	1924	0.376299376299	232	0.224137931034	1692	0.397163120567
Contig2685	nan	nan	nan	nan	nan	nan
Contig36461	2938	0.279101429544	2530	0.261660079051	408	0.387254901961
Contig12803	nan	nan	nan	nan	nan	nan
Contig36467	nan	nan	nan	nan	nan	nan
Contig2097	7940	0.37443324937	7480	0.356951871658	460	0.658695652174
Contig2096	8902	0.405639182206	7202	0.376700916412	1700	0.528235294118
Contig2093	18080	0.453097345133	17238	0.446397493909	842	0.59026128266
Contig2092	2998	0.432288192128	2998	0.432288192128	nan	nan
Contig2091	2656	0.262048192771	2656	0.262048192771	nan	nan
Contig13259	3900	0.448205128205	1382	0.506512301013	2518	0.416203335981
Contig2099	1012	0.309288537549	376	0.345744680851	636	0.287735849057
Contig20287	42	0.333333333333	42	0.333333333333	nan	nan
Contig18284	nan	nan	nan	nan	nan	nan
Contig27069	nan	nan	nan	nan	nan	nan
Contig20281	3928	0.50483706721	1732	0.4896073903	2196	0.516848816029
Contig20280	3120	0.3125	1652	0.256053268765	1468	0.376021798365
