loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig26827	nan	nan	nan	nan	nan	nan
Contig18451	354	0.344632768362	354	0.344632768362	nan	nan
Contig18450	2206	0.309156844968	2206	0.309156844968	nan	nan
Contig35745	nan	nan	nan	nan	nan	nan
Contig12802	1888	0.335805084746	1748	0.316933638444	140	0.571428571429
Contig12803	610	0.193442622951	nan	nan	610	0.193442622951
Contig15294	2980	0.406040268456	2140	0.452803738318	840	0.286904761905
Contig115207	nan	nan	nan	nan	nan	nan
Contig115204	nan	nan	nan	nan	nan	nan
Contig11138	958	0.415448851775	400	0.395	558	0.430107526882
Contig78236	106	0.415094339623	nan	nan	106	0.415094339623
Contig8009	308	0.454545454545	nan	nan	308	0.454545454545
Contig8000	454	0.321585903084	454	0.321585903084	nan	nan
Contig6134	2582	0.265298218435	2528	0.26621835443	54	0.222222222222
Contig402	1434	0.313807531381	726	0.356749311295	708	0.269774011299
Contig406	226	0.495575221239	226	0.495575221239	nan	nan
Contig925	2268	0.283950617284	2268	0.283950617284	nan	nan
Contig24289	196	0.423469387755	nan	nan	196	0.423469387755
Contig17295	4148	0.272420443587	3824	0.266474895397	324	0.342592592593
Contig35350	138	0.159420289855	nan	nan	138	0.159420289855
Contig3151	3448	0.306844547564	2466	0.242903487429	982	0.467413441955
Contig45227	94	0.489361702128	94	0.489361702128	nan	nan
Contig41021	nan	nan	nan	nan	nan	nan
Contig15834	3392	0.267099056604	2890	0.246366782007	502	0.386454183267
Contig96096	78	0.205128205128	nan	nan	78	0.205128205128
Contig46033	56	0.357142857143	nan	nan	56	0.357142857143
Contig19320	102	0.235294117647	46	0.260869565217	56	0.214285714286
Contig19321	204	0.411764705882	nan	nan	204	0.411764705882
Contig19323	nan	nan	nan	nan	nan	nan
Contig19327	nan	nan	nan	nan	nan	nan
Contig14407	nan	nan	nan	nan	nan	nan
Contig38794	nan	nan	nan	nan	nan	nan
Contig17489	902	0.39689578714	876	0.397260273973	26	0.384615384615
Contig3156	870	0.187356321839	870	0.187356321839	nan	nan
Contig14408	nan	nan	nan	nan	nan	nan
Contig17472	nan	nan	nan	nan	nan	nan
Contig17471	nan	nan	nan	nan	nan	nan
Contig9633	264	0.435606060606	nan	nan	264	0.435606060606
Contig12119	414	0.263285024155	414	0.263285024155	nan	nan
