loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig1861	nan	nan	nan	nan	nan	nan
Contig1860	1422	0.255977496484	1422	0.255977496484	nan	nan
Contig1867	112	0.214285714286	112	0.214285714286	nan	nan
Contig1866	nan	nan	nan	nan	nan	nan
Contig1865	nan	nan	nan	nan	nan	nan
Contig1864	168	0.267857142857	100	0.2	68	0.367647058824
Contig1869	590	0.396610169492	590	0.396610169492	nan	nan
Contig30653	114	0.19298245614	114	0.19298245614	nan	nan
Contig26822	306	0.307189542484	306	0.307189542484	nan	nan
Contig9445	nan	nan	nan	nan	nan	nan
Contig34643	1728	0.327546296296	1728	0.327546296296	nan	nan
Contig7601	1426	0.322580645161	1426	0.322580645161	nan	nan
Contig7603	668	0.315868263473	668	0.315868263473	nan	nan
Contig575	182	0.340659340659	182	0.340659340659	nan	nan
Contig571	140	0.371428571429	140	0.371428571429	nan	nan
Contig570	nan	nan	nan	nan	nan	nan
Contig573	140	0.321428571429	nan	nan	140	0.321428571429
Contig572	nan	nan	nan	nan	nan	nan
Contig1467	nan	nan	nan	nan	nan	nan
Contig1465	nan	nan	nan	nan	nan	nan
Contig9284	102	0.245098039216	102	0.245098039216	nan	nan
Contig579	nan	nan	nan	nan	nan	nan
Contig1461	510	0.33137254902	510	0.33137254902	nan	nan
Contig1268	1580	0.268987341772	1580	0.268987341772	nan	nan
Contig1260	nan	nan	nan	nan	nan	nan
Contig1263	nan	nan	nan	nan	nan	nan
Contig10662	1644	0.3199513382	1644	0.3199513382	nan	nan
Contig1267	nan	nan	nan	nan	nan	nan
Contig1266	430	0.279069767442	430	0.279069767442	nan	nan
Contig2871	86	0.209302325581	86	0.209302325581	nan	nan
Contig11135	182	0.318681318681	182	0.318681318681	nan	nan
Contig11137	nan	nan	nan	nan	nan	nan
Contig5842	nan	nan	nan	nan	nan	nan
Contig30880	nan	nan	nan	nan	nan	nan
Contig11132	48	0.333333333333	48	0.333333333333	nan	nan
Contig11913	nan	nan	nan	nan	nan	nan
Contig409	246	0.39837398374	246	0.39837398374	nan	nan
Contig408	nan	nan	nan	nan	nan	nan
Contig7044	nan	nan	nan	nan	nan	nan
Contig15901	nan	nan	nan	nan	nan	nan
Contig7737	994	0.312877263581	994	0.312877263581	nan	nan
Contig7040	nan	nan	nan	nan	nan	nan
Contig13888	184	0.369565217391	184	0.369565217391	nan	nan
Contig405	nan	nan	nan	nan	nan	nan
Contig407	nan	nan	nan	nan	nan	nan
Contig406	112	0.553571428571	nan	nan	112	0.553571428571
Contig2878	nan	nan	nan	nan	nan	nan
Contig13885	nan	nan	nan	nan	nan	nan
Contig148	994	0.370221327968	994	0.370221327968	nan	nan
Contig17058	nan	nan	nan	nan	nan	nan
Contig21358	nan	nan	nan	nan	nan	nan
Contig31440	nan	nan	nan	nan	nan	nan
Contig4889	1594	0.366373902133	1594	0.366373902133	nan	nan
Contig30427	nan	nan	nan	nan	nan	nan
Contig10582	nan	nan	nan	nan	nan	nan
Contig6950	nan	nan	nan	nan	nan	nan
Contig3124	nan	nan	nan	nan	nan	nan
Contig8714	662	0.336858006042	662	0.336858006042	nan	nan
Contig3129	nan	nan	nan	nan	nan	nan
Contig7131	426	0.511737089202	nan	nan	426	0.511737089202
Contig7130	2400	0.323333333333	2400	0.323333333333	nan	nan
Contig7425	nan	nan	nan	nan	nan	nan
Contig22046	64	0.40625	64	0.40625	nan	nan
Contig7426	nan	nan	nan	nan	nan	nan
Contig9661	1982	0.319878910192	1982	0.319878910192	nan	nan
Contig7420	nan	nan	nan	nan	nan	nan
Contig6399	340	0.320588235294	340	0.320588235294	nan	nan
Contig4768	140	0.414285714286	140	0.414285714286	nan	nan
Contig10744	106	0.245283018868	106	0.245283018868	nan	nan
