loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig1863	478	0.433054393305	319	0.407523510972	159	0.48427672956	14	43.40	49.38	32.08	48.43	47.62	47.68	22.76	21.18	0.33
Contig1862	858	0.463869463869	572	0.461538461538	286	0.468531468531	38	46.39	52.10	40.21	46.85	49.56	49.81	25.76	25.81	0.26
Contig15582	423	0.439716312057	282	0.375886524823	141	0.567375886525	8	43.97	42.55	32.62	56.74	44.03	44.92	20.04	19.96	0.40
Contig1860	1089	0.383838383838	726	0.414600550964	363	0.322314049587	9	38.38	47.38	35.54	32.23	42.73	50.10	21.94	25.40	0.24
Contig1864	631	0.438985736926	421	0.513064133017	210	0.290476190476	9	43.97	61.61	40.95	29.05	44.08	48.37	19.76	23.29	0.35
Contig15588	462	0.450216450216	308	0.474025974026	154	0.402597402597	35	45.02	57.14	37.66	40.26	39.30	42.02	16.57	17.86	0.51
Contig15589	420	0.383333333333	280	0.403571428571	140	0.342857142857	10	38.33	45.00	35.71	34.29	44.24	46.49	18.17	21.29	0.36
Contig16122	553	0.46835443038	369	0.444444444444	184	0.516304347826	22	46.92	49.73	39.13	51.63	51.36	52.01	25.70	25.13	0.29
Contig24664	813	0.439114391144	542	0.435424354244	271	0.446494464945	66	43.91	60.52	26.57	44.65	45.68	47.54	21.54	22.02	0.36
Contig24661	441	0.439909297052	294	0.43537414966	147	0.448979591837	13	43.99	50.34	36.73	44.90	44.48	45.36	19.64	20.28	0.44
Contig13526	627	0.419457735247	418	0.468899521531	209	0.320574162679	13	41.95	59.81	33.97	32.06	40.20	44.47	18.06	21.59	0.39
Contig23942	261	0.44061302682	174	0.454022988506	87	0.413793103448	7	44.06	49.43	41.38	41.38	38.97	40.53	17.01	18.14	nan
Contig9444	354	0.468926553672	236	0.466101694915	118	0.474576271186	53	46.89	55.08	38.14	47.46	47.39	47.07	25.65	25.84	0.29
Contig17922	198	0.474747474747	132	0.469696969697	66	0.484848484848	6	47.47	48.48	45.45	48.48	37.35	43.67	15.61	16.42	nan
Contig7600	345	0.373913043478	230	0.382608695652	115	0.35652173913	29	37.39	42.61	33.91	35.65	38.47	39.11	14.95	13.65	0.55
Contig9443	558	0.408602150538	372	0.41935483871	186	0.387096774194	12	40.86	50.54	33.33	38.71	44.33	47.12	20.92	22.42	0.34
Contig574	837	0.462365591398	558	0.462365591398	279	0.462365591398	75	46.24	50.54	41.94	46.24	49.35	49.20	23.74	24.00	0.32
Contig17556	213	0.361502347418	142	0.37323943662	71	0.338028169014	8	36.15	33.80	40.85	33.80	39.76	42.71	17.66	19.40	nan
