loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig80012	214	0.383177570093	214	0.383177570093	nan	nan
Contig105636	nan	nan	nan	nan	nan	nan
Contig105635	nan	nan	nan	nan	nan	nan
Contig56504	nan	nan	nan	nan	nan	nan
Contig26827	nan	nan	nan	nan	nan	nan
Contig26829	nan	nan	nan	nan	nan	nan
Contig26828	240	0.383333333333	240	0.383333333333	nan	nan
Contig60540	nan	nan	nan	nan	nan	nan
Contig45475	nan	nan	nan	nan	nan	nan
Contig18457	nan	nan	nan	nan	nan	nan
Contig12803	nan	nan	nan	nan	nan	nan
Contig100549	nan	nan	nan	nan	nan	nan
Contig71717	nan	nan	nan	nan	nan	nan
Contig75010	nan	nan	nan	nan	nan	nan
Contig78236	nan	nan	nan	nan	nan	nan
Contig78235	nan	nan	nan	nan	nan	nan
Contig108019	nan	nan	nan	nan	nan	nan
Contig8007	nan	nan	nan	nan	nan	nan
Contig15441	nan	nan	nan	nan	nan	nan
Contig108015	nan	nan	nan	nan	nan	nan
Contig409	222	0.265765765766	222	0.265765765766	nan	nan
Contig408	394	0.319796954315	236	0.237288135593	158	0.443037974684
Contig74272	nan	nan	nan	nan	nan	nan
Contig57717	nan	nan	nan	nan	nan	nan
Contig406	nan	nan	nan	nan	nan	nan
Contig53159	nan	nan	nan	nan	nan	nan
Contig96892	nan	nan	nan	nan	nan	nan
Contig53628	nan	nan	nan	nan	nan	nan
Contig89057	nan	nan	nan	nan	nan	nan
Contig53626	nan	nan	nan	nan	nan	nan
Contig53157	898	0.452115812918	886	0.451467268623	nan	nan
Contig26824	nan	nan	nan	nan	nan	nan
Contig31119	nan	nan	nan	nan	nan	nan
Contig46265	nan	nan	nan	nan	nan	nan
Contig31444	nan	nan	nan	nan	nan	nan
Contig69145	nan	nan	nan	nan	nan	nan
Contig31440	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig107137	nan	nan	nan	nan	nan	nan
Contig53970	nan	nan	nan	nan	nan	nan
Contig17293	nan	nan	nan	nan	nan	nan
Contig99020	nan	nan	nan	nan	nan	nan
Contig45226	nan	nan	nan	nan	nan	nan
Contig57902	nan	nan	nan	nan	nan	nan
Contig57900	nan	nan	nan	nan	nan	nan
Contig96091	nan	nan	nan	nan	nan	nan
