loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig539861	nan	nan	nan	nan	nan	nan
Contig706951	nan	nan	nan	nan	nan	nan
Contig480991	nan	nan	nan	nan	nan	nan
Contig539866	nan	nan	nan	nan	nan	nan
Contig361097	nan	nan	nan	nan	nan	nan
Contig760532	nan	nan	nan	nan	nan	nan
Contig626243	120	0.316666666667	nan	nan	120	0.316666666667
Contig207652	nan	nan	nan	nan	nan	nan
Contig313729	nan	nan	nan	nan	nan	nan
Contig424492	nan	nan	nan	nan	nan	nan
Contig485743	nan	nan	nan	nan	nan	nan
Contig150430	862	0.314385150812	862	0.314385150812	nan	nan
Contig198015	146	0.315068493151	nan	nan	146	0.315068493151
Contig263000	nan	nan	nan	nan	nan	nan
Contig310313	nan	nan	nan	nan	nan	nan
Contig330460	nan	nan	nan	nan	nan	nan
Contig648861	nan	nan	nan	nan	nan	nan
Contig148333	nan	nan	nan	nan	nan	nan
Contig198012	1278	0.388888888889	1278	0.388888888889	nan	nan
Contig710145	2880	0.418055555556	2880	0.418055555556	nan	nan
Contig365773	nan	nan	nan	nan	nan	nan
Contig444903	nan	nan	nan	nan	nan	nan
Contig440423	134	0.402985074627	nan	nan	134	0.402985074627
Contig118126	nan	nan	nan	nan	nan	nan
Contig294273	nan	nan	nan	nan	nan	nan
Contig152497	nan	nan	nan	nan	nan	nan
Contig451075	nan	nan	nan	nan	nan	nan
Contig694115	nan	nan	nan	nan	nan	nan
Contig456382	1354	0.477104874446	1354	0.477104874446	nan	nan
Contig647139	nan	nan	nan	nan	nan	nan
Contig604062	nan	nan	nan	nan	nan	nan
Contig115205	nan	nan	nan	nan	nan	nan
Contig613114	nan	nan	nan	nan	nan	nan
Contig248717	206	0.334951456311	nan	nan	206	0.334951456311
Contig674745	nan	nan	nan	nan	nan	nan
Contig360036	nan	nan	nan	nan	nan	nan
Contig155146	136	0.294117647059	nan	nan	136	0.294117647059
Contig155148	nan	nan	nan	nan	nan	nan
Contig162910	nan	nan	nan	nan	nan	nan
Contig464479	nan	nan	nan	nan	nan	nan
Contig112924	178	0.370786516854	178	0.370786516854	nan	nan
Contig733681	nan	nan	nan	nan	nan	nan
Contig299004	nan	nan	nan	nan	nan	nan
Contig240281	nan	nan	nan	nan	nan	nan
Contig113480	nan	nan	nan	nan	nan	nan
Contig430811	nan	nan	nan	nan	nan	nan
Contig95678	nan	nan	nan	nan	nan	nan
Contig668956	nan	nan	nan	nan	nan	nan
Contig192746	nan	nan	nan	nan	nan	nan
Contig497903	nan	nan	nan	nan	nan	nan
Contig70005	nan	nan	nan	nan	nan	nan
Contig107776	nan	nan	nan	nan	nan	nan
Contig107777	nan	nan	nan	nan	nan	nan
Contig321038	nan	nan	nan	nan	nan	nan
Contig634954	462	0.365800865801	462	0.365800865801	nan	nan
Contig521107	nan	nan	nan	nan	nan	nan
Contig99127	nan	nan	nan	nan	nan	nan
Contig640875	nan	nan	nan	nan	nan	nan
Contig435674	nan	nan	nan	nan	nan	nan
Contig521108	nan	nan	nan	nan	nan	nan
Contig679011	nan	nan	nan	nan	nan	nan
Contig439449	58	0.413793103448	nan	nan	58	0.413793103448
Contig549073	nan	nan	nan	nan	nan	nan
Contig371655	nan	nan	nan	nan	nan	nan
Contig445487	nan	nan	nan	nan	nan	nan
