loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	693	0.532467532468	462	0.512987012987	231	0.571428571429	39	53.25	58.44	44.16	57.14	47.94	48.71	24.4	25.18	0.24	nan	nan	nan	nan	nan	nan	8.9490526532664
Contig10	1008	0.544642857143	672	0.584821428571	336	0.464285714286	93	54.46	60.42	56.55	46.43	45.64	48.25	22.23	25.09	0.32	2344	0.409556313993	2106	0.417853751187	238	0.336134453782	64.1795322385718
Contig100	2172	0.483425414365	1448	0.419889502762	724	0.610497237569	135	48.34	53.45	30.52	61.05	45.99	47.42	22.35	23.18	0.27	842	0.36460807601	708	0.337570621469	134	0.507462686567	106.861958317824
Contig1000	2001	0.47676161919	1334	0.458020989505	667	0.514242878561	65	47.68	57.57	34.03	51.42	47.93	47.94	23.12	23.74	0.3	318	0.446540880503	94	0.531914893617	224	0.410714285714	34.2827748157746
Contig10000	435	0.445977011494	290	0.406896551724	145	0.524137931034	22	44.6	49.66	31.72	52.41	47.02	48.71	22.3	22.61	0.34	nan	nan	nan	nan	nan	nan	-5.14716612964877
Contig10003	969	0.534571723426	646	0.541795665635	323	0.520123839009	23	53.46	44.89	63.47	52.01	49.11	49.42	26.94	26.52	0.21	846	0.343971631206	846	0.343971631206	nan	nan	-6.23684405918968
Contig1001	201	0.55223880597	134	0.544776119403	67	0.567164179104	28	55.22	61.19	47.76	56.72	35.16	35.07	18.79	20.01	nan	1284	0.359813084112	1284	0.359813084112	nan	nan	-1.19491278172432
Contig10014	351	0.504273504274	234	0.465811965812	117	0.581196581197	25	50.43	54.7	38.46	58.12	37.65	38.73	17.2	17.47	0.49	298	0.41610738255	298	0.41610738255	nan	nan	-5.97129080239112
Contig10017	348	0.479885057471	232	0.456896551724	116	0.525862068966	22	47.99	44.83	46.55	52.59	44.13	45.43	22.32	22.57	0.3	94	0.414893617021	94	0.414893617021	nan	nan	-8.66760197178266
Contig10020	261	0.532567049808	174	0.557471264368	87	0.48275862069	14	53.26	81.61	29.89	48.28	34.58	37.24	15.79	17.81	nan	nan	nan	nan	nan	nan	nan	-15.0386622574568
Contig10023	237	0.523206751055	158	0.455696202532	79	0.658227848101	13	52.32	46.84	44.3	65.82	37.28	37.72	19.6	19.96	nan	nan	nan	nan	nan	nan	nan	-17.6118471496656
Contig10024	216	0.569444444444	144	0.486111111111	72	0.736111111111	12	56.94	48.61	48.61	73.61	34.22	37.11	14.83	17.07	nan	136	0.485294117647	nan	nan	136	0.485294117647	-18.8288326918247
Contig10027	332	0.493975903614	222	0.490990990991	110	0.5	14	49.7	58.56	39.64	50	46.18	45.24	21.58	21.27	0.39	nan	nan	nan	nan	nan	nan	-16.7034623341527
Contig1003	507	0.481262327416	338	0.426035502959	169	0.591715976331	114	48.13	50.89	34.32	59.17	42.38	41.80	20.99	20.46	0.41	42	0.47619047619	42	0.47619047619	nan	nan	85.3991111976905
Contig10039	232	0.405172413793	155	0.41935483871	77	0.376623376623	8	40.69	50	33.77	37.66	31.97	32.88	13.95	13.48	nan	nan	nan	nan	nan	nan	nan	-20.0975907124173
Contig1004	453	0.532008830022	302	0.460264900662	151	0.675496688742	39	53.2	50.33	41.72	67.55	39.39	42.02	18.13	20.41	0.43	130	0.392307692308	94	0.393617021277	36	0.388888888889	8.19219801040769
Contig10044	713	0.539971949509	476	0.53781512605	237	0.544303797468	18	54.15	49.58	57.98	54.43	47.54	48.39	24.71	25.24	0.25	nan	nan	nan	nan	nan	nan	-11.2960110199672
Contig10053	213	0.549295774648	142	0.535211267606	71	0.577464788732	17	54.93	66.2	40.85	57.75	38.59	38.56	18.31	18.83	nan	nan	nan	nan	nan	nan	nan	-12.336793024848
Contig10060	354	0.522598870056	236	0.559322033898	118	0.449152542373	11	52.26	53.39	58.47	44.92	39.87	41.09	17.99	18.62	0.48	nan	nan	nan	nan	nan	nan	-18.0188611876298
Contig10066	226	0.5	151	0.476821192053	75	0.546666666667	14	50.22	44.74	50.67	54.67	34.02	37.93	17.09	17.22	nan	nan	nan	nan	nan	nan	nan	-16.9613968098254
Contig10069	362	0.417127071823	242	0.363636363636	120	0.525	26	41.94	41.32	31.4	52.5	40.49	39.75	18.15	17.62	0.39	nan	nan	nan	nan	nan	nan	2.24558632274305
Contig1007	582	0.512027491409	388	0.471649484536	194	0.592783505155	48	51.2	48.45	45.88	59.28	48.78	47.78	27.64	26.21	0.22	nan	nan	nan	nan	nan	nan	17.0068255870559
Contig10073	224	0.5	150	0.446666666667	74	0.608108108108	11	50.45	42.67	46.67	60.81	36.79	38.92	15.55	17.5	nan	nan	nan	nan	nan	nan	nan	-19.1228000646572
Contig10074	957	0.539184952978	638	0.467084639498	319	0.683385579937	27	53.92	48.9	44.51	68.34	44.71	49.11	22.86	23.75	0.31	832	0.427884615385	832	0.427884615385	nan	nan	-3.98890459280699
Contig1008	954	0.5	636	0.455974842767	318	0.588050314465	64	50	53.46	37.74	58.81	43.40	46.21	21.07	22.67	0.32	2614	0.371843917368	2156	0.358070500928	458	0.436681222707	33.3749682932873
Contig10085	612	0.47385620915	408	0.460784313725	204	0.5	41	47.39	55.39	36.76	50	48.01	46.66	22.99	22.64	0.33	1182	0.373942470389	1128	0.374113475177	54	0.37037037037	10.1729844788904
Contig10087	324	0.533950617284	216	0.462962962963	108	0.675925925926	15	53.4	48.15	44.44	67.59	42.61	45.06	20.91	21.53	0.36	nan	nan	nan	nan	nan	nan	-15.8996556748346
Contig10089	732	0.534153005464	488	0.497950819672	244	0.606557377049	36	53.42	58.61	40.98	60.66	47.88	47.94	25.72	25.77	0.28	190	0.421052631579	190	0.421052631579	nan	nan	5.46067241484649
Contig10091	503	0.538767395626	336	0.514880952381	167	0.586826347305	21	54.09	56.55	46.43	58.68	45.85	47.44	22.12	22.58	0.39	nan	nan	nan	nan	nan	nan	-8.98052103771836
Contig10103	330	0.536363636364	220	0.527272727273	110	0.554545454545	18	53.64	53.64	51.82	55.45	41.81	43.47	20.06	20.24	0.38	260	0.407692307692	214	0.401869158879	46	0.434782608696	-11.5325502659607
Contig10107	648	0.512345679012	432	0.4375	216	0.662037037037	16	51.23	49.07	38.43	66.2	47.99	51.52	25.05	27.47	0.21	76	0.447368421053	76	0.447368421053	nan	nan	-13.4761054828124
Contig10108	549	0.520947176685	366	0.469945355191	183	0.622950819672	16	52.09	53.01	40.98	62.3	41.86	42.77	20.05	18.87	0.42	nan	nan	nan	nan	nan	nan	-14.9996420689512
Contig1011	567	0.516754850088	378	0.415343915344	189	0.719576719577	122	51.68	47.09	35.98	71.96	37.12	41.73	18.02	20.14	0.42	192	0.369791666667	74	0.243243243243	118	0.449152542373	94.2067774446967
Contig10117	249	0.502008032129	166	0.457831325301	83	0.590361445783	71	50.2	51.81	39.76	59.04	36.91	37.65	16.13	16.71	nan	660	0.342424242424	660	0.342424242424	nan	nan	40.2909582277837
