loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig158646	nan	nan	nan	nan	nan	nan
Contig270988	nan	nan	nan	nan	nan	nan
Contig274254	nan	nan	nan	nan	nan	nan
Contig29701	nan	nan	nan	nan	nan	nan
Contig56501	nan	nan	nan	nan	nan	nan
Contig258599	nan	nan	nan	nan	nan	nan
Contig38978	578	0.325259515571	578	0.325259515571	nan	nan
Contig182890	1796	0.309576837416	1056	0.297348484848	740	0.327027027027
Contig127387	nan	nan	nan	nan	nan	nan
Contig271054	nan	nan	nan	nan	nan	nan
Contig271057	nan	nan	nan	nan	nan	nan
Contig283376	nan	nan	nan	nan	nan	nan
Contig127381	nan	nan	nan	nan	nan	nan
Contig205870	nan	nan	nan	nan	nan	nan
Contig176751	nan	nan	nan	nan	nan	nan
Contig210141	nan	nan	nan	nan	nan	nan
Contig210146	nan	nan	nan	nan	nan	nan
Contig161938	nan	nan	nan	nan	nan	nan
Contig161937	nan	nan	nan	nan	nan	nan
Contig71713	nan	nan	nan	nan	nan	nan
Contig10663	nan	nan	nan	nan	nan	nan
Contig86743	nan	nan	nan	nan	nan	nan
Contig178804	nan	nan	nan	nan	nan	nan
Contig248717	nan	nan	nan	nan	nan	nan
Contig281470	nan	nan	nan	nan	nan	nan
Contig114003	nan	nan	nan	nan	nan	nan
Contig75014	nan	nan	nan	nan	nan	nan
Contig291386	nan	nan	nan	nan	nan	nan
Contig182092	nan	nan	nan	nan	nan	nan
Contig277169	nan	nan	nan	nan	nan	nan
Contig75013	nan	nan	nan	nan	nan	nan
Contig169098	66	0.30303030303	nan	nan	56	0.321428571429
Contig95678	nan	nan	nan	nan	nan	nan
Contig8009	nan	nan	nan	nan	nan	nan
Contig229362	nan	nan	nan	nan	nan	nan
Contig259860	nan	nan	nan	nan	nan	nan
Contig259864	nan	nan	nan	nan	nan	nan
Contig99123	nan	nan	nan	nan	nan	nan
Contig244678	nan	nan	nan	nan	nan	nan
Contig210726	nan	nan	nan	nan	nan	nan
Contig57712	nan	nan	nan	nan	nan	nan
Contig244670	96	0.3125	96	0.3125	nan	nan
