loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	377	0.485411140584	252	0.511904761905	125	0.432	7918	48.8	50	52.38	43.2	44.35	44.01	21.33	22.08	0.42	nan	nan	nan	nan	nan	nan	7818.01382699294
Contig1000	767	0.512385919166	512	0.494140625	255	0.549019607843	100	51.37	51.95	46.88	54.9	49.41	51.1	25.29	26.05	0.24	nan	nan	nan	nan	nan	nan	-13.569691919405
Contig100021	261	0.448275862069	174	0.545977011494	87	0.252873563218	14	44.83	66.67	42.53	25.29	34.87	38.7	18	17.66	nan	nan	nan	nan	nan	nan	nan	-66.605377098142
Contig100077	298	0.503355704698	199	0.502512562814	99	0.505050505051	33	50.51	57	43.43	50.51	42.33	43.89	20.27	20.94	nan	nan	nan	nan	nan	nan	nan	-74.4364794493912
Contig100088	417	0.553956834532	278	0.535971223022	139	0.589928057554	57	55.4	51.8	55.4	58.99	44.75	46.1	23.99	23.11	0.28	nan	nan	nan	nan	nan	nan	-28.6010994997852
Contig100094	384	0.463541666667	256	0.51953125	128	0.3515625	23	46.35	45.31	58.59	35.16	45.34	46.29	20.14	20.85	0.38	nan	nan	nan	nan	nan	nan	-71.6567779184383
Contig100099	258	0.449612403101	172	0.441860465116	86	0.46511627907	43	44.96	52.33	36.05	46.51	44.18	45.85	22.92	21.66	nan	88	0.613636363636	88	0.613636363636	nan	nan	-65.4462270544491
Contig1001	237	0.409282700422	158	0.46835443038	79	0.291139240506	26	40.93	43.04	50.63	29.11	29.09	35.82	14.11	16.57	nan	58	0.275862068966	58	0.275862068966	nan	nan	-102.973979499648
Contig100104	255	0.501960784314	170	0.470588235294	85	0.564705882353	14	50.2	58.82	35.29	56.47	39.28	41.37	18.56	21.23	nan	nan	nan	nan	nan	nan	nan	-115.137301863084
Contig100111	498	0.483935742972	332	0.509036144578	166	0.433734939759	28	48.39	62.05	39.76	43.37	46.19	46.09	21.69	21.84	0.33	84	0.428571428571	84	0.428571428571	nan	nan	-74.2271734530096
Contig100131	222	0.540540540541	148	0.554054054054	74	0.513513513514	29	54.05	54.05	56.76	51.35	32.52	34.34	13.56	13.87	nan	nan	nan	nan	nan	nan	nan	-47.8488645589757
Contig100153	642	0.489096573209	428	0.415887850467	214	0.635514018692	54	48.91	47.2	35.98	63.55	42.02	42.06	20.86	19.6	0.38	nan	nan	nan	nan	nan	nan	-19.0186848816324
Contig100156	485	0.416494845361	324	0.358024691358	161	0.534161490683	22	41.82	40.74	30.86	53.42	43.28	42.55	22.29	20.21	0.32	nan	nan	nan	nan	nan	nan	-37.9028990501175
Contig100159	234	0.589743589744	156	0.621794871795	78	0.525641025641	20	58.97	57.69	66.67	52.56	39.86	39.93	20.44	20.29	nan	nan	nan	nan	nan	nan	nan	-34.8069444375183
Contig100184	274	0.408759124088	183	0.415300546448	91	0.395604395604	16	41.03	47.83	35.16	39.56	40.68	42.85	18.18	18.67	nan	nan	nan	nan	nan	nan	nan	-56.570427003173
