loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig1863	13734	0.333260521334	13244	0.330715795832	490	0.402040816327
Contig1861	404	0.569306930693	nan	nan	404	0.569306930693
Contig1866	266	0.699248120301	nan	nan	266	0.699248120301
Contig15587	44	0.363636363636	nan	nan	44	0.363636363636
Contig50540	170	0.594117647059	170	0.594117647059	nan	nan
Contig23940	nan	nan	nan	nan	nan	nan
Contig9445	nan	nan	nan	nan	nan	nan
Contig9444	nan	nan	nan	nan	nan	nan
Contig15348	1300	0.352307692308	1300	0.352307692308	nan	nan
Contig7606	3864	0.334886128364	3864	0.334886128364	nan	nan
Contig9443	106	0.490566037736	102	0.490196078431	nan	nan
Contig45009	1610	0.337267080745	1610	0.337267080745	nan	nan
Contig574	6488	0.410141800247	4480	0.363839285714	2008	0.513446215139
Contig576	11124	0.409205321827	11114	0.408853698039	nan	nan
Contig9289	3936	0.581046747967	3936	0.581046747967	nan	nan
Contig572	3320	0.402108433735	3082	0.412719013628	238	0.264705882353
Contig9285	2646	0.289493575208	nan	nan	2646	0.289493575208
Contig9284	nan	nan	nan	nan	nan	nan
Contig579	4310	0.383758700696	4188	0.37917860554	122	0.540983606557
Contig1462	nan	nan	nan	nan	nan	nan
Contig12803	7692	0.633125325013	nan	nan	7692	0.633125325013
Contig1269	5184	0.37037037037	2148	0.347765363128	3036	0.386363636364
Contig1268	1642	0.590133982948	nan	nan	1642	0.590133982948
Contig25398	1432	0.445530726257	nan	nan	1432	0.445530726257
Contig10612	4998	0.345338135254	4800	0.337083333333	198	0.545454545455
Contig1261	1268	0.477917981073	1268	0.477917981073	nan	nan
Contig10665	304	0.460526315789	304	0.460526315789	nan	nan
Contig10662	5708	0.470918009811	4660	0.451931330472	1048	0.55534351145
Contig1267	nan	nan	nan	nan	nan	nan
Contig1266	nan	nan	nan	nan	nan	nan
Contig12248	5040	0.379563492063	5040	0.379563492063	nan	nan
Contig56409	1502	0.360852197071	1502	0.360852197071	nan	nan
Contig39918	nan	nan	nan	nan	nan	nan
Contig11134	592	0.489864864865	nan	nan	580	0.496551724138
Contig11137	9404	0.506805614632	9404	0.506805614632	nan	nan
Contig3365	1740	0.502873563218	nan	nan	1740	0.502873563218
Contig24914	nan	nan	nan	nan	nan	nan
Contig11913	506	0.391304347826	nan	nan	506	0.391304347826
Contig8006	nan	nan	nan	nan	nan	nan
