loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig1863	714	0.445378151261	476	0.436974789916	238	0.46218487395	252	44.54	49.16	38.24	46.22	48.31	49.26	22.53	23.22	0.31
Contig1861	750	0.566666666667	500	0.468	250	0.764	26	56.67	57.20	36.40	76.40	36.78	44.87	20.27	21.55	0.36
Contig1866	348	0.60632183908	232	0.48275862069	116	0.853448275862	228	60.63	60.34	36.21	85.34	31.18	38.36	11.52	17.43	0.41
Contig15587	621	0.389694041868	414	0.408212560386	207	0.352657004831	31	38.97	48.31	33.33	35.27	41.95	48.65	19.78	22.47	0.33
Contig50540	462	0.601731601732	308	0.493506493506	154	0.818181818182	40	60.17	59.09	39.61	81.82	31.37	41.77	15.53	19.20	0.39
Contig10928	213	0.521126760563	142	0.5	71	0.56338028169	60	52.11	52.11	47.89	56.34	37.31	39.85	18.37	20.03	nan
Contig23940	217	0.497695852535	145	0.393103448276	72	0.708333333333	46	50.00	47.95	30.56	70.83	35.41	39.56	14.85	16.22	nan
Contig9445	439	0.548974943052	293	0.505119453925	146	0.63698630137	96	55.02	57.14	43.84	63.70	42.29	45.87	20.01	21.67	0.41
Contig9444	573	0.465968586387	382	0.403141361257	191	0.591623036649	58	46.60	48.69	31.94	59.16	47.78	47.58	22.56	21.97	0.33
Contig15348	1173	0.497868712702	782	0.437340153453	391	0.618925831202	42	49.79	53.45	34.02	61.89	45.66	48.25	20.94	22.33	0.35
Contig7606	615	0.447154471545	410	0.417073170732	205	0.507317073171	27	44.72	52.20	31.22	50.73	47.01	47.89	22.49	22.54	0.33
Contig9443	303	0.491749174917	202	0.509900990099	101	0.455445544554	57	49.17	48.51	53.47	45.54	36.03	37.38	15.69	17.29	0.46
Contig45009	381	0.448818897638	254	0.492125984252	127	0.362204724409	32	44.88	57.48	40.94	36.22	45.00	46.12	20.33	21.27	0.33
Contig574	855	0.426900584795	570	0.456140350877	285	0.368421052632	300	42.69	47.37	43.86	36.84	46.41	49.94	21.95	24.28	0.31
Contig576	516	0.577519379845	344	0.523255813953	172	0.686046511628	358	57.75	51.74	52.91	68.60	39.99	44.91	18.99	21.14	0.45
