loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig18135	nan	nan	nan	nan	nan	nan
Contig1865	992	0.536290322581	806	0.54094292804	186	0.516129032258
Contig1864	nan	nan	nan	nan	nan	nan
Contig1869	nan	nan	nan	nan	nan	nan
Contig19946	nan	nan	nan	nan	nan	nan
Contig83260	nan	nan	nan	nan	nan	nan
Contig82626	112	0.285714285714	nan	nan	112	0.285714285714
Contig30120	nan	nan	nan	nan	nan	nan
Contig17554	224	0.357142857143	194	0.360824742268	30	0.333333333333
Contig81875	nan	nan	nan	nan	nan	nan
Contig81876	nan	nan	nan	nan	nan	nan
Contig24669	24	0.416666666667	24	0.416666666667	nan	nan
Contig70719	nan	nan	nan	nan	nan	nan
Contig9442	nan	nan	nan	nan	nan	nan
Contig577	1214	0.509060955519	124	0.241935483871	1090	0.539449541284
Contig576	1096	0.420620437956	1096	0.420620437956	nan	nan
Contig570	1024	0.296875	1024	0.296875	nan	nan
Contig1469	54	0.555555555556	54	0.555555555556	nan	nan
Contig572	1594	0.34504391468	1594	0.34504391468	nan	nan
Contig1467	944	0.408898305085	944	0.408898305085	nan	nan
Contig1464	6704	0.453162291169	6704	0.453162291169	nan	nan
Contig1463	nan	nan	nan	nan	nan	nan
Contig578	nan	nan	nan	nan	nan	nan
Contig60546	nan	nan	nan	nan	nan	nan
Contig1460	2880	0.339583333333	2850	0.341754385965	30	0.133333333333
Contig47187	nan	nan	nan	nan	nan	nan
Contig1268	nan	nan	nan	nan	nan	nan
Contig78478	nan	nan	nan	nan	nan	nan
Contig4513	nan	nan	nan	nan	nan	nan
Contig15298	nan	nan	nan	nan	nan	nan
Contig53712	nan	nan	nan	nan	nan	nan
Contig1261	nan	nan	nan	nan	nan	nan
Contig1260	nan	nan	nan	nan	nan	nan
Contig1263	246	0.373983739837	246	0.373983739837	nan	nan
Contig29635	nan	nan	nan	nan	nan	nan
Contig84859	nan	nan	nan	nan	nan	nan
Contig69527	nan	nan	nan	nan	nan	nan
Contig74746	nan	nan	nan	nan	nan	nan
Contig23497	nan	nan	nan	nan	nan	nan
Contig80703	nan	nan	nan	nan	nan	nan
Contig30880	nan	nan	nan	nan	nan	nan
Contig30882	nan	nan	nan	nan	nan	nan
Contig22949	76	0.526315789474	76	0.526315789474	nan	nan
Contig74017	nan	nan	nan	nan	nan	nan
Contig29144	nan	nan	nan	nan	nan	nan
Contig58464	nan	nan	nan	nan	nan	nan
Contig45135	nan	nan	nan	nan	nan	nan
Contig33705	34	0.529411764706	34	0.529411764706	nan	nan
Contig69852	nan	nan	nan	nan	nan	nan
Contig45138	nan	nan	nan	nan	nan	nan
Contig45139	1326	0.353695324284	1326	0.353695324284	nan	nan
Contig16249	30	0.466666666667	30	0.466666666667	nan	nan
Contig70004	nan	nan	nan	nan	nan	nan
Contig16580	nan	nan	nan	nan	nan	nan
Contig20763	nan	nan	nan	nan	nan	nan
Contig36535	nan	nan	nan	nan	nan	nan
Contig20163	nan	nan	nan	nan	nan	nan
Contig15906	nan	nan	nan	nan	nan	nan
Contig20161	206	0.436893203883	206	0.436893203883	nan	nan
Contig400	718	0.41643454039	718	0.41643454039	nan	nan
Contig403	nan	nan	nan	nan	nan	nan
Contig404	174	0.609195402299	nan	nan	174	0.609195402299
Contig407	1414	0.470297029703	nan	nan	1414	0.470297029703
Contig42136	1538	0.454486345904	1538	0.454486345904	nan	nan
Contig79839	nan	nan	nan	nan	nan	nan
Contig69327	nan	nan	nan	nan	nan	nan
Contig58869	nan	nan	nan	nan	nan	nan
Contig43997	1068	0.427902621723	524	0.408396946565	544	0.446691176471
