loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100	299	0.364548494983	200	0.4	99	0.292929292929	67	36.7	48	32	29.29	34.39	43.20	17.19	22.64	nan	56	0.214285714286	nan	nan	56	0.214285714286	-93.9088380689096
Contig1000	903	0.472868217054	602	0.441860465116	301	0.53488372093	628	47.29	52.82	35.55	53.49	50.72	53.12	26.2	28.14	0.22	nan	nan	nan	nan	nan	nan	448.834104123702
Contig10001	1143	0.461942257218	762	0.465879265092	381	0.45406824147	230	46.19	56.43	36.75	45.41	53.69	53.94	27.4	27.25	0.23	31166	0.497946480139	30804	0.496331645241	362	0.635359116022	48.9382904057008
Contig10008	222	0.418918918919	148	0.331081081081	74	0.594594594595	138	41.89	41.89	24.32	59.46	35.46	37.28	14.52	14.93	nan	6726	0.288284269997	4916	0.285801464605	1810	0.295027624309	18.7962181051188
Contig10009	522	0.438697318008	348	0.413793103448	174	0.488505747126	244	43.87	44.83	37.93	48.85	44.40	45.27	22.62	23.83	0.3	2094	0.232091690544	2094	0.232091690544	nan	nan	76.0169012519572
Contig10010	246	0.459349593496	164	0.414634146341	82	0.548780487805	51	45.93	42.68	40.24	54.88	43.07	43.89	20	21.9	nan	9812	0.383713819812	5532	0.363521330441	4280	0.409813084112	-117.356446203145
Contig10012	867	0.404844290657	578	0.448096885813	289	0.318339100346	74	40.48	51.56	38.06	31.83	44.52	48.72	21.2	25.87	0.27	1580	0.278481012658	874	0.242562929062	706	0.322946175637	-107.175069573659
Contig10013	9744	0.453099343186	6496	0.443503694581	3248	0.472290640394	72	45.31	49.05	39.66	47.23	56.49	56.97	29.05	29.46	0.15	4336	0.377306273063	2994	0.369405477622	1342	0.394932935917	-107.662424070409
Contig10017	969	0.445820433437	646	0.431888544892	323	0.473684210526	417	44.58	46.44	39.94	47.37	51.52	52.39	25.74	26.78	0.26	448	0.258928571429	370	0.248648648649	78	0.307692307692	241.474014273934
Contig10018	1275	0.477647058824	850	0.442352941176	425	0.548235294118	467	47.76	50.82	37.65	54.82	51.59	53.22	26.01	27.38	0.2	18496	0.511353806228	17876	0.507216379503	620	0.63064516129	287.690849339004
