loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig80016	1476	0.442411924119	984	0.420731707317	492	0.485772357724	36	44.24	47.76	36.38	48.58	53.71	54.55	27.68	27.69	0.21
Contig50598	1884	0.47983014862	1256	0.452229299363	628	0.535031847134	76	47.98	53.50	36.94	53.50	51.72	51.90	27.14	26.27	0.21
Contig16129	373	0.530831099196	249	0.361445783133	124	0.870967741935	235	53.23	37.60	34.68	87.10	27.64	32.40	16.46	20.72	0.41
Contig80013	330	0.521212121212	220	0.513636363636	110	0.536363636364	92	52.12	52.73	50.00	53.64	44.50	46.96	21.31	21.93	0.34
Contig29705	261	0.432950191571	174	0.431034482759	87	0.436781609195	37	43.30	45.98	40.23	43.68	40.12	40.70	17.32	18.04	nan
Contig16125	2145	0.55710955711	1430	0.478321678322	715	0.714685314685	62	55.71	53.15	42.52	71.47	47.51	54.41	24.36	27.47	0.18
Contig124491	1158	0.462003454231	772	0.466321243523	386	0.453367875648	26	46.20	53.63	39.64	45.34	50.56	51.08	24.79	25.19	0.30
Contig80018	327	0.470948012232	218	0.5	109	0.412844036697	27	47.09	55.05	44.95	41.28	36.58	37.53	16.08	17.89	0.43
Contig50591	336	0.440476190476	224	0.433035714286	112	0.455357142857	118	44.05	44.64	41.96	45.54	41.85	44.18	18.36	19.89	0.35
Contig26821	891	0.502805836139	594	0.501683501684	297	0.505050505051	57	50.28	58.25	42.09	50.51	51.01	51.64	25.28	25.22	0.28
Contig285780	1326	0.474358974359	884	0.467194570136	442	0.488687782805	19	47.44	55.43	38.01	48.87	52.69	55.44	27.04	28.02	0.23
Contig20667	393	0.424936386768	262	0.427480916031	131	0.419847328244	68	42.49	53.44	32.06	41.98	47.30	48.30	22.98	23.48	0.28
Contig127387	1512	0.544312169312	1008	0.47123015873	504	0.690476190476	28	54.43	54.56	39.68	69.05	48.48	55.19	25.38	28.13	0.20
Contig270984	933	0.48231511254	622	0.448553054662	311	0.549839228296	25	48.23	53.05	36.66	54.98	49.53	50.57	25.77	25.93	0.23
Contig327982	330	0.624242424242	220	0.554545454545	110	0.763636363636	19	62.42	63.64	47.27	76.36	33.96	35.86	17.75	18.40	0.34
Contig131884	1014	0.452662721893	676	0.437869822485	338	0.48224852071	42	45.27	50.89	36.69	48.22	49.67	51.25	23.27	24.47	0.27
Contig286251	576	0.513888888889	384	0.440104166667	192	0.661458333333	19	51.39	53.12	34.90	66.15	43.12	46.94	22.93	24.31	0.26
Contig67486	579	0.530224525043	386	0.484455958549	193	0.621761658031	292	53.02	58.03	38.86	62.18	46.57	48.13	25.74	25.90	0.23
Contig18459	3102	0.51611863314	2068	0.460348162476	1034	0.627659574468	38	51.61	55.03	37.04	62.77	50.29	53.35	27.79	27.19	0.18
Contig99511	2106	0.539886039886	1404	0.45584045584	702	0.707977207977	38	53.99	54.42	36.75	70.80	44.70	51.49	23.12	25.11	0.25
Contig79542	231	0.536796536797	154	0.454545454545	77	0.701298701299	40	53.68	53.25	37.66	70.13	36.61	39.37	20.52	19.46	nan
Contig12805	392	0.548469387755	262	0.484732824427	130	0.676923076923	142	55.13	45.04	51.91	67.69	29.73	31.10	18.82	14.14	nan
Contig18453	291	0.522336769759	194	0.551546391753	97	0.463917525773	47	52.23	62.89	47.42	46.39	43.62	45.05	21.89	24.23	nan
Contig12807	894	0.453020134228	596	0.486577181208	298	0.385906040268	78	45.30	57.38	39.93	38.59	48.33	52.25	24.92	27.09	0.23
Contig338253	1221	0.513513513514	814	0.464373464373	407	0.611793611794	20	51.35	53.32	39.56	61.18	51.63	53.35	27.81	28.55	0.19
Contig79547	374	0.532085561497	250	0.448	124	0.701612903226	57	53.49	52.80	36.80	70.16	39.72	42.95	19.98	20.26	0.33
Contig18457	825	0.49696969697	550	0.463636363636	275	0.563636363636	45	49.70	57.45	35.27	56.36	49.84	50.57	26.65	26.15	0.22
Contig79545	366	0.532786885246	244	0.475409836066	122	0.647540983607	18	53.28	55.74	39.34	64.75	40.30	41.87	20.43	20.07	0.39
Contig15298	654	0.550458715596	436	0.481651376147	218	0.688073394495	159	55.05	53.67	42.66	68.81	45.96	49.95	23.91	24.61	0.25
Contig10669	1170	0.491452991453	780	0.410256410256	390	0.653846153846	118	49.15	50.51	31.54	65.38	49.65	54.26	25.71	28.36	0.20
