loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig38978	936	0.459401709402	624	0.447115384615	312	0.483974358974	24	45.94	50.00	39.42	48.40	50.26	50.00	24.56	24.48	0.27
Contig148332	1494	0.431726907631	996	0.468875502008	498	0.357429718876	13	43.17	52.41	41.37	35.74	48.14	51.73	22.94	26.48	0.24
Contig10666	369	0.441734417344	246	0.483739837398	123	0.357723577236	14	44.17	50.41	46.34	35.77	42.04	42.91	18.38	18.38	0.44
Contig161937	520	0.463461538462	347	0.452449567723	173	0.485549132948	12	46.44	48.85	41.62	48.55	47.49	47.32	23.65	24.24	0.25
Contig15296	1096	0.42700729927	731	0.497948016416	365	0.284931506849	14	42.74	55.19	44.38	28.49	41.69	48.33	21.12	24.81	0.34
Contig10661	269	0.475836431227	180	0.383333333333	89	0.662921348315	7	47.94	38.89	37.78	66.29	41.20	45.53	22.14	22.85	nan
Contig155142	207	0.541062801932	138	0.528985507246	69	0.565217391304	7	54.11	65.22	40.58	56.52	41.07	42.78	21.85	21.53	nan
Contig11138	876	0.478310502283	584	0.465753424658	292	0.503424657534	17	47.83	54.11	39.04	50.34	48.87	48.31	26.12	25.74	0.28
Contig11135	816	0.487745098039	544	0.430147058824	272	0.602941176471	9	48.77	45.22	40.81	60.29	50.36	50.13	25.88	24.54	0.27
Contig11130	237	0.46835443038	158	0.449367088608	79	0.506329113924	6	46.84	51.90	37.97	50.63	37.43	41.06	19.05	18.95	nan
Contig11132	666	0.495495495495	444	0.432432432432	222	0.621621621622	12	49.55	50.90	35.59	62.16	47.05	50.47	23.72	25.73	0.29
Contig8008	1936	0.476756198347	1291	0.508133230054	645	0.413953488372	14	47.70	58.67	42.95	41.40	50.51	52.30	24.67	25.43	0.23
Contig8006	2532	0.523696682464	1688	0.488744075829	844	0.593601895735	15	52.37	49.64	48.10	59.36	49.83	50.18	26.55	25.14	0.23
Contig8005	2308	0.480502599653	1539	0.497076023392	769	0.44733420026	17	48.07	55.97	43.43	44.73	51.34	52.59	26.05	26.82	0.23
Contig8003	378	0.44708994709	252	0.436507936508	126	0.468253968254	31	44.71	46.83	40.48	46.83	42.29	44.40	18.89	19.80	0.39
Contig8001	231	0.411255411255	154	0.37012987013	77	0.493506493506	17	41.13	36.36	37.66	49.35	35.54	37.02	16.61	18.75	nan
Contig57710	613	0.486133768352	409	0.442542787286	204	0.573529411765	8	48.69	45.37	43.14	57.35	49.12	51.05	25.13	24.02	0.29
Contig53628	720	0.5625	480	0.522916666667	240	0.641666666667	10	56.25	57.08	47.50	64.17	46.39	48.18	26.65	24.40	0.27
Contig31449	234	0.542735042735	156	0.532051282051	78	0.564102564103	74	54.27	53.85	52.56	56.41	40.18	41.57	19.92	20.77	nan
Contig31446	259	0.459459459459	173	0.462427745665	86	0.453488372093	6	46.12	52.87	39.53	45.35	44.68	45.24	21.34	21.92	nan
Contig31445	339	0.474926253687	226	0.486725663717	113	0.451327433628	11	47.49	61.95	35.40	45.13	43.56	43.61	23.36	21.59	0.32
Contig31441	837	0.463560334528	558	0.460573476703	279	0.469534050179	10	46.36	50.54	41.58	46.95	50.56	51.14	25.38	25.46	0.30
Contig23839	1572	0.499363867684	1048	0.5	524	0.498091603053	22	49.94	57.82	42.18	49.81	53.26	53.98	26.13	26.45	0.23
Contig23835	1380	0.496376811594	920	0.490217391304	460	0.508695652174	13	49.64	58.04	40.00	50.87	50.49	50.44	25.26	25.13	0.28
