loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig86745	378	0.367724867725	378	0.367724867725	nan	nan
Contig29709	nan	nan	nan	nan	nan	nan
Contig158642	nan	nan	nan	nan	nan	nan
Contig16128	nan	nan	nan	nan	nan	nan
Contig29707	918	0.399782135076	688	0.376453488372	230	0.469565217391
Contig29706	nan	nan	nan	nan	nan	nan
Contig150436	nan	nan	nan	nan	nan	nan
Contig127388	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig156820	138	0.333333333333	138	0.333333333333	nan	nan
Contig79540	822	0.352798053528	806	0.349875930521	nan	nan
Contig12802	nan	nan	nan	nan	nan	nan
Contig10669	1130	0.474336283186	180	0.488888888889	950	0.471578947368
Contig136347	nan	nan	nan	nan	nan	nan
Contig112329	nan	nan	nan	nan	nan	nan
Contig15290	nan	nan	nan	nan	nan	nan
Contig10663	4486	0.380294248774	4486	0.380294248774	nan	nan
Contig15293	nan	nan	nan	nan	nan	nan
Contig155142	nan	nan	nan	nan	nan	nan
Contig115731	nan	nan	nan	nan	nan	nan
Contig158397	1168	0.346746575342	1168	0.346746575342	nan	nan
Contig78236	nan	nan	nan	nan	nan	nan
Contig75013	60	0.4	60	0.4	nan	nan
Contig115601	nan	nan	nan	nan	nan	nan
Contig70005	5306	0.383716547305	5306	0.383716547305	nan	nan
Contig95671	nan	nan	nan	nan	nan	nan
Contig409	296	0.543918918919	296	0.543918918919	nan	nan
Contig163062	nan	nan	nan	nan	nan	nan
Contig113485	nan	nan	nan	nan	nan	nan
Contig157586	nan	nan	nan	nan	nan	nan
Contig406	2134	0.301780693533	2120	0.300943396226	nan	nan
Contig136128	nan	nan	nan	nan	nan	nan
Contig138419	nan	nan	nan	nan	nan	nan
Contig37420	nan	nan	nan	nan	nan	nan
Contig89500	nan	nan	nan	nan	nan	nan
Contig37428	nan	nan	nan	nan	nan	nan
Contig31118	188	0.404255319149	188	0.404255319149	nan	nan
Contig132319	nan	nan	nan	nan	nan	nan
Contig31110	394	0.319796954315	394	0.319796954315	nan	nan
Contig132310	1496	0.377005347594	1352	0.377218934911	144	0.375
Contig63164	nan	nan	nan	nan	nan	nan
Contig31115	nan	nan	nan	nan	nan	nan
Contig31441	nan	nan	nan	nan	nan	nan
Contig24282	nan	nan	nan	nan	nan	nan
Contig23837	nan	nan	nan	nan	nan	nan
Contig23831	nan	nan	nan	nan	nan	nan
Contig137311	nan	nan	nan	nan	nan	nan
Contig74499	nan	nan	nan	nan	nan	nan
Contig45221	nan	nan	nan	nan	nan	nan
Contig57676	494	0.255060728745	494	0.255060728745	nan	nan
Contig41020	nan	nan	nan	nan	nan	nan
Contig46037	nan	nan	nan	nan	nan	nan
Contig19322	nan	nan	nan	nan	nan	nan
Contig19325	nan	nan	nan	nan	nan	nan
Contig6398	1592	0.391959798995	1592	0.391959798995	nan	nan
Contig6399	3510	0.376638176638	3484	0.377152698048	26	0.307692307692
Contig83592	nan	nan	nan	nan	nan	nan
Contig34850	nan	nan	nan	nan	nan	nan
Contig38799	70	0.357142857143	70	0.357142857143	nan	nan
Contig6397	522	0.352490421456	522	0.352490421456	nan	nan
Contig72542	nan	nan	nan	nan	nan	nan
Contig72547	nan	nan	nan	nan	nan	nan
Contig12117	1752	0.385844748858	856	0.401869158879	896	0.370535714286
Contig12118	nan	nan	nan	nan	nan	nan
Contig118441	30	0.2	30	0.2	nan	nan
Contig21887	nan	nan	nan	nan	nan	nan
Contig118444	nan	nan	nan	nan	nan	nan
Contig151919	nan	nan	nan	nan	nan	nan
Contig2728	nan	nan	nan	nan	nan	nan
Contig2726	nan	nan	nan	nan	nan	nan
Contig2723	6000	0.327833333333	5322	0.32788425404	678	0.327433628319
Contig9719	nan	nan	nan	nan	nan	nan
Contig111002	188	0.367021276596	188	0.367021276596	nan	nan
Contig129864	142	0.422535211268	142	0.422535211268	nan	nan
Contig7552	732	0.398907103825	732	0.398907103825	nan	nan
Contig7555	274	0.335766423358	270	0.340740740741	nan	nan
Contig9714	nan	nan	nan	nan	nan	nan
Contig7557	84	0.488095238095	38	0.263157894737	46	0.673913043478
Contig9849	818	0.383863080685	818	0.383863080685	nan	nan
Contig3417	nan	nan	nan	nan	nan	nan
Contig67097	nan	nan	nan	nan	nan	nan
Contig6173	nan	nan	nan	nan	nan	nan
Contig134251	124	0.451612903226	124	0.451612903226	nan	nan
Contig115830	nan	nan	nan	nan	nan	nan
Contig36463	642	0.473520249221	nan	nan	642	0.473520249221
Contig36464	nan	nan	nan	nan	nan	nan
Contig36466	nan	nan	nan	nan	nan	nan
Contig139160	nan	nan	nan	nan	nan	nan
Contig117554	nan	nan	nan	nan	nan	nan
Contig55418	194	0.484536082474	194	0.484536082474	nan	nan
Contig2098	296	0.513513513514	296	0.513513513514	nan	nan
Contig20287	2214	0.321589882565	2214	0.321589882565	nan	nan
Contig128350	274	0.485401459854	nan	nan	274	0.485401459854
Contig28708	784	0.290816326531	784	0.290816326531	nan	nan
Contig37842	398	0.429648241206	398	0.429648241206	nan	nan
Contig37845	9650	0.354404145078	9576	0.354218880535	74	0.378378378378
Contig27062	nan	nan	nan	nan	nan	nan
Contig28703	nan	nan	nan	nan	nan	nan
Contig40880	156	0.378205128205	128	0.3984375	28	0.285714285714
Contig40887	nan	nan	nan	nan	nan	nan
Contig92409	716	0.398044692737	302	0.367549668874	414	0.420289855072
Contig33164	nan	nan	nan	nan	nan	nan
Contig33162	nan	nan	nan	nan	nan	nan
Contig129407	nan	nan	nan	nan	nan	nan
Contig33161	96	0.375	96	0.375	nan	nan
Contig129409	nan	nan	nan	nan	nan	nan
