loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29707	nan	nan	nan	nan	nan	nan
Contig16124	nan	nan	nan	nan	nan	nan
Contig26824	nan	nan	nan	nan	nan	nan
Contig38975	nan	nan	nan	nan	nan	nan
Contig38970	nan	nan	nan	nan	nan	nan
Contig67486	nan	nan	nan	nan	nan	nan
Contig79542	nan	nan	nan	nan	nan	nan
Contig18452	nan	nan	nan	nan	nan	nan
Contig18454	nan	nan	nan	nan	nan	nan
Contig12802	nan	nan	nan	nan	nan	nan
Contig71719	nan	nan	nan	nan	nan	nan
Contig15295	54	0.518518518519	54	0.518518518519	nan	nan
Contig15290	2834	0.423782639379	1606	0.416562889166	1228	0.4332247557
Contig78235	nan	nan	nan	nan	nan	nan
Contig69854	nan	nan	nan	nan	nan	nan
Contig91318	nan	nan	nan	nan	nan	nan
Contig91314	nan	nan	nan	nan	nan	nan
Contig409	nan	nan	nan	nan	nan	nan
Contig401	5268	0.57668944571	5268	0.57668944571	nan	nan
Contig403	nan	nan	nan	nan	nan	nan
Contig53159	nan	nan	nan	nan	nan	nan
Contig53151	nan	nan	nan	nan	nan	nan
Contig89051	nan	nan	nan	nan	nan	nan
Contig53156	nan	nan	nan	nan	nan	nan
Contig69149	nan	nan	nan	nan	nan	nan
Contig95503	nan	nan	nan	nan	nan	nan
Contig87546	nan	nan	nan	nan	nan	nan
Contig35356	nan	nan	nan	nan	nan	nan
Contig35354	nan	nan	nan	nan	nan	nan
Contig17292	nan	nan	nan	nan	nan	nan
Contig23833	nan	nan	nan	nan	nan	nan
Contig17291	nan	nan	nan	nan	nan	nan
Contig57672	nan	nan	nan	nan	nan	nan
Contig89302	nan	nan	nan	nan	nan	nan
Contig15830	nan	nan	nan	nan	nan	nan
Contig15831	nan	nan	nan	nan	nan	nan
Contig41027	nan	nan	nan	nan	nan	nan
Contig46034	8178	0.450476889215	8178	0.450476889215	nan	nan
Contig3155	nan	nan	nan	nan	nan	nan
Contig6399	nan	nan	nan	nan	nan	nan
Contig48059	nan	nan	nan	nan	nan	nan
Contig48056	nan	nan	nan	nan	nan	nan
Contig6394	1622	0.416769420469	1622	0.416769420469	nan	nan
Contig72543	nan	nan	nan	nan	nan	nan
Contig21889	nan	nan	nan	nan	nan	nan
Contig499	4238	0.591788579519	4238	0.591788579519	nan	nan
Contig2899	260	0.315384615385	260	0.315384615385	nan	nan
Contig2898	754	0.376657824934	754	0.376657824934	nan	nan
Contig2896	4756	0.523969722456	1000	0.572	3756	0.511182108626
Contig2895	nan	nan	nan	nan	nan	nan
Contig2894	nan	nan	nan	nan	nan	nan
Contig2893	nan	nan	nan	nan	nan	nan
Contig2720	nan	nan	nan	nan	nan	nan
Contig2722	nan	nan	nan	nan	nan	nan
Contig12804	nan	nan	nan	nan	nan	nan
