loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig29708	204	0.392156862745	204	0.392156862745	nan	nan
Contig16128	218	0.293577981651	nan	nan	218	0.293577981651
Contig29705	520	0.469230769231	520	0.469230769231	nan	nan
Contig16125	nan	nan	nan	nan	nan	nan
Contig16122	nan	nan	nan	nan	nan	nan
Contig16121	nan	nan	nan	nan	nan	nan
Contig16120	nan	nan	nan	nan	nan	nan
Contig26820	nan	nan	nan	nan	nan	nan
Contig31446	nan	nan	nan	nan	nan	nan
Contig26828	nan	nan	nan	nan	nan	nan
Contig20666	832	0.486778846154	832	0.486778846154	nan	nan
Contig38970	nan	nan	nan	nan	nan	nan
Contig67486	nan	nan	nan	nan	nan	nan
Contig19802	nan	nan	nan	nan	nan	nan
Contig35748	24	0.333333333333	24	0.333333333333	nan	nan
Contig18458	442	0.33257918552	442	0.33257918552	nan	nan
Contig17315	nan	nan	nan	nan	nan	nan
Contig65649	nan	nan	nan	nan	nan	nan
Contig12805	2808	0.36858974359	2248	0.364323843416	560	0.385714285714
Contig35742	nan	nan	nan	nan	nan	nan
Contig12807	3712	0.355603448276	nan	nan	3712	0.355603448276
Contig35744	2444	0.371522094926	2346	0.369991474851	98	0.408163265306
Contig12801	4944	0.398665048544	4866	0.401356350185	78	0.230769230769
Contig17224	23590	0.384866468843	11970	0.329406850459	11620	0.441996557659
Contig12803	84	0.5	84	0.5	nan	nan
Contig14799	3778	0.409211222869	3476	0.401611047181	302	0.496688741722
Contig10669	500	0.314	nan	nan	500	0.314
Contig15294	22224	0.387733981281	22004	0.387293219415	220	0.431818181818
Contig21554	nan	nan	nan	nan	nan	nan
Contig10665	238	0.478991596639	nan	nan	238	0.478991596639
Contig10662	nan	nan	nan	nan	nan	nan
Contig10663	2384	0.426593959732	2384	0.426593959732	nan	nan
Contig10660	4078	0.425208435508	3818	0.430068098481	260	0.353846153846
Contig10661	2282	0.411042944785	1936	0.415289256198	346	0.387283236994
Contig75019	nan	nan	nan	nan	nan	nan
Contig11134	1760	0.422159090909	1760	0.422159090909	nan	nan
Contig29700	nan	nan	nan	nan	nan	nan
Contig69855	288	0.395833333333	286	0.391608391608	nan	nan
