loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig410056	666	0.522522522523	nan	nan	666	0.522522522523
Contig158646	nan	nan	nan	nan	nan	nan
Contig207653	nan	nan	nan	nan	nan	nan
Contig207651	nan	nan	nan	nan	nan	nan
Contig38979	814	0.369778869779	814	0.369778869779	nan	nan
Contig26826	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig127386	nan	nan	nan	nan	nan	nan
Contig207658	nan	nan	nan	nan	nan	nan
Contig286252	26	0.538461538462	nan	nan	26	0.538461538462
Contig18459	292	0.438356164384	nan	nan	292	0.438356164384
Contig456387	nan	nan	nan	nan	nan	nan
Contig366963	nan	nan	nan	nan	nan	nan
Contig31150	nan	nan	nan	nan	nan	nan
Contig35741	nan	nan	nan	nan	nan	nan
Contig18452	nan	nan	nan	nan	nan	nan
Contig18455	110	0.436363636364	110	0.436363636364	nan	nan
Contig285137	nan	nan	nan	nan	nan	nan
Contig209142	nan	nan	nan	nan	nan	nan
Contig210143	nan	nan	nan	nan	nan	nan
Contig388565	nan	nan	nan	nan	nan	nan
Contig15298	nan	nan	nan	nan	nan	nan
Contig321385	nan	nan	nan	nan	nan	nan
Contig284874	nan	nan	nan	nan	nan	nan
Contig464894	264	0.393939393939	nan	nan	264	0.393939393939
Contig161933	nan	nan	nan	nan	nan	nan
Contig136343	nan	nan	nan	nan	nan	nan
Contig23126	nan	nan	nan	nan	nan	nan
Contig361896	nan	nan	nan	nan	nan	nan
Contig361893	nan	nan	nan	nan	nan	nan
Contig450697	nan	nan	nan	nan	nan	nan
Contig456593	nan	nan	nan	nan	nan	nan
Contig391301	nan	nan	nan	nan	nan	nan
Contig112927	nan	nan	nan	nan	nan	nan
Contig97416	nan	nan	nan	nan	nan	nan
Contig162912	nan	nan	nan	nan	nan	nan
Contig162915	104	0.365384615385	104	0.365384615385	nan	nan
Contig182090	nan	nan	nan	nan	nan	nan
Contig108018	nan	nan	nan	nan	nan	nan
Contig127032	nan	nan	nan	nan	nan	nan
Contig69859	690	0.476811594203	690	0.476811594203	nan	nan
Contig192214	nan	nan	nan	nan	nan	nan
Contig59965	nan	nan	nan	nan	nan	nan
Contig415933	nan	nan	nan	nan	nan	nan
Contig196187	nan	nan	nan	nan	nan	nan
Contig79728	nan	nan	nan	nan	nan	nan
Contig285783	nan	nan	nan	nan	nan	nan
Contig376385	nan	nan	nan	nan	nan	nan
Contig122600	nan	nan	nan	nan	nan	nan
Contig57715	nan	nan	nan	nan	nan	nan
Contig53159	nan	nan	nan	nan	nan	nan
Contig383797	nan	nan	nan	nan	nan	nan
Contig448075	nan	nan	nan	nan	nan	nan
Contig96894	nan	nan	nan	nan	nan	nan
Contig89052	nan	nan	nan	nan	nan	nan
Contig58860	nan	nan	nan	nan	nan	nan
Contig58861	nan	nan	nan	nan	nan	nan
Contig89507	nan	nan	nan	nan	nan	nan
Contig37428	nan	nan	nan	nan	nan	nan
Contig46262	nan	nan	nan	nan	nan	nan
Contig186209	nan	nan	nan	nan	nan	nan
Contig186206	nan	nan	nan	nan	nan	nan
Contig31113	nan	nan	nan	nan	nan	nan
Contig31114	nan	nan	nan	nan	nan	nan
Contig63161	152	0.302631578947	152	0.302631578947	nan	nan
Contig24283	nan	nan	nan	nan	nan	nan
Contig145215	nan	nan	nan	nan	nan	nan
Contig411897	nan	nan	nan	nan	nan	nan
Contig219070	nan	nan	nan	nan	nan	nan
Contig269348	nan	nan	nan	nan	nan	nan
Contig35353	nan	nan	nan	nan	nan	nan
