loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16123	207	0.415458937198	138	0.442028985507	69	0.36231884058	7	41.55	47.83	40.58	36.23	35.04	35.45	12.75	14.09	nan
Contig26823	266	0.330827067669	178	0.365168539326	88	0.261363636364	6	33.33	49.44	23.60	26.14	35.47	41.91	16.07	17.37	nan
Contig17557	295	0.342372881356	197	0.380710659898	98	0.265306122449	9	34.35	40.40	35.71	26.53	37.36	44.33	17.14	19.35	nan
Contig18452	213	0.408450704225	142	0.380281690141	71	0.464788732394	8	40.85	38.03	38.03	46.48	38.24	41.59	18.75	20.88	nan
Contig18455	219	0.547945205479	146	0.486301369863	73	0.671232876712	9	54.79	60.27	36.99	67.12	32.71	35.81	15.32	15.46	nan
Contig12802	223	0.390134529148	149	0.463087248322	74	0.243243243243	9	39.19	40.00	52.70	24.32	33.43	42.14	15.50	18.99	nan
Contig3437	279	0.405017921147	186	0.39247311828	93	0.430107526882	8	40.50	38.71	39.78	43.01	42.07	41.95	18.39	20.17	nan
Contig4513	1156	0.493944636678	771	0.470817120623	385	0.54025974026	45	49.44	57.51	36.62	54.03	50.77	50.87	26.79	27.24	0.25
Contig15299	235	0.327659574468	157	0.363057324841	78	0.25641025641	9	32.91	43.04	29.49	25.64	32.23	37.63	11.71	13.17	nan
Contig10666	285	0.414035087719	190	0.442105263158	95	0.357894736842	7	41.40	49.47	38.95	35.79	37.89	44.30	17.05	20.38	nan
Contig10667	423	0.390070921986	282	0.436170212766	141	0.297872340426	10	39.01	50.35	36.88	29.79	42.94	49.96	21.60	24.79	0.28
Contig15296	667	0.392803598201	445	0.45393258427	222	0.27027027027	13	39.34	54.71	36.04	27.03	42.03	49.81	20.50	23.70	0.31
Contig15290	437	0.359267734554	292	0.36301369863	145	0.351724137931	10	36.09	37.67	34.93	35.17	39.51	46.57	19.75	20.26	0.40
Contig10661	645	0.393798449612	430	0.423255813953	215	0.33488372093	14	39.38	49.77	34.88	33.49	42.10	45.47	20.23	20.85	0.39
Contig11139	200	0.285	134	0.283582089552	66	0.287878787879	6	28.79	26.87	29.85	28.79	31.82	39.61	15.57	18.17	nan
