loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig158648	180	0.327777777778	nan	nan	180	0.327777777778
Contig150435	nan	nan	nan	nan	nan	nan
Contig198018	nan	nan	nan	nan	nan	nan
Contig150430	nan	nan	nan	nan	nan	nan
Contig38974	nan	nan	nan	nan	nan	nan
Contig18458	292	0.376712328767	nan	nan	292	0.376712328767
Contig18450	194	0.551546391753	194	0.551546391753	nan	nan
Contig18453	nan	nan	nan	nan	nan	nan
Contig209141	nan	nan	nan	nan	nan	nan
Contig18457	nan	nan	nan	nan	nan	nan
Contig15298	nan	nan	nan	nan	nan	nan
Contig10669	nan	nan	nan	nan	nan	nan
Contig10666	nan	nan	nan	nan	nan	nan
Contig616524	nan	nan	nan	nan	nan	nan
Contig15290	692	0.323699421965	nan	nan	692	0.323699421965
Contig10661	2980	0.361744966443	2980	0.361744966443	nan	nan
Contig182097	32	0.5625	nan	nan	32	0.5625
Contig207433	nan	nan	nan	nan	nan	nan
Contig11133	12296	0.353936239427	11526	0.351986812424	770	0.383116883117
Contig8006	nan	nan	nan	nan	nan	nan
Contig89509	nan	nan	nan	nan	nan	nan
Contig31447	30	0.466666666667	nan	nan	30	0.466666666667
Contig189511	nan	nan	nan	nan	nan	nan
Contig69147	nan	nan	nan	nan	nan	nan
Contig31440	nan	nan	nan	nan	nan	nan
Contig26790	nan	nan	nan	nan	nan	nan
Contig23839	998	0.48496993988	998	0.48496993988	nan	nan
Contig23835	nan	nan	nan	nan	nan	nan
Contig35353	nan	nan	nan	nan	nan	nan
Contig35352	nan	nan	nan	nan	nan	nan
Contig35350	nan	nan	nan	nan	nan	nan
Contig122469	nan	nan	nan	nan	nan	nan
Contig15830	nan	nan	nan	nan	nan	nan
Contig15832	890	0.492134831461	nan	nan	890	0.492134831461
Contig74496	nan	nan	nan	nan	nan	nan
Contig19322	nan	nan	nan	nan	nan	nan
Contig19323	142	0.56338028169	142	0.56338028169	nan	nan
Contig19324	nan	nan	nan	nan	nan	nan
Contig83594	760	0.4	378	0.391534391534	382	0.408376963351
Contig83596	nan	nan	nan	nan	nan	nan
Contig48056	nan	nan	nan	nan	nan	nan
Contig17473	nan	nan	nan	nan	nan	nan
Contig17470	nan	nan	nan	nan	nan	nan
Contig17475	nan	nan	nan	nan	nan	nan
Contig17479	nan	nan	nan	nan	nan	nan
Contig118445	nan	nan	nan	nan	nan	nan
Contig2729	nan	nan	nan	nan	nan	nan
Contig2728	nan	nan	nan	nan	nan	nan
Contig154432	nan	nan	nan	nan	nan	nan
Contig2726	nan	nan	nan	nan	nan	nan
Contig74721	nan	nan	nan	nan	nan	nan
Contig499356	nan	nan	nan	nan	nan	nan
Contig67099	42	0.380952380952	42	0.380952380952	nan	nan
Contig9842	116	0.23275862069	nan	nan	116	0.23275862069
Contig67090	376	0.356382978723	nan	nan	376	0.356382978723
Contig72767	nan	nan	nan	nan	nan	nan
Contig72761	nan	nan	nan	nan	nan	nan
Contig72760	nan	nan	nan	nan	nan	nan
Contig86412	nan	nan	nan	nan	nan	nan
Contig183058	nan	nan	nan	nan	nan	nan
Contig175326	nan	nan	nan	nan	nan	nan
Contig44431	1464	0.49043715847	nan	nan	1464	0.49043715847
Contig2092	nan	nan	nan	nan	nan	nan
Contig37840	nan	nan	nan	nan	nan	nan
Contig37845	150	0.406666666667	150	0.406666666667	nan	nan
Contig123730	nan	nan	nan	nan	nan	nan
Contig123731	224	0.428571428571	224	0.428571428571	nan	nan
Contig64673	nan	nan	nan	nan	nan	nan
Contig196110	nan	nan	nan	nan	nan	nan
Contig84811	nan	nan	nan	nan	nan	nan
Contig191465	390	0.410256410256	390	0.410256410256	nan	nan
Contig161939	nan	nan	nan	nan	nan	nan
Contig67323	nan	nan	nan	nan	nan	nan
Contig142928	nan	nan	nan	nan	nan	nan
Contig532051	nan	nan	nan	nan	nan	nan
Contig284271	nan	nan	nan	nan	nan	nan
Contig747658	42	0.190476190476	nan	nan	42	0.190476190476
Contig150392	nan	nan	nan	nan	nan	nan
Contig218936	nan	nan	nan	nan	nan	nan
Contig49822	nan	nan	nan	nan	nan	nan
Contig85149	nan	nan	nan	nan	nan	nan
Contig184202	nan	nan	nan	nan	nan	nan
Contig85145	nan	nan	nan	nan	nan	nan
Contig65784	nan	nan	nan	nan	nan	nan
Contig85147	nan	nan	nan	nan	nan	nan
