loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig50599	nan	nan	nan	nan	nan	nan
Contig16127	nan	nan	nan	nan	nan	nan
Contig29704	nan	nan	nan	nan	nan	nan
Contig16124	nan	nan	nan	nan	nan	nan
Contig50342	nan	nan	nan	nan	nan	nan
Contig36731	nan	nan	nan	nan	nan	nan
Contig20666	nan	nan	nan	nan	nan	nan
Contig21553	nan	nan	nan	nan	nan	nan
Contig12807	64	0.03125	64	0.03125	nan	nan
Contig35744	36	0.5	nan	nan	36	0.5
Contig12802	nan	nan	nan	nan	nan	nan
Contig12803	nan	nan	nan	nan	nan	nan
Contig50594	nan	nan	nan	nan	nan	nan
Contig44058	nan	nan	nan	nan	nan	nan
Contig10660	54	0.333333333333	54	0.333333333333	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig11137	90	0.488888888889	nan	nan	90	0.488888888889
Contig11132	nan	nan	nan	nan	nan	nan
Contig8008	nan	nan	nan	nan	nan	nan
Contig8009	1156	0.262975778547	922	0.258134490239	234	0.282051282051
Contig8006	nan	nan	nan	nan	nan	nan
Contig8004	668	0.323353293413	668	0.323353293413	nan	nan
Contig8005	nan	nan	nan	nan	nan	nan
Contig8002	nan	nan	nan	nan	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig8000	nan	nan	nan	nan	nan	nan
Contig8001	1428	0.315826330532	1326	0.322021116139	102	0.235294117647
Contig408	796	0.286432160804	796	0.286432160804	nan	nan
Contig402	nan	nan	nan	nan	nan	nan
Contig405	908	0.34140969163	908	0.34140969163	nan	nan
Contig37421	150	0.333333333333	nan	nan	150	0.333333333333
Contig31111	188	0.292553191489	nan	nan	188	0.292553191489
Contig31444	nan	nan	nan	nan	nan	nan
Contig4888	nan	nan	nan	nan	nan	nan
Contig925	650	0.338461538462	422	0.355450236967	228	0.30701754386
Contig17299	nan	nan	nan	nan	nan	nan
Contig23834	nan	nan	nan	nan	nan	nan
Contig35352	nan	nan	nan	nan	nan	nan
Contig41029	176	0.318181818182	176	0.318181818182	nan	nan
Contig45220	nan	nan	nan	nan	nan	nan
Contig41021	nan	nan	nan	nan	nan	nan
Contig15835	2120	0.330660377358	1960	0.326020408163	160	0.3875
Contig19321	nan	nan	nan	nan	nan	nan
Contig6398	nan	nan	nan	nan	nan	nan
Contig43779	nan	nan	nan	nan	nan	nan
Contig14401	nan	nan	nan	nan	nan	nan
Contig6391	nan	nan	nan	nan	nan	nan
Contig6394	114	0.385964912281	nan	nan	114	0.385964912281
Contig6395	nan	nan	nan	nan	nan	nan
Contig6396	nan	nan	nan	nan	nan	nan
Contig6397	nan	nan	nan	nan	nan	nan
Contig9632	402	0.303482587065	nan	nan	396	0.308080808081
Contig21889	nan	nan	nan	nan	nan	nan
Contig12116	nan	nan	nan	nan	nan	nan
Contig928	2634	0.361807137434	1822	0.412184412733	812	0.248768472906
Contig7473	nan	nan	nan	nan	nan	nan
Contig929	566	0.526501766784	404	0.556930693069	162	0.450617283951
Contig2729	198	0.30303030303	nan	nan	198	0.30303030303
Contig48878	nan	nan	nan	nan	nan	nan
Contig2899	nan	nan	nan	nan	nan	nan
Contig2725	72	0.152777777778	72	0.152777777778	nan	nan
Contig2895	2702	0.359733530718	2702	0.359733530718	nan	nan
Contig2726	722	0.326869806094	nan	nan	722	0.326869806094
Contig2893	364	0.373626373626	nan	nan	364	0.373626373626
Contig7477	254	0.307086614173	60	0.3	194	0.309278350515
Contig7558	nan	nan	nan	nan	nan	nan
Contig38962	nan	nan	nan	nan	nan	nan
Contig7553	nan	nan	nan	nan	nan	nan
Contig7552	nan	nan	nan	nan	nan	nan
Contig9715	nan	nan	nan	nan	nan	nan
Contig7554	858	0.318181818182	858	0.318181818182	nan	nan
Contig7557	148	0.337837837838	148	0.337837837838	nan	nan
Contig3418	nan	nan	nan	nan	nan	nan
Contig3414	nan	nan	nan	nan	nan	nan
Contig3417	746	0.364611260054	nan	nan	746	0.364611260054
Contig6171	nan	nan	nan	nan	nan	nan
Contig6173	nan	nan	nan	nan	nan	nan
Contig36468	nan	nan	nan	nan	nan	nan
Contig36469	nan	nan	nan	nan	nan	nan
Contig36464	nan	nan	nan	nan	nan	nan
Contig22610	104	0.192307692308	104	0.192307692308	nan	nan
Contig2094	1430	0.265034965035	1430	0.265034965035	nan	nan
Contig2090	nan	nan	nan	nan	nan	nan
Contig44173	nan	nan	nan	nan	nan	nan
Contig2099	1636	0.319682151589	1636	0.319682151589	nan	nan
Contig44174	56	0.464285714286	nan	nan	56	0.464285714286
Contig37840	nan	nan	nan	nan	nan	nan
Contig27068	nan	nan	nan	nan	nan	nan
Contig28709	nan	nan	nan	nan	nan	nan
Contig20281	nan	nan	nan	nan	nan	nan
Contig13257	50	0.28	nan	nan	50	0.28
Contig40880	nan	nan	nan	nan	nan	nan
Contig26629	nan	nan	nan	nan	nan	nan
Contig22537	nan	nan	nan	nan	nan	nan
Contig47857	nan	nan	nan	nan	nan	nan
Contig22534	216	0.240740740741	216	0.240740740741	nan	nan
Contig22533	nan	nan	nan	nan	nan	nan
Contig47852	nan	nan	nan	nan	nan	nan
Contig18216	nan	nan	nan	nan	nan	nan
Contig18211	84	0.214285714286	84	0.214285714286	nan	nan
Contig13579	nan	nan	nan	nan	nan	nan
Contig27394	424	0.254716981132	424	0.254716981132	nan	nan
Contig27396	nan	nan	nan	nan	nan	nan
Contig28561	284	0.330985915493	284	0.330985915493	nan	nan
Contig5151	352	0.232954545455	352	0.232954545455	nan	nan
Contig5157	nan	nan	nan	nan	nan	nan
Contig5156	nan	nan	nan	nan	nan	nan
Contig5155	234	0.311965811966	nan	nan	234	0.311965811966
Contig5154	nan	nan	nan	nan	nan	nan
Contig38857	nan	nan	nan	nan	nan	nan
Contig49824	nan	nan	nan	nan	nan	nan
Contig984	1028	0.337548638132	702	0.331908831909	326	0.349693251534
Contig985	340	0.364705882353	nan	nan	340	0.364705882353
Contig980	nan	nan	nan	nan	nan	nan
Contig981	nan	nan	nan	nan	nan	nan
Contig16918	nan	nan	nan	nan	nan	nan
Contig16914	nan	nan	nan	nan	nan	nan
Contig988	926	0.380129589633	nan	nan	922	0.379609544469
Contig4824	nan	nan	nan	nan	nan	nan
Contig4825	788	0.285532994924	788	0.285532994924	nan	nan
Contig4826	1182	0.295262267343	1182	0.295262267343	nan	nan
Contig4827	166	0.361445783133	nan	nan	166	0.361445783133
Contig4821	902	0.328159645233	902	0.328159645233	nan	nan
Contig4822	2412	0.310945273632	2412	0.310945273632	nan	nan
Contig4828	60	0.2	60	0.2	nan	nan
Contig4829	nan	nan	nan	nan	nan	nan
Contig8398	614	0.420195439739	614	0.420195439739	nan	nan
Contig8396	4338	0.308437067773	4338	0.308437067773	nan	nan
Contig8397	1042	0.264875239923	1042	0.264875239923	nan	nan
Contig8823	66	0.333333333333	nan	nan	66	0.333333333333
